TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,BYU,Nick Emery,Missed Jumper,0,0
19:41,San Francisco,Jimbo Lull,Defensive Rebound,0,0
19:31,San Francisco,Jordan Ratinho,Missed Three Point Jumper,0,0
19:24,BYU,Yoeli Childs,Defensive Rebound,0,0
19:19,BYU,Yoeli Childs,Missed Three Point Jumper,0,0
19:15,San Francisco,Jordan Ratinho,Defensive Rebound,0,0
19:05,San Francisco,Jordan Ratinho,Missed Three Point Jumper,0,0
19:05,BYU,Yoeli Childs,Block,0,0
19:05,San Francisco,San Francisco,Offensive Rebound,0,0
18:53,San Francisco,Charles Minlend,Missed Three Point Jumper,0,0
18:49,San Francisco,Jimbo Lull,Offensive Rebound,0,0
18:35,San Francisco,Nate Renfro,Three Point Jumper,3,0
18:10,BYU,Yoeli Childs,Jumper,3,2
17:56,San Francisco,Charles Minlend,Missed Jumper,3,2
17:56,BYU,BYU,Defensive Rebound,3,2
17:42,BYU,Nick Emery,Missed Three Point Jumper,3,2
17:40,San Francisco,Frankie Ferrari,Defensive Rebound,3,2
17:21,San Francisco,Jimbo Lull,Missed Jumper,3,2
17:21,BYU,Gavin Baxter,Block,3,2
17:21,San Francisco,San Francisco,Offensive Rebound,3,2
17:13,San Francisco,Frankie Ferrari,Missed Jumper,3,2
17:11,San Francisco,Jimbo Lull,Offensive Rebound,3,2
16:58,San Francisco,Nate Renfro,Missed Jumper,3,2
16:58,BYU,Gavin Baxter,Defensive Rebound,3,2
16:58,San Francisco,Jimbo Lull,Foul,3,2
16:42,San Francisco,Nate Renfro,Foul,3,2
16:36,BYU,TJ Haws,Turnover,3,2
16:36,San Francisco,Nate Renfro,Steal,3,2
16:14,San Francisco,Charles Minlend,Missed Jumper,3,2
16:11,BYU,McKay Cannon,Defensive Rebound,3,2
16:03,BYU,Yoeli Childs,Dunk,3,4
15:49,San Francisco,Jordan Ratinho,Missed Three Point Jumper,3,4
15:47,San Francisco,San Francisco,Offensive Rebound,3,4
15:47,BYU,None,None,3,4
15:12,BYU,None,None,5,4
15:03,BYU,Yoeli Childs,Jumper,5,6
14:35,San Francisco,Jordan Ratinho,Missed Jumper,5,6
14:30,BYU,Yoeli Childs,Defensive Rebound,5,6
14:22,BYU,McKay Cannon,Turnover,5,6
14:22,San Francisco,Frankie Ferrari,Steal,5,6
14:22,BYU,McKay Cannon,Foul,5,6
14:22,San Francisco,Charles Minlend,Missed Three Point Jumper,5,6
14:22,BYU,Yoeli Childs,Defensive Rebound,5,6
14:22,BYU,Zac Seljaas,Three Point Jumper,5,9
14:22,San Francisco,Frankie Ferrari,Jumper,7,9
13:36,San Francisco,Jamaree Bouyea,Foul,7,9
13:36,BYU,TJ Haws,Free Throw,7,10
13:36,BYU,TJ Haws,Free Throw,7,11
13:09,San Francisco,Frankie Ferrari,Three Point Jumper,10,11
12:48,BYU,TJ Haws,Jumper,10,13
12:29,San Francisco,Charles Minlend,Missed Jumper,10,13
12:29,BYU,Gavin Baxter,Block,10,13
12:24,San Francisco,Matt McCarthy,Offensive Rebound,10,13
12:21,San Francisco,Jamaree Bouyea,Three Point Jumper,13,13
12:11,San Francisco,Taavi Jurkatamm,Foul,13,13
11:59,BYU,Yoeli Childs,Missed Jumper,13,13
11:56,San Francisco,Jordan Ratinho,Defensive Rebound,13,13
11:49,San Francisco,Jordan Ratinho,Three Point Jumper,16,13
11:36,BYU,TJ Haws,Foul,16,13
11:36,BYU,TJ Haws,Turnover,16,13
11:36,BYU,None,None,16,13
11:11,San Francisco,Jordan Ratinho,Missed Three Point Jumper,16,13
11:08,San Francisco,Jamaree Bouyea,Offensive Rebound,16,13
11:03,San Francisco,Remu Raitanen,Missed Three Point Jumper,16,13
11:00,BYU,Nick Emery,Defensive Rebound,16,13
11:00,San Francisco,Jimbo Lull,Foul,16,13
10:45,San Francisco,Jamaree Bouyea,Foul,16,13
10:45,BYU,TJ Haws,Free Throw,16,14
10:45,BYU,TJ Haws,Free Throw,16,15
10:45,BYU,TJ Haws,Free Throw,16,16
10:34,San Francisco,Frankie Ferrari,Missed Layup,16,16
10:31,BYU,Luke Worthington,Defensive Rebound,16,16
10:28,San Francisco,Jordan Ratinho,Foul,16,16
10:28,BYU,TJ Haws,Free Throw,16,17
10:28,BYU,TJ Haws,Missed Free Throw,16,17
10:27,San Francisco,Matt McCarthy,Defensive Rebound,16,17
10:15,San Francisco,Remu Raitanen,Jumper,18,17
10:05,BYU,Zac Seljaas,Three Point Jumper,18,20
9:45,San Francisco,Remu Raitanen,Three Point Jumper,21,20
8:44,BYU,TJ Haws,Foul,21,22
8:27,BYU,Connor Harding,Foul,21,22
8:27,San Francisco,Charles Minlend,Free Throw,22,22
8:25,San Francisco,Charles Minlend,Missed Free Throw,22,22
8:24,BYU,Nick Emery,Defensive Rebound,22,22
8:03,BYU,Nick Emery,Missed Three Point Jumper,22,22
8:00,BYU,Connor Harding,Offensive Rebound,22,22
7:59,BYU,Connor Harding,Jumper,22,24
7:44,San Francisco,Jordan Ratinho,Missed Three Point Jumper,22,24
7:41,BYU,Zac Seljaas,Defensive Rebound,22,24
7:38,BYU,Zac Seljaas,Missed Jumper,22,24
7:38,San Francisco,Matt McCarthy,Block,22,24
7:38,BYU,BYU,Offensive Rebound,22,24
7:38,BYU,None,None,22,24
7:35,San Francisco,Nate Renfro,Foul,22,24
7:35,BYU,Yoeli Childs,Missed Free Throw,22,24
7:35,BYU,None,Team Rebound,22,24
7:35,BYU,Yoeli Childs,Free Throw,22,25
