TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,UL Monroe,JD Williams,Turnover,0,0
19:34,Texas State,Alex Peacock,Steal,0,0
19:16,Texas State,Tre'Larenz Nottingham,Missed Jumper,0,0
19:16,UL Monroe,Youry White,Defensive Rebound,0,0
19:04,UL Monroe,Michael Ertel,Jumper,2,0
18:46,Texas State,Nijal Pearson,Missed Three Point Jumper,2,0
18:46,UL Monroe,Daishon Smith,Defensive Rebound,2,0
18:38,UL Monroe,Travis Munnings,Layup,4,0
18:25,Texas State,Nijal Pearson,Turnover,4,0
18:24,UL Monroe,Daishon Smith,Steal,4,0
18:22,UL Monroe,Daishon Smith,Dunk,6,0
18:07,Texas State,Jaylen Shead,Missed Layup,6,0
18:07,UL Monroe,Travis Munnings,Defensive Rebound,6,0
17:43,UL Monroe,Youry White,Missed Jumper,6,0
17:43,Texas State,Alex Peacock,Defensive Rebound,6,0
17:28,Texas State,Alex Peacock,Missed Three Point Jumper,6,0
17:28,UL Monroe,Michael Ertel,Defensive Rebound,6,0
17:24,Texas State,Eric Terry,Foul,6,0
17:03,UL Monroe,JD Williams,Missed Three Point Jumper,6,0
17:03,UL Monroe,Youry White,Offensive Rebound,6,0
16:54,UL Monroe,Daishon Smith,Missed Three Point Jumper,6,0
16:54,Texas State,Tre'Larenz Nottingham,Defensive Rebound,6,0
16:40,Texas State,Tre'Larenz Nottingham,Missed Three Point Jumper,6,0
16:40,Texas State,Eric Terry,Offensive Rebound,6,0
16:36,UL Monroe,Travis Munnings,Foul,6,0
16:36,Texas State,Eric Terry,Free Throw,6,1
16:36,Texas State,Eric Terry,Free Throw,6,2
16:19,Texas State,Nijal Pearson,Foul,6,2
16:12,UL Monroe,Travis Munnings,Turnover,6,2
16:10,Texas State,Eric Terry,Steal,6,2
15:59,Texas State,Tre'Larenz Nottingham,Three Point Jumper,6,5
15:41,UL Monroe,Michael Ertel,Missed Three Point Jumper,6,5
15:41,Texas State,Nijal Pearson,Defensive Rebound,6,5
15:31,Texas State,Jaylen Shead,Three Point Jumper,6,8
15:04,UL Monroe,Travis Munnings,Turnover,6,8
15:04,UL Monroe,Travis Munnings,Foul,6,8
15:04,Texas State,None,None,6,8
14:48,Texas State,Alex Peacock,Missed Three Point Jumper,6,8
14:48,Texas State,Eric Terry,Offensive Rebound,6,8
14:43,Texas State,Eric Terry,Layup,6,10
14:23,Texas State,Jaylen Shead,Foul,6,10
14:03,UL Monroe,Michael Ertel,Three Point Jumper,9,10
13:45,Texas State,Eric Terry,Layup,9,12
13:45,UL Monroe,Andre Washington,Foul,9,12
13:45,Texas State,Eric Terry,Free Throw,9,13
13:37,UL Monroe,Daishon Smith,Layup,11,13
13:20,Texas State,Tre'Larenz Nottingham,Missed Three Point Jumper,11,13
13:20,UL Monroe,Tyree White,Defensive Rebound,11,13
12:52,UL Monroe,Travis Munnings,Three Point Jumper,14,13
12:19,Texas State,Nijal Pearson,Missed Three Point Jumper,14,13
12:19,Texas State,Alex Peacock,Offensive Rebound,14,13
