TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,UIC,None,None,0,0
19:47,UIC,Godwin Boahen,Missed Three Point Jumper,0,0
19:47,UIC,Tarkus Ferguson,Offensive Rebound,0,0
19:42,UIC,Marcus Ottey,Missed Jumper,0,0
19:42,UIC,Rob Howard Jr.,Offensive Rebound,0,0
19:24,Green Bay,JayQuan McCloud,Foul,0,0
19:13,UIC,Marcus Ottey,Missed Jumper,0,0
19:13,Green Bay,Shanquan Hemphill,Defensive Rebound,0,0
19:04,Green Bay,Shanquan Hemphill,Missed Jumper,0,0
19:04,UIC,Marcus Ottey,Defensive Rebound,0,0
18:52,UIC,Tarkus Ferguson,Missed Three Point Jumper,0,0
18:52,Green Bay,Green Bay,Defensive Rebound,0,0
18:39,Green Bay,JayQuan McCloud,Missed Jumper,0,0
18:39,UIC,Jordan Blount,Defensive Rebound,0,0
18:26,UIC,Marcus Ottey,Turnover,0,0
18:03,Green Bay,Josh McNair,Missed Jumper,0,0
18:03,UIC,Tarkus Ferguson,Defensive Rebound,0,0
17:54,UIC,Jordan Blount,Missed Layup,0,0
17:54,Green Bay,Josh McNair,Defensive Rebound,0,0
17:45,Green Bay,Shanquan Hemphill,Missed Layup,0,0
17:45,UIC,UIC,Defensive Rebound,0,0
17:32,UIC,Rob Howard Jr.,Jumper,0,2
17:20,Green Bay,Shanquan Hemphill,Missed Jumper,0,2
17:20,Green Bay,JayQuan McCloud,Offensive Rebound,0,2
17:15,Green Bay,JayQuan McCloud,Missed Three Point Jumper,0,2
17:15,UIC,Godwin Boahen,Defensive Rebound,0,2
17:01,UIC,Jordan Blount,Jumper,0,4
16:57,Green Bay,None,None,0,4
16:47,Green Bay,Shanquan Hemphill,Missed Layup,0,4
16:47,UIC,Godwin Boahen,Defensive Rebound,0,4
16:39,UIC,Godwin Boahen,Missed Layup,0,4
16:39,UIC,Marcus Ottey,Offensive Rebound,0,4
16:39,UIC,Marcus Ottey,Missed Layup,0,4
16:39,Green Bay,Shanquan Hemphill,Defensive Rebound,0,4
16:31,Green Bay,Sandy Cohen III,Layup,2,4
16:16,UIC,Godwin Boahen,Missed Three Point Jumper,2,4
16:16,UIC,Marcus Ottey,Offensive Rebound,2,4
16:05,UIC,Godwin Boahen,Turnover,2,4
16:05,Green Bay,Shanquan Hemphill,Steal,2,4
15:57,UIC,Rob Howard Jr.,Foul,2,4
15:57,UIC,None,None,2,4
15:57,Green Bay,Josh McNair,Free Throw,3,4
15:57,Green Bay,Josh McNair,Free Throw,4,4
15:44,UIC,Marcus Ottey,Missed Three Point Jumper,4,4
15:44,UIC,Rob Howard Jr.,Offensive Rebound,4,4
15:36,UIC,Tarkus Ferguson,Missed Three Point Jumper,4,4
