TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,Clemson,David Skara,Missed Jumper,0,0
19:32,Boston College,Ky Bowman,Defensive Rebound,0,0
19:23,Boston College,Jairus Hamilton,Turnover,0,0
19:08,Clemson,Elijah Thomas,Dunk,0,2
18:41,Boston College,Nik Popovic,Jumper,2,2
18:26,Clemson,Aamir Simms,Dunk,2,4
17:54,Boston College,Steffon Mitchell,Jumper,4,4
17:36,Clemson,Elijah Thomas,Turnover,4,4
17:23,Boston College,Jairus Hamilton,Layup,6,4
17:01,Clemson,Shelton Mitchell,Three Point Jumper,6,7
16:37,Boston College,Nik Popovic,Jumper,8,7
16:09,Clemson,Elijah Thomas,Turnover,8,7
15:59,Boston College,Ky Bowman,Missed Three Point Jumper,8,7
15:59,Boston College,Jared Hamilton,Offensive Rebound,8,7
15:47,Boston College,Jairus Hamilton,Missed Three Point Jumper,8,7
15:47,Boston College,Luka Kraljevic,Offensive Rebound,8,7
15:38,Boston College,Ky Bowman,Missed Jumper,8,7
15:38,Clemson,Elijah Thomas,Defensive Rebound,8,7
15:22,Clemson,Marcquise Reed,Missed Jumper,8,7
15:22,Boston College,Steffon Mitchell,Defensive Rebound,8,7
15:01,Boston College,Jairus Hamilton,Layup,10,7
14:37,Clemson,Elijah Thomas,Jumper,10,9
14:14,Boston College,Luka Kraljevic,Turnover,10,9
14:14,Clemson,None,None,10,9
14:05,Clemson,Aamir Simms,Turnover,10,9
14:05,Clemson,Aamir Simms,Foul,10,9
13:48,Boston College,Nik Popovic,Turnover,10,9
13:48,Boston College,Nik Popovic,Foul,10,9
13:31,Clemson,Marcquise Reed,Layup,10,11
13:03,Boston College,Ky Bowman,Missed Layup,10,11
13:03,Clemson,Javan White,Block,10,11
13:02,Clemson,Shelton Mitchell,Defensive Rebound,10,11
12:57,Clemson,Shelton Mitchell,Jumper,10,13
12:33,Clemson,Javan White,Foul,10,13
12:33,Boston College,Steffon Mitchell,Free Throw,11,13
12:33,Boston College,Steffon Mitchell,Missed Free Throw,11,13
12:33,Clemson,Elijah Thomas,Defensive Rebound,11,13
12:10,Clemson,Elijah Thomas,Missed Layup,11,13
12:10,Boston College,Nik Popovic,Defensive Rebound,11,13
11:59,Boston College,Nik Popovic,Missed Three Point Jumper,11,13
11:59,Clemson,David Skara,Defensive Rebound,11,13
11:47,Clemson,David Skara,Three Point Jumper,11,16
11:26,Boston College,Nik Popovic,Layup,13,16
11:19,Clemson,Marcquise Reed,Turnover,13,16
11:17,Boston College,Jared Hamilton,Steal,13,16
11:16,Boston College,Chris Herren Jr.,Turnover,13,16
11:16,Clemson,None,None,13,16
11:01,Clemson,Shelton Mitchell,Turnover,13,16
11:01,Boston College,Jairus Hamilton,Steal,13,16
10:48,Boston College,Chris Herren Jr.,Three Point Jumper,16,16
10:19,Clemson,Marcquise Reed,Missed Jumper,16,16
10:19,Boston College,Chris Herren Jr.,Defensive Rebound,16,16
10:05,Boston College,Jairus Hamilton,Missed Three Point Jumper,16,16
10:05,Clemson,Elijah Thomas,Defensive Rebound,16,16
9:48,Clemson,David Skara,Turnover,16,16
9:36,Boston College,Nik Popovic,Turnover,16,16
9:36,Boston College,Nik Popovic,Foul,16,16
9:23,Clemson,Elijah Thomas,Missed Jumper,16,16
9:23,Boston College,Steffon Mitchell,Defensive Rebound,16,16
8:59,Boston College,Steffon Mitchell,Missed Three Point Jumper,16,16
8:59,Clemson,Elijah Thomas,Defensive Rebound,16,16
8:39,Clemson,Elijah Thomas,Missed Layup,16,16
8:39,Clemson,Elijah Thomas,Offensive Rebound,16,16
8:38,Boston College,Ky Bowman,Foul,16,16
8:33,Clemson,Marcquise Reed,Missed Jumper,16,16
8:33,Boston College,Ky Bowman,Defensive Rebound,16,16
8:22,Boston College,Jairus Hamilton,Missed Jumper,16,16
8:22,Clemson,Clyde Trapp,Defensive Rebound,16,16
8:08,Clemson,Marcquise Reed,Layup,16,18
7:41,Boston College,Luka Kraljevic,Turnover,16,18
7:40,Clemson,Marcquise Reed,Steal,16,18
7:37,Clemson,Marcquise Reed,Layup,16,20
7:35,Boston College,None,None,16,20
7:09,Boston College,Ky Bowman,Missed Jumper,16,20
7:09,Boston College,Johncarlos Reyes,Offensive Rebound,16,20
7:03,Boston College,Johncarlos Reyes,Layup,18,20
6:40,Clemson,Clyde Trapp,Missed Three Point Jumper,18,20
6:40,Boston College,Johncarlos Reyes,Defensive Rebound,18,20
6:29,Boston College,Ky Bowman,Missed Layup,18,20
6:29,Boston College,Johncarlos Reyes,Offensive Rebound,18,20
6:25,Boston College,Johncarlos Reyes,Turnover,18,20
6:24,Clemson,Marcquise Reed,Steal,18,20
6:20,Clemson,Shelton Mitchell,Missed Jumper,18,20
6:20,Clemson,John Newman III,Offensive Rebound,18,20
6:13,Clemson,Marcquise Reed,Three Point Jumper,18,23
5:50,Clemson,Shelton Mitchell,Foul,18,23
5:32,Boston College,Chris Herren Jr.,Missed Jumper,18,23
5:32,Clemson,Marcquise Reed,Defensive Rebound,18,23
5:22,Clemson,Marcquise Reed,Three Point Jumper,18,26
4:57,Boston College,Johncarlos Reyes,Jumper,20,26
4:43,Clemson,Shelton Mitchell,Missed Three Point Jumper,20,26
4:43,Boston College,Chris Herren Jr.,Defensive Rebound,20,26
