TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:33,Central Michigan,Robert Montgomery,Missed Three Point Jumper,0,0
19:28,Ball State,K.J. Walton,Defensive Rebound,0,0
19:14,Ball State,Trey Moses,Turnover,0,0
19:08,Central Michigan,Shawn Roundtree,Missed Layup,0,0
19:04,Ball State,K.J. Walton,Defensive Rebound,0,0
19:02,Ball State,Tayler Persons,Layup,0,2
18:29,Central Michigan,Shawn Roundtree,Turnover,0,2
18:29,Ball State,Tayler Persons,Steal,0,2
18:25,Ball State,K.J. Walton,Layup,0,4
18:13,Central Michigan,David DiLeo,Missed Jumper,0,4
18:06,Central Michigan,Kevin McKay,Offensive Rebound,0,4
18:05,Central Michigan,Kevin McKay,Layup,2,4
17:52,Ball State,Trey Moses,Turnover,2,4
17:52,Central Michigan,Robert Montgomery,Steal,2,4
17:43,Central Michigan,Kevin McKay,Turnover,2,4
17:43,Ball State,Tahjai Teague,Steal,2,4
17:37,Ball State,Tahjai Teague,Turnover,2,4
17:33,Central Michigan,Larry Austin Jr.,Missed Layup,2,4
17:29,Central Michigan,Kevin McKay,Offensive Rebound,2,4
17:27,Central Michigan,Kevin McKay,Turnover,2,4
17:27,Ball State,Tahjai Teague,Steal,2,4
17:18,Ball State,Kyle Mallers,Jumper,2,6
17:11,Central Michigan,Shawn Roundtree,Missed Three Point Jumper,2,6
17:07,Ball State,Tahjai Teague,Defensive Rebound,2,6
16:57,Ball State,Tahjai Teague,Turnover,2,6
16:57,Central Michigan,Larry Austin Jr.,Steal,2,6
16:52,Central Michigan,Dallas Morgan,Turnover,2,6
16:52,Ball State,K.J. Walton,Steal,2,6
16:47,Ball State,K.J. Walton,Missed Layup,2,6
16:43,Ball State,Tahjai Teague,Offensive Rebound,2,6
16:42,Central Michigan,Romelo Burrell,Foul,2,6
16:42,Ball State,K.J. Walton,Free Throw,2,7
16:42,Ball State,K.J. Walton,Missed Free Throw,2,7
16:42,Central Michigan,Romelo Burrell,Defensive Rebound,2,7
16:38,Ball State,Kyle Mallers,Foul,2,7
16:25,Central Michigan,Shawn Roundtree,Missed Layup,2,7
16:21,Ball State,Ishmael El-Amin,Defensive Rebound,2,7
16:18,Ball State,Kyle Mallers,Missed Three Point Jumper,2,7
16:13,Central Michigan,Romelo Burrell,Defensive Rebound,2,7
15:47,Central Michigan,Romelo Burrell,Missed Jumper,2,7
15:42,Central Michigan,David DiLeo,Offensive Rebound,2,7
15:42,Central Michigan,Central Michigan ,Turnover,2,7
15:36,Ball State,Ishmael El-Amin,Missed Jumper,2,7
15:32,Central Michigan,Romelo Burrell,Defensive Rebound,2,7
15:10,Central Michigan,Shawn Roundtree,Three Point Jumper,5,7
14:53,Ball State,Tayler Persons,Missed Jumper,5,7
14:49,Central Michigan,Romelo Burrell,Defensive Rebound,5,7
14:21,Central Michigan,Matt Beachler,Three Point Jumper,8,7
14:04,Ball State,Ishmael El-Amin,Three Point Jumper,8,10
13:39,Central Michigan,Kevin McKay,Missed Jumper,8,10
13:39,Ball State,Brachen Hazen,Block,8,10
13:34,Central Michigan,Kevin McKay,Offensive Rebound,8,10
13:32,Central Michigan,Kevin McKay,Missed Three Point Jumper,8,10
13:26,Ball State,Trey Moses,Defensive Rebound,8,10
13:08,Ball State,K.J. Walton,Missed Jumper,8,10
13:08,Central Michigan,Robert Montgomery,Block,8,10
13:02,Central Michigan,Kevin McKay,Defensive Rebound,8,10
12:58,Central Michigan,David DiLeo,Missed Jumper,8,10
12:51,Central Michigan,David DiLeo,Offensive Rebound,8,10
12:50,Central Michigan,David DiLeo,Missed Jumper,8,10
12:47,Ball State,K.J. Walton,Defensive Rebound,8,10
12:46,Ball State,Tayler Persons,Layup,8,12
12:35,Central Michigan,Robert Montgomery,Missed Jumper,8,12
12:35,Ball State,Trey Moses,Block,8,12
12:29,Ball State,Trey Moses,Defensive Rebound,8,12
12:19,Ball State,Josh Thompson,Missed Three Point Jumper,8,12
12:08,Central Michigan,Kevin McKay,Defensive Rebound,8,12
11:49,Central Michigan,Robert Montgomery,Missed Three Point Jumper,8,12
11:44,Ball State,Josh Thompson,Defensive Rebound,8,12
11:42,Ball State,Tahjai Teague,Missed Jumper,8,12
11:36,Central Michigan,Kevin McKay,Defensive Rebound,8,12
11:17,Central Michigan,Kevin McKay,Missed Layup,8,12
11:14,Ball State,Tahjai Teague,Defensive Rebound,8,12
11:01,Central Michigan,David DiLeo,Foul,8,12
11:01,Ball State,None,None,8,12
11:01,Ball State,Tahjai Teague,Free Throw,8,13
11:01,Ball State,Tahjai Teague,Free Throw,8,14
10:47,Central Michigan,Larry Austin Jr.,Missed Layup,8,14
10:47,Ball State,Kyle Mallers,Block,8,14
10:39,Central Michigan,Larry Austin Jr.,Offensive Rebound,8,14
10:39,Central Michigan,Larry Austin Jr.,Layup,10,14
10:30,Ball State,Trey Moses,Jumper,10,16
10:17,Central Michigan,Dallas Morgan,Missed Three Point Jumper,10,16
