TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Missouri State,Ryan Kreklow,Turnover,0,0
19:47,Indiana State,Cooper Neese,Steal,0,0
19:31,Indiana State,Bronson Kessinger,Missed Jumper,0,0
19:31,Indiana State,Christian Williams,Offensive Rebound,0,0
19:28,Indiana State,Bronson Kessinger,Jumper,2,0
19:15,Missouri State,Keandre Cook,Missed Three Point Jumper,2,0
19:15,Indiana State,Cooper Neese,Defensive Rebound,2,0
19:00,Indiana State,Cooper Neese,Missed Jumper,2,0
19:00,Indiana State,Bronson Kessinger,Offensive Rebound,2,0
18:58,Indiana State,Bronson Kessinger,Missed Jumper,2,0
18:58,Missouri State,Tulio Da Silva,Defensive Rebound,2,0
18:36,Missouri State,Tulio Da Silva,Missed Three Point Jumper,2,0
18:36,Indiana State,Cooper Neese,Defensive Rebound,2,0
18:15,Missouri State,Ryan Kreklow,Foul,2,0
18:15,Indiana State,Tyreke Key,Free Throw,3,0
18:15,Indiana State,Tyreke Key,Missed Free Throw,3,0
18:15,Missouri State,Tulio Da Silva,Defensive Rebound,3,0
18:01,Indiana State,Cooper Neese,Foul,3,0
17:48,Missouri State,Keandre Cook,Missed Jumper,3,0
17:48,Indiana State,Cooper Neese,Defensive Rebound,3,0
17:37,Missouri State,Tulio Da Silva,Foul,3,0
17:20,Indiana State,Jordan Barnes,Missed Three Point Jumper,3,0
17:20,Missouri State,Josh Webster,Defensive Rebound,3,0
17:03,Missouri State,Ryan Kreklow,Jumper,3,2
16:49,Indiana State,Christian Williams,Missed Jumper,3,2
16:49,Missouri State,Tulio Da Silva,Defensive Rebound,3,2
16:44,Indiana State,Bronson Kessinger,Foul,3,2
16:37,Indiana State,Allante Holston,Foul,3,2
16:37,Missouri State,Kabir Mohammed,Free Throw,3,3
16:37,Missouri State,Kabir Mohammed,Free Throw,3,4
16:12,Indiana State,Emondre Rickman,Jumper,5,4
15:46,Missouri State,Jarred Dixon,Jumper,5,6
15:32,Missouri State,Kabir Mohammed,Foul,5,6
15:32,Missouri State,None,None,5,6
15:23,Indiana State,Emondre Rickman,Jumper,7,6
15:01,Indiana State,Emondre Rickman,Foul,7,6
15:01,Missouri State,Ryan Kreklow,Free Throw,7,7
15:01,Missouri State,Ryan Kreklow,Missed Free Throw,7,7
15:01,Indiana State,Allante Holston,Defensive Rebound,7,7
14:41,Indiana State,Emondre Rickman,Turnover,7,7
14:31,Missouri State,Josh Webster,Turnover,7,7
14:30,Indiana State,Christian Williams,Steal,7,7
14:28,Indiana State,Christian Williams,Missed Layup,7,7
