TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:35,Central Connecticut,Jamir Coleman,Three Point Jumper,0,3
19:12,Sacred Heart,Cameron Parker,Missed Three Point Jumper,0,3
19:08,Central Connecticut,Kashaun Hicks,Defensive Rebound,0,3
19:03,Central Connecticut,Kashaun Hicks,Missed Jumper,0,3
19:03,Sacred Heart,Jare'l Spellman,Block,0,3
18:58,Sacred Heart,Cameron Parker,Defensive Rebound,0,3
18:56,Sacred Heart,Cameron Parker,Turnover,0,3
18:56,Sacred Heart,Cameron Parker,Foul,0,3
18:44,Central Connecticut,Ian Krishnan,Jumper,0,5
18:14,Sacred Heart,Koreem Ozier,Missed Three Point Jumper,0,5
18:11,Central Connecticut,Tyson Batiste,Defensive Rebound,0,5
18:00,Central Connecticut,Kashaun Hicks,Missed Jumper,0,5
17:55,Sacred Heart,Sean Hoehn,Defensive Rebound,0,5
17:54,Sacred Heart,Sean Hoehn,Missed Layup,0,5
17:53,Sacred Heart,Sacred Heart,Offensive Rebound,0,5
17:49,Sacred Heart,E.J. Anosike,Turnover,0,5
17:49,Central Connecticut,Tyson Batiste,Steal,0,5
17:33,Central Connecticut,Tyson Batiste,Layup,0,7
17:17,Sacred Heart,Cameron Parker,Turnover,0,7
17:17,Central Connecticut,Ian Krishnan,Steal,0,7
17:16,Central Connecticut,Ian Krishnan,Dunk,0,9
17:15,Sacred Heart,None,None,0,9
16:54,Sacred Heart,Sean Hoehn,Turnover,0,9
16:54,Central Connecticut,Jamir Coleman,Steal,0,9
16:49,Central Connecticut,Jamir Coleman,Layup,0,11
16:30,Sacred Heart,Aaron Clarke,Missed Three Point Jumper,0,11
16:27,Central Connecticut,Deion Bute,Defensive Rebound,0,11
16:20,Central Connecticut,Jamir Coleman,Three Point Jumper,0,14
15:54,Sacred Heart,Aaron Clarke,Layup,2,14
15:38,Central Connecticut,Mike Underwood,Missed Jumper,2,14
15:36,Sacred Heart,Kinnon LaRose,Defensive Rebound,2,14
15:29,Sacred Heart,Sean Hoehn,Foul,2,14
15:29,Sacred Heart,Sean Hoehn,Turnover,2,14
15:29,Central Connecticut,None,None,2,14
15:27,Central Connecticut,Mike Underwood,Missed Three Point Jumper,2,14
15:25,Sacred Heart,Koreem Ozier,Defensive Rebound,2,14
15:05,Sacred Heart,Jare'l Spellman,Foul,2,14
