TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:57,California,Juhwan Harris-Dyson,Missed Layup,0,0
19:57,California,Connor Vanover,Offensive Rebound,0,0
19:51,California,Connor Vanover,Missed Jumper,0,0
19:51,California,Matt Bradley,Offensive Rebound,0,0
19:25,California,Justice Sueing,Missed Jumper,0,0
19:25,California,Juhwan Harris-Dyson,Offensive Rebound,0,0
19:21,California,Juhwan Harris-Dyson,Missed Dunk,0,0
19:21,California,Juhwan Harris-Dyson,Offensive Rebound,0,0
19:18,California,Juhwan Harris-Dyson,Layup,2,0
18:55,Arizona State,Luguentz Dort,Three Point Jumper,2,3
18:37,California,Justice Sueing,Missed Jumper,2,3
18:37,Arizona State,Zylan Cheatham,Defensive Rebound,2,3
18:29,California,Matt Bradley,Foul,2,3
18:29,Arizona State,Luguentz Dort,Free Throw,2,4
18:29,Arizona State,Luguentz Dort,Missed Free Throw,2,4
18:29,Arizona State,None,Team Rebound,2,4
18:29,Arizona State,Luguentz Dort,Free Throw,2,5
18:00,California,Justice Sueing,Missed Jumper,2,5
18:00,California,California,Offensive Rebound,2,5
17:57,California,California ,Turnover,2,5
17:35,Arizona State,Luguentz Dort,Missed Three Point Jumper,2,5
17:35,Arizona State,Zylan Cheatham,Offensive Rebound,2,5
17:32,Arizona State,Zylan Cheatham,Missed Layup,2,5
17:32,California,Matt Bradley,Defensive Rebound,2,5
17:06,California,Matt Bradley,Turnover,2,5
16:58,Arizona State,Remy Martin,Turnover,2,5
16:57,California,Juhwan Harris-Dyson,Steal,2,5
16:55,Arizona State,Rob Edwards,Foul,2,5
16:55,California,Paris Austin,Free Throw,3,5
16:55,California,Paris Austin,Free Throw,4,5
16:45,California,Juhwan Harris-Dyson,Foul,4,5
16:45,Arizona State,De'Quon Lake,Free Throw,4,6
16:45,Arizona State,De'Quon Lake,Missed Free Throw,4,6
16:45,California,California,Defensive Rebound,4,6
16:14,California,Juhwan Harris-Dyson,Missed Jumper,4,6
16:14,California,Justice Sueing,Offensive Rebound,4,6
16:07,California,None,None,6,6
15:56,California,Connor Vanover,Foul,6,6
15:56,Arizona State,None,None,6,6
15:56,Arizona State,Zylan Cheatham,Free Throw,6,7
15:56,Arizona State,Zylan Cheatham,Free Throw,6,8
15:39,California,Paris Austin,Missed Layup,6,8
15:39,Arizona State,De'Quon Lake,Block,6,8
15:37,California,Justice Sueing,Offensive Rebound,6,8
15:33,California,Justice Sueing,Missed Jumper,6,8
15:33,Arizona State,Zylan Cheatham,Defensive Rebound,6,8
15:28,Arizona State,Luguentz Dort,Turnover,6,8
15:13,California,Darius McNeill,Missed Jumper,6,8
15:13,Arizona State,De'Quon Lake,Defensive Rebound,6,8
15:02,Arizona State,De'Quon Lake,Dunk,6,10
14:47,California,Connor Vanover,Missed Three Point Jumper,6,10
14:47,Arizona State,Zylan Cheatham,Defensive Rebound,6,10
14:44,California,Justice Sueing,Foul,6,10
14:31,Arizona State,Zylan Cheatham,Missed Layup,6,10
14:31,Arizona State,De'Quon Lake,Offensive Rebound,6,10
14:27,Arizona State,None,None,6,12
14:06,California,Darius McNeill,Missed Three Point Jumper,6,12
14:06,Arizona State,Zylan Cheatham,Defensive Rebound,6,12
13:59,California,Darius McNeill,Foul,6,12
13:54,Arizona State,Kimani Lawrence,Missed Three Point Jumper,6,12
13:54,California,Matt Bradley,Defensive Rebound,6,12
13:35,California,Andre Kelly,Missed Jumper,6,12
13:35,Arizona State,Taeshon Cherry,Defensive Rebound,6,12
13:25,Arizona State,Rob Edwards,Missed Jumper,6,12
13:25,California,Andre Kelly,Defensive Rebound,6,12
13:13,California,Matt Bradley,Missed Three Point Jumper,6,12
13:13,California,California,Offensive Rebound,6,12
13:06,California,Matt Bradley,Layup,8,12
12:41,Arizona State,Kimani Lawrence,Missed Three Point Jumper,8,12
12:41,California,Justice Sueing,Block,8,12
12:38,Arizona State,Remy Martin,Offensive Rebound,8,12
12:37,Arizona State,Remy Martin,Missed Jumper,8,12
12:37,California,California,Defensive Rebound,8,12
12:35,Arizona State,Kimani Lawrence,Foul,8,12
12:15,California,Darius McNeill,Turnover,8,12
11:57,Arizona State,Taeshon Cherry,Missed Three Point Jumper,8,12
11:57,Arizona State,Luguentz Dort,Offensive Rebound,8,12
11:53,Arizona State,Luguentz Dort,Layup,8,14
11:34,California,Andre Kelly,Turnover,8,14
11:34,Arizona State,None,None,8,14
11:14,California,Darius McNeill,Foul,8,14
11:01,Arizona State,Zylan Cheatham,Missed Jumper,8,14
11:01,California,Grant Anticevich,Defensive Rebound,8,14
10:36,California,Grant Anticevich,Turnover,8,14
10:23,Arizona State,Zylan Cheatham,Turnover,8,14
10:22,California,Justice Sueing,Steal,8,14
10:19,Arizona State,Elias Valtonen,Foul,8,14
10:08,California,Justice Sueing,Turnover,8,14
10:03,Arizona State,Zylan Cheatham,Steal,8,14
10:02,California,Grant Anticevich,Foul,8,14
10:02,Arizona State,Luguentz Dort,Free Throw,8,15
10:02,Arizona State,Luguentz Dort,Free Throw,8,16
9:51,California,Justice Sueing,Layup,10,16
9:36,Arizona State,Romello White,Missed Layup,10,16
9:36,California,California,Defensive Rebound,10,16
9:13,California,Connor Vanover,Layup,12,16
8:55,Arizona State,Luguentz Dort,Missed Three Point Jumper,12,16
8:55,California,Matt Bradley,Block,12,16
8:51,Arizona State,Zylan Cheatham,Offensive Rebound,12,16
8:49,Arizona State,Zylan Cheatham,Turnover,12,16
8:48,California,Paris Austin,Steal,12,16
8:44,California,Paris Austin,Layup,14,16
8:27,Arizona State,Remy Martin,Missed Jumper,14,16
8:27,California,Matt Bradley,Defensive Rebound,14,16
8:21,California,Matt Bradley,Missed Three Point Jumper,14,16
8:21,Arizona State,Taeshon Cherry,Defensive Rebound,14,16
8:12,Arizona State,Remy Martin,Three Point Jumper,14,19
7:48,Arizona State,Taeshon Cherry,Foul,14,19
7:48,Arizona State,None,None,14,19
7:31,California,Justice Sueing,Missed Layup,14,19
7:31,Arizona State,Romello White,Defensive Rebound,14,19
7:24,Arizona State,Rob Edwards,Missed Three Point Jumper,14,19
7:24,California,Grant Anticevich,Block,14,19
7:19,Arizona State,Taeshon Cherry,Offensive Rebound,14,19
7:03,Arizona State,Remy Martin,Missed Three Point Jumper,14,19
7:03,California,Paris Austin,Defensive Rebound,14,19
6:56,California,Juhwan Harris-Dyson,Missed Dunk,14,19
6:56,Arizona State,Remy Martin,Defensive Rebound,14,19
6:53,California,Juhwan Harris-Dyson,Foul,14,19
6:53,Arizona State,Remy Martin,Free Throw,14,21
6:53,Arizona State,Remy Martin,Free Throw,14,20
6:44,California,Paris Austin,Jumper,16,21
6:23,Arizona State,Rob Edwards,Missed Three Point Jumper,16,21
6:23,California,Grant Anticevich,Defensive Rebound,16,21
6:13,California,Grant Anticevich,Three Point Jumper,19,21
