TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:49,UCF,Tacko Fall,Dunk,0,2
19:17,SMU,Jahmal McMurray,Missed Jumper,0,2
19:09,UCF,Collin Smith,Defensive Rebound,0,2
19:06,UCF,Aubrey Dawkins,Three Point Jumper,0,5
18:53,SMU,Feron Hunt,Missed Three Point Jumper,0,5
18:49,UCF,Tacko Fall,Defensive Rebound,0,5
18:39,UCF,Collin Smith,Layup,0,7
18:05,SMU,Isiaha Mike,Turnover,0,7
18:05,UCF,Terrell Allen,Steal,0,7
17:58,SMU,Jimmy Whitt Jr.,Foul,0,7
17:36,UCF,UCF,Offensive Rebound,0,7
17:32,SMU,Ethan Chargois,Foul,0,7
17:32,UCF,Tacko Fall,Missed Free Throw,0,7
17:32,UCF,Tacko Fall,Free Throw,0,8
17:16,SMU,Jimmy Whitt Jr.,Missed Jumper,0,8
17:14,UCF,Aubrey Dawkins,Defensive Rebound,0,8
17:11,SMU,Jimmy Whitt Jr.,Missed Jumper,0,8
17:04,UCF,Tacko Fall,Defensive Rebound,0,8
17:02,UCF,UCF,Offensive Rebound,0,8
16:54,SMU,Isiaha Mike,Foul,0,8
16:47,UCF,Terrell Allen,Missed Free Throw,0,8
16:47,UCF,Terrell Allen,Free Throw,0,9
16:39,UCF,Tacko Fall,Layup,0,11
16:06,SMU,Nat Dixon,Missed Layup,0,11
16:06,UCF,Tacko Fall,Block,0,11
16:04,UCF,Aubrey Dawkins,Defensive Rebound,0,11
16:04,SMU,Isiaha Mike,Foul,0,11
15:54,UCF,Tacko Fall,Missed Layup,0,11
15:51,UCF,Tacko Fall,Offensive Rebound,0,11
15:50,UCF,Tacko Fall,Dunk,0,13
15:28,UCF,Aubrey Dawkins,Foul,0,13
15:28,UCF,None,None,0,13
15:25,SMU,Nat Dixon,Missed Three Point Jumper,0,13
15:21,UCF,Tacko Fall,Defensive Rebound,0,13
15:11,UCF,Collin Smith,Layup,0,15
15:07,SMU,Feron Hunt,Foul,0,15
15:07,UCF,Collin Smith,Free Throw,0,16
14:52,SMU,Jimmy Whitt Jr.,Layup,2,16
14:38,SMU,Jahmal McMurray,Foul,2,16
14:36,UCF,Aubrey Dawkins,Missed Layup,2,16
14:32,SMU,Jahmal McMurray,Defensive Rebound,2,16
14:19,SMU,Jimmy Whitt Jr.,Missed Jumper,2,16
14:15,UCF,Terrell Allen,Defensive Rebound,2,16
13:55,SMU,Jahmar Young Jr.,Foul,2,16
13:55,UCF,Chad Brown,Free Throw,2,17
13:55,UCF,Chad Brown,Missed Free Throw,2,17
13:55,SMU,Nat Dixon,Defensive Rebound,2,17
13:41,SMU,Jahmal McMurray,Missed Three Point Jumper,2,17
13:36,SMU,CJ White,Offensive Rebound,2,17
13:34,SMU,Jahmal McMurray,Three Point Jumper,5,17
13:16,UCF,Chad Brown,Turnover,5,17
13:16,SMU,Feron Hunt,Steal,5,17
13:09,SMU,Jahmal McMurray,Missed Layup,5,17
13:05,UCF,Dayon Griffin,Defensive Rebound,5,17
12:59,UCF,B.J. Taylor,Missed Jumper,5,17
12:55,SMU,SMU,Defensive Rebound,5,17
12:33,SMU,Nat Dixon,Three Point Jumper,8,17
12:13,UCF,Terrell Allen,Layup,8,19
12:01,SMU,Feron Hunt,Missed Three Point Jumper,8,19
11:57,UCF,Chad Brown,Defensive Rebound,8,19
11:44,UCF,Aubrey Dawkins,Missed Three Point Jumper,8,19
11:40,SMU,Jahmal McMurray,Defensive Rebound,8,19
11:35,SMU,Jahmal McMurray,Turnover,8,19
11:35,UCF,Terrell Allen,Steal,8,19
11:30,UCF,Terrell Allen,Layup,8,21
11:12,SMU,Jahmal McMurray,Jumper,10,21
10:54,UCF,Aubrey Dawkins,Three Point Jumper,10,24
10:37,SMU,Ethan Chargois,Missed Three Point Jumper,10,24
10:32,UCF,Tacko Fall,Defensive Rebound,10,24
10:27,UCF,Frank Bertz,Missed Three Point Jumper,10,24
10:23,SMU,CJ White,Defensive Rebound,10,24
10:17,SMU,Jahmal McMurray,Missed Jumper,10,24
10:13,UCF,Tacko Fall,Defensive Rebound,10,24
10:00,UCF,Terrell Allen,Missed Jumper,10,24
9:55,UCF,Tacko Fall,Offensive Rebound,10,24
9:54,UCF,Tacko Fall,Missed Layup,10,24
9:51,UCF,Tacko Fall,Offensive Rebound,10,24
9:50,UCF,Tacko Fall,Missed Layup,10,24
9:47,UCF,Tacko Fall,Offensive Rebound,10,24
9:46,UCF,Tacko Fall,Dunk,10,26
9:38,SMU,None,None,10,26
9:38,UCF,None,None,10,26
9:25,SMU,Nat Dixon,Missed Layup,10,26
9:25,UCF,Tacko Fall,Block,10,26
9:19,UCF,Tacko Fall,Defensive Rebound,10,26
9:06,UCF,Tacko Fall,Dunk,10,28
8:38,SMU,Jimmy Whitt Jr.,Missed Jumper,10,28
8:34,SMU,Feron Hunt,Offensive Rebound,10,28
8:33,SMU,Jimmy Whitt Jr.,Missed Layup,10,28
8:29,UCF,Tacko Fall,Defensive Rebound,10,28
8:18,UCF,Collin Smith,Missed Layup,10,28
8:14,UCF,Collin Smith,Offensive Rebound,10,28
8:13,UCF,Collin Smith,Layup,10,30
7:58,SMU,Feron Hunt,Missed Three Point Jumper,10,30
7:53,UCF,Tacko Fall,Defensive Rebound,10,30
7:38,UCF,Tacko Fall,Turnover,10,30
7:38,SMU,Isiaha Mike,Steal,10,30
7:38,UCF,None,None,10,30
7:28,SMU,William Douglas,Missed Three Point Jumper,10,30
7:24,SMU,Jimmy Whitt Jr.,Offensive Rebound,10,30
7:19,SMU,Jimmy Whitt Jr.,Missed Three Point Jumper,10,30
7:14,UCF,Tacko Fall,Defensive Rebound,10,30
7:06,UCF,B.J. Taylor,Missed Three Point Jumper,10,30
7:02,SMU,Jimmy Whitt Jr.,Defensive Rebound,10,30
6:54,SMU,Isiaha Mike,Missed Three Point Jumper,10,30
6:50,UCF,Collin Smith,Defensive Rebound,10,30
