TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Bowling Green,Daeqwon Plowden,Turnover,0,0
19:37,Miami (OH),Dalonte Brown,Steal,0,0
19:30,Miami (OH),Bam Bowman,Three Point Jumper,3,0
18:59,Bowling Green,Demajeo Wiggins,Missed Jumper,3,0
18:58,Bowling Green,Bowling Green,Offensive Rebound,3,0
18:50,Bowling Green,Demajeo Wiggins,Missed Layup,3,0
18:46,Bowling Green,Demajeo Wiggins,Offensive Rebound,3,0
18:46,Bowling Green,Demajeo Wiggins,Layup,3,2
18:25,Miami (OH),Abdoulaye Harouna,Jumper,5,2
18:08,Bowling Green,Caleb Fields,Missed Jumper,5,2
18:05,Miami (OH),Dalonte Brown,Defensive Rebound,5,2
17:58,Miami (OH),Darrian Ringo,Missed Three Point Jumper,5,2
17:55,Bowling Green,Dylan Frye,Defensive Rebound,5,2
17:46,Bowling Green,Justin Turner,Three Point Jumper,5,5
17:17,Miami (OH),Dalonte Brown,Missed Three Point Jumper,5,5
17:14,Bowling Green,Demajeo Wiggins,Defensive Rebound,5,5
17:07,Bowling Green,Justin Turner,Missed Three Point Jumper,5,5
17:05,Miami (OH),Darrian Ringo,Defensive Rebound,5,5
17:02,Miami (OH),Darrian Ringo,Missed Layup,5,5
17:02,Bowling Green,Daeqwon Plowden,Block,5,5
17:02,Miami (OH),Miami (OH),Offensive Rebound,5,5
16:53,Miami (OH),Bam Bowman,Three Point Jumper,8,5
16:33,Bowling Green,Justin Turner,Layup,8,7
16:23,Miami (OH),Nike Sibande,Layup,10,7
16:07,Bowling Green,Daeqwon Plowden,Missed Three Point Jumper,10,7
16:06,Bowling Green,Demajeo Wiggins,Offensive Rebound,10,7
16:06,Miami (OH),Abdoulaye Harouna,Foul,10,7
15:51,Miami (OH),Dalonte Brown,Defensive Rebound,10,7
15:23,Miami (OH),Dalonte Brown,Missed Layup,10,7
15:23,Bowling Green,Daeqwon Plowden,Block,10,7
15:19,Miami (OH),Nike Sibande,Offensive Rebound,10,7
15:19,Miami (OH),Nike Sibande,Missed Layup,10,7
15:19,Bowling Green,Demajeo Wiggins,Block,10,7
15:19,Miami (OH),Bam Bowman,Offensive Rebound,10,7
15:19,Bowling Green,None,None,10,7
15:19,Miami (OH),Miami (OH) ,Turnover,10,7
