TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:41,West Virginia,Jordan McCabe,Turnover,0,0
19:40,TCU,Alex Robinson,Steal,0,0
19:24,TCU,Kouat Noi,Missed Three Point Jumper,0,0
19:24,West Virginia,Jordan McCabe,Defensive Rebound,0,0
19:09,West Virginia,Lamont West,Missed Three Point Jumper,0,0
19:09,West Virginia,Emmitt Matthews Jr.,Offensive Rebound,0,0
19:05,West Virginia,Lamont West,Turnover,0,0
19:03,TCU,Alex Robinson,Steal,0,0
18:53,TCU,Alex Robinson,Layup,2,0
18:32,West Virginia,Emmitt Matthews Jr.,Missed Layup,2,0
18:32,TCU,Kouat Noi,Block,2,0
18:31,TCU,Kouat Noi,Defensive Rebound,2,0
18:23,TCU,Desmond Bane,Missed Jumper,2,0
18:23,West Virginia,Lamont West,Defensive Rebound,2,0
18:15,TCU,Alex Robinson,Foul,2,0
17:49,West Virginia,Jermaine Haley,Missed Three Point Jumper,2,0
17:49,TCU,TCU,Defensive Rebound,2,0
17:34,TCU,Desmond Bane,Missed Jumper,2,0
17:34,West Virginia,Derek Culver,Defensive Rebound,2,0
17:06,West Virginia,Jermaine Haley,Layup,2,2
16:43,TCU,Kouat Noi,Turnover,2,2
16:25,West Virginia,Lamont West,Turnover,2,2
16:23,TCU,Kevin Samuel,Steal,2,2
16:18,TCU,JD Miller,Turnover,2,2
15:48,West Virginia,Andrew Gordon,Jumper,2,4
15:38,West Virginia,Andrew Gordon,Foul,2,4
15:38,West Virginia,None,None,2,4
15:38,TCU,Kevin Samuel,Free Throw,3,4
15:38,TCU,Kevin Samuel,Missed Free Throw,3,4
15:38,TCU,Kouat Noi,Offensive Rebound,3,4
15:36,TCU,Kouat Noi,Layup,5,4
15:18,West Virginia,Andrew Gordon,Missed Jumper,5,4
15:18,West Virginia,Derek Culver,Offensive Rebound,5,4
15:11,West Virginia,Derek Culver,Turnover,5,4
15:10,TCU,Desmond Bane,Steal,5,4
15:02,TCU,Kouat Noi,Three Point Jumper,8,4
14:44,TCU,Kendric Davis,Foul,8,4
14:35,West Virginia,Andrew Gordon,Turnover,8,4
14:33,TCU,Kendric Davis,Steal,8,4
14:29,TCU,Kendric Davis,Turnover,8,4
14:27,West Virginia,Jordan McCabe,Steal,8,4
14:22,West Virginia,Jordan McCabe,Missed Three Point Jumper,8,4
14:22,West Virginia,Logan Routt,Offensive Rebound,8,4
13:57,West Virginia,Jermaine Haley,Missed Three Point Jumper,8,4
13:57,TCU,None,Team Rebound,8,4
13:49,TCU,Kouat Noi,Missed Three Point Jumper,8,4
13:49,West Virginia,Chase Harler,Defensive Rebound,8,4
13:32,West Virginia,Chase Harler,Missed Jumper,8,4
13:32,West Virginia,Andrew Gordon,Offensive Rebound,8,4
13:29,West Virginia,Andrew Gordon,Missed Jumper,8,4
13:29,TCU,Kouat Noi,Defensive Rebound,8,4
13:28,West Virginia,Logan Routt,Foul,8,4
13:17,TCU,Kendric Davis,Turnover,8,4
13:03,West Virginia,Jordan McCabe,Jumper,8,6
