TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,LSU,None,None,0,0
19:50,LSU,Kavell Bigby-Williams,Dunk,0,2
19:22,Texas A&M,Chris Collins,Missed Jumper,0,2
19:22,LSU,Naz Reid,Defensive Rebound,0,2
19:05,LSU,Kavell Bigby-Williams,Missed Jumper,0,2
19:05,Texas A&M,Wendell Mitchell,Defensive Rebound,0,2
18:53,Texas A&M,Brandon Mahan,Missed Three Point Jumper,0,2
18:53,LSU,Skylar Mays,Defensive Rebound,0,2
18:45,LSU,Naz Reid,Missed Layup,0,2
18:45,Texas A&M,Christian Mekowulu,Block,0,2
18:45,Texas A&M,Brandon Mahan,Defensive Rebound,0,2
18:12,Texas A&M,Savion Flagg,Missed Three Point Jumper,0,2
18:12,LSU,Ja'vonte Smart,Defensive Rebound,0,2
17:58,LSU,Ja'vonte Smart,Missed Three Point Jumper,0,2
17:58,Texas A&M,Savion Flagg,Defensive Rebound,0,2
17:42,Texas A&M,Christian Mekowulu,Missed Dunk,0,2
17:42,LSU,Kavell Bigby-Williams,Block,0,2
17:42,LSU,Naz Reid,Defensive Rebound,0,2
17:34,LSU,Marlon Taylor,Dunk,0,4
17:13,Texas A&M,Chris Collins,Missed Three Point Jumper,0,4
17:13,Texas A&M,Savion Flagg,Offensive Rebound,0,4
17:00,Texas A&M,Christian Mekowulu,Jumper,2,4
16:38,LSU,Ja'vonte Smart,Missed Layup,2,4
16:38,LSU,Kavell Bigby-Williams,Offensive Rebound,2,4
16:38,LSU,Kavell Bigby-Williams,Dunk,2,6
16:13,Texas A&M,Christian Mekowulu,Missed Three Point Jumper,2,6
16:13,LSU,Naz Reid,Defensive Rebound,2,6
16:04,LSU,Naz Reid,Dunk,2,8
15:40,Texas A&M,Wendell Mitchell,Three Point Jumper,5,8
15:18,LSU,Naz Reid,Jumper,5,10
15:00,Texas A&M,Wendell Mitchell,Missed Three Point Jumper,5,10
15:00,LSU,Marlon Taylor,Defensive Rebound,5,10
14:49,LSU,None,None,5,10
14:49,Texas A&M,Savion Flagg,Foul,5,10
14:35,LSU,Ja'vonte Smart,Missed Jumper,5,10
14:35,LSU,Kavell Bigby-Williams,Offensive Rebound,5,10
14:28,LSU,Kavell Bigby-Williams,Missed Jumper,5,10
14:28,Texas A&M,Brandon Mahan,Defensive Rebound,5,10
14:21,Texas A&M,Wendell Mitchell,Missed Three Point Jumper,5,10
14:21,LSU,Ja'vonte Smart,Defensive Rebound,5,10
14:14,LSU,Kavell Bigby-Williams,Turnover,5,10
14:14,Texas A&M,TJ Starks,Steal,5,10
14:06,Texas A&M,Savion Flagg,Missed Three Point Jumper,5,10
14:06,LSU,Kavell Bigby-Williams,Defensive Rebound,5,10
13:41,LSU,Ja'vonte Smart,Missed Three Point Jumper,5,10
13:41,Texas A&M,Christian Mekowulu,Defensive Rebound,5,10
13:18,Texas A&M,Brandon Mahan,Missed Layup,5,10
13:18,LSU,Kavell Bigby-Williams,Defensive Rebound,5,10
13:09,LSU,Marlon Taylor,Missed Three Point Jumper,5,10
13:09,LSU,Kavell Bigby-Williams,Offensive Rebound,5,10
13:06,Texas A&M,Christian Mekowulu,Foul,5,10
12:53,LSU,Darius Days,Turnover,5,10
12:37,Texas A&M,TJ Starks,Turnover,5,10
12:37,LSU,Ja'vonte Smart,Steal,5,10
12:25,LSU,Naz Reid,Jumper,5,12
12:02,LSU,Marlon Taylor,Foul,5,12
11:50,Texas A&M,Wendell Mitchell,Three Point Jumper,8,12
11:42,LSU,Marshall Graves,Missed Three Point Jumper,8,12
11:42,LSU,Naz Reid,Offensive Rebound,8,12
11:41,Texas A&M,Jay Jay Chandler,Foul,8,12
11:41,LSU,None,None,8,12
11:41,LSU,Naz Reid,Free Throw,8,13
11:41,LSU,Naz Reid,Free Throw,8,14
11:23,Texas A&M,Josh Nebo,Missed Jumper,8,14
11:23,Texas A&M,John Walker III,Offensive Rebound,8,14
11:18,LSU,Darius Days,Foul,8,14
11:18,Texas A&M,John Walker III,Missed Free Throw,8,14
11:18,Texas A&M,None,Team Rebound,8,14
11:18,Texas A&M,John Walker III,Missed Free Throw,8,14
11:18,LSU,Skylar Mays,Defensive Rebound,8,14
10:52,LSU,Skylar Mays,Layup,8,16
10:29,Texas A&M,Wendell Mitchell,Turnover,8,16
10:29,LSU,Ja'vonte Smart,Steal,8,16
10:24,Texas A&M,TJ Starks,Foul,8,16
10:24,LSU,Ja'vonte Smart,Free Throw,8,17
10:24,LSU,Ja'vonte Smart,Free Throw,8,18
10:14,Texas A&M,TJ Starks,Missed Three Point Jumper,8,18
10:14,LSU,Marshall Graves,Defensive Rebound,8,18
10:07,LSU,Ja'vonte Smart,Missed Jumper,8,18
10:07,Texas A&M,Josh Nebo,Defensive Rebound,8,18
9:38,Texas A&M,TJ Starks,Jumper,10,18
9:14,LSU,Marshall Graves,Missed Three Point Jumper,10,18
9:14,Texas A&M,Jay Jay Chandler,Defensive Rebound,10,18
8:54,Texas A&M,Savion Flagg,Missed Three Point Jumper,10,18
8:54,LSU,Marlon Taylor,Block,10,18
8:54,LSU,Naz Reid,Defensive Rebound,10,18
8:47,LSU,Emmitt Williams,Missed Jumper,10,18
8:47,Texas A&M,TJ Starks,Defensive Rebound,10,18
8:33,Texas A&M,TJ Starks,Turnover,10,18
8:33,LSU,Marshall Graves,Steal,10,18
8:32,LSU,Marlon Taylor,Dunk,10,20
8:32,Texas A&M,None,None,10,20
8:26,LSU,Emmitt Williams,Foul,10,20
8:26,Texas A&M,John Walker III,Foul,10,20
8:26,Texas A&M,John Walker III,Foul,10,20
8:26,LSU,Skylar Mays,Free Throw,10,21
8:26,LSU,Skylar Mays,Free Throw,10,22
8:24,LSU,Kavell Bigby-Williams,Foul,10,22
8:24,Texas A&M,Savion Flagg,Missed Free Throw,10,22
8:24,Texas A&M,None,Team Rebound,10,22
8:24,Texas A&M,Savion Flagg,Free Throw,11,22
8:12,LSU,Naz Reid,Foul,11,22
8:12,LSU,Naz Reid,Turnover,11,22
7:43,Texas A&M,TJ Starks,Missed Jumper,11,22
7:43,LSU,Darius Days,Defensive Rebound,11,22
7:23,LSU,Marlon Taylor,Missed Three Point Jumper,11,22
7:23,Texas A&M,Jay Jay Chandler,Defensive Rebound,11,22
7:09,Texas A&M,Savion Flagg,Missed Layup,11,22
7:09,Texas A&M,Josh Nebo,Offensive Rebound,11,22
7:09,Texas A&M,Josh Nebo,Dunk,13,22
6:51,LSU,None,None,13,22
