TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Murray State,None,None,0,0
19:47,Murray State,KJ Williams,Missed Jumper,0,0
19:47,Morehead State,Jordan Walker,Defensive Rebound,0,0
19:23,Morehead State,A.J. Hicks,Layup,0,2
19:12,Murray State,Ja Morant,Three Point Jumper,3,2
18:52,Morehead State,James Baker,Missed Three Point Jumper,3,2
18:52,Murray State,Ja Morant,Defensive Rebound,3,2
18:28,Murray State,Tevin Brown,Three Point Jumper,6,2
18:01,Morehead State,James Baker,Missed Jumper,6,2
18:01,Murray State,KJ Williams,Defensive Rebound,6,2
17:44,Murray State,Darnell Cowart,Jumper,8,2
17:17,Morehead State,Malek Green,Layup,8,4
17:03,Murray State,Darnell Cowart,Missed Jumper,8,4
17:03,Morehead State,Malek Green,Defensive Rebound,8,4
16:51,Morehead State,Jordan Walker,Missed Jumper,8,4
16:47,Morehead State,Morehead State,Offensive Rebound,8,4
16:35,Morehead State,James Baker,Jumper,8,6
16:11,Murray State,Devin Gilmore,Layup,10,6
15:42,Morehead State,Jordan Walker,Missed Three Point Jumper,10,6
15:42,Murray State,Darnell Cowart,Defensive Rebound,10,6
15:31,Murray State,Darnell Cowart,Foul,10,6
15:31,Murray State,Darnell Cowart,Turnover,10,6
15:31,Morehead State,None,None,10,6
15:29,Morehead State,None,None,10,6
15:19,Morehead State,Jordan Walker,Missed Layup,10,6
15:19,Murray State,Brion Sanchious,Defensive Rebound,10,6
15:00,Murray State,Shaq Buchanan,Three Point Jumper,13,6
14:45,Morehead State,De'Von Cooper,Missed Three Point Jumper,13,6
14:45,Morehead State,Djimon Henson,Offensive Rebound,13,6
14:45,Morehead State,None,None,13,6
14:45,Murray State,Ja Morant,Block,13,6
14:45,Murray State,Ja Morant,Defensive Rebound,13,6
14:24,Murray State,Ja Morant,Turnover,13,6
14:24,Morehead State,Djimon Henson,Steal,13,6
14:15,Murray State,Brion Sanchious,Foul,13,6
14:15,Morehead State,James Baker,Free Throw,13,7
14:15,Morehead State,James Baker,Free Throw,13,8
13:56,Murray State,Ja Morant,Missed Three Point Jumper,13,8
13:56,Morehead State,De'Von Cooper,Defensive Rebound,13,8
13:46,Morehead State,De'Von Cooper,Missed Layup,13,8
13:46,Murray State,Tevin Brown,Defensive Rebound,13,8
13:38,Murray State,Ja Morant,Turnover,13,8
13:38,Morehead State,Jordan Walker,Steal,13,8
13:26,Morehead State,Jordan Walker,Missed Three Point Jumper,13,8
13:26,Morehead State,Malek Green,Offensive Rebound,13,8
13:26,Morehead State,None,None,13,10
13:04,Murray State,Brion Sanchious,Layup,15,10
12:43,Morehead State,Malek Green,Missed Three Point Jumper,15,10
12:43,Murray State,Ja Morant,Defensive Rebound,15,10
12:35,Murray State,Darnell Cowart,Layup,17,10
12:16,Morehead State,James Baker,Missed Jumper,17,10
12:16,Murray State,Darnell Cowart,Defensive Rebound,17,10
12:07,Murray State,Tevin Brown,Missed Three Point Jumper,17,10
12:07,Morehead State,James Baker,Defensive Rebound,17,10
12:01,Murray State,Ja Morant,Foul,17,10
11:55,Morehead State,Djimon Henson,Missed Three Point Jumper,17,10
11:55,Murray State,Darnell Cowart,Defensive Rebound,17,10
11:42,Murray State,Ja Morant,Missed Layup,17,10
11:42,Morehead State,Djimon Henson,Defensive Rebound,17,10
11:31,Morehead State,James Baker,Missed Three Point Jumper,17,10
11:31,Morehead State,Djimon Henson,Offensive Rebound,17,10
11:31,Morehead State,None,None,17,10
11:31,Murray State,Ja Morant,Defensive Rebound,17,10
11:19,Murray State,Jaiveon Eaves,Missed Three Point Jumper,17,10
11:19,Morehead State,Djimon Henson,Defensive Rebound,17,10
10:53,Morehead State,A.J. Hicks,Missed Layup,17,10
10:53,Murray State,Darnell Cowart,Defensive Rebound,17,10
10:38,Murray State,KJ Williams,Jumper,19,10
10:18,Morehead State,Ja'Cori Wilson,Foul,19,10
10:18,Morehead State,Ja'Cori Wilson,Turnover,19,10
10:18,Morehead State,None,None,19,10
10:10,Murray State,KJ Williams,Layup,21,10
9:56,Morehead State,James Baker,Missed Layup,21,10
9:56,Murray State,Darnell Cowart,Defensive Rebound,21,10
9:45,Murray State,KJ Williams,Layup,23,10
9:45,Morehead State,None,None,23,10
9:29,Morehead State,De'Von Cooper,Turnover,23,10
9:29,Murray State,Shaq Buchanan,Steal,23,10
9:25,Morehead State,Jordan Walker,Foul,23,10
9:25,Murray State,Jaiveon Eaves,Free Throw,24,10
9:25,Murray State,Jaiveon Eaves,Free Throw,25,10
9:07,Morehead State,A.J. Hicks,Missed Three Point Jumper,25,10
9:07,Morehead State,James Baker,Offensive Rebound,25,10
8:41,Morehead State,A.J. Hicks,Missed Jumper,25,10
8:41,Murray State,Shaq Buchanan,Defensive Rebound,25,10
8:33,Murray State,Darnell Cowart,Layup,27,10
8:10,Murray State,Jaiveon Eaves,Foul,27,10
7:56,Morehead State,Jordan Walker,Missed Three Point Jumper,27,10
7:56,Murray State,Darnell Cowart,Defensive Rebound,27,10
7:50,Murray State,Jaiveon Eaves,Three Point Jumper,30,10
7:31,Morehead State,James Baker,Missed Three Point Jumper,30,10
7:31,Murray State,Ja Morant,Defensive Rebound,30,10
