TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Tulsa,Curran Scott,Missed Three Point Jumper,0,0
19:44,Tulane,Caleb Daniels,Defensive Rebound,0,0
19:20,Tulane,Moses Wood,Missed Jumper,0,0
19:20,Tulsa,DaQuan Jeffries,Defensive Rebound,0,0
19:08,Tulsa,Sterling Taplin,Missed Layup,0,0
19:08,Tulane,Moses Wood,Defensive Rebound,0,0
18:36,Tulane,Caleb Daniels,Three Point Jumper,3,0
18:25,Tulsa,Lawson Korita,Missed Three Point Jumper,3,0
18:25,Tulsa,Martins Igbanu,Offensive Rebound,3,0
18:20,Tulane,Samir Sehic,Foul,3,0
18:20,Tulsa,Martins Igbanu,Missed Free Throw,3,0
18:20,Tulsa,None,Team Rebound,3,0
18:20,Tulsa,Martins Igbanu,Free Throw,3,1
18:02,Tulane,Caleb Daniels,Missed Layup,3,1
18:02,Tulane,Caleb Daniels,Offensive Rebound,3,1
17:59,Tulane,Caleb Daniels,Layup,5,1
17:43,Tulsa,Lawson Korita,Missed Jumper,5,1
17:43,Tulane,Moses Wood,Block,5,1
17:42,Tulane,Jordan Cornish,Defensive Rebound,5,1
17:34,Tulane,Jordan Cornish,Turnover,5,1
17:17,Tulsa,Sterling Taplin,Missed Three Point Jumper,5,1
17:17,Tulane,Tulane,Defensive Rebound,5,1
16:57,Tulane,Samir Sehic,Layup,7,1
16:45,Tulsa,DaQuan Jeffries,Missed Jumper,7,1
16:45,Tulane,Caleb Daniels,Defensive Rebound,7,1
16:32,Tulane,Connor Crabtree,Three Point Jumper,10,1
16:19,Tulane,Connor Crabtree,Foul,10,1
16:19,Tulsa,Martins Igbanu,Free Throw,10,2
16:19,Tulsa,Martins Igbanu,Free Throw,10,3
16:02,Tulane,Jordan Cornish,Missed Jumper,10,3
16:02,Tulane,Jordan Cornish,Offensive Rebound,10,3
15:58,Tulane,Jordan Cornish,Turnover,10,3
15:57,Tulsa,Darien Jackson,Steal,10,3
15:49,Tulsa,DaQuan Jeffries,Missed Three Point Jumper,10,3
15:49,Tulane,Samir Sehic,Defensive Rebound,10,3
15:38,Tulane,Samir Sehic,Missed Jumper,10,3
15:38,Tulsa,Tulsa,Defensive Rebound,10,3
15:36,Tulsa,None,None,10,3
15:24,Tulsa,Darien Jackson,Missed Layup,10,3
15:24,Tulane,Caleb Daniels,Defensive Rebound,10,3
14:57,Tulane,Jordan Cornish,Missed Layup,10,3
14:57,Tulsa,Elijah Joiner,Defensive Rebound,10,3
14:51,Tulsa,Jeriah Horne,Missed Three Point Jumper,10,3
14:51,Tulane,Jordan Cornish,Defensive Rebound,10,3
14:45,Tulane,Jordan Cornish,Turnover,10,3
14:44,Tulsa,Darien Jackson,Steal,10,3
14:36,Tulane,Blake Paul,Foul,10,3
14:19,Tulsa,Elijah Joiner,Turnover,10,3
14:02,Tulane,Moses Wood,Three Point Jumper,13,3
13:47,Tulsa,Jeriah Horne,Missed Jumper,13,3
13:47,Tulane,Caleb Daniels,Defensive Rebound,13,3
13:22,Tulane,Kevin Zhang,Three Point Jumper,16,3
13:00,Tulsa,Sterling Taplin,Turnover,16,3
12:59,Tulane,Jordan Cornish,Steal,16,3
12:46,Tulane,Blake Paul,Missed Layup,16,3
12:46,Tulane,Blake Paul,Offensive Rebound,16,3
12:41,Tulane,Blake Paul,Missed Layup,16,3
12:41,Tulsa,Jeriah Horne,Defensive Rebound,16,3
12:37,Tulsa,Sterling Taplin,Missed Three Point Jumper,16,3
12:37,Tulsa,Jeriah Horne,Offensive Rebound,16,3
12:28,Tulane,Blake Paul,Foul,16,3
12:20,Tulsa,Elijah Joiner,Turnover,16,3
11:59,Tulane,Kevin Zhang,Three Point Jumper,19,3
11:54,Tulsa,None,None,19,3
11:42,Tulsa,Curran Scott,Jumper,19,5
11:24,Tulane,Samir Sehic,Missed Three Point Jumper,19,5
11:24,Tulsa,Lawson Korita,Defensive Rebound,19,5
11:15,Tulane,Shakwon Barrett,Foul,19,5
11:15,Tulsa,Martins Igbanu,Free Throw,19,6
11:15,Tulsa,Martins Igbanu,Free Throw,19,7
10:50,Tulane,Caleb Daniels,Missed Jumper,19,7
10:50,Tulsa,Martins Igbanu,Defensive Rebound,19,7
10:39,Tulane,Caleb Daniels,Foul,19,7
10:39,Tulsa,Martins Igbanu,Missed Free Throw,19,7
10:39,Tulsa,None,Team Rebound,19,7
10:39,Tulsa,Martins Igbanu,Free Throw,19,8
10:24,Tulane,Connor Crabtree,Turnover,19,8
10:07,Tulsa,Lawson Korita,Missed Three Point Jumper,19,8
10:07,Tulane,Caleb Daniels,Defensive Rebound,19,8
9:57,Tulane,Caleb Daniels,Jumper,21,8
9:44,Tulsa,Martins Igbanu,Layup,21,10
9:27,Tulane,Samir Sehic,Missed Three Point Jumper,21,10
9:27,Tulsa,Curran Scott,Defensive Rebound,21,10
9:18,Tulsa,Curran Scott,Three Point Jumper,21,13
9:15,Tulane,None,None,21,13
8:59,Tulane,Samir Sehic,Jumper,23,13
8:38,Tulsa,Curran Scott,Three Point Jumper,23,16
8:22,Tulane,Caleb Daniels,Missed Three Point Jumper,23,16
8:22,Tulsa,Elijah Joiner,Defensive Rebound,23,16
8:08,Tulsa,Martins Igbanu,Layup,23,18
7:51,Tulane,Connor Crabtree,Turnover,23,18
7:50,Tulsa,Darien Jackson,Steal,23,18
7:40,Tulsa,DaQuan Jeffries,Missed Three Point Jumper,23,18
7:40,Tulane,Caleb Daniels,Defensive Rebound,23,18
7:28,Tulane,Caleb Daniels,Jumper,25,18
7:09,Tulsa,Curran Scott,Three Point Jumper,25,21
6:31,Tulane,Kevin Zhang,Missed Three Point Jumper,25,21
6:31,Tulsa,Darien Jackson,Defensive Rebound,25,21
6:15,Tulsa,Elijah Joiner,Turnover,25,21
6:14,Tulane,Samir Sehic,Steal,25,21
6:08,Tulane,Caleb Daniels,Layup,27,21
5:59,Tulsa,DaQuan Jeffries,Turnover,27,21
5:59,Tulsa,DaQuan Jeffries,Foul,27,21
5:59,Tulsa,None,None,27,21
5:44,Tulane,Kevin Zhang,Turnover,27,21
5:23,Tulsa,Sterling Taplin,Layup,27,23
5:23,Tulane,Kevin Zhang,Foul,27,23
5:23,Tulsa,Sterling Taplin,Missed Free Throw,27,23
5:23,Tulane,Kevin Zhang,Defensive Rebound,27,23
5:03,Tulsa,Darien Jackson,Foul,27,23
5:03,Tulane,Jordan Cornish,Free Throw,28,23
5:03,Tulane,Jordan Cornish,Free Throw,29,23
4:51,Tulsa,Darien Jackson,Missed Layup,29,23
4:51,Tulsa,Darien Jackson,Offensive Rebound,29,23
4:47,Tulsa,Darien Jackson,Layup,29,25
4:31,Tulane,Connor Crabtree,Missed Layup,29,25
4:31,Tulsa,Jeriah Horne,Block,29,25
4:30,Tulane,Samir Sehic,Offensive Rebound,29,25
4:30,Tulane,Samir Sehic,Jumper,31,25
4:30,Tulsa,Simon Falokun,Foul,31,25
4:30,Tulane,Samir Sehic,Missed Free Throw,31,25
4:30,Tulsa,Jeriah Horne,Defensive Rebound,31,25
4:21,Tulsa,Curran Scott,Layup,31,27
4:05,Tulane,Jordan Cornish,Missed Jumper,31,27
4:05,Tulsa,Curran Scott,Defensive Rebound,31,27
