TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:41,UC Irvine,Evan Leonard,Missed Three Point Jumper,0,0
19:41,UC Davis,Rogers Printup,Defensive Rebound,0,0
19:13,UC Davis,Siler Schneider,Missed Jumper,0,0
19:13,UC Davis,Matt Neufeld,Offensive Rebound,0,0
19:10,UC Davis,Matt Neufeld,Missed Layup,0,0
19:10,UC Irvine,Jonathan Galloway,Defensive Rebound,0,0
18:57,UC Davis,Joe Mooney,Foul,0,0
18:57,UC Irvine,Jonathan Galloway,Free Throw,1,0
18:57,UC Irvine,Jonathan Galloway,Missed Free Throw,1,0
18:57,UC Davis,Matt Neufeld,Defensive Rebound,1,0
18:35,UC Davis,Matt Neufeld,Jumper,1,2
18:16,UC Irvine,Eyassu Worku,Three Point Jumper,4,2
18:04,UC Davis,TJ Shorts II,Layup,4,4
17:58,UC Irvine,Max Hazzard,Layup,6,4
17:25,UC Davis,TJ Shorts II,Missed Jumper,6,4
17:25,UC Irvine,Jonathan Galloway,Defensive Rebound,6,4
17:14,UC Irvine,Eyassu Worku,Jumper,8,4
16:58,UC Davis,Siler Schneider,Turnover,8,4
16:58,UC Irvine,Evan Leonard,Steal,8,4
16:55,UC Irvine,Max Hazzard,Missed Layup,8,4
16:55,UC Irvine,Evan Leonard,Offensive Rebound,8,4
16:53,UC Irvine,Evan Leonard,Missed Layup,8,4
16:53,UC Irvine,Jonathan Galloway,Offensive Rebound,8,4
16:51,UC Irvine,None,None,10,4
16:36,UC Irvine,Jonathan Galloway,Foul,10,4
16:18,UC Davis,TJ Shorts II,Missed Jumper,10,4
16:18,UC Irvine,Tommy Rutherford,Defensive Rebound,10,4
16:04,UC Irvine,Max Hazzard,Missed Layup,10,4
16:04,UC Davis,Rogers Printup,Defensive Rebound,10,4
15:49,UC Davis,Joe Mooney,Missed Layup,10,4
15:49,UC Davis,Garrison Goode,Offensive Rebound,10,4
15:46,UC Davis,None,None,10,6
15:21,UC Irvine,Tommy Rutherford,Turnover,10,6
15:20,UC Davis,Rogers Printup,Steal,10,6
14:58,UC Davis,Stefan Gonzalez,Three Point Jumper,10,9
14:25,UC Irvine,Eyassu Worku,Missed Three Point Jumper,10,9
14:25,UC Irvine,Tommy Rutherford,Offensive Rebound,10,9
14:21,UC Irvine,Tommy Rutherford,Missed Layup,10,9
14:21,UC Davis,Garrison Goode,Defensive Rebound,10,9
14:04,UC Davis,Stefan Gonzalez,Missed Three Point Jumper,10,9
14:04,UC Irvine,Jonathan Galloway,Defensive Rebound,10,9
13:43,UC Irvine,Eyassu Worku,Jumper,12,9
13:26,UC Davis,Joe Mooney,Missed Jumper,12,9
13:26,UC Irvine,Eyassu Worku,Defensive Rebound,12,9
13:13,UC Irvine,Evan Leonard,Three Point Jumper,15,9
13:08,UC Davis,None,None,15,9
12:35,UC Davis,Damion Squire,Three Point Jumper,15,12
12:10,UC Irvine,Robert Cartwright,Missed Three Point Jumper,15,12
12:10,UC Davis,Joe Mooney,Defensive Rebound,15,12
11:36,UC Davis,UC Davis ,Turnover,15,12
11:36,UC Davis,None,None,15,12
11:09,UC Irvine,Collin Welp,Missed Layup,15,12
11:09,UC Irvine,Collin Welp,Offensive Rebound,15,12
10:58,UC Irvine,Collin Welp,Jumper,17,12
10:31,UC Irvine,Robert Cartwright,Foul,17,12
10:31,UC Davis,TJ Shorts II,Free Throw,17,13
10:31,UC Davis,TJ Shorts II,Free Throw,17,14
10:31,UC Davis,UC Davis,Foul,17,14
10:31,UC Irvine,UC Irvine,Foul,17,14
10:31,UC Irvine,JC Butler,Foul,17,14
10:31,UC Davis,TJ Shorts II,Missed Free Throw,17,14
10:31,UC Davis,None,Team Rebound,17,14
10:31,UC Davis,TJ Shorts II,Free Throw,17,15
10:22,UC Irvine,Max Hazzard,Missed Three Point Jumper,17,15
10:22,UC Davis,A.J. John,Defensive Rebound,17,15
10:12,UC Davis,Siler Schneider,Turnover,17,15
9:40,UC Irvine,Elston Jones,Missed Jumper,17,15
9:40,UC Davis,None,Team Rebound,17,15
9:26,UC Davis,Matt Neufeld,Missed Layup,17,15
9:26,UC Irvine,Collin Welp,Defensive Rebound,17,15
9:09,UC Irvine,Collin Welp,Turnover,17,15
8:42,UC Davis,TJ Shorts II,Missed Jumper,17,15
8:42,UC Irvine,Elston Jones,Defensive Rebound,17,15
8:35,UC Irvine,Robert Cartwright,Layup,19,15
8:10,UC Davis,Matt Neufeld,Missed Layup,19,15
8:10,UC Irvine,Evan Leonard,Defensive Rebound,19,15
