TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,New Hampshire,David Watkins,Missed Three Point Jumper,0,0
19:45,Maine,Andrew Fleming,Defensive Rebound,0,0
19:26,Maine,Andrew Fleming,Missed Layup,0,0
19:26,New Hampshire,Josh Hopkins,Defensive Rebound,0,0
19:17,New Hampshire,Jordan Reed,Three Point Jumper,3,0
18:57,Maine,Terion Moss,Missed Three Point Jumper,3,0
18:57,Maine,Vilgot Larsson,Offensive Rebound,3,0
18:56,New Hampshire,Josh Hopkins,Foul,3,0
18:49,Maine,Terion Moss,Turnover,3,0
18:49,New Hampshire,David Watkins,Layup,5,0
18:49,Maine,Andrew Fleming,Missed Layup,5,0
18:49,New Hampshire,Marque Maultsby,Defensive Rebound,5,0
18:47,New Hampshire,Jordan Reed,Layup,7,0
18:44,Maine,Ilija Stojiljkovic,Foul,7,0
18:39,New Hampshire,Jordan Reed,Free Throw,8,0
17:46,Maine,Vilgot Larsson,Three Point Jumper,8,3
17:29,New Hampshire,David Watkins,Missed Three Point Jumper,8,3
17:29,New Hampshire,Jordan Reed,Offensive Rebound,8,3
17:25,New Hampshire,Marque Maultsby,Missed Three Point Jumper,8,3
17:25,Maine,Sergio El Darwich,Defensive Rebound,8,3
17:18,Maine,Andrew Fleming,Layup,8,5
16:49,New Hampshire,Marque Maultsby,Turnover,8,5
16:33,Maine,Vilgot Larsson,Three Point Jumper,8,8
16:07,New Hampshire,Marque Maultsby,Missed Three Point Jumper,8,8
16:07,Maine,Ilija Stojiljkovic,Defensive Rebound,8,8
15:47,Maine,Vilgot Larsson,Three Point Jumper,8,11
15:21,New Hampshire,David Watkins,Missed Layup,8,11
15:21,Maine,Andrew Fleming,Defensive Rebound,8,11
15:05,Maine,Vilgot Larsson,Missed Three Point Jumper,8,11
15:05,New Hampshire,David Watkins,Defensive Rebound,8,11
15:00,New Hampshire,Jordan Reed,Turnover,8,11
14:59,Maine,Sergio El Darwich,Steal,8,11
14:45,Maine,Sergio El Darwich,Layup,8,13
14:45,New Hampshire,Jordan Reed,Foul,8,13
14:45,Maine,None,None,8,13
14:45,Maine,Sergio El Darwich,Missed Free Throw,8,13
14:45,New Hampshire,Chris Lester,Defensive Rebound,8,13
14:20,New Hampshire,Marque Maultsby,Missed Jumper,8,13
14:20,Maine,Isaiah White,Defensive Rebound,8,13
14:03,Maine,Sergio El Darwich,Missed Three Point Jumper,8,13
14:03,New Hampshire,Chris Lester,Defensive Rebound,8,13
13:48,New Hampshire,Jordan Reed,Missed Three Point Jumper,8,13
13:48,Maine,Sergio El Darwich,Defensive Rebound,8,13
13:22,Maine,Andrew Fleming,Missed Layup,8,13
13:22,New Hampshire,Chris Lester,Defensive Rebound,8,13
13:09,New Hampshire,Josh Hopkins,Turnover,8,13
12:54,Maine,Vincent Eze,Foul,8,13
12:54,Maine,Vincent Eze,Turnover,8,13
12:29,New Hampshire,Jordan Reed,Missed Layup,8,13
12:29,Maine,Isaiah White,Defensive Rebound,8,13
12:23,Maine,Vilgot Larsson,Missed Three Point Jumper,8,13
12:23,New Hampshire,Nick Guadarrama,Defensive Rebound,8,13
11:53,New Hampshire,Josh Hopkins,Missed Three Point Jumper,8,13
11:53,New Hampshire,David Watkins,Offensive Rebound,8,13
11:35,New Hampshire,Jordan Reed,Three Point Jumper,11,13
11:16,Maine,Sergio El Darwich,Turnover,11,13
11:16,Maine,None,None,11,13
10:45,New Hampshire,Elijah Jordan,Missed Jumper,11,13
10:45,Maine,Maine,Defensive Rebound,11,13
10:24,Maine,Sergio El Darwich,Layup,11,15
10:15,Maine,Terion Moss,Foul,11,15
10:07,New Hampshire,David Watkins,Turnover,11,15
9:55,New Hampshire,David Hall,Foul,11,15
9:46,Maine,Andrew Fleming,Missed Jumper,11,15
9:46,New Hampshire,Josh Hopkins,Defensive Rebound,11,15
9:26,New Hampshire,Nick Guadarrama,Three Point Jumper,14,15
9:08,Maine,Andrew Fleming,Turnover,14,15
9:07,New Hampshire,Josh Hopkins,Steal,14,15
9:02,New Hampshire,Josh Hopkins,Three Point Jumper,17,15
8:49,Maine,Ilija Stojiljkovic,Turnover,17,15
8:32,New Hampshire,Josh Hopkins,Missed Layup,17,15
8:32,Maine,Sergio El Darwich,Block,17,15
8:30,Maine,Sergio El Darwich,Defensive Rebound,17,15
8:26,Maine,Vilgot Larsson,Dunk,17,17
8:13,New Hampshire,Josh Hopkins,Three Point Jumper,20,17
7:59,Maine,Andrew Fleming,Missed Three Point Jumper,20,17
7:59,New Hampshire,Luke Rosinski,Defensive Rebound,20,17
7:43,New Hampshire,Elijah Jordan,Missed Three Point Jumper,20,17
7:43,Maine,Andrew Fleming,Defensive Rebound,20,17
7:24,New Hampshire,Nick Guadarrama,Foul,20,17
7:24,Maine,None,None,20,17
7:12,Maine,Vilgot Larsson,Missed Three Point Jumper,20,17
7:12,New Hampshire,Luke Rosinski,Defensive Rebound,20,17
6:45,New Hampshire,Jordan Reed,Missed Jumper,20,17
6:45,Maine,Andrew Fleming,Defensive Rebound,20,17
6:20,Maine,Sergio El Darwich,Missed Three Point Jumper,20,17
6:20,New Hampshire,Marque Maultsby,Defensive Rebound,20,17
6:15,New Hampshire,Marque Maultsby,Turnover,20,17
6:14,Maine,Isaiah White,Steal,20,17
6:11,Maine,Terion Moss,Layup,20,19
5:53,New Hampshire,Nick Guadarrama,Missed Three Point Jumper,20,19
5:53,Maine,Andrew Fleming,Defensive Rebound,20,19
5:15,Maine,Isaiah White,Missed Jumper,20,19
5:15,New Hampshire,Nick Guadarrama,Defensive Rebound,20,19
4:58,New Hampshire,Jordan Reed,Turnover,20,19
4:58,Maine,Sergio El Darwich,Steal,20,19
4:41,Maine,Vilgot Larsson,Layup,20,21
4:28,New Hampshire,David Watkins,Turnover,20,21
4:27,Maine,Vilgot Larsson,Steal,20,21
4:25,New Hampshire,Marque Maultsby,Foul,20,21
4:25,Maine,Vilgot Larsson,Missed Free Throw,20,21
4:25,Maine,None,Team Rebound,20,21
4:25,Maine,Vilgot Larsson,Missed Free Throw,20,21
