TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,IUPUI,Camron Justice,Turnover,0,0
19:28,Wright State,Mark Hughes,Layup,2,0
18:51,Wright State,Loudon Love,Layup,4,2
18:35,IUPUI,Camron Justice,Missed Jumper,4,2
18:35,Wright State,Mark Hughes,Block,4,2
18:31,Wright State,Mark Hughes,Defensive Rebound,4,2
18:29,Wright State,Mark Hughes,Layup,6,2
18:08,IUPUI,Evan Hall,Missed Jumper,6,2
18:04,Wright State,Alan Vest,Defensive Rebound,6,2
17:44,IUPUI,Elyjah Goss,Foul,6,2
17:44,Wright State,Loudon Love,Free Throw,7,2
17:44,Wright State,Loudon Love,Free Throw,8,2
17:27,IUPUI,Camron Justice,Missed Three Point Jumper,8,2
17:24,IUPUI,Grant Weatherford,Offensive Rebound,8,2
17:20,IUPUI,Grant Weatherford,Turnover,8,2
17:20,Wright State,Malachi Smith,Steal,8,2
17:13,Wright State,Alan Vest,Jumper,10,2
16:52,IUPUI,Camron Justice,Turnover,10,2
16:52,Wright State,Alan Vest,Steal,10,2
16:38,Wright State,Billy Wampler,Missed Three Point Jumper,10,2
16:35,IUPUI,Camron Justice,Defensive Rebound,10,2
16:16,IUPUI,Grant Weatherford,Missed Layup,10,2
16:13,Wright State,Cole Gentry,Defensive Rebound,10,2
16:06,Wright State,Cole Gentry,Missed Layup,10,2
16:01,Wright State,Parker Ernsthausen,Offensive Rebound,10,2
16:01,Wright State,Parker Ernsthausen,Layup,12,2
15:50,IUPUI,Jaylen Minnett,Missed Three Point Jumper,12,2
15:46,IUPUI,Ahmed Ismail,Offensive Rebound,12,2
15:44,IUPUI,Ahmed Ismail,Missed Layup,12,2
15:41,Wright State,Cole Gentry,Defensive Rebound,12,2
15:28,Wright State,Parker Ernsthausen,Three Point Jumper,15,2
15:25,IUPUI,None,None,15,2
15:25,IUPUI,None,None,15,2
15:04,IUPUI,Camron Justice,Missed Three Point Jumper,15,2
14:59,Wright State,Skyelar Potter,Defensive Rebound,15,2
14:54,Wright State,Billy Wampler,Layup,17,2
14:39,IUPUI,Jack Hansen,Missed Layup,17,2
14:35,Wright State,Billy Wampler,Defensive Rebound,17,2
14:32,IUPUI,Ahmed Ismail,Foul,17,2
14:32,Wright State,Loudon Love,Free Throw,18,2
14:32,Wright State,Loudon Love,Free Throw,19,2
14:08,IUPUI,None,None,19,2
14:04,IUPUI,Camron Justice,Layup,19,4
13:45,Wright State,Billy Wampler,Layup,21,4
13:33,IUPUI,Jaylen Minnett,Foul,21,4
13:33,IUPUI,Jaylen Minnett,Turnover,21,4
13:13,Wright State,Billy Wampler,Turnover,21,4
12:56,IUPUI,Jaylen Minnett,Missed Three Point Jumper,21,4
12:56,Wright State,Loudon Love,Block,21,4
12:51,Wright State,Skyelar Potter,Defensive Rebound,21,4
12:48,Wright State,Malachi Smith,Missed Layup,21,4
12:45,IUPUI,D.J. McCall,Defensive Rebound,21,4
12:37,IUPUI,Camron Justice,Turnover,21,4
12:27,Wright State,Billy Wampler,Three Point Jumper,24,4
12:08,IUPUI,Nick Rogers,Jumper,24,6
11:54,Wright State,Billy Wampler,Three Point Jumper,27,6
11:34,IUPUI,Camron Justice,Three Point Jumper,27,9
11:18,Wright State,Billy Wampler,Missed Layup,27,9
11:15,IUPUI,D.J. McCall,Defensive Rebound,27,9
11:06,IUPUI,Nick Rogers,Jumper,27,11
10:38,Wright State,Skyelar Potter,Missed Layup,27,11
10:38,IUPUI,Ahmed Ismail,Block,27,11
10:34,IUPUI,D.J. McCall,Defensive Rebound,27,11
10:32,IUPUI,Camron Justice,Missed Three Point Jumper,27,11
10:28,Wright State,Skyelar Potter,Defensive Rebound,27,11
10:16,Wright State,Cole Gentry,Missed Layup,27,11
10:14,IUPUI,Camron Justice,Defensive Rebound,27,11
10:09,IUPUI,Ahmed Ismail,Layup,27,13
9:41,Wright State,Mark Hughes,Foul,27,13
9:41,Wright State,Mark Hughes,Turnover,27,13
9:41,IUPUI,None,None,27,13
9:28,IUPUI,Jaylen Minnett,Missed Jumper,27,13
9:24,Wright State,Alan Vest,Defensive Rebound,27,13
9:24,IUPUI,Grant Weatherford,Foul,27,13
9:09,Wright State,Malachi Smith,Turnover,27,13
9:09,IUPUI,Grant Weatherford,Steal,27,13
9:05,Wright State,Malachi Smith,Foul,27,13
9:05,IUPUI,Grant Weatherford,Missed Free Throw,27,13
9:05,IUPUI,None,Team Rebound,27,13
9:05,IUPUI,Grant Weatherford,Missed Free Throw,27,13
9:03,Wright State,Billy Wampler,Defensive Rebound,27,13
8:37,Wright State,Loudon Love,Jumper,29,13
8:22,IUPUI,Evan Hall,Layup,29,15
8:06,Wright State,Loudon Love,Missed Jumper,29,15
8:06,IUPUI,Evan Hall,Block,29,15
8:01,IUPUI,D.J. McCall,Defensive Rebound,29,15
7:59,IUPUI,D.J. McCall,Foul,29,15
7:59,IUPUI,D.J. McCall,Turnover,29,15
7:59,IUPUI,None,None,29,15
7:45,Wright State,Loudon Love,Missed Layup,29,15
7:44,IUPUI,Elyjah Goss,Defensive Rebound,29,15
7:36,IUPUI,Camron Justice,Jumper,29,17
7:07,Wright State,Loudon Love,Missed Jumper,29,17
7:07,IUPUI,Evan Hall,Block,29,17
7:06,IUPUI,None,Team Rebound,29,17
7:06,Wright State,Loudon Love,Foul,29,17
6:52,Wright State,Mark Hughes,Foul,29,17
6:52,IUPUI,Evan Hall,Free Throw,29,18
6:52,IUPUI,Evan Hall,Free Throw,29,19
6:44,Wright State,Parker Ernsthausen,Turnover,29,19
6:23,IUPUI,Camron Justice,Three Point Jumper,29,22
5:53,Wright State,Loudon Love,Missed Layup,29,22
5:52,Wright State,Skyelar Potter,Offensive Rebound,29,22
5:52,IUPUI,Grant Weatherford,Foul,29,22
5:49,Wright State,Loudon Love,Turnover,29,22
5:49,IUPUI,Camron Justice,Steal,29,22
5:40,IUPUI,Camron Justice,Three Point Jumper,29,25
5:21,Wright State,Billy Wampler,Turnover,29,25
5:21,IUPUI,Grant Weatherford,Steal,29,25
5:13,IUPUI,Elyjah Goss,Foul,29,25
5:13,IUPUI,Elyjah Goss,Turnover,29,25
4:54,Wright State,Billy Wampler,Three Point Jumper,32,25
4:43,IUPUI,Evan Hall,Turnover,32,25
4:15,Wright State,Malachi Smith,Missed Jumper,32,25
4:13,IUPUI,None,Team Rebound,32,25
4:13,Wright State,Malachi Smith,Foul,32,25
3:44,IUPUI,Jaylen Minnett,Missed Three Point Jumper,32,25
3:40,Wright State,Parker Ernsthausen,Defensive Rebound,32,25
