TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:33,Fairfield,Jesus Cruz,Missed Three Point Jumper,0,0
19:28,Siena,Kevin Degnan,Defensive Rebound,0,0
19:01,Siena,Sloan Seymour,Three Point Jumper,0,3
18:43,Siena,Sloan Seymour,Foul,0,3
18:27,Fairfield,Landon Taliaferro,Missed Three Point Jumper,0,3
18:24,Siena,Evan Fisher,Defensive Rebound,0,3
17:58,Siena,Evan Fisher,Three Point Jumper,0,6
17:32,Fairfield,Jesus Cruz,Jumper,2,6
17:05,Siena,Evan Fisher,Missed Layup,2,6
17:02,Fairfield,Jonathan Kasibabu,Defensive Rebound,2,6
16:57,Fairfield,Neftali Alvarez,Turnover,2,6
16:42,Siena,Jalen Pickett,Missed Three Point Jumper,2,6
16:38,Fairfield,Jesus Cruz,Defensive Rebound,2,6
16:34,Fairfield,Landon Taliaferro,Three Point Jumper,5,6
16:06,Siena,Kevin Degnan,Three Point Jumper,5,9
15:46,Fairfield,Landon Taliaferro,Turnover,5,9
15:46,Siena,None,None,5,9
15:21,Siena,Kadeem Smithen,Missed Layup,5,9
15:18,Siena,Manny Camper,Offensive Rebound,5,9
15:16,Siena,Manny Camper,Missed Layup,5,9
15:12,Siena,Manny Camper,Offensive Rebound,5,9
15:09,Siena,Manny Camper,Layup,5,11
14:57,Fairfield,Jonathan Kasibabu,Three Point Jumper,8,11
14:36,Siena,Evan Fisher,Jumper,8,13
14:19,Fairfield,Jonathan Kasibabu,Missed Layup,8,13
14:15,Fairfield,Jesus Cruz,Offensive Rebound,8,13
14:12,Fairfield,Landon Taliaferro,Missed Three Point Jumper,8,13
14:08,Siena,Kevin Degnan,Defensive Rebound,8,13
13:56,Siena,Kevin Degnan,Three Point Jumper,8,16
13:26,Fairfield,Jonathan Kasibabu,Dunk,10,16
13:08,Fairfield,Neftali Alvarez,Foul,10,16
13:08,Siena,Jalen Pickett,Jumper,10,18
12:33,Fairfield,Jesus Cruz,Missed Three Point Jumper,10,18
12:30,Fairfield,Taj Benning,Offensive Rebound,10,18
12:29,Fairfield,Wassef Methnani,Layup,12,18
12:22,Fairfield,None,None,12,18
12:22,Siena,None,None,12,18
11:50,Siena,Jalen Pickett,Missed Three Point Jumper,12,18
11:47,Fairfield,Wassef Methnani,Defensive Rebound,12,18
11:42,Fairfield,Wassef Methnani,Missed Three Point Jumper,12,18
11:38,Siena,Siena,Defensive Rebound,12,18
11:13,Siena,Jalen Pickett,Jumper,12,20
10:46,Fairfield,Landon Taliaferro,Missed Layup,12,20
10:46,Siena,Denzel Tchougang,Block,12,20
10:38,Siena,Manny Camper,Defensive Rebound,12,20
10:27,Fairfield,Landon Taliaferro,Foul,12,20
10:27,Siena,Manny Camper,Missed Free Throw,12,20
10:27,Siena,None,Team Rebound,12,20
10:27,Siena,Manny Camper,Missed Free Throw,12,20
10:26,Fairfield,Wassef Methnani,Defensive Rebound,12,20
10:16,Fairfield,Wassef Methnani,Three Point Jumper,15,20
9:48,Siena,Jalen Pickett,Missed Three Point Jumper,15,20
9:45,Fairfield,Wassef Methnani,Defensive Rebound,15,20
9:40,Fairfield,Jesus Cruz,Missed Layup,15,20
9:37,Siena,Braedon Bayer,Defensive Rebound,15,20
9:13,Siena,Evan Fisher,Jumper,15,22
8:52,Fairfield,Taj Benning,Three Point Jumper,18,22
8:24,Siena,Sloan Seymour,Three Point Jumper,18,25
8:07,Siena,Braedon Bayer,Foul,18,25
7:56,Siena,Jalen Pickett,Foul,18,25
7:56,Siena,None,None,18,25
7:44,Fairfield,Jonathan Kasibabu,Layup,20,25
7:16,Siena,Evan Fisher,Missed Layup,20,25
7:12,Fairfield,Neftali Alvarez,Defensive Rebound,20,25
7:02,Fairfield,Calvin Whipple,Three Point Jumper,23,25
6:51,Siena,Jalen Pickett,Turnover,23,25
6:51,Fairfield,Aidas Kavaliauskas,Steal,23,25
6:44,Fairfield,Calvin Whipple,Missed Layup,23,25
6:39,Siena,Jalen Pickett,Defensive Rebound,23,25
6:18,Siena,Evan Fisher,Missed Layup,23,25
6:14,Siena,Thomas Huerter Jr.,Offensive Rebound,23,25
6:01,Siena,Jalen Pickett,Missed Layup,23,25
5:58,Siena,Jalen Pickett,Offensive Rebound,23,25
5:55,Siena,Evan Fisher,Three Point Jumper,23,28
5:37,Fairfield,Neftali Alvarez,Turnover,23,28
5:37,Siena,Kevin Degnan,Steal,23,28
5:31,Siena,Thomas Huerter Jr.,Missed Layup,23,28
5:27,Fairfield,Neftali Alvarez,Defensive Rebound,23,28
5:22,Fairfield,Wassef Methnani,Missed Three Point Jumper,23,28
5:21,Siena,Evan Fisher,Defensive Rebound,23,28
5:21,Fairfield,Calvin Whipple,Foul,23,28
5:00,Siena,Kevin Degnan,Foul,23,28
5:00,Siena,Kevin Degnan,Turnover,23,28
4:43,Fairfield,Jonathan Kasibabu,Missed Three Point Jumper,23,28
4:39,Siena,Jalen Pickett,Defensive Rebound,23,28
4:31,Siena,Jalen Pickett,Three Point Jumper,23,31
4:10,Fairfield,Neftali Alvarez,Layup,25,31
3:46,Siena,Manny Camper,Turnover,25,31
3:46,Siena,None,None,25,31
3:25,Fairfield,Neftali Alvarez,Layup,27,31
2:52,Fairfield,Landon Taliaferro,Foul,27,31
2:52,Siena,Manny Camper,Free Throw,27,32
2:52,Siena,Manny Camper,Free Throw,27,33
2:25,Fairfield,Neftali Alvarez,Missed Layup,27,33
2:25,Siena,Jalen Pickett,Block,27,33
2:19,Siena,Jalen Pickett,Defensive Rebound,27,33
2:16,Siena,Sloan Seymour,Three Point Jumper,27,36
1:48,Fairfield,Wassef Methnani,Three Point Jumper,30,36
1:22,Siena,Evan Fisher,Missed Jumper,30,36
1:19,Fairfield,Wassef Methnani,Defensive Rebound,30,36
1:12,Fairfield,Wassef Methnani,Layup,32,36
0:38,Siena,Jalen Pickett,Missed Jumper,32,36
0:38,Fairfield,Wassef Methnani,Block,32,36
0:32,Fairfield,Calvin Whipple,Defensive Rebound,32,36
0:32,Fairfield,Wassef Methnani,Turnover,32,36
0:12,Siena,Evan Fisher,Missed Layup,32,36
0:12,Fairfield,Jesus Cruz,Defensive Rebound,32,36
0:08,Fairfield,Jesus Cruz,Turnover,32,36
0:08,Siena,None,None,32,36
0:00,Siena,Evan Fisher,Jumper,32,38
0:00,Siena,None,None,32,36
19:42,Siena,Kevin Degnan,Turnover,32,38
19:42,Fairfield,Jonathan Kasibabu,Steal,32,38
19:26,Fairfield,Landon Taliaferro,Three Point Jumper,35,38
18:49,Siena,Siena ,Turnover,35,38
18:27,Fairfield,Jesus Cruz,Missed Layup,35,38
18:23,Siena,Evan Fisher,Defensive Rebound,35,38
18:14,Fairfield,Jonathan Kasibabu,Foul,35,38
18:00,Siena,Evan Fisher,Missed Jumper,35,38
17:56,Fairfield,Landon Taliaferro,Defensive Rebound,35,38
17:49,Fairfield,Landon Taliaferro,Turnover,35,38
17:30,Siena,Kevin Degnan,Missed Three Point Jumper,35,38
17:26,Fairfield,Taj Benning,Defensive Rebound,35,38
17:23,Fairfield,Neftali Alvarez,Turnover,35,38
17:23,Siena,Kadeem Smithen,Steal,35,38
17:16,Siena,Thomas Huerter Jr.,Turnover,35,38
17:16,Fairfield,Neftali Alvarez,Steal,35,38
16:53,Fairfield,Jesus Cruz,Missed Three Point Jumper,35,38
16:48,Siena,Kevin Degnan,Defensive Rebound,35,38
16:33,Siena,Jalen Pickett,Missed Jumper,35,38
16:29,Fairfield,Taj Benning,Defensive Rebound,35,38
16:25,Fairfield,Taj Benning,Missed Layup,35,38
16:22,Fairfield,Jesus Cruz,Offensive Rebound,35,38
16:21,Fairfield,Jesus Cruz,Missed Layup,35,38
16:16,Fairfield,Taj Benning,Offensive Rebound,35,38
16:07,Siena,Evan Fisher,Foul,35,38
15:57,Fairfield,Jonathan Kasibabu,Turnover,35,38
15:57,Siena,None,None,35,38
15:37,Siena,Evan Fisher,Layup,35,40
15:13,Fairfield,Landon Taliaferro,Layup,37,40
14:38,Siena,Evan Fisher,Jumper,37,42
14:14,Fairfield,Taj Benning,Layup,39,42
13:51,Fairfield,Taj Benning,Foul,39,42
13:51,Siena,Manny Camper,Free Throw,39,43
13:51,Siena,Manny Camper,Missed Free Throw,39,43
13:51,Fairfield,Aidas Kavaliauskas,Defensive Rebound,39,43
13:32,Fairfield,Landon Taliaferro,Missed Three Point Jumper,39,43
13:32,Siena,Siena,Defensive Rebound,39,43
13:32,Fairfield,Wassef Methnani,Foul,39,43
13:14,Siena,Manny Camper,Missed Layup,39,43
