TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Kansas,None,None,0,0
19:42,Kansas,Ochai Agbaji,Turnover,0,0
19:33,Kansas State,Kamau Stokes,Three Point Jumper,0,3
19:16,Kansas,Devon Dotson,Turnover,0,3
19:16,Kansas State,Kamau Stokes,Steal,0,3
19:10,Kansas State,Kamau Stokes,Layup,0,5
18:41,Kansas,Ochai Agbaji,Missed Three Point Jumper,0,5
18:41,Kansas,Kansas,Offensive Rebound,0,5
18:27,Kansas State,Makol Mawien,Foul,0,5
18:27,Kansas,Dedric Lawson,Missed Free Throw,0,5
18:27,Kansas,None,Team Rebound,0,5
18:27,Kansas,Dedric Lawson,Free Throw,1,5
18:13,Kansas State,Dean Wade,Three Point Jumper,1,8
17:58,Kansas State,Makol Mawien,Foul,1,8
17:58,Kansas,Devon Dotson,Free Throw,2,8
17:58,Kansas,Devon Dotson,Free Throw,3,8
17:45,Kansas State,Levi Stockard III,Layup,3,10
17:33,Kansas,Quentin Grimes,Three Point Jumper,6,10
17:09,Kansas,Ochai Agbaji,Foul,6,10
16:59,Kansas State,Kamau Stokes,Missed Three Point Jumper,6,10
16:59,Kansas,Devon Dotson,Block,6,10
16:59,Kansas State,Xavier Sneed,Offensive Rebound,6,10
16:49,Kansas State,Xavier Sneed,Layup,6,12
16:42,Kansas,Quentin Grimes,Turnover,6,12
16:42,Kansas State,Kamau Stokes,Steal,6,12
16:36,Kansas State,Barry Brown Jr.,Layup,6,14
16:30,Kansas,None,None,6,14
16:30,Kansas State,None,None,6,14
16:13,Kansas,Charlie Moore,Turnover,6,14
16:13,Kansas State,Levi Stockard III,Steal,6,14
15:36,Kansas State,Xavier Sneed,Missed Jumper,6,14
15:36,Kansas,Ochai Agbaji,Block,6,14
15:36,Kansas,Kansas,Defensive Rebound,6,14
15:21,Kansas,Devon Dotson,Missed Layup,6,14
15:21,Kansas,Mitch Lightfoot,Offensive Rebound,6,14
15:15,Kansas,Mitch Lightfoot,Layup,8,14
14:53,Kansas State,Xavier Sneed,Three Point Jumper,8,17
14:36,Kansas,Dedric Lawson,Foul,8,17
14:36,Kansas,Dedric Lawson,Turnover,8,17
14:26,Kansas State,Xavier Sneed,Missed Three Point Jumper,8,17
14:26,Kansas State,Dean Wade,Offensive Rebound,8,17
14:14,Kansas State,Levi Stockard III,Turnover,8,17
14:14,Kansas,Charlie Moore,Steal,8,17
13:56,Kansas,Devon Dotson,Layup,10,17
13:35,Kansas State,Kamau Stokes,Missed Three Point Jumper,10,17
13:35,Kansas State,Kansas State,Offensive Rebound,10,17
13:21,Kansas State,Barry Brown Jr.,Missed Three Point Jumper,10,17
13:21,Kansas State,Levi Stockard III,Offensive Rebound,10,17
13:16,Kansas State,Levi Stockard III,Layup,10,19
13:02,Kansas,Ochai Agbaji,Missed Jumper,10,19
13:02,Kansas,Mitch Lightfoot,Offensive Rebound,10,19
12:57,Kansas State,Mike McGuirl,Foul,10,19
12:57,Kansas,Mitch Lightfoot,Free Throw,11,19
12:57,Kansas,Mitch Lightfoot,Free Throw,12,19
12:37,Kansas State,Barry Brown Jr.,Turnover,12,19
12:37,Kansas,Devon Dotson,Steal,12,19
12:32,Kansas,Devon Dotson,Layup,14,19
12:13,Kansas State,Mike McGuirl,Missed Three Point Jumper,14,19
12:13,Kansas,Mitch Lightfoot,Defensive Rebound,14,19
12:00,Kansas,Devon Dotson,Missed Three Point Jumper,14,19
12:00,Kansas,Dedric Lawson,Offensive Rebound,14,19
11:50,Kansas,Dedric Lawson,Layup,16,19
11:45,Kansas State,Cartier Diarra,Foul,16,19
11:45,Kansas State,Cartier Diarra,Turnover,16,19
11:45,Kansas State,None,None,16,19
11:28,Kansas,Devon Dotson,Missed Jumper,16,19
11:28,Kansas State,Barry Brown Jr.,Defensive Rebound,16,19
11:19,Kansas State,Barry Brown Jr.,Layup,16,21
11:19,Kansas,Quentin Grimes,Foul,16,21
11:19,Kansas State,Barry Brown Jr.,Missed Free Throw,16,21
11:19,Kansas,Mitch Lightfoot,Defensive Rebound,16,21
11:01,Kansas State,Levi Stockard III,Foul,16,21
11:01,Kansas,Ochai Agbaji,Missed Free Throw,16,21
11:01,Kansas,None,Team Rebound,16,21
11:01,Kansas,Ochai Agbaji,Missed Free Throw,16,21
11:01,Kansas State,Barry Brown Jr.,Defensive Rebound,16,21
10:40,Kansas State,Kamau Stokes,Three Point Jumper,16,24
10:29,Kansas,Dedric Lawson,Missed Three Point Jumper,16,24
10:29,Kansas,Mitch Lightfoot,Offensive Rebound,16,24
10:23,Kansas,Mitch Lightfoot,Layup,18,24
10:03,Kansas State,Xavier Sneed,Dunk,18,26
9:36,Kansas,Dedric Lawson,Missed Jumper,18,26
9:36,Kansas State,Cartier Diarra,Defensive Rebound,18,26
9:28,Kansas State,Cartier Diarra,Foul,18,26
9:28,Kansas State,Cartier Diarra,Turnover,18,26
9:06,Kansas,Ochai Agbaji,Turnover,18,26
9:06,Kansas State,Kamau Stokes,Steal,18,26
8:50,Kansas State,Mike McGuirl,Missed Layup,18,26
8:50,Kansas State,Dean Wade,Offensive Rebound,18,26
8:44,Kansas State,Dean Wade,Missed Layup,18,26
8:44,Kansas,Charlie Moore,Defensive Rebound,18,26
8:34,Kansas,Charlie Moore,Three Point Jumper,21,26
8:16,Kansas State,Xavier Sneed,Turnover,21,26
