TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,San Diego State,None,None,0,0
19:45,San Diego State,Jeremy Hemsley,Jumper,2,0
19:19,New Mexico,Keith McGee,Three Point Jumper,2,3
18:54,San Diego State,Jeremy Hemsley,Jumper,4,3
18:33,San Diego State,Matt Mitchell,Foul,4,3
18:33,New Mexico,Dane Kuiper,Missed Free Throw,4,3
18:33,New Mexico,None,Team Rebound,4,3
18:33,New Mexico,Dane Kuiper,Free Throw,4,4
18:09,San Diego State,Jalen McDaniels,Jumper,6,4
17:55,New Mexico,Keith McGee,Turnover,6,4
17:49,San Diego State,Jeremy Hemsley,Turnover,6,4
17:49,New Mexico,Keith McGee,Steal,6,4
17:39,New Mexico,Keith McGee,Missed Three Point Jumper,6,4
17:39,San Diego State,Jeremy Hemsley,Defensive Rebound,6,4
17:30,San Diego State,Jeremy Hemsley,Missed Jumper,6,4
17:30,New Mexico,Dane Kuiper,Block,6,4
17:30,San Diego State,San Diego State,Offensive Rebound,6,4
17:24,San Diego State,Matt Mitchell,Three Point Jumper,9,4
17:13,New Mexico,Makuach Maluach,Missed Three Point Jumper,9,4
17:13,San Diego State,Matt Mitchell,Defensive Rebound,9,4
17:00,San Diego State,Matt Mitchell,Jumper,11,4
16:51,New Mexico,None,None,11,4
16:48,New Mexico,Keith McGee,Layup,11,6
16:27,San Diego State,Jalen McDaniels,Jumper,13,6
16:14,New Mexico,Dane Kuiper,Missed Jumper,13,6
16:14,San Diego State,Nathan Mensah,Defensive Rebound,13,6
16:03,San Diego State,Jalen McDaniels,Three Point Jumper,16,6
15:42,San Diego State,Matt Mitchell,Foul,16,6
15:42,New Mexico,None,None,16,6
15:33,New Mexico,Keith McGee,Three Point Jumper,16,9
15:10,San Diego State,Nathan Mensah,Missed Jumper,16,9
15:10,New Mexico,Corey Manigault,Defensive Rebound,16,9
14:52,New Mexico,Makuach Maluach,Missed Layup,16,9
14:52,San Diego State,Jordan Schakel,Block,16,9
14:52,San Diego State,Nathan Mensah,Defensive Rebound,16,9
14:35,San Diego State,Nathan Mensah,Missed Jumper,16,9
14:35,New Mexico,Vance Jackson,Defensive Rebound,16,9
14:17,San Diego State,Nathan Mensah,Foul,16,9
14:16,New Mexico,Dane Kuiper,Jumper,16,11
13:51,San Diego State,Nathan Mensah,Missed Jumper,16,11
13:51,New Mexico,Carlton Bragg,Defensive Rebound,16,11
13:42,New Mexico,Corey Manigault,Missed Jumper,16,11
13:42,New Mexico,Vance Jackson,Offensive Rebound,16,11
13:33,New Mexico,Corey Manigault,Layup,16,13
13:06,San Diego State,Nathan Mensah,Turnover,16,13
12:52,New Mexico,Carlton Bragg,Missed Layup,16,13
12:52,San Diego State,Jeremy Hemsley,Defensive Rebound,16,13
12:39,San Diego State,Jalen McDaniels,Turnover,16,13
12:39,New Mexico,Carlton Bragg,Steal,16,13
12:35,New Mexico,Carlton Bragg,Dunk,16,15
12:16,San Diego State,Jalen McDaniels,Jumper,18,15
12:00,New Mexico,Dane Kuiper,Turnover,18,15
12:00,New Mexico,None,None,18,15
11:42,New Mexico,Anthony Mathis,Foul,18,15
11:36,San Diego State,Jalen McDaniels,Missed Jumper,18,15
11:36,New Mexico,Carlton Bragg,Defensive Rebound,18,15
11:17,New Mexico,Makuach Maluach,Three Point Jumper,18,18
10:55,San Diego State,Jalen McDaniels,Dunk,20,18
10:38,New Mexico,Keith McGee,Jumper,20,20
10:14,New Mexico,Makuach Maluach,Foul,20,20
10:12,San Diego State,Devin Watson,Missed Three Point Jumper,20,20
10:12,New Mexico,Carlton Bragg,Defensive Rebound,20,20
10:03,New Mexico,Corey Manigault,Layup,20,22
9:38,New Mexico,Tavian Percy,Foul,20,22
9:38,San Diego State,Aguek Arop,Free Throw,21,22
9:38,San Diego State,Aguek Arop,Free Throw,22,22
9:26,San Diego State,Nolan Narain,Foul,22,22
9:05,New Mexico,New Mexico ,Turnover,22,22
8:42,San Diego State,Aguek Arop,Missed Jumper,22,22
8:42,San Diego State,Nolan Narain,Offensive Rebound,22,22
8:42,San Diego State,None,None,22,22
8:42,San Diego State,Nolan Narain,Offensive Rebound,22,22
8:42,San Diego State,None,None,24,22
8:29,New Mexico,Corey Manigault,Foul,24,22
8:29,New Mexico,Corey Manigault,Turnover,24,22
8:15,San Diego State,Nolan Narain,Jumper,26,22
8:03,New Mexico,Tavian Percy,Turnover,26,22
8:03,San Diego State,Devin Watson,Steal,26,22
7:53,San Diego State,Devin Watson,Missed Layup,26,22
7:52,San Diego State,Jalen McDaniels,Offensive Rebound,26,22
7:51,San Diego State,None,None,28,22
7:37,New Mexico,Vance Jackson,Missed Three Point Jumper,28,22
7:37,San Diego State,Aguek Arop,Defensive Rebound,28,22
7:28,San Diego State,Aguek Arop,Missed Three Point Jumper,28,22
7:28,San Diego State,Jalen McDaniels,Offensive Rebound,28,22
7:22,San Diego State,Jalen McDaniels,Missed Jumper,28,22
7:22,New Mexico,New Mexico,Defensive Rebound,28,22
7:16,San Diego State,Nolan Narain,Foul,28,22
7:16,New Mexico,None,None,28,22
7:05,New Mexico,Vance Jackson,Missed Dunk,28,22
7:05,San Diego State,Nathan Mensah,Block,28,22
7:05,San Diego State,Jalen McDaniels,Defensive Rebound,28,22
6:52,San Diego State,Devin Watson,Missed Jumper,28,22
6:52,New Mexico,Vance Jackson,Defensive Rebound,28,22
6:37,New Mexico,Makuach Maluach,Turnover,28,22
6:37,San Diego State,Jordan Schakel,Steal,28,22
6:32,San Diego State,Jordan Schakel,Layup,30,22
6:24,New Mexico,Anthony Mathis,Foul,30,22
6:24,San Diego State,Devin Watson,Missed Free Throw,30,22
6:24,New Mexico,Anthony Mathis,Foul,30,22
6:24,San Diego State,Devin Watson,Free Throw,31,22
6:24,New Mexico,New Mexico ,Turnover,31,22
6:17,San Diego State,Devin Watson,Missed Jumper,31,22
6:17,New Mexico,Carlton Bragg,Defensive Rebound,31,22
5:55,San Diego State,Jalen McDaniels,Foul,31,22
5:50,New Mexico,Vance Jackson,Missed Jumper,31,22
5:50,New Mexico,Makuach Maluach,Offensive Rebound,31,22
5:45,New Mexico,Makuach Maluach,Missed Layup,31,22
5:45,San Diego State,Nathan Mensah,Defensive Rebound,31,22
5:37,New Mexico,Vance Jackson,Foul,31,22
5:37,San Diego State,Jeremy Hemsley,Free Throw,32,22
5:37,San Diego State,Jeremy Hemsley,Free Throw,33,22
5:27,New Mexico,Keith McGee,Layup,33,24
5:17,San Diego State,Devin Watson,Missed Jumper,33,24
5:17,New Mexico,Corey Manigault,Defensive Rebound,33,24
5:07,New Mexico,Vance Jackson,Layup,33,26
4:57,San Diego State,Jalen McDaniels,Turnover,33,26
4:47,San Diego State,Nathan Mensah,Foul,33,26
4:47,New Mexico,Corey Manigault,Free Throw,33,27
4:47,New Mexico,Corey Manigault,Missed Free Throw,33,27
4:47,New Mexico,Drue Drinnon,Offensive Rebound,33,27
4:34,New Mexico,Corey Manigault,Jumper,33,29
4:20,San Diego State,Jeremy Hemsley,Foul,33,29
4:20,San Diego State,Jeremy Hemsley,Turnover,33,29
4:20,New Mexico,None,None,33,29
4:19,New Mexico,None,None,33,29
4:14,New Mexico,Carlton Bragg,Missed Jumper,33,29
4:14,San Diego State,Jalen McDaniels,Defensive Rebound,33,29
3:47,New Mexico,Carlton Bragg,Foul,33,29
3:47,San Diego State,Jalen McDaniels,Free Throw,34,29
3:47,San Diego State,Jalen McDaniels,Free Throw,35,29
3:31,New Mexico,Anthony Mathis,Missed Three Point Jumper,35,29
3:31,San Diego State,Devin Watson,Defensive Rebound,35,29
