TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:49,Valparaiso,Derrik Smits,Foul,0,0
19:49,Valparaiso,Derrik Smits,Turnover,0,0
19:36,Illinois State,Phil Fayne,Missed Jumper,0,0
19:36,Valparaiso,Javon Freeman,Defensive Rebound,0,0
19:18,Valparaiso,Markus Golder,Missed Jumper,0,0
19:18,Valparaiso,Derrik Smits,Offensive Rebound,0,0
19:07,Valparaiso,Javon Freeman,Three Point Jumper,3,0
18:53,Illinois State,Keyshawn Evans,Turnover,3,0
18:35,Valparaiso,Markus Golder,Missed Three Point Jumper,3,0
18:35,Illinois State,Phil Fayne,Defensive Rebound,3,0
18:18,Illinois State,Keyshawn Evans,Turnover,3,0
18:18,Valparaiso,Derrik Smits,Steal,3,0
18:02,Valparaiso,John Kiser,Three Point Jumper,6,0
17:59,Illinois State,None,None,6,0
17:34,Illinois State,Zach Copeland,Turnover,6,0
17:34,Valparaiso,John Kiser,Steal,6,0
17:30,Valparaiso,Javon Freeman,Dunk,8,0
17:30,Illinois State,Matt Chastain,Foul,8,0
17:30,Valparaiso,Javon Freeman,Free Throw,9,0
17:02,Illinois State,Matt Chastain,Missed Three Point Jumper,9,0
17:02,Valparaiso,Valparaiso,Defensive Rebound,9,0
16:44,Valparaiso,Daniel Sackey,Turnover,9,0
16:43,Illinois State,Zach Copeland,Steal,9,0
16:40,Illinois State,Zach Copeland,Turnover,9,0
16:40,Valparaiso,Javon Freeman,Steal,9,0
16:36,Valparaiso,Daniel Sackey,Layup,11,0
16:21,Illinois State,William Tinsley,Missed Three Point Jumper,11,0
16:21,Valparaiso,Daniel Sackey,Defensive Rebound,11,0
16:11,Valparaiso,Javon Freeman,Three Point Jumper,14,0
15:46,Illinois State,Phil Fayne,Jumper,14,2
15:30,Valparaiso,Markus Golder,Three Point Jumper,17,2
15:27,Illinois State,None,None,17,2
14:58,Illinois State,Milik Yarbrough,Missed Three Point Jumper,17,2
14:58,Valparaiso,Javon Freeman,Block,17,2
14:56,Illinois State,Illinois State ,Turnover,17,2
14:56,Illinois State,None,Team Rebound,17,2
14:43,Valparaiso,Javon Freeman,Missed Three Point Jumper,17,2
14:43,Valparaiso,Valparaiso,Offensive Rebound,17,2
14:37,Valparaiso,Markus Golder,Missed Jumper,17,2
14:37,Illinois State,William Tinsley,Defensive Rebound,17,2
14:27,Valparaiso,Jaume Sorolla,Foul,17,2
14:27,Illinois State,Milik Yarbrough,Missed Free Throw,17,2
14:27,Illinois State,None,Team Rebound,17,2
14:27,Illinois State,Milik Yarbrough,Free Throw,17,3
14:08,Valparaiso,Daniel Sackey,Turnover,17,3
14:06,Illinois State,Milik Yarbrough,Steal,17,3
13:51,Illinois State,Rey Idowu,Turnover,17,3
13:27,Valparaiso,Javon Freeman,Three Point Jumper,20,3
13:03,Illinois State,Phil Fayne,Missed Jumper,20,3
12:58,Valparaiso,Javon Freeman,Defensive Rebound,20,3
12:52,Valparaiso,Javon Freeman,Missed Three Point Jumper,20,3
12:52,Valparaiso,Deion Lavender,Offensive Rebound,20,3
12:44,Illinois State,Phil Fayne,Foul,20,3
12:44,Valparaiso,Javon Freeman,Missed Free Throw,20,3
12:44,Valparaiso,None,Team Rebound,20,3
12:44,Valparaiso,Javon Freeman,Missed Free Throw,20,3
12:44,Illinois State,Zach Copeland,Defensive Rebound,20,3
12:29,Illinois State,Keyshawn Evans,Three Point Jumper,20,6
11:55,Valparaiso,Bakari Evelyn,Three Point Jumper,23,6
