TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,LSU,None,None,0,0
19:36,LSU,Naz Reid,Missed Layup,0,0
19:36,Mississippi State,Abdul Ado,Block,0,0
19:36,Mississippi State,Nick Weatherspoon,Defensive Rebound,0,0
19:26,Mississippi State,Nick Weatherspoon,Missed Layup,0,0
19:26,LSU,Naz Reid,Block,0,0
19:26,Mississippi State,Reggie Perry,Offensive Rebound,0,0
19:26,LSU,Kavell Bigby-Williams,Foul,0,0
19:26,Mississippi State,Reggie Perry,Free Throw,0,1
19:26,Mississippi State,Reggie Perry,Missed Free Throw,0,1
19:26,LSU,Kavell Bigby-Williams,Defensive Rebound,0,1
19:21,LSU,Tremont Waters,Missed Jumper,0,1
19:21,Mississippi State,Quinndary Weatherspoon,Defensive Rebound,0,1
19:12,Mississippi State,Nick Weatherspoon,Missed Three Point Jumper,0,1
19:12,LSU,Marlon Taylor,Defensive Rebound,0,1
18:52,LSU,Naz Reid,Missed Jumper,0,1
18:52,Mississippi State,Mississippi State,Defensive Rebound,0,1
18:38,Mississippi State,Lamar Peters,Turnover,0,1
18:38,LSU,Tremont Waters,Steal,0,1
18:32,LSU,Marlon Taylor,Missed Layup,0,1
18:32,Mississippi State,Nick Weatherspoon,Defensive Rebound,0,1
18:26,Mississippi State,Quinndary Weatherspoon,Missed Three Point Jumper,0,1
18:26,LSU,Tremont Waters,Defensive Rebound,0,1
18:14,Mississippi State,Abdul Ado,Foul,0,1
18:14,LSU,Naz Reid,Free Throw,1,1
18:14,LSU,Naz Reid,Free Throw,2,1
18:00,Mississippi State,Aric Holman,Missed Jumper,2,1
18:00,LSU,Naz Reid,Defensive Rebound,2,1
17:29,LSU,Tremont Waters,Layup,4,1
17:16,Mississippi State,Lamar Peters,Turnover,4,1
17:16,LSU,Tremont Waters,Steal,4,1
17:11,LSU,Tremont Waters,Dunk,6,1
16:51,LSU,Tremont Waters,Foul,6,1
16:42,Mississippi State,Quinndary Weatherspoon,Layup,6,3
16:23,Mississippi State,Aric Holman,Foul,6,3
16:20,LSU,Naz Reid,Turnover,6,3
16:10,LSU,Marlon Taylor,Foul,6,3
16:05,Mississippi State,Lamar Peters,Turnover,6,3
16:05,LSU,Tremont Waters,Steal,6,3
15:53,Mississippi State,None,None,6,3
15:50,LSU,Tremont Waters,Jumper,8,3
15:30,LSU,Emmitt Williams,Foul,8,3
15:30,Mississippi State,Reggie Perry,Free Throw,8,4
15:30,Mississippi State,Reggie Perry,Free Throw,8,5
15:13,LSU,Naz Reid,Missed Jumper,8,5
15:13,LSU,Naz Reid,Offensive Rebound,8,5
15:13,LSU,None,None,10,5
14:52,LSU,Ja'vonte Smart,Foul,10,5
14:34,Mississippi State,Nick Weatherspoon,Missed Three Point Jumper,10,5
14:34,LSU,Tremont Waters,Defensive Rebound,10,5
14:25,LSU,Ja'vonte Smart,Missed Layup,10,5
14:25,Mississippi State,Reggie Perry,Defensive Rebound,10,5
14:21,Mississippi State,Quinndary Weatherspoon,Turnover,10,5
14:21,LSU,Tremont Waters,Steal,10,5
14:12,LSU,Ja'vonte Smart,Layup,12,5
14:10,Mississippi State,None,None,12,5
13:51,Mississippi State,Tyson Carter,Missed Three Point Jumper,12,5
13:51,Mississippi State,Reggie Perry,Offensive Rebound,12,5
13:45,Mississippi State,Tyson Carter,Turnover,12,5
13:11,Mississippi State,Abdul Ado,Foul,12,5
13:11,LSU,Ja'vonte Smart,Free Throw,13,5
13:11,LSU,Ja'vonte Smart,Free Throw,14,5
13:02,Mississippi State,Aric Holman,Missed Three Point Jumper,14,5
13:02,LSU,Marlon Taylor,Defensive Rebound,14,5
12:48,LSU,Emmitt Williams,Turnover,14,5
12:33,Mississippi State,Robert Woodard,Three Point Jumper,14,8
12:19,LSU,Darius Days,Foul,14,8
