TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Northwestern State,Larry Owens,Missed Layup,0,0
19:47,Northwestern State,Ishmael Lane,Offensive Rebound,0,0
19:44,Northwestern State,Ishmael Lane,Dunk,0,2
19:33,New Orleans,Damion Rosser,Turnover,0,2
19:32,Northwestern State,Ishmael Lane,Steal,0,2
19:31,Northwestern State,Ishmael Lane,Layup,0,4
19:25,New Orleans,None,None,0,4
19:14,New Orleans,Damion Rosser,Missed Jumper,0,4
19:14,Northwestern State,Ishmael Lane,Defensive Rebound,0,4
19:08,Northwestern State,C.J. Jones,Layup,0,6
18:46,New Orleans,Bryson Robinson,Missed Three Point Jumper,0,6
18:46,New Orleans,Scott Plaisance Jr.,Offensive Rebound,0,6
18:42,New Orleans,Ezekiel Charles,Missed Three Point Jumper,0,6
18:42,Northwestern State,Larry Owens,Defensive Rebound,0,6
18:22,Northwestern State,Ishmael Lane,Layup,0,8
18:03,New Orleans,Scott Plaisance Jr.,Jumper,2,8
17:52,New Orleans,New Orleans,Foul,2,8
17:52,Northwestern State,LaTerrance Reed,Missed Free Throw,2,8
17:52,Northwestern State,None,Team Rebound,2,8
17:52,Northwestern State,LaTerrance Reed,Free Throw,2,9
17:47,Northwestern State,Larry Owens,Layup,2,11
17:27,New Orleans,Larry Robinson III,Turnover,2,11
17:27,Northwestern State,LaTerrance Reed,Steal,2,11
17:27,New Orleans,Larry Robinson III,Foul,2,11
17:16,Northwestern State,C.J. Jones,Jumper,2,13
17:03,New Orleans,Bryson Robinson,Missed Three Point Jumper,2,13
17:03,Northwestern State,Ishmael Lane,Defensive Rebound,2,13
16:56,Northwestern State,Ishmael Lane,Turnover,2,13
16:41,New Orleans,Bryson Robinson,Missed Jumper,2,13
16:41,Northwestern State,Ishmael Lane,Block,2,13
16:40,New Orleans,Bryson Robinson,Offensive Rebound,2,13
16:33,Northwestern State,Larry Owens,Foul,2,13
16:18,New Orleans,Jahmel Myers,Missed Layup,2,13
16:18,New Orleans,New Orleans,Offensive Rebound,2,13
16:14,New Orleans,Gerrale Gates,Missed Jumper,2,13
16:14,Northwestern State,Malik Metoyer,Defensive Rebound,2,13
15:57,Northwestern State,C.J. Jones,Layup,2,15
15:31,New Orleans,Troy Green,Missed Layup,2,15
15:31,New Orleans,Troy Green,Offensive Rebound,2,15
15:27,New Orleans,Troy Green,Layup,4,15
15:10,Northwestern State,Ishmael Lane,Layup,4,17
14:59,New Orleans,Damion Rosser,Jumper,6,17
14:39,Northwestern State,Malik Metoyer,Missed Three Point Jumper,6,17
14:39,New Orleans,Bryson Robinson,Defensive Rebound,6,17
14:20,New Orleans,Bryson Robinson,Missed Layup,6,17
14:20,Northwestern State,Ishmael Lane,Block,6,17
14:19,Northwestern State,C.J. Jones,Defensive Rebound,6,17
14:14,New Orleans,Jahmel Myers,Foul,6,17
14:14,Northwestern State,None,None,6,17
14:14,Northwestern State,LaTerrance Reed,Free Throw,6,18
14:14,Northwestern State,LaTerrance Reed,Missed Free Throw,6,18
14:14,New Orleans,Jahmel Myers,Defensive Rebound,6,18
13:59,New Orleans,Ezekiel Charles,Jumper,8,18
13:51,New Orleans,Ezekiel Charles,Foul,8,18
13:51,Northwestern State,LaTerrance Reed,Free Throw,8,19
13:51,Northwestern State,LaTerrance Reed,Free Throw,8,20
13:28,New Orleans,Jahmel Myers,Three Point Jumper,11,20
