TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Notre Dame,None,None,0,0
19:42,Notre Dame,Prentiss Hubb,Three Point Jumper,3,0
19:10,Miami,Dejan Vasiljevic,Missed Three Point Jumper,3,0
19:10,Notre Dame,Nikola Djogo,Defensive Rebound,3,0
18:53,Notre Dame,D.J. Harvey,Three Point Jumper,6,0
18:26,Miami,Chris Lykes,Turnover,6,0
18:26,Notre Dame,Prentiss Hubb,Steal,6,0
18:20,Notre Dame,Nikola Djogo,Missed Three Point Jumper,6,0
18:20,Miami,Ebuka Izundu,Defensive Rebound,6,0
18:02,Miami,Ebuka Izundu,Layup,6,2
17:46,Notre Dame,John Mooney,Layup,8,2
17:32,Miami,Dejan Vasiljevic,Missed Three Point Jumper,8,2
17:32,Notre Dame,Nikola Djogo,Defensive Rebound,8,2
17:21,Notre Dame,John Mooney,Three Point Jumper,11,2
16:52,Miami,Ebuka Izundu,Dunk,11,4
16:28,Notre Dame,Prentiss Hubb,Turnover,11,4
16:28,Miami,Anthony Lawrence II,Steal,11,4
16:22,Miami,Anthony Lawrence II,Turnover,11,4
16:22,Notre Dame,D.J. Harvey,Steal,11,4
16:20,Notre Dame,D.J. Harvey,Layup,13,4
16:06,Miami,Anthony Lawrence II,Missed Jumper,13,4
16:06,Notre Dame,Nikola Djogo,Defensive Rebound,13,4
15:49,Notre Dame,TJ Gibbs,Missed Three Point Jumper,13,4
15:49,Miami,Anthony Lawrence II,Defensive Rebound,13,4
15:24,Miami,Zach Johnson,Missed Three Point Jumper,13,4
15:24,Notre Dame,Nikola Djogo,Defensive Rebound,13,4
15:12,Notre Dame,D.J. Harvey,Turnover,13,4
15:12,Miami,Zach Johnson,Steal,13,4
15:05,Miami,Zach Johnson,Missed Layup,13,4
15:05,Notre Dame,D.J. Harvey,Defensive Rebound,13,4
14:55,Notre Dame,Prentiss Hubb,Turnover,13,4
14:55,Miami,Chris Lykes,Steal,13,4
14:53,Notre Dame,Nikola Djogo,Foul,13,4
14:50,Miami,None,None,13,4
14:29,Miami,Chris Lykes,Jumper,13,6
13:59,Notre Dame,TJ Gibbs,Missed Three Point Jumper,13,6
13:59,Miami,Chris Lykes,Defensive Rebound,13,6
13:51,Miami,Chris Lykes,Jumper,13,8
13:21,Notre Dame,John Mooney,Missed Layup,13,8
13:21,Miami,Ebuka Izundu,Defensive Rebound,13,8
13:13,Notre Dame,Prentiss Hubb,Foul,13,8
12:52,Miami,Sam Waardenburg,Missed Jumper,13,8
12:52,Notre Dame,Prentiss Hubb,Defensive Rebound,13,8
12:43,Notre Dame,Nate Laszewski,Missed Three Point Jumper,13,8
12:43,Miami,Dejan Vasiljevic,Defensive Rebound,13,8
12:34,Miami,Dejan Vasiljevic,Turnover,13,8
12:29,Notre Dame,Prentiss Hubb,Turnover,13,8
12:29,Miami,Chris Lykes,Steal,13,8
12:17,Notre Dame,Prentiss Hubb,Steal,13,8
12:17,Miami,Zach Johnson,Foul,13,8
12:12,Miami,Chris Lykes,Foul,13,8
11:59,Notre Dame,Juwan Durham,Foul,13,8
11:59,Notre Dame,Juwan Durham,Turnover,13,8
11:58,Miami,None,None,13,8
11:47,Miami,Anthony Lawrence II,Missed Jumper,13,8
11:47,Miami,Ebuka Izundu,Offensive Rebound,13,8
11:43,Miami,Ebuka Izundu,Dunk,13,10
11:26,Notre Dame,Dane Goodwin,Missed Layup,13,10
11:26,Miami,Ebuka Izundu,Defensive Rebound,13,10
11:16,Miami,Chris Lykes,Layup,13,12
11:16,Notre Dame,Juwan Durham,Foul,13,12
11:16,Miami,Chris Lykes,Free Throw,13,13
10:51,Notre Dame,TJ Gibbs,Missed Three Point Jumper,13,13
