TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Chicago State,Michael Johnson,Foul,0,0
19:37,California Baptist,Jeremy Smith,Three Point Jumper,0,3
19:13,Chicago State,Patrick Szpir,Turnover,0,3
19:00,California Baptist,Jordan Heading,Layup,0,5
18:37,Chicago State,Cameron Bowles,Missed Three Point Jumper,0,5
18:34,California Baptist,Jordan Heading,Defensive Rebound,0,5
18:23,California Baptist,Jeremy Smith,Missed Jumper,0,5
18:19,Chicago State,Cameron Bowles,Defensive Rebound,0,5
18:11,Chicago State,Patrick Szpir,Missed Jumper,0,5
18:08,California Baptist,De'jon Davis,Defensive Rebound,0,5
17:59,California Baptist,Jordan Heading,Three Point Jumper,0,8
17:44,California Baptist,Jordan Heading,Foul,0,8
17:36,Chicago State,Rob Shaw,Missed Three Point Jumper,0,8
17:32,California Baptist,Mikey Henn,Defensive Rebound,0,8
17:25,California Baptist,De'jon Davis,Missed Layup,0,8
17:25,Chicago State,Cameron Bowles,Block,0,8
17:25,California Baptist,De'jon Davis,Layup,0,10
17:25,California Baptist,De'jon Davis,Offensive Rebound,0,10
17:25,Chicago State,None,None,0,10
17:07,Chicago State,Anthony Harris,Jumper,2,10
16:54,California Baptist,Milan Acquaah,Three Point Jumper,2,13
16:32,Chicago State,Anthony Harris,Missed Three Point Jumper,2,13
16:29,California Baptist,Mikey Henn,Defensive Rebound,2,13
16:10,Chicago State,Anthony Harris,Foul,2,13
16:10,California Baptist,Milan Acquaah,Free Throw,2,14
16:10,California Baptist,Milan Acquaah,Free Throw,2,15
16:10,California Baptist,Milan Acquaah,Free Throw,2,16
15:51,California Baptist,Mikey Henn,Foul,2,16
15:45,California Baptist,Jordan Heading,Foul,2,16
15:24,Chicago State,Travon Bell,Three Point Jumper,5,16
15:06,California Baptist,Ty Rowell,Missed Three Point Jumper,5,16
15:03,Chicago State,Eugene Witherspoon,Defensive Rebound,5,16
14:59,Chicago State,Rob Shaw,Missed Layup,5,16
14:55,California Baptist,Zach Pirog,Defensive Rebound,5,16
14:45,California Baptist,Milan Acquaah,Missed Three Point Jumper,5,16
14:44,California Baptist,De'jon Davis,Offensive Rebound,5,16
14:44,Chicago State,Eugene Witherspoon,Foul,5,16
14:22,California Baptist,Marquise Mosley,Foul,5,16
14:22,California Baptist,Marquise Mosley,Turnover,5,16
14:22,Chicago State,Cameron Bowles,Jumper,7,16
13:35,California Baptist,Milan Acquaah,Three Point Jumper,7,19
13:06,Chicago State,Eugene Witherspoon,Missed Jumper,7,19
13:03,California Baptist,De'jon Davis,Defensive Rebound,7,19
12:46,California Baptist,Milan Acquaah,Missed Three Point Jumper,7,19
12:40,California Baptist,Zach Pirog,Offensive Rebound,7,19
12:40,California Baptist,Zach Pirog,Layup,7,21
12:25,Chicago State,Rob Shaw,Missed Three Point Jumper,7,21
12:19,California Baptist,Milan Acquaah,Defensive Rebound,7,21
12:13,Chicago State,Cameron Bowles,Foul,7,21
11:55,California Baptist,Marquise Mosley,Three Point Jumper,7,24
11:35,Chicago State,Eugene Witherspoon,Missed Layup,7,24
11:32,California Baptist,Mikey Henn,Defensive Rebound,7,24
11:30,California Baptist,Ty Rowell,Missed Three Point Jumper,7,24
11:28,Chicago State,Ken Odiase,Defensive Rebound,7,24
11:28,California Baptist,Mikey Henn,Foul,7,24
11:14,Chicago State,Ken Odiase,Missed Layup,7,24
11:11,California Baptist,Ty Rowell,Defensive Rebound,7,24
11:02,California Baptist,Mikey Henn,Missed Three Point Jumper,7,24
