TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Dartmouth,Chris Knight,Layup,0,2
19:24,Cornell,Matt Morgan,Turnover,0,2
19:24,Dartmouth,Chris Knight,Steal,0,2
18:59,Dartmouth,Brendan Barry,Turnover,0,2
18:59,Cornell,Joel Davis,Steal,0,2
18:30,Cornell,Matt Morgan,Missed Layup,0,2
18:27,Dartmouth,Brendan Barry,Defensive Rebound,0,2
18:24,Dartmouth,Ian Sistare,Missed Layup,0,2
18:21,Cornell,Steven Julian,Defensive Rebound,0,2
18:17,Cornell,Jimmy Boeheim,Layup,2,2
17:54,Dartmouth,Aaryn Rai,Turnover,2,2
17:34,Cornell,Josh Warren,Missed Layup,2,2
17:34,Dartmouth,Chris Knight,Block,2,2
17:28,Cornell,Steven Julian,Missed Three Point Jumper,2,2
17:28,Cornell,Cornell,Offensive Rebound,2,2
17:28,Cornell,Josh Warren,Offensive Rebound,2,2
17:22,Cornell,Joel Davis,Jumper,4,2
17:22,Dartmouth,Chris Knight,Foul,4,2
17:22,Cornell,Joel Davis,Free Throw,5,2
17:09,Dartmouth,Brendan Barry,Missed Three Point Jumper,5,2
17:05,Dartmouth,Chris Knight,Offensive Rebound,5,2
17:05,Dartmouth,Chris Knight,Missed Layup,5,2
17:01,Cornell,Joel Davis,Defensive Rebound,5,2
16:59,Dartmouth,James Foye,Foul,5,2
16:42,Cornell,Josh Warren,Layup,7,2
16:20,Dartmouth,Aaryn Rai,Jumper,7,4
16:06,Cornell,Matt Morgan,Turnover,7,4
16:06,Dartmouth,Ian Carter,Steal,7,4
15:58,Dartmouth,James Foye,Missed Layup,7,4
15:54,Cornell,Jimmy Boeheim,Defensive Rebound,7,4
15:32,Dartmouth,None,None,7,4
15:32,Cornell,Josh Warren,Foul,7,4
15:32,Dartmouth,None,None,7,4
15:32,Cornell,Josh Warren,Turnover,7,4
15:09,Dartmouth,Taurus Samuels,Three Point Jumper,7,7
14:49,Cornell,Josh Warren,Layup,9,7
14:30,Dartmouth,Chris Knight,Layup,9,9
14:06,Cornell,Jimmy Boeheim,Missed Jumper,9,9
14:06,Dartmouth,Aaryn Rai,Block,9,9
14:01,Dartmouth,Aaryn Rai,Defensive Rebound,9,9
13:48,Dartmouth,Aaryn Rai,Layup,9,11
13:20,Cornell,Josh Warren,Missed Layup,9,11
13:20,Dartmouth,Chris Knight,Block,9,11
13:20,Cornell,Cornell,Offensive Rebound,9,11
13:14,Cornell,Jack Gordon,Layup,11,11
