TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:30,UNC Asheville,Devon Baker,Missed Layup,0,0
19:30,Charleston Southern,Christian Keeling,Block,0,0
19:30,Charleston Southern,Charleston Southern,Defensive Rebound,0,0
19:30,Charleston Southern,Ty Jones,Jumper,2,0
19:26,UNC Asheville,Donovan Gilmore,Turnover,2,0
19:25,Charleston Southern,Dontrell Shuler,Steal,2,0
19:23,Charleston Southern,Duncan LeXander,Missed Three Point Jumper,2,0
19:23,Charleston Southern,Duncan LeXander,Offensive Rebound,2,0
19:11,Charleston Southern,Ty Jones,Turnover,2,0
18:10,UNC Asheville,Donovan Gilmore,Missed Three Point Jumper,2,0
18:10,Charleston Southern,Duncan LeXander,Defensive Rebound,2,0
17:51,Charleston Southern,Nate Louis,Missed Three Point Jumper,2,0
17:51,Charleston Southern,Dontrell Shuler,Offensive Rebound,2,0
17:50,UNC Asheville,Cress Worthy,Foul,2,0
17:50,Charleston Southern,Dontrell Shuler,Free Throw,3,0
17:50,Charleston Southern,Dontrell Shuler,Free Throw,4,0
17:31,UNC Asheville,Cress Worthy,Three Point Jumper,4,3
17:13,Charleston Southern,Travis McConico,Missed Three Point Jumper,4,3
17:13,UNC Asheville,UNC Asheville,Defensive Rebound,4,3
16:57,UNC Asheville,Coty Jude,Missed Layup,4,3
16:57,Charleston Southern,Duncan LeXander,Block,4,3
16:55,Charleston Southern,Ty Jones,Defensive Rebound,4,3
16:53,Charleston Southern,Ty Jones,Turnover,4,3
16:31,UNC Asheville,Coty Jude,Missed Layup,4,3
16:31,Charleston Southern,Travis McConico,Defensive Rebound,4,3
16:20,Charleston Southern,Travis McConico,Turnover,4,3
16:19,UNC Asheville,Coty Jude,Steal,4,3
15:50,UNC Asheville,Cress Worthy,Missed Three Point Jumper,4,3
15:50,UNC Asheville,Cress Worthy,Offensive Rebound,4,3
15:31,UNC Asheville,Devon Baker,Missed Jumper,4,3
15:31,Charleston Southern,Christian Keeling,Defensive Rebound,4,3
15:24,Charleston Southern,Phlandrous Fleming Jr.,Layup,6,3
14:59,UNC Asheville,Devon Baker,Layup,6,5
14:42,Charleston Southern,Ty Jones,Jumper,8,5
14:14,UNC Asheville,Luke Lawson,Missed Three Point Jumper,8,5
14:14,UNC Asheville,Jalen Seegars,Offensive Rebound,8,5
14:10,UNC Asheville,Jalen Seegars,Layup,8,7
13:47,Charleston Southern,Phlandrous Fleming Jr.,Jumper,10,7
13:23,UNC Asheville,Coty Jude,Layup,10,9
13:06,Charleston Southern,Dontrell Shuler,Missed Three Point Jumper,10,9
13:06,UNC Asheville,Luke Lawson,Defensive Rebound,10,9
12:55,UNC Asheville,Coty Jude,Missed Three Point Jumper,10,9
12:55,Charleston Southern,Travis McConico,Defensive Rebound,10,9
12:45,Charleston Southern,Phlandrous Fleming Jr.,Turnover,10,9
12:45,UNC Asheville,None,None,10,9
12:33,UNC Asheville,Donovan Gilmore,Missed Layup,10,9
12:33,UNC Asheville,Donovan Gilmore,Offensive Rebound,10,9
12:31,UNC Asheville,Donovan Gilmore,Missed Layup,10,9
12:31,UNC Asheville,Luke Lawson,Offensive Rebound,10,9
12:05,UNC Asheville,Tajion Jones,Three Point Jumper,10,12
11:53,Charleston Southern,Nate Louis,Three Point Jumper,13,12
11:18,UNC Asheville,Tajion Jones,Three Point Jumper,13,15
11:01,Charleston Southern,Nate Louis,Missed Three Point Jumper,13,15
11:01,UNC Asheville,Donovan Gilmore,Defensive Rebound,13,15
10:37,UNC Asheville,Devon Baker,Missed Three Point Jumper,13,15
10:37,Charleston Southern,Duncan LeXander,Defensive Rebound,13,15
10:30,UNC Asheville,None,None,13,15
10:30,Charleston Southern,Deontaye Buskey,Foul,13,15
10:30,Charleston Southern,Deontaye Buskey,Turnover,13,15
10:15,UNC Asheville,LJ Thorpe,Three Point Jumper,13,18
9:57,Charleston Southern,Dontrell Shuler,Missed Three Point Jumper,13,18
9:57,UNC Asheville,Cress Worthy,Defensive Rebound,13,18
9:49,UNC Asheville,Tajion Jones,Missed Three Point Jumper,13,18
9:49,UNC Asheville,Tajion Jones,Offensive Rebound,13,18
9:20,UNC Asheville,Deacon Heath,Missed Three Point Jumper,13,18
9:20,UNC Asheville,Tajion Jones,Offensive Rebound,13,18
9:17,Charleston Southern,Dontrell Shuler,Foul,13,18
9:14,UNC Asheville,LJ Thorpe,Missed Three Point Jumper,13,18
9:14,Charleston Southern,Christian Keeling,Defensive Rebound,13,18
9:11,UNC Asheville,Tajion Jones,Foul,13,18
