TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:40,Davidson,Luka Brajkovic,Missed Jumper,0,0
19:40,UMass,Unique McLean,Defensive Rebound,0,0
19:19,Davidson,KiShawn Pritchett,Foul,0,0
19:19,UMass,Samba Diallo,Free Throw,0,1
19:19,UMass,Samba Diallo,Missed Free Throw,0,1
19:19,Davidson,Luka Brajkovic,Defensive Rebound,0,1
19:10,Davidson,Jon Axel Gudmundsson,Layup,2,1
18:45,UMass,Carl Pierre,Three Point Jumper,2,4
18:12,Davidson,Kellan Grady,Missed Three Point Jumper,2,4
18:12,UMass,Djery Baptiste,Defensive Rebound,2,4
17:59,UMass,Unique McLean,Missed Layup,2,4
17:59,Davidson,Jon Axel Gudmundsson,Defensive Rebound,2,4
17:51,Davidson,Luke Frampton,Three Point Jumper,5,4
17:19,UMass,Keon Clergeot,Three Point Jumper,5,7
17:12,Davidson,Kellan Grady,Turnover,5,7
16:43,UMass,Keon Clergeot,Missed Three Point Jumper,5,7
16:43,Davidson,Kellan Grady,Defensive Rebound,5,7
16:35,Davidson,Jon Axel Gudmundsson,Missed Three Point Jumper,5,7
16:35,UMass,Keon Clergeot,Defensive Rebound,5,7
16:27,UMass,Carl Pierre,Missed Jumper,5,7
16:27,Davidson,Jon Axel Gudmundsson,Defensive Rebound,5,7
16:11,Davidson,Luke Frampton,Turnover,5,7
15:53,UMass,Sy Chatman,Layup,5,9
15:39,Davidson,Kellan Grady,Foul,5,9
15:39,Davidson,Kellan Grady,Turnover,5,9
15:39,UMass,None,None,5,9
15:11,UMass,Sy Chatman,Missed Layup,5,9
15:11,UMass,Sy Chatman,Offensive Rebound,5,9
14:43,UMass,Samba Diallo,Missed Layup,5,9
14:43,UMass,Sy Chatman,Offensive Rebound,5,9
14:38,UMass,Sy Chatman,Missed Layup,5,9
14:38,UMass,Unique McLean,Offensive Rebound,5,9
14:35,UMass,Unique McLean,Missed Jumper,5,9
14:35,UMass,Samba Diallo,Offensive Rebound,5,9
14:30,UMass,Samba Diallo,Layup,5,11
14:19,Davidson,Carter Collins,Three Point Jumper,8,11
13:50,UMass,Keon Clergeot,Missed Three Point Jumper,8,11
13:50,Davidson,Luke Frampton,Defensive Rebound,8,11
13:28,UMass,Unique McLean,Foul,8,11
13:13,Davidson,Jon Axel Gudmundsson,Layup,10,11
13:13,UMass,Sy Chatman,Foul,10,11
13:13,Davidson,Jon Axel Gudmundsson,Free Throw,11,11
12:50,UMass,Tre Wood,Turnover,11,11
12:49,Davidson,Luke Frampton,Steal,11,11
12:47,Davidson,Jon Axel Gudmundsson,Layup,13,11
12:27,Davidson,KiShawn Pritchett,Foul,13,11
12:27,UMass,Carl Pierre,Free Throw,13,12
12:27,UMass,Carl Pierre,Free Throw,13,13
12:00,Davidson,Luke Frampton,Missed Three Point Jumper,13,13
12:00,UMass,Tre Wood,Defensive Rebound,13,13
11:33,UMass,Curtis Cobb,Missed Three Point Jumper,13,13
11:33,UMass,Djery Baptiste,Offensive Rebound,13,13
11:33,Davidson,Dusan Kovacevic,Foul,13,13
11:33,UMass,None,None,13,13
11:33,UMass,Djery Baptiste,Missed Free Throw,13,13
11:33,UMass,None,Team Rebound,13,13
11:33,UMass,Djery Baptiste,Missed Free Throw,13,13
11:33,Davidson,Luka Brajkovic,Defensive Rebound,13,13
11:11,Davidson,Luka Brajkovic,Layup,15,13
10:47,UMass,Curtis Cobb,Turnover,15,13
10:44,Davidson,Carter Collins,Steal,15,13
10:26,Davidson,Jon Axel Gudmundsson,Layup,17,13
10:25,UMass,None,None,17,13
10:02,UMass,Djery Baptiste,Missed Layup,17,13
10:02,Davidson,Kellan Grady,Defensive Rebound,17,13
9:41,Davidson,Kellan Grady,Missed Layup,17,13
9:41,UMass,Djery Baptiste,Defensive Rebound,17,13
9:28,UMass,Curtis Cobb,Missed Layup,17,13
9:28,UMass,Samba Diallo,Offensive Rebound,17,13
9:26,Davidson,Luke Frampton,Foul,17,13
9:07,UMass,Keon Clergeot,Missed Three Point Jumper,17,13
9:07,UMass,Samba Diallo,Offensive Rebound,17,13
8:51,UMass,Samba Diallo,Turnover,17,13
8:29,Davidson,Carter Collins,Three Point Jumper,20,13
8:08,UMass,Rashaan Holloway,Missed Layup,20,13
8:08,Davidson,Carter Collins,Defensive Rebound,20,13
7:53,Davidson,Jon Axel Gudmundsson,Turnover,20,13
7:51,UMass,Unique McLean,Steal,20,13
7:46,UMass,Keon Clergeot,Layup,20,15
7:26,Davidson,Luka Brajkovic,Turnover,20,15
7:26,UMass,None,None,20,15
7:11,UMass,Samba Diallo,Missed Layup,20,15
7:11,UMass,Rashaan Holloway,Offensive Rebound,20,15
7:07,UMass,Rashaan Holloway,Layup,20,17
6:45,Davidson,Kellan Grady,Missed Jumper,20,17
6:45,Davidson,Kellan Grady,Offensive Rebound,20,17
6:41,Davidson,Kellan Grady,Missed Jumper,20,17
6:41,UMass,Rashaan Holloway,Defensive Rebound,20,17
6:12,UMass,Samba Diallo,Missed Three Point Jumper,20,17
6:12,Davidson,Jon Axel Gudmundsson,Defensive Rebound,20,17
6:05,Davidson,Jon Axel Gudmundsson,Missed Jumper,20,17
6:05,UMass,Rashaan Holloway,Defensive Rebound,20,17
5:58,UMass,Samba Diallo,Foul,20,17
5:58,UMass,Samba Diallo,Turnover,20,17
5:28,UMass,Samba Diallo,Foul,20,17
5:24,UMass,Jonathan Laurent,Foul,20,17
5:08,Davidson,Jon Axel Gudmundsson,Missed Layup,20,17
5:08,UMass,Djery Baptiste,Defensive Rebound,20,17
5:08,UMass,Carl Pierre,Three Point Jumper,20,20
4:35,Davidson,Kellan Grady,Missed Three Point Jumper,20,20
