TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:44,Liberty,Lovell Cabbil Jr.,Three Point Jumper,0,3
19:19,Florida Gulf Coast,Zach Scott,Three Point Jumper,3,3
18:51,Liberty,Lovell Cabbil Jr.,Missed Three Point Jumper,3,3
18:46,Florida Gulf Coast,Christian Carlyle,Defensive Rebound,3,3
18:38,Florida Gulf Coast,Schadrac Casimir,Missed Layup,3,3
18:33,Liberty,Scottie James,Defensive Rebound,3,3
18:20,Liberty,Scottie James,Missed Layup,3,3
18:20,Florida Gulf Coast,Brian Thomas,Block,3,3
18:15,Florida Gulf Coast,Schadrac Casimir,Defensive Rebound,3,3
18:05,Florida Gulf Coast,Christian Carlyle,Missed Jumper,3,3
17:58,Liberty,Caleb Homesley,Defensive Rebound,3,3
17:46,Liberty,Scottie James,Missed Layup,3,3
17:40,Florida Gulf Coast,Schadrac Casimir,Defensive Rebound,3,3
17:38,Florida Gulf Coast,Zach Scott,Missed Three Point Jumper,3,3
17:34,Liberty,Caleb Homesley,Defensive Rebound,3,3
17:33,Liberty,Lovell Cabbil Jr.,Missed Layup,3,3
17:33,Florida Gulf Coast,Zach Scott,Block,3,3
17:27,Florida Gulf Coast,Christian Carlyle,Defensive Rebound,3,3
17:21,Florida Gulf Coast,Schadrac Casimir,Layup,5,3
16:59,Liberty,Scottie James,Missed Layup,5,3
16:55,Florida Gulf Coast,Christian Carlyle,Defensive Rebound,5,3
16:36,Florida Gulf Coast,Brian Thomas,Layup,7,3
16:10,Liberty,Elijah Cuffee,Three Point Jumper,7,6
15:43,Florida Gulf Coast,Schadrac Casimir,Three Point Jumper,10,6
15:29,Liberty,Caleb Homesley,Missed Three Point Jumper,10,6
15:24,Florida Gulf Coast,Christian Carlyle,Defensive Rebound,10,6
15:20,Liberty,Lovell Cabbil Jr.,Foul,10,6
15:20,Liberty,None,None,10,6
15:20,Florida Gulf Coast,Schadrac Casimir,Free Throw,11,6
15:20,Florida Gulf Coast,Schadrac Casimir,Free Throw,12,6
