TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:41,Montana State,Harald Frey,Missed Three Point Jumper,0,0
19:41,Idaho,Jared Rodriguez,Defensive Rebound,0,0
19:10,Idaho,Trevon Allen,Missed Three Point Jumper,0,0
19:10,Montana State,Harald Frey,Defensive Rebound,0,0
19:01,Montana State,Devin Kirby,Layup,0,2
18:43,Idaho,Cassius Smits-Francisco,Foul,0,2
18:43,Idaho,Cassius Smits-Francisco,Turnover,0,2
18:28,Montana State,Devin Kirby,Layup,0,4
17:55,Idaho,Trevon Allen,Missed Jumper,0,4
17:55,Montana State,Montana State,Defensive Rebound,0,4
17:42,Montana State,Tyler Hall,Missed Three Point Jumper,0,4
17:42,Idaho,Jared Rodriguez,Defensive Rebound,0,4
17:17,Idaho,Jared Rodriguez,Missed Layup,0,4
17:17,Montana State,Keljin Blevins,Defensive Rebound,0,4
17:15,Idaho,Jared Rodriguez,Foul,0,4
16:53,Montana State,Russell Daniels,Missed Layup,0,4
16:53,Idaho,Cassius Smits-Francisco,Defensive Rebound,0,4
16:38,Idaho,Trevon Allen,Jumper,2,4
16:20,Montana State,Devin Kirby,Turnover,2,4
16:19,Idaho,Geno West,Steal,2,4
16:00,Idaho,Geno West,Turnover,2,4
15:59,Montana State,Russell Daniels,Steal,2,4
15:56,Montana State,Tyler Hall,Layup,2,6
15:26,Idaho,RayQuawndis Mitchell,Three Point Jumper,5,6
15:07,Montana State,Harald Frey,Missed Three Point Jumper,5,6
15:07,Idaho,Geno West,Defensive Rebound,5,6
14:55,Idaho,Trevon Allen,Turnover,5,6
14:53,Montana State,Devin Kirby,Steal,5,6
14:47,Montana State,Harald Frey,Three Point Jumper,5,9
14:32,Idaho,None,None,5,9
14:13,Idaho,Geno West,Three Point Jumper,8,9
13:49,Montana State,Keljin Blevins,Three Point Jumper,8,12
13:29,Idaho,Scott Blakney,Layup,10,12
13:07,Idaho,Geno West,Foul,10,12
13:04,Montana State,Ladan Ricketts,Turnover,10,12
13:01,Idaho,Geno West,Steal,10,12
12:52,Idaho,Cameron Tyson,Three Point Jumper,13,12
12:45,Montana State,None,None,13,12
12:32,Montana State,Tyler Hall,Three Point Jumper,13,15
11:57,Montana State,None,None,13,15
11:56,Idaho,Losini Kamara,Missed Three Point Jumper,13,15
11:56,Montana State,Usman Haruna,Defensive Rebound,13,15
11:49,Montana State,Harald Frey,Missed Three Point Jumper,13,15
11:49,Montana State,Sam Neumann,Offensive Rebound,13,15
11:33,Montana State,Harald Frey,Turnover,13,15
11:33,Idaho,Khadim Samb,Missed Jumper,13,15
11:33,Montana State,Russell Daniels,Defensive Rebound,13,15
11:33,Idaho,Cameron Tyson,Foul,13,15
11:33,Montana State,Harald Frey,Free Throw,13,16
11:33,Montana State,Harald Frey,Free Throw,13,17
10:55,Idaho,Cameron Tyson,Three Point Jumper,16,17
10:40,Montana State,Sam Neumann,Missed Three Point Jumper,16,17
10:40,Idaho,Trevon Allen,Defensive Rebound,16,17
10:29,Idaho,Trevon Allen,Missed Three Point Jumper,16,17
10:29,Montana State,Usman Haruna,Defensive Rebound,16,17
10:18,Montana State,Tyler Hall,Turnover,16,17
10:05,Idaho,Trevon Allen,Missed Jumper,16,17
10:05,Montana State,Devin Kirby,Defensive Rebound,16,17
10:04,Idaho,Scott Blakney,Foul,16,17
9:53,Montana State,Tyler Hall,Missed Three Point Jumper,16,17
9:53,Montana State,Keljin Blevins,Offensive Rebound,16,17
9:49,Montana State,Keljin Blevins,Missed Layup,16,17
9:49,Montana State,Keljin Blevins,Offensive Rebound,16,17
9:36,Montana State,Keljin Blevins,Three Point Jumper,16,20
9:18,Idaho,Jared Rodriguez,Foul,16,20
9:18,Idaho,Jared Rodriguez,Turnover,16,20
9:03,Montana State,Keljin Blevins,Layup,16,22
8:44,Idaho,Cameron Tyson,Missed Three Point Jumper,16,22
8:44,Montana State,Tyler Hall,Defensive Rebound,16,22
8:34,Montana State,Tyler Hall,Missed Three Point Jumper,16,22
8:34,Idaho,Idaho,Defensive Rebound,16,22
8:16,Idaho,Trevon Allen,Three Point Jumper,19,22
8:01,Montana State,Keljin Blevins,Missed Three Point Jumper,19,22
8:01,Idaho,Cameron Tyson,Defensive Rebound,19,22
7:52,Idaho,Cameron Tyson,Turnover,19,22
7:50,Montana State,Devin Kirby,Steal,19,22
7:48,Montana State,Russell Daniels,Layup,19,24
7:21,Idaho,Cassius Smits-Francisco,Jumper,21,24
7:13,Idaho,Cameron Tyson,Foul,21,24
7:13,Montana State,None,None,21,24
7:13,Montana State,Ladan Ricketts,Free Throw,21,25
7:13,Montana State,Ladan Ricketts,Free Throw,21,26
7:13,Montana State,Ladan Ricketts,Free Throw,21,27
7:06,Montana State,Ladan Ricketts,Foul,21,27
6:48,Idaho,Khadim Samb,Layup,23,27
6:48,Montana State,Ladan Ricketts,Foul,23,27
6:48,Idaho,Khadim Samb,Free Throw,24,27
6:37,Montana State,Russell Daniels,Jumper,24,29
6:13,Montana State,Russell Daniels,Foul,24,29
6:00,Idaho,Geno West,Turnover,24,29
5:57,Montana State,Harald Frey,Missed Layup,24,29
5:57,Idaho,Geno West,Defensive Rebound,24,29
5:45,Idaho,RayQuawndis Mitchell,Missed Three Point Jumper,24,29
5:45,Montana State,Harald Frey,Defensive Rebound,24,29
5:38,Idaho,Khadim Samb,Foul,24,29
5:38,Montana State,Harald Frey,Free Throw,24,30
5:38,Montana State,Harald Frey,Free Throw,24,31
5:19,Idaho,Geno West,Three Point Jumper,27,31
4:53,Idaho,RayQuawndis Mitchell,Foul,27,31
4:53,Montana State,Sam Neumann,Free Throw,27,32
4:53,Montana State,Sam Neumann,Free Throw,27,33
4:39,Idaho,Khadim Samb,Missed Jumper,27,33
4:39,Montana State,Keljin Blevins,Defensive Rebound,27,33
4:34,Montana State,Ladan Ricketts,Missed Three Point Jumper,27,33
4:34,Idaho,Cassius Smits-Francisco,Defensive Rebound,27,33
4:21,Idaho,Trevon Allen,Turnover,27,33
4:19,Montana State,Keljin Blevins,Steal,27,33
4:15,Idaho,Cassius Smits-Francisco,Foul,27,33
4:15,Montana State,Sam Neumann,Free Throw,27,34
4:15,Montana State,Sam Neumann,Free Throw,27,35
4:03,Idaho,Khadim Samb,Three Point Jumper,30,35
3:48,Montana State,Sam Neumann,Layup,30,37
3:48,Idaho,Khadim Samb,Foul,30,37
