TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:49,Mississippi Valley State,Jordan Evans,Missed Jumper,0,0
19:49,Alabama A&M,Alabama A&M,Defensive Rebound,0,0
19:30,Alabama A&M,Tre Todd,Jumper,0,2
19:15,Mississippi Valley State,Torico Simmons,Missed Three Point Jumper,0,2
19:15,Alabama A&M,Andre Kennedy,Defensive Rebound,0,2
18:56,Alabama A&M,Gerron Scissum,Missed Jumper,0,2
18:56,Mississippi Valley State,Aleksa Koracin,Defensive Rebound,0,2
18:33,Mississippi Valley State,Aleksa Koracin,Missed Layup,0,2
18:33,Alabama A&M,Andre Kennedy,Defensive Rebound,0,2
18:17,Mississippi Valley State,Jordan Evans,Foul,0,2
18:11,Alabama A&M,Gerron Scissum,Jumper,0,4
17:46,Mississippi Valley State,Torico Simmons,Missed Three Point Jumper,0,4
17:46,Alabama A&M,Tre Todd,Defensive Rebound,0,4
17:32,Alabama A&M,Andre Kennedy,Missed Jumper,0,4
17:32,Mississippi Valley State,Emmanuel Ejeh,Defensive Rebound,0,4
17:20,Mississippi Valley State,Aleksa Koracin,Missed Jumper,0,4
17:20,Mississippi Valley State,Emmanuel Ejeh,Offensive Rebound,0,4
17:15,Mississippi Valley State,Aleksa Koracin,Missed Jumper,0,4
17:15,Mississippi Valley State,Emmanuel Ejeh,Offensive Rebound,0,4
17:08,Alabama A&M,Andre Kennedy,Foul,0,4
17:08,Mississippi Valley State,Emmanuel Ejeh,Missed Free Throw,0,4
17:08,Mississippi Valley State,None,Team Rebound,0,4
17:08,Mississippi Valley State,Emmanuel Ejeh,Free Throw,1,4
16:58,Alabama A&M,Andre Kennedy,Missed Jumper,1,4
16:58,Mississippi Valley State,Dante Scott,Defensive Rebound,1,4
16:47,Mississippi Valley State,Dante Scott,Missed Layup,1,4
16:47,Mississippi Valley State,Mississippi Valley State,Offensive Rebound,1,4
16:45,Alabama A&M,Gerron Scissum,Foul,1,4
16:30,Mississippi Valley State,Jordan Evans,Missed Three Point Jumper,1,4
16:30,Alabama A&M,Tre Todd,Defensive Rebound,1,4
16:10,Alabama A&M,Andre Kennedy,Missed Jumper,1,4
16:10,Mississippi Valley State,Aleksa Koracin,Defensive Rebound,1,4
16:00,Mississippi Valley State,Aleksa Koracin,Dunk,3,4
15:42,Alabama A&M,Gerron Scissum,Missed Layup,3,4
15:42,Mississippi Valley State,Dante Scott,Defensive Rebound,3,4
15:23,Mississippi Valley State,Torico Simmons,Three Point Jumper,6,4
14:58,Alabama A&M,Andre Kennedy,Jumper,6,6
14:46,Mississippi Valley State,Jordan Evans,Missed Jumper,6,6
14:46,Alabama A&M,Evan Wiley,Defensive Rebound,6,6
14:36,Alabama A&M,Evan Wiley,Missed Three Point Jumper,6,6
14:36,Alabama A&M,Brandon Miller,Offensive Rebound,6,6
14:24,Alabama A&M,Andre Kennedy,Layup,6,8
14:11,Mississippi Valley State,Emmanuel Ejeh,Layup,8,8
13:59,Alabama A&M,Brandon Miller,Turnover,8,8
13:50,Mississippi Valley State,Gregory Jones-Rollins,Turnover,8,8
13:19,Alabama A&M,Brandon Miller,Jumper,8,10
12:49,Mississippi Valley State,Jordan Evans,Missed Three Point Jumper,8,10
12:49,Alabama A&M,Defensive Rebound.,Defensive Rebound,8,10
12:35,Alabama A&M,Brandon Miller,Missed Three Point Jumper,8,10
12:35,Mississippi Valley State,Kaleb Allison,Defensive Rebound,8,10
12:29,Mississippi Valley State,Michael Green,Missed Jumper,8,10
12:29,Alabama A&M,Jalen Reeder,Defensive Rebound,8,10
12:13,Alabama A&M,Jalen Reeder,Three Point Jumper,8,13
11:59,Mississippi Valley State,Jordan Evans,Layup,10,13
11:39,Alabama A&M,Brandon Houston,Missed Jumper,10,13
11:39,Mississippi Valley State,Kaleb Allison,Defensive Rebound,10,13
11:31,Mississippi Valley State,Kaleb Allison,Missed Free Throw,10,13
11:31,Mississippi Valley State,None,Team Rebound,10,13
11:31,Mississippi Valley State,Kaleb Allison,Free Throw,11,13
11:21,Alabama A&M,Jalen Reeder,Turnover,11,13
11:11,Mississippi Valley State,Gregory Jones-Rollins,Missed Jumper,11,13
11:11,Mississippi Valley State,None,Team Rebound,11,13
10:53,Mississippi Valley State,Gregory Jones-Rollins,Missed Three Point Jumper,11,13
10:53,Alabama A&M,Brandon Wright,Defensive Rebound,11,13
10:24,Alabama A&M,Jalen Reeder,Three Point Jumper,11,16
10:10,Mississippi Valley State,Emmanuel Ejeh,Layup,13,16
9:48,Alabama A&M,Brandon Miller,Missed Three Point Jumper,13,16
9:48,Mississippi Valley State,Gregory Jones-Rollins,Defensive Rebound,13,16
9:21,Alabama A&M,Brandon Wright,Foul,13,16
9:08,Mississippi Valley State,Jordan Evans,Free Throw,14,16
8:32,Mississippi Valley State,LaCurtis Allen,Three Point Jumper,17,16
8:07,Alabama A&M,Tre Todd,Three Point Jumper,17,19
