TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:47,Grand Canyon,Alessandro Lever,Three Point Jumper,0,3
19:27,New Mexico State,AJ Harris,Three Point Jumper,3,3
19:07,Grand Canyon,Alessandro Lever,Layup,3,5
18:50,New Mexico State,C.J. Bobbitt,Missed Three Point Jumper,3,5
18:46,Grand Canyon,Oscar Frayer,Defensive Rebound,3,5
18:34,Grand Canyon,Alessandro Lever,Missed Jumper,3,5
18:29,New Mexico State,Clayton Henry,Defensive Rebound,3,5
18:20,New Mexico State,Terrell Brown,Missed Three Point Jumper,3,5
18:18,Grand Canyon,Grand Canyon,Defensive Rebound,3,5
17:52,Grand Canyon,Damari Milstead,Jumper,3,7
17:34,New Mexico State,C.J. Bobbitt,Layup,5,7
17:12,Grand Canyon,Oscar Frayer,Missed Three Point Jumper,5,7
17:09,Grand Canyon,Grand Canyon,Offensive Rebound,5,7
17:07,Grand Canyon,Oscar Frayer,Layup,5,9
16:47,New Mexico State,Clayton Henry,Three Point Jumper,8,9
16:25,Grand Canyon,Alessandro Lever,Three Point Jumper,8,12
16:06,New Mexico State,Terrell Brown,Missed Three Point Jumper,8,12
16:02,New Mexico State,C.J. Bobbitt,Offensive Rebound,8,12
15:54,New Mexico State,C.J. Bobbitt,Layup,10,12
15:35,Grand Canyon,Damari Milstead,Missed Three Point Jumper,10,12
15:31,New Mexico State,Eli Chuha,Defensive Rebound,10,12
15:25,New Mexico State,AJ Harris,Three Point Jumper,13,12
15:07,New Mexico State,Eli Chuha,Foul,13,12
15:07,Grand Canyon,None,None,13,12
15:07,Grand Canyon,Alessandro Lever,Missed Jumper,13,12
15:07,New Mexico State,Terrell Brown,Defensive Rebound,13,12
15:03,New Mexico State,Terrell Brown,Missed Layup,13,12
14:58,New Mexico State,Trevelin Queen,Offensive Rebound,13,12
14:58,New Mexico State,Trevelin Queen,Layup,15,12
14:41,New Mexico State,Trevelin Queen,Defensive Rebound,15,12
14:28,New Mexico State,AJ Harris,Missed Three Point Jumper,15,12
14:25,Grand Canyon,Trey Drechsel,Defensive Rebound,15,12
14:17,Grand Canyon,Trey Drechsel,Missed Jumper,15,12
14:13,New Mexico State,C.J. Bobbitt,Defensive Rebound,15,12
14:08,New Mexico State,C.J. Bobbitt,Three Point Jumper,18,12
13:22,Grand Canyon,Alessandro Lever,Missed Layup,18,12
13:19,New Mexico State,Ivan Aurrecoechea,Defensive Rebound,18,12
12:56,New Mexico State,Ivan Aurrecoechea,Missed Layup,18,12
12:53,Grand Canyon,Alessandro Lever,Defensive Rebound,18,12
12:44,Grand Canyon,Oscar Frayer,Missed Three Point Jumper,18,12
12:41,Grand Canyon,Michael Finke,Offensive Rebound,18,12
12:41,New Mexico State,C.J. Bobbitt,Foul,18,12
12:31,Grand Canyon,Damari Milstead,Jumper,18,14
12:13,New Mexico State,Trevelin Queen,Missed Three Point Jumper,18,14
12:09,Grand Canyon,Damari Milstead,Defensive Rebound,18,14
12:02,Grand Canyon,Damari Milstead,Layup,18,16
11:41,New Mexico State,Trevelin Queen,Turnover,18,16
11:41,Grand Canyon,Oscar Frayer,Steal,18,16
11:37,Grand Canyon,Oscar Frayer,Dunk,18,18
11:15,New Mexico State,JoJo Zamora,Layup,20,18
10:58,Grand Canyon,Matt Jackson,Turnover,20,18
10:58,New Mexico State,Trevelin Queen,Steal,20,18
10:57,Grand Canyon,Matt Jackson,Foul,20,18
10:57,Grand Canyon,None,None,20,18
10:38,New Mexico State,Trevelin Queen,Missed Layup,20,18
10:34,New Mexico State,Johnny McCants,Offensive Rebound,20,18
10:34,New Mexico State,Johnny McCants,Dunk,22,18
10:17,Grand Canyon,Roberts Blumbergs,Missed Three Point Jumper,22,18
10:13,New Mexico State,JoJo Zamora,Defensive Rebound,22,18
9:45,New Mexico State,Shunn Buchanan,Missed Layup,22,18
9:45,Grand Canyon,Tim Finke,Block,22,18
9:41,Grand Canyon,Damari Milstead,Defensive Rebound,22,18
9:39,Grand Canyon,Damari Milstead,Foul,22,18
9:39,Grand Canyon,Damari Milstead,Turnover,22,18
9:24,New Mexico State,Eli Chuha,Layup,24,18
9:04,Grand Canyon,Matt Jackson,Missed Three Point Jumper,24,18
9:00,New Mexico State,AJ Harris,Defensive Rebound,24,18
8:55,New Mexico State,AJ Harris,Three Point Jumper,27,18
8:30,Grand Canyon,Matt Jackson,Missed Jumper,27,18
8:28,New Mexico State,Johnny McCants,Defensive Rebound,27,18
8:22,New Mexico State,AJ Harris,Missed Layup,27,18
8:19,Grand Canyon,Matt Jackson,Defensive Rebound,27,18
8:14,Grand Canyon,Tim Finke,Three Point Jumper,27,21
7:46,New Mexico State,Eli Chuha,Turnover,27,21
7:46,Grand Canyon,None,None,27,21
7:31,Grand Canyon,Carlos Johnson,Three Point Jumper,27,24
7:02,New Mexico State,C.J. Bobbitt,Turnover,27,24
7:02,Grand Canyon,Michael Finke,Steal,27,24
6:53,Grand Canyon,Alessandro Lever,Missed Three Point Jumper,27,24
6:47,New Mexico State,Clayton Henry,Defensive Rebound,27,24
6:34,New Mexico State,JoJo Zamora,Missed Jumper,27,24
6:33,Grand Canyon,Grand Canyon,Defensive Rebound,27,24
6:22,New Mexico State,Clayton Henry,Foul,27,24
6:22,Grand Canyon,Tim Finke,Layup,27,26
5:43,New Mexico State,AJ Harris,Layup,29,26
5:27,Grand Canyon,Michael Finke,Layup,29,28
5:06,Grand Canyon,Michael Finke,Defensive Rebound,29,28
5:03,Grand Canyon,Carlos Johnson,Turnover,29,28
5:03,New Mexico State,Terrell Brown,Steal,29,28
5:00,Grand Canyon,Damari Milstead,Foul,29,28
4:48,New Mexico State,C.J. Bobbitt,Missed Three Point Jumper,29,28
4:41,New Mexico State,Clayton Henry,Offensive Rebound,29,28
4:41,New Mexico State,Clayton Henry,Dunk,31,28
4:34,New Mexico State,Clayton Henry,Foul,31,28
4:19,Grand Canyon,Tim Finke,Foul,31,28
4:19,Grand Canyon,Tim Finke,Turnover,31,28
3:53,New Mexico State,Terrell Brown,Turnover,31,28
3:53,Grand Canyon,None,None,31,28
3:46,Grand Canyon,Alessandro Lever,Foul,31,28
3:46,Grand Canyon,Alessandro Lever,Turnover,31,28
3:22,New Mexico State,Eli Chuha,Layup,33,28
3:07,Grand Canyon,Michael Finke,Missed Three Point Jumper,33,28
3:03,New Mexico State,Eli Chuha,Defensive Rebound,33,28
2:57,New Mexico State,C.J. Bobbitt,Missed Three Point Jumper,33,28
2:54,Grand Canyon,Trey Drechsel,Defensive Rebound,33,28
2:42,New Mexico State,C.J. Bobbitt,Foul,33,28
2:42,Grand Canyon,Tim Finke,Missed Free Throw,33,28
2:42,Grand Canyon,None,Team Rebound,33,28
2:42,Grand Canyon,Tim Finke,Missed Free Throw,33,28
2:40,New Mexico State,Johnny McCants,Defensive Rebound,33,28
2:20,New Mexico State,Terrell Brown,Foul,33,28
2:20,New Mexico State,Terrell Brown,Turnover,33,28
2:07,Grand Canyon,Trey Drechsel,Jumper,33,30
1:36,New Mexico State,Eli Chuha,Missed Three Point Jumper,33,30
1:32,Grand Canyon,Trey Drechsel,Defensive Rebound,33,30
1:13,Grand Canyon,Oscar Frayer,Three Point Jumper,33,33
1:08,New Mexico State,None,None,33,33
0:54,New Mexico State,Johnny McCants,Turnover,33,33
0:32,Grand Canyon,Trey Drechsel,Missed Three Point Jumper,33,33
0:29,New Mexico State,Johnny McCants,Defensive Rebound,33,33
0:01,New Mexico State,AJ Harris,Missed Layup,33,33
0:00,New Mexico State,Eli Chuha,Offensive Rebound,33,33
0:00,New Mexico State,Eli Chuha,Layup,35,33
0:00,Grand Canyon,None,None,33,33
19:31,New Mexico State,AJ Harris,Turnover,35,33
19:06,Grand Canyon,Oscar Frayer,Missed Three Point Jumper,35,33
19:03,Grand Canyon,Grand Canyon,Offensive Rebound,35,33
