TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Oklahoma,Aaron Calixte,Turnover,0,0
19:36,Texas Tech,Matt Mooney,Steal,0,0
19:33,Texas Tech,Jarrett Culver,Missed Layup,0,0
19:33,Texas Tech,Texas Tech,Offensive Rebound,0,0
19:23,Texas Tech,Norense Odiase,Missed Layup,0,0
19:23,Oklahoma,Christian James,Defensive Rebound,0,0
19:07,Oklahoma,Kristian Doolittle,Jumper,0,2
18:38,Texas Tech,Norense Odiase,Missed Layup,0,2
18:38,Oklahoma,Brady Manek,Defensive Rebound,0,2
18:27,Oklahoma,Jamal Bieniemy,Missed Layup,0,2
18:27,Texas Tech,Norense Odiase,Defensive Rebound,0,2
18:20,Texas Tech,Matt Mooney,Jumper,2,2
17:53,Oklahoma,Christian James,Missed Jumper,2,2
17:53,Texas Tech,Davide Moretti,Defensive Rebound,2,2
17:42,Texas Tech,Davide Moretti,Missed Three Point Jumper,2,2
17:42,Oklahoma,Kristian Doolittle,Defensive Rebound,2,2
17:31,Oklahoma,Kristian Doolittle,Missed Jumper,2,2
17:31,Texas Tech,Texas Tech,Defensive Rebound,2,2
17:06,Texas Tech,Tariq Owens,Missed Jumper,2,2
17:06,Oklahoma,Christian James,Defensive Rebound,2,2
16:46,Oklahoma,Aaron Calixte,Missed Three Point Jumper,2,2
16:46,Texas Tech,Tariq Owens,Block,2,2
16:40,Oklahoma,Brady Manek,Offensive Rebound,2,2
16:40,Texas Tech,Davide Moretti,Foul,2,2
16:36,Oklahoma,Christian James,Turnover,2,2
16:35,Texas Tech,Matt Mooney,Steal,2,2
16:33,Texas Tech,Brandone Francis,Missed Jumper,2,2
16:33,Oklahoma,Aaron Calixte,Defensive Rebound,2,2
16:24,Oklahoma,Aaron Calixte,Missed Layup,2,2
16:24,Texas Tech,Kyler Edwards,Defensive Rebound,2,2
16:08,Texas Tech,Brandone Francis,Three Point Jumper,5,2
15:44,Oklahoma,Christian James,Missed Jumper,5,2
15:44,Texas Tech,Kyler Edwards,Defensive Rebound,5,2
15:18,Texas Tech,Jarrett Culver,Turnover,5,2
15:17,Oklahoma,Jamal Bieniemy,Steal,5,2
15:12,Oklahoma,None,None,5,4
15:08,Oklahoma,Jamal Bieniemy,Layup,5,4
15:07,Oklahoma,None,None,5,4
15:07,Texas Tech,Matt Mooney,Foul,5,4
15:07,Oklahoma,None,None,5,4
15:07,Oklahoma,Jamal Bieniemy,Missed Free Throw,5,4
15:07,Texas Tech,Norense Odiase,Defensive Rebound,5,4
14:40,Texas Tech,Jarrett Culver,Missed Three Point Jumper,5,4
14:40,Oklahoma,Christian James,Defensive Rebound,5,4
14:25,Oklahoma,Brady Manek,Turnover,5,4
14:10,Texas Tech,Brandone Francis,Missed Three Point Jumper,5,4
14:10,Texas Tech,Texas Tech,Offensive Rebound,5,4
13:53,Texas Tech,Norense Odiase,Turnover,5,4
13:53,Texas Tech,Norense Odiase,Foul,5,4
13:42,Oklahoma,Kristian Doolittle,Missed Jumper,5,4
13:42,Texas Tech,Deshawn Corprew,Defensive Rebound,5,4
13:18,Texas Tech,Brandone Francis,Layup,7,4
13:08,Oklahoma,Christian James,Missed Three Point Jumper,7,4
13:08,Oklahoma,Rashard Odomes,Offensive Rebound,7,4
13:05,Texas Tech,Kyler Edwards,Foul,7,4
13:05,Oklahoma,Rashard Odomes,Missed Free Throw,7,4
13:05,Oklahoma,None,Team Rebound,7,4
13:05,Oklahoma,Rashard Odomes,Free Throw,7,5
12:52,Texas Tech,Davide Moretti,Turnover,7,5
12:51,Oklahoma,Miles Reynolds,Steal,7,5
12:36,Oklahoma,Miles Reynolds,Missed Jumper,7,5
12:36,Texas Tech,Deshawn Corprew,Defensive Rebound,7,5
12:25,Texas Tech,Deshawn Corprew,Three Point Jumper,10,5
11:58,Oklahoma,Kristian Doolittle,Foul,10,5
11:58,Oklahoma,Kristian Doolittle,Turnover,10,5
11:58,Oklahoma,None,None,10,5
11:41,Oklahoma,Rashard Odomes,Foul,10,5
11:41,Texas Tech,Matt Mooney,Turnover,10,5
11:41,Oklahoma,Brady Manek,Steal,10,5
11:32,Oklahoma,Aaron Calixte,Turnover,10,5
11:32,Texas Tech,Matt Mooney,Steal,10,5
11:06,Texas Tech,Jarrett Culver,Missed Three Point Jumper,10,5
11:06,Oklahoma,Rashard Odomes,Defensive Rebound,10,5
10:47,Oklahoma,Brady Manek,Three Point Jumper,10,8
10:35,Texas Tech,Jarrett Culver,Dunk,12,8
10:20,Oklahoma,Aaron Calixte,Missed Three Point Jumper,12,8
10:20,Texas Tech,Davide Moretti,Defensive Rebound,12,8
9:56,Texas Tech,Davide Moretti,Missed Jumper,12,8
9:56,Oklahoma,Aaron Calixte,Defensive Rebound,12,8
9:48,Oklahoma,Miles Reynolds,Missed Jumper,12,8
9:48,Texas Tech,Tariq Owens,Defensive Rebound,12,8
9:40,Texas Tech,Davide Moretti,Layup,14,8
9:18,Oklahoma,Rashard Odomes,Layup,14,10
9:01,Texas Tech,Davide Moretti,Three Point Jumper,17,10
8:37,Texas Tech,Tariq Owens,Foul,17,10
8:37,Oklahoma,Rashard Odomes,Free Throw,17,11
8:37,Oklahoma,Rashard Odomes,Missed Free Throw,17,11
8:37,Oklahoma,Rashard Odomes,Offensive Rebound,17,11
8:33,Oklahoma,Rashard Odomes,Layup,17,13
8:21,Oklahoma,Kristian Doolittle,Foul,17,13
8:17,Texas Tech,Matt Mooney,Missed Jumper,17,13
8:17,Oklahoma,Brady Manek,Defensive Rebound,17,13
7:56,Oklahoma,Brady Manek,Missed Three Point Jumper,17,13
7:56,Texas Tech,Norense Odiase,Defensive Rebound,17,13
7:40,Texas Tech,Deshawn Corprew,Turnover,17,13
7:39,Oklahoma,Jamal Bieniemy,Steal,17,13
7:33,Oklahoma,Jamal Bieniemy,Missed Layup,17,13
7:33,Texas Tech,Norense Odiase,Block,17,13
7:32,Texas Tech,Kyler Edwards,Defensive Rebound,17,13
7:28,Texas Tech,Matt Mooney,Three Point Jumper,20,13
7:15,Oklahoma,Brady Manek,Turnover,20,13
7:14,Texas Tech,Kyler Edwards,Steal,20,13
7:08,Texas Tech,Davide Moretti,Turnover,20,13
7:08,Texas Tech,Davide Moretti,Foul,20,13
7:08,Oklahoma,None,None,20,13
6:44,Oklahoma,Christian James,Missed Jumper,20,13
6:44,Texas Tech,Norense Odiase,Defensive Rebound,20,13
6:28,Texas Tech,Kyler Edwards,Layup,22,13
6:11,Oklahoma,Brady Manek,Missed Jumper,22,13
6:11,Texas Tech,Norense Odiase,Defensive Rebound,22,13
5:55,Texas Tech,Kyler Edwards,Three Point Jumper,25,13
5:39,Oklahoma,Christian James,Missed Layup,25,13
5:39,Texas Tech,Brandone Francis,Defensive Rebound,25,13
5:30,Texas Tech,Deshawn Corprew,Missed Three Point Jumper,25,13
5:30,Oklahoma,Christian James,Defensive Rebound,25,13
5:21,Texas Tech,Norense Odiase,Foul,25,13
5:21,Oklahoma,Aaron Calixte,Missed Free Throw,25,13
5:21,Oklahoma,Hannes Polla,Offensive Rebound,25,13
