TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:57,East Carolina,Shawn Williams,Foul,0,0
19:57,Memphis,Jeremiah Martin,Free Throw,0,1
19:57,Memphis,Jeremiah Martin,Free Throw,0,2
19:44,Memphis,Mike Parks Jr.,Foul,0,2
19:44,East Carolina,Seth LeDay,Free Throw,1,2
19:44,East Carolina,Seth LeDay,Free Throw,2,2
19:39,Memphis,Mike Parks Jr.,Jumper,2,4
19:21,East Carolina,Isaac Fleming,Layup,4,4
19:04,Memphis,Kyvon Davenport,Missed Layup,4,4
18:59,East Carolina,Seth LeDay,Defensive Rebound,4,4
18:41,East Carolina,Seth LeDay,Turnover,4,4
18:26,East Carolina,Jayden Gardner,Defensive Rebound,4,4
18:09,East Carolina,Isaac Fleming,Missed Three Point Jumper,4,4
18:05,Memphis,Jeremiah Martin,Defensive Rebound,4,4
18:01,Memphis,Kareem Brewton Jr.,Layup,4,6
17:49,Memphis,Raynere Thornton,Foul,4,6
17:49,East Carolina,Jayden Gardner,Free Throw,5,6
17:49,East Carolina,Jayden Gardner,Free Throw,6,6
17:23,Memphis,Raynere Thornton,Missed Three Point Jumper,6,6
17:20,Memphis,Kyvon Davenport,Offensive Rebound,6,6
17:19,Memphis,Kyvon Davenport,Layup,6,8
17:19,East Carolina,Jayden Gardner,Foul,6,8
17:19,Memphis,Kyvon Davenport,Missed Free Throw,6,8
17:18,East Carolina,Seth LeDay,Defensive Rebound,6,8
17:04,East Carolina,K.J. Davis,Three Point Jumper,9,8
16:49,East Carolina,K.J. Davis,Foul,9,8
16:49,Memphis,Kyvon Davenport,Free Throw,9,9
16:49,Memphis,Kyvon Davenport,Free Throw,9,10
16:35,East Carolina,K.J. Davis,Three Point Jumper,12,10
16:26,East Carolina,Justice Obasohan,Foul,12,10
16:26,Memphis,Raynere Thornton,Free Throw,12,11
16:26,Memphis,Raynere Thornton,Missed Free Throw,12,11
16:25,Memphis,Kyvon Davenport,Offensive Rebound,12,11
16:23,Memphis,Kyvon Davenport,Turnover,12,11
16:23,East Carolina,Justice Obasohan,Steal,12,11
16:18,East Carolina,Seth LeDay,Foul,12,11
16:18,East Carolina,Seth LeDay,Turnover,12,11
16:03,Memphis,Tyler Harris,Missed Three Point Jumper,12,11
16:01,East Carolina,K.J. Davis,Defensive Rebound,12,11
15:52,East Carolina,Justice Obasohan,Jumper,14,11
15:36,Memphis,Kyvon Davenport,Missed Three Point Jumper,14,11
15:33,East Carolina,K.J. Davis,Defensive Rebound,14,11
15:27,East Carolina,K.J. Davis,Missed Jumper,14,11
15:22,East Carolina,Seth LeDay,Offensive Rebound,14,11
15:22,East Carolina,Seth LeDay,Dunk,16,11
15:12,Memphis,Kyvon Davenport,Turnover,16,11
15:12,East Carolina,Justice Obasohan,Steal,16,11
15:07,Memphis,Tyler Harris,Foul,16,11
15:07,Memphis,None,None,16,11
15:07,East Carolina,Shawn Williams,Free Throw,17,11
15:07,East Carolina,Shawn Williams,Free Throw,18,11
