TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Gonzaga,None,None,0,0
19:50,Gonzaga,Zach Norvell Jr.,Turnover,0,0
19:25,Pacific,Anthony Townes,Missed Jumper,0,0
19:25,Gonzaga,Brandon Clarke,Defensive Rebound,0,0
19:15,Pacific,Jahlil Tripp,Foul,0,0
19:08,Pacific,Jahlil Tripp,Foul,0,0
19:08,Gonzaga,Josh Perkins,Free Throw,0,1
19:08,Gonzaga,Josh Perkins,Free Throw,0,2
18:43,Pacific,Roberto Gallinat,Missed Three Point Jumper,0,2
18:43,Gonzaga,Zach Norvell Jr.,Defensive Rebound,0,2
18:17,Gonzaga,Zach Norvell Jr.,Three Point Jumper,0,5
17:58,Pacific,Ajare Sanni,Missed Jumper,0,5
17:58,Gonzaga,Zach Norvell Jr.,Defensive Rebound,0,5
17:34,Gonzaga,Josh Perkins,Turnover,0,5
17:30,Pacific,Ajare Sanni,Missed Layup,0,5
17:30,Gonzaga,Brandon Clarke,Block,0,5
17:30,Pacific,Anthony Townes,Offensive Rebound,0,5
17:17,Pacific,Roberto Gallinat,Three Point Jumper,3,5
17:04,Gonzaga,Zach Norvell Jr.,Missed Three Point Jumper,3,5
17:04,Pacific,Roberto Gallinat,Defensive Rebound,3,5
16:56,Pacific,Roberto Gallinat,Missed Layup,3,5
16:56,Gonzaga,Brandon Clarke,Block,3,5
16:56,Gonzaga,Josh Perkins,Defensive Rebound,3,5
16:51,Gonzaga,Corey Kispert,Missed Three Point Jumper,3,5
16:51,Pacific,Ajare Sanni,Defensive Rebound,3,5
16:20,Pacific,Kendall Small,Jumper,5,5
16:02,Gonzaga,Josh Perkins,Missed Three Point Jumper,5,5
16:01,Pacific,Pacific,Defensive Rebound,5,5
15:58,Gonzaga,None,None,5,5
15:40,Pacific,Roberto Gallinat,Missed Three Point Jumper,5,5
15:40,Gonzaga,Corey Kispert,Defensive Rebound,5,5
15:21,Gonzaga,Zach Norvell Jr.,Three Point Jumper,5,8
14:48,Pacific,Ajare Sanni,Missed Jumper,5,8
14:48,Gonzaga,Zach Norvell Jr.,Defensive Rebound,5,8
14:19,Pacific,Anthony Townes,Foul,5,8
14:19,Gonzaga,Brandon Clarke,Missed Free Throw,5,8
14:19,Gonzaga,None,Team Rebound,5,8
14:19,Gonzaga,Brandon Clarke,Missed Free Throw,5,8
14:19,Pacific,Jeremiah Bailey,Defensive Rebound,5,8
13:52,Pacific,Kendall Small,Missed Jumper,5,8
13:52,Gonzaga,Brandon Clarke,Defensive Rebound,5,8
13:45,Gonzaga,Rui Hachimura,Dunk,5,10
13:13,Pacific,Roberto Gallinat,Three Point Jumper,8,10
12:59,Gonzaga,Corey Kispert,Missed Three Point Jumper,8,10
12:59,Pacific,Kendall Small,Defensive Rebound,8,10
12:33,Pacific,Roberto Gallinat,Missed Three Point Jumper,8,10
12:33,Gonzaga,Corey Kispert,Defensive Rebound,8,10
12:17,Gonzaga,Rui Hachimura,Missed Jumper,8,10
12:17,Pacific,Lafayette Dorsey,Defensive Rebound,8,10
11:48,Pacific,Lafayette Dorsey,Layup,10,10
11:48,Gonzaga,Rui Hachimura,Foul,10,10
11:48,Gonzaga,None,None,10,10
11:48,Pacific,Lafayette Dorsey,Missed Free Throw,10,10
11:48,Gonzaga,Zach Norvell Jr.,Defensive Rebound,10,10
11:33,Gonzaga,Killian Tillie,Missed Jumper,10,10
11:33,Gonzaga,Gonzaga,Offensive Rebound,10,10
11:19,Gonzaga,Josh Perkins,Turnover,10,10
11:19,Pacific,Zach Cameron,Steal,10,10
10:51,Pacific,Jahbril Price-Noel,Turnover,10,10
10:51,Gonzaga,Brandon Clarke,Steal,10,10
10:46,Gonzaga,Zach Norvell Jr.,Layup,10,12
10:33,Pacific,Jahbril Price-Noel,Turnover,10,12
10:29,Gonzaga,Zach Norvell Jr.,Three Point Jumper,10,15
9:58,Pacific,Jahbril Price-Noel,Missed Layup,10,15
9:58,Gonzaga,Killian Tillie,Defensive Rebound,10,15
9:52,Gonzaga,Josh Perkins,Three Point Jumper,10,18
9:20,Pacific,Kendall Small,Missed Layup,10,18
9:20,Gonzaga,Brandon Clarke,Block,10,18
9:20,Pacific,Kendall Small,Offensive Rebound,10,18
9:13,Pacific,Pacific ,Turnover,10,18
9:08,Pacific,Anthony Townes,Foul,10,18
9:06,Gonzaga,Zach Norvell Jr.,Missed Three Point Jumper,10,18
9:06,Pacific,Jeremiah Bailey,Defensive Rebound,10,18
8:43,Pacific,Roberto Gallinat,Turnover,10,18
8:43,Gonzaga,Rui Hachimura,Steal,10,18
8:41,Pacific,Roberto Gallinat,Foul,10,18
8:26,Gonzaga,Killian Tillie,Foul,10,18
8:26,Gonzaga,Killian Tillie,Turnover,10,18
7:59,Gonzaga,None,None,10,18
7:58,Gonzaga,None,None,10,18
7:57,Pacific,Ajare Sanni,Missed Three Point Jumper,10,18
7:57,Pacific,Anthony Townes,Offensive Rebound,10,18
7:36,Pacific,Roberto Gallinat,Turnover,10,18
7:26,Gonzaga,Geno Crandall,Turnover,10,18
7:26,Pacific,Anthony Townes,Steal,10,18
6:58,Pacific,Kendall Small,Missed Jumper,10,18
6:58,Gonzaga,Corey Kispert,Defensive Rebound,10,18
6:44,Gonzaga,Killian Tillie,Turnover,10,18
6:44,Pacific,Kendall Small,Steal,10,18
6:17,Pacific,Ajare Sanni,Turnover,10,18
6:17,Gonzaga,Corey Kispert,Steal,10,18
6:10,Gonzaga,Killian Tillie,Jumper,10,20
5:57,Pacific,Jeremiah Bailey,Turnover,10,20
5:45,Gonzaga,Brandon Clarke,Dunk,10,22
5:30,Pacific,Lafayette Dorsey,Layup,12,22
5:12,Pacific,Lafayette Dorsey,Foul,12,22
5:03,Gonzaga,Josh Perkins,Missed Three Point Jumper,12,22
5:03,Pacific,Jahbril Price-Noel,Defensive Rebound,12,22
4:39,Gonzaga,Corey Kispert,Foul,12,22
4:31,Gonzaga,Zach Norvell Jr.,Foul,12,22
4:31,Pacific,Jahbril Price-Noel,Missed Free Throw,12,22
4:31,Pacific,None,Team Rebound,12,22
4:31,Pacific,Jahbril Price-Noel,Free Throw,13,22
4:26,Gonzaga,Josh Perkins,Layup,13,24
3:56,Pacific,Lafayette Dorsey,Turnover,13,24
3:56,Gonzaga,None,None,13,24
3:36,Gonzaga,Corey Kispert,Turnover,13,24
3:25,Pacific,Jeremiah Bailey,Turnover,13,24
