TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:34,Longwood,JaShaun Smith,Missed Three Point Jumper,0,0
19:34,UNC Asheville,Tajion Jones,Defensive Rebound,0,0
19:13,UNC Asheville,Donovan Gilmore,Jumper,2,0
19:06,Longwood,JaShaun Smith,Foul,2,0
19:06,Longwood,JaShaun Smith,Turnover,2,0
18:45,Longwood,JaShaun Smith,Foul,2,0
18:25,UNC Asheville,Devon Baker,Jumper,4,0
18:10,Longwood,Damarion Geter,Turnover,4,0
17:47,UNC Asheville,Tajion Jones,Missed Three Point Jumper,4,0
17:47,UNC Asheville,Jalen Seegars,Offensive Rebound,4,0
17:41,UNC Asheville,Jalen Seegars,Layup,6,0
17:31,Longwood,Jaylon Wilson,Three Point Jumper,6,3
16:59,UNC Asheville,Donovan Gilmore,Turnover,6,3
16:44,Longwood,Jaylon Wilson,Missed Three Point Jumper,6,3
16:44,Longwood,Spencer Franklin,Offensive Rebound,6,3
16:39,Longwood,Spencer Franklin,Layup,6,5
16:14,UNC Asheville,Donovan Gilmore,Jumper,8,5
15:52,Longwood,Isaiah Walton,Turnover,8,5
15:52,Longwood,None,None,8,5
15:23,UNC Asheville,Jalen Seegars,Missed Three Point Jumper,8,5
15:23,Longwood,Spencer Franklin,Defensive Rebound,8,5
15:15,Longwood,Damarion Geter,Missed Dunk,8,5
15:15,UNC Asheville,Jalen Seegars,Block,8,5
15:13,UNC Asheville,LJ Thorpe,Defensive Rebound,8,5
15:00,UNC Asheville,Donovan Gilmore,Turnover,8,5
14:59,Longwood,Sean Flood,Steal,8,5
14:56,UNC Asheville,Jalen Seegars,Foul,8,5
14:56,Longwood,Damarion Geter,Missed Free Throw,8,5
14:56,Longwood,None,Team Rebound,8,5
14:56,Longwood,Damarion Geter,Missed Free Throw,8,5
14:56,UNC Asheville,Coty Jude,Defensive Rebound,8,5
14:28,UNC Asheville,Coty Jude,Missed Three Point Jumper,8,5
14:28,Longwood,Damarion Geter,Defensive Rebound,8,5
14:20,Longwood,Shabooty Phillips,Missed Three Point Jumper,8,5
14:20,Longwood,Jaylon Wilson,Offensive Rebound,8,5
14:08,UNC Asheville,Coty Jude,Foul,8,5
14:08,Longwood,Jordan Cintron,Free Throw,8,6
14:08,Longwood,Jordan Cintron,Free Throw,8,7
14:00,Longwood,Sean Flood,Foul,8,7
13:40,UNC Asheville,Coty Jude,Missed Three Point Jumper,8,7
13:40,Longwood,Isaiah Walton,Defensive Rebound,8,7
13:37,UNC Asheville,Jeremy Peck,Foul,8,7
13:17,Longwood,Isaiah Walton,Missed Three Point Jumper,8,7
