TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,UT Martin,Jailen Gill,Turnover,0,0
19:46,Austin Peay,Chris Porter-Bunton,Steal,0,0
19:40,Austin Peay,Chris Porter-Bunton,Layup,2,0
19:27,UT Martin,Delfincko Bogan,Layup,2,2
19:13,UT Martin,Derek Hawthorne Jr.,Foul,2,2
19:11,Austin Peay,Chris Porter-Bunton,Missed Jumper,2,2
19:08,Austin Peay,Jarrett Givens,Offensive Rebound,2,2
18:52,Austin Peay,Jarrett Givens,Three Point Jumper,5,2
18:38,UT Martin,Jailen Gill,Missed Jumper,5,2
18:35,UT Martin,Jailen Gill,Offensive Rebound,5,2
18:34,UT Martin,Jailen Gill,Missed Jumper,5,2
18:34,Austin Peay,Austin Peay,Defensive Rebound,5,2
18:17,Austin Peay,Zach Glotta,Missed Jumper,5,2
18:13,UT Martin,Kevin Little,Defensive Rebound,5,2
18:00,UT Martin,Quintin Dove,Turnover,5,2
17:39,Austin Peay,Terry Taylor,Missed Layup,5,2
17:39,UT Martin,Derek Hawthorne Jr.,Block,5,2
17:34,UT Martin,Delfincko Bogan,Defensive Rebound,5,2
17:24,UT Martin,Kevin Little,Three Point Jumper,5,5
17:15,Austin Peay,Jarrett Givens,Three Point Jumper,8,5
16:56,UT Martin,Delfincko Bogan,Missed Three Point Jumper,8,5
16:53,Austin Peay,Terry Taylor,Defensive Rebound,8,5
16:44,Austin Peay,Chris Porter-Bunton,Turnover,8,5
16:16,UT Martin,Kevin Little,Turnover,8,5
16:02,UT Martin,Quintin Dove,Foul,8,5
16:02,Austin Peay,Jabari McGhee,Missed Free Throw,8,5
16:02,Austin Peay,None,Team Rebound,8,5
16:02,Austin Peay,Jabari McGhee,Missed Free Throw,8,5
16:02,Austin Peay,Jarrett Givens,Offensive Rebound,8,5
15:45,Austin Peay,Zach Glotta,Missed Three Point Jumper,8,5
15:42,Austin Peay,Jarrett Givens,Offensive Rebound,8,5
15:31,Austin Peay,Steve Harris,Dunk,10,5
15:17,UT Martin,Preston Parks,Three Point Jumper,10,8
15:04,Austin Peay,Jarrett Givens,Three Point Jumper,13,8
14:52,UT Martin,Preston Parks,Missed Jumper,13,8
14:52,Austin Peay,Jabari McGhee,Block,13,8
14:47,Austin Peay,Jarrett Givens,Defensive Rebound,13,8
14:44,Austin Peay,Terry Taylor,Missed Three Point Jumper,13,8
14:41,UT Martin,UT Martin,Defensive Rebound,13,8
14:39,UT Martin,None,None,13,8
14:22,UT Martin,Kevin Little,Three Point Jumper,13,11
14:12,Austin Peay,Steve Harris,Turnover,13,11
13:56,UT Martin,Derek Hawthorne Jr.,Missed Three Point Jumper,13,11
13:53,Austin Peay,Terry Taylor,Defensive Rebound,13,11
13:43,Austin Peay,Jarrett Givens,Three Point Jumper,16,11
13:21,UT Martin,Kevin Little,Missed Three Point Jumper,16,11
13:18,Austin Peay,Jabari McGhee,Defensive Rebound,16,11
13:13,Austin Peay,Terry Taylor,Layup,18,11
12:57,UT Martin,Fatodd Lewis,Turnover,18,11
12:57,Austin Peay,Chris Porter-Bunton,Steal,18,11
12:52,Austin Peay,Isaiah Hart,Missed Three Point Jumper,18,11
12:44,Austin Peay,Jabari McGhee,Offensive Rebound,18,11
12:44,Austin Peay,Jabari McGhee,Missed Layup,18,11
12:43,UT Martin,Preston Parks,Defensive Rebound,18,11
12:40,UT Martin,Preston Parks,Turnover,18,11
12:40,Austin Peay,Chris Porter-Bunton,Steal,18,11
12:32,UT Martin,Preston Parks,Foul,18,11
12:16,Austin Peay,Chris Porter-Bunton,Layup,20,11
11:58,UT Martin,Parrish Hewitt,Three Point Jumper,20,14
11:45,Austin Peay,Jabari McGhee,Layup,22,14
11:36,UT Martin,Kevin Little,Missed Three Point Jumper,22,14
11:33,Austin Peay,Jabari McGhee,Defensive Rebound,22,14
11:26,Austin Peay,Chris Porter-Bunton,Missed Three Point Jumper,22,14
11:24,UT Martin,Preston Parks,Defensive Rebound,22,14
11:14,UT Martin,Preston Parks,Missed Layup,22,14
11:13,UT Martin,Fatodd Lewis,Offensive Rebound,22,14
11:11,Austin Peay,Chris Porter-Bunton,Foul,22,14
11:11,UT Martin,None,None,22,14
11:11,UT Martin,Fatodd Lewis,Free Throw,22,15
11:11,UT Martin,Fatodd Lewis,Free Throw,22,16
10:48,Austin Peay,Antwuan Butler,Jumper,24,16
10:29,UT Martin,Derek Hawthorne Jr.,Layup,24,18
10:20,Austin Peay,Dayton Gumm,Turnover,24,18
10:20,UT Martin,Quintin Dove,Steal,24,18
10:11,UT Martin,Preston Parks,Three Point Jumper,24,21
9:49,Austin Peay,Jarrett Givens,Missed Jumper,24,21
9:48,UT Martin,Parrish Hewitt,Defensive Rebound,24,21
9:48,Austin Peay,Jarrett Givens,Foul,24,21
9:34,UT Martin,Quintin Dove,Missed Jumper,24,21
9:31,Austin Peay,Terry Taylor,Defensive Rebound,24,21
9:16,Austin Peay,Chris Porter-Bunton,Turnover,24,21
9:16,UT Martin,Derek Hawthorne Jr.,Steal,24,21
9:15,Austin Peay,Chris Porter-Bunton,Foul,24,21
9:03,UT Martin,Preston Parks,Turnover,24,21
8:46,Austin Peay,Terry Taylor,Layup,26,21
8:29,UT Martin,Derek Hawthorne Jr.,Missed Layup,26,21
8:25,UT Martin,Quintin Dove,Offensive Rebound,26,21
8:24,UT Martin,Quintin Dove,Layup,26,23
8:14,Austin Peay,Steve Harris,Missed Jumper,26,23
8:11,Austin Peay,Steve Harris,Offensive Rebound,26,23
8:10,Austin Peay,Steve Harris,Turnover,26,23
8:10,UT Martin,Preston Parks,Steal,26,23
8:06,UT Martin,Quintin Dove,Dunk,26,25
8:01,UT Martin,None,None,26,25
7:38,Austin Peay,Jarrett Givens,Missed Three Point Jumper,26,25
7:35,UT Martin,Kevin Little,Defensive Rebound,26,25
7:23,UT Martin,Kevin Little,Three Point Jumper,26,28
7:04,Austin Peay,Terry Taylor,Layup,28,28
6:47,UT Martin,Preston Parks,Jumper,28,30
6:13,Austin Peay,Jabari McGhee,Layup,30,30
6:04,Austin Peay,Steve Harris,Foul,30,30
6:04,UT Martin,Delfincko Bogan,Free Throw,30,31
6:04,UT Martin,Delfincko Bogan,Free Throw,30,32
5:45,Austin Peay,Jarrett Givens,Jumper,32,32
5:38,UT Martin,Preston Parks,Missed Jumper,32,32
5:36,Austin Peay,Antwuan Butler,Defensive Rebound,32,32
5:36,UT Martin,Delfincko Bogan,Foul,32,32
5:15,Austin Peay,Jabari McGhee,Missed Jumper,32,32
5:13,Austin Peay,Jabari McGhee,Offensive Rebound,32,32
5:12,Austin Peay,Jabari McGhee,Layup,34,32
4:53,UT Martin,Preston Parks,Turnover,34,32
4:53,Austin Peay,Jarrett Givens,Steal,34,32
4:32,Austin Peay,Jabari McGhee,Layup,36,32
4:12,UT Martin,Derek Hawthorne Jr.,Missed Layup,36,32
4:12,Austin Peay,Terry Taylor,Block,36,32
4:08,Austin Peay,Jabari McGhee,Defensive Rebound,36,32
4:07,UT Martin,Kevin Little,Foul,36,32
3:54,Austin Peay,Terry Taylor,Missed Jumper,36,32
3:52,UT Martin,Preston Parks,Defensive Rebound,36,32
3:47,Austin Peay,Dayton Gumm,Foul,36,32
3:47,UT Martin,None,None,36,32
3:44,UT Martin,Kevin Little,Missed Three Point Jumper,36,32
3:41,UT Martin,Fatodd Lewis,Offensive Rebound,36,32
3:37,Austin Peay,Richard Henderson,Foul,36,32
3:37,UT Martin,Fatodd Lewis,Free Throw,36,33
3:37,UT Martin,Fatodd Lewis,Missed Free Throw,36,33
3:37,Austin Peay,Jabari McGhee,Defensive Rebound,36,33
3:36,UT Martin,Minfeke Sanoe,Foul,36,33
3:18,Austin Peay,Dayton Gumm,Foul,36,33
3:18,Austin Peay,Dayton Gumm,Turnover,36,33
2:59,UT Martin,Fatodd Lewis,Three Point Jumper,36,36
2:52,UT Martin,Delfincko Bogan,Foul,36,36
2:52,Austin Peay,Zach Glotta,Free Throw,37,36
2:52,Austin Peay,Zach Glotta,Missed Free Throw,37,36
2:52,UT Martin,Fatodd Lewis,Defensive Rebound,37,36
2:43,UT Martin,Kevin Little,Missed Jumper,37,36
