TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:57,Bowling Green,Dylan Frye,Foul,0,0
19:38,Central Michigan,Robert Montgomery,Missed Jumper,0,0
19:38,Bowling Green,Demajeo Wiggins,Defensive Rebound,0,0
19:23,Bowling Green,Caleb Fields,Three Point Jumper,3,0
19:02,Central Michigan,Kevin McKay,Layup,3,2
18:44,Bowling Green,Demajeo Wiggins,Missed Jumper,3,2
18:44,Central Michigan,Kevin McKay,Block,3,2
18:42,Bowling Green,Justin Turner,Offensive Rebound,3,2
18:39,Central Michigan,Larry Austin Jr.,Foul,3,2
18:39,Bowling Green,Daeqwon Plowden,Free Throw,4,2
18:37,Bowling Green,Daeqwon Plowden,Missed Free Throw,4,2
18:37,Central Michigan,David DiLeo,Defensive Rebound,4,2
18:26,Bowling Green,Daeqwon Plowden,Foul,4,2
18:26,Central Michigan,Robert Montgomery,Free Throw,4,3
18:26,Central Michigan,Robert Montgomery,Missed Free Throw,4,3
18:26,Bowling Green,Caleb Fields,Defensive Rebound,4,3
18:19,Bowling Green,Justin Turner,Jumper,6,3
17:57,Central Michigan,Kevin McKay,Missed Three Point Jumper,6,3
17:57,Bowling Green,Demajeo Wiggins,Defensive Rebound,6,3
17:48,Bowling Green,Demajeo Wiggins,Turnover,6,3
17:48,Bowling Green,Demajeo Wiggins,Foul,6,3
17:36,Central Michigan,Shawn Roundtree,Jumper,6,5
17:22,Bowling Green,Dylan Frye,Three Point Jumper,9,5
17:12,Central Michigan,Kevin McKay,Turnover,9,5
17:12,Central Michigan,Kevin McKay,Foul,9,5
16:53,Bowling Green,Daeqwon Plowden,Three Point Jumper,12,5
16:31,Central Michigan,David DiLeo,Missed Three Point Jumper,12,5
16:31,Bowling Green,Daeqwon Plowden,Defensive Rebound,12,5
16:16,Bowling Green,Caleb Fields,Missed Three Point Jumper,12,5
16:16,Central Michigan,Shawn Roundtree,Defensive Rebound,12,5
15:56,Central Michigan,Larry Austin Jr.,Missed Layup,12,5
15:56,Bowling Green,Demajeo Wiggins,Defensive Rebound,12,5
15:46,Bowling Green,Daeqwon Plowden,Turnover,12,5
15:46,Bowling Green,Daeqwon Plowden,Foul,12,5
15:46,Central Michigan,None,None,12,5
15:36,Central Michigan,Kevin McKay,Layup,12,7
15:07,Bowling Green,Justin Turner,Missed Layup,12,7
15:07,Bowling Green,Demajeo Wiggins,Offensive Rebound,12,7
15:01,Bowling Green,Demajeo Wiggins,Missed Layup,12,7
15:01,Central Michigan,Larry Austin Jr.,Block,12,7
15:00,Central Michigan,Central Michigan,Defensive Rebound,12,7
14:47,Bowling Green,Caleb Fields,Foul,12,7
14:47,Central Michigan,Larry Austin Jr.,Free Throw,12,8
14:47,Central Michigan,Larry Austin Jr.,Missed Free Throw,12,8
14:47,Bowling Green,Marlon Sierra,Defensive Rebound,12,8
14:32,Bowling Green,Michael Laster,Turnover,12,8
14:31,Central Michigan,Matt Beachler,Steal,12,8
14:29,Central Michigan,Larry Austin Jr.,Layup,12,10
