TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Charlotte,Milos Supica,Missed Layup,0,0
19:43,Florida Atlantic,Simeon Lepichev,Block,0,0
19:41,Florida Atlantic,Madiaw Niang,Defensive Rebound,0,0
19:26,Florida Atlantic,Michael Forrest,Missed Layup,0,0
19:26,Florida Atlantic,Anthony Adger,Offensive Rebound,0,0
19:14,Florida Atlantic,Anthony Adger,Missed Three Point Jumper,0,0
19:14,Charlotte,Milos Supica,Defensive Rebound,0,0
18:48,Charlotte,Milos Supica,Missed Layup,0,0
18:48,Florida Atlantic,Madiaw Niang,Defensive Rebound,0,0
18:38,Florida Atlantic,Anthony Adger,Missed Layup,0,0
18:38,Charlotte,Cooper Robb,Defensive Rebound,0,0
18:28,Charlotte,Brandon Younger,Missed Layup,0,0
18:28,Florida Atlantic,Simeon Lepichev,Defensive Rebound,0,0
18:17,Florida Atlantic,Madiaw Niang,Missed Three Point Jumper,0,0
18:17,Charlotte,Jaylan McGill,Defensive Rebound,0,0
17:57,Charlotte,Milos Supica,Layup,2,0
17:29,Florida Atlantic,Simeon Lepichev,Missed Jumper,2,0
17:29,Charlotte,Jon Davis,Defensive Rebound,2,0
17:14,Charlotte,Milos Supica,Turnover,2,0
17:13,Florida Atlantic,Simeon Lepichev,Steal,2,0
17:09,Florida Atlantic,Anthony Adger,Missed Layup,2,0
17:09,Florida Atlantic,Simeon Lepichev,Offensive Rebound,2,0
17:06,Florida Atlantic,Simeon Lepichev,Layup,2,2
16:47,Charlotte,Brandon Younger,Jumper,4,2
16:31,Florida Atlantic,Michael Forrest,Jumper,4,4
16:10,Charlotte,Cooper Robb,Layup,6,4
15:43,Florida Atlantic,Richardson Maitre,Missed Jumper,6,4
15:43,Charlotte,Cooper Robb,Defensive Rebound,6,4
15:34,Charlotte,Cooper Robb,Three Point Jumper,9,4
15:16,Florida Atlantic,Anthony Adger,Jumper,9,6
14:57,Charlotte,Brandon Younger,Turnover,9,6
14:57,Florida Atlantic,None,None,9,6
14:48,Florida Atlantic,Michael Forrest,Turnover,9,6
14:24,Charlotte,Brandon Younger,Foul,9,6
14:24,Charlotte,Brandon Younger,Turnover,9,6
14:11,Florida Atlantic,Michael Forrest,Three Point Jumper,9,9
13:41,Charlotte,Jailan Haslem,Missed Jumper,9,9
13:41,Florida Atlantic,Aleksandar Zecevic,Defensive Rebound,9,9
13:31,Florida Atlantic,Aleksandar Zecevic,Layup,9,11
13:12,Charlotte,Brandon Younger,Missed Jumper,9,11
13:12,Florida Atlantic,Michael Forrest,Defensive Rebound,9,11
13:01,Florida Atlantic,Kevaughn Ellis,Turnover,9,11
13:00,Charlotte,Brandon Younger,Steal,9,11
12:43,Charlotte,Jon Davis,Jumper,11,11
12:27,Florida Atlantic,Kevaughn Ellis,Missed Three Point Jumper,11,11
12:27,Charlotte,Charlotte,Defensive Rebound,11,11
12:18,Florida Atlantic,Richardson Maitre,Foul,11,11
12:06,Charlotte,Bo Blight,Missed Three Point Jumper,11,11
12:06,Florida Atlantic,Richardson Maitre,Defensive Rebound,11,11
11:56,Florida Atlantic,Xavian Stapleton,Missed Three Point Jumper,11,11
11:56,Charlotte,Cooper Robb,Defensive Rebound,11,11
11:53,Florida Atlantic,Kevaughn Ellis,Foul,11,11
11:52,Florida Atlantic,None,None,11,11
11:36,Charlotte,Cooper Robb,Missed Three Point Jumper,11,11
11:36,Florida Atlantic,Karlis Silins,Defensive Rebound,11,11
11:14,Florida Atlantic,Simeon Lepichev,Foul,11,11
11:14,Florida Atlantic,Simeon Lepichev,Turnover,11,11
11:00,Charlotte,Milos Supica,Turnover,11,11
10:58,Florida Atlantic,Xavian Stapleton,Steal,11,11
10:47,Charlotte,Milos Supica,Foul,11,11
10:46,Florida Atlantic,Michael Forrest,Turnover,11,11
10:44,Charlotte,Dravon Mangum,Steal,11,11
10:36,Charlotte,Jon Davis,Missed Three Point Jumper,11,11
10:36,Florida Atlantic,Simeon Lepichev,Defensive Rebound,11,11
10:21,Florida Atlantic,Michael Forrest,Turnover,11,11
10:20,Charlotte,Brandon Younger,Steal,11,11
10:17,Charlotte,Jon Davis,Layup,13,11
10:00,Florida Atlantic,Richardson Maitre,Missed Jumper,13,11
10:00,Charlotte,Milos Supica,Block,13,11
9:54,Charlotte,Jon Davis,Defensive Rebound,13,11
9:39,Charlotte,Cooper Robb,Missed Jumper,13,11
9:39,Florida Atlantic,Xavian Stapleton,Block,13,11
9:36,Charlotte,Dravon Mangum,Offensive Rebound,13,11
9:32,Charlotte,Dravon Mangum,Turnover,13,11
9:05,Charlotte,Milos Supica,Foul,13,11
9:00,Florida Atlantic,Michael Forrest,Missed Three Point Jumper,13,11
9:00,Charlotte,Jon Davis,Defensive Rebound,13,11
8:53,Charlotte,Jon Davis,Layup,15,11
8:45,Florida Atlantic,Michael Forrest,Missed Three Point Jumper,15,11
8:45,Charlotte,Charlotte,Defensive Rebound,15,11
8:21,Charlotte,Brandon Younger,Missed Jumper,15,11
8:21,Florida Atlantic,Michael Forrest,Defensive Rebound,15,11
8:11,Florida Atlantic,Madiaw Niang,Missed Three Point Jumper,15,11
8:11,Charlotte,Jon Davis,Defensive Rebound,15,11
7:51,Charlotte,Jaylan McGill,Missed Three Point Jumper,15,11
7:51,Florida Atlantic,Madiaw Niang,Defensive Rebound,15,11
7:42,Charlotte,Jailan Haslem,Foul,15,11
7:42,Florida Atlantic,Michael Forrest,Free Throw,15,12
7:42,Florida Atlantic,Michael Forrest,Free Throw,15,13
7:23,Charlotte,Jaylan McGill,Three Point Jumper,18,13
6:51,Florida Atlantic,Anthony Adger,Three Point Jumper,18,16
6:30,Charlotte,Jon Davis,Turnover,18,16
6:28,Florida Atlantic,Aleksandar Zecevic,Steal,18,16
6:14,Florida Atlantic,Anthony Adger,Foul,18,16
6:14,Florida Atlantic,Anthony Adger,Turnover,18,16
5:57,Charlotte,John Kitoko,Missed Three Point Jumper,18,16
5:57,Florida Atlantic,Anthony Adger,Defensive Rebound,18,16
5:45,Florida Atlantic,Cedric Jackson,Missed Three Point Jumper,18,16
5:45,Florida Atlantic,Offensive Rebound.,Offensive Rebound,18,16
