TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Idaho State,Balint Mocsan,Foul,0,0
19:34,Sacramento State,Marcus Graves,Missed Three Point Jumper,0,0
19:34,Idaho State,Kelvin Jones,Defensive Rebound,0,0
19:25,Idaho State,Brandon Boyd,Turnover,0,0
18:58,Sacramento State,Marcus Graves,Layup,0,2
18:33,Idaho State,Kelvin Jones,Dunk,2,2
18:14,Sacramento State,Izayah Mauriohooho-Le'afa,Jumper,2,4
17:53,Idaho State,Chier Maker,Missed Three Point Jumper,2,4
17:53,Sacramento State,Joshua Patton,Defensive Rebound,2,4
17:38,Sacramento State,Joshua Patton,Missed Layup,2,4
17:38,Idaho State,Kelvin Jones,Block,2,4
17:36,Idaho State,Brandon Boyd,Defensive Rebound,2,4
17:33,Idaho State,Brandon Boyd,Missed Layup,2,4
17:33,Sacramento State,Izayah Mauriohooho-Le'afa,Block,2,4
17:33,Idaho State,Idaho State,Offensive Rebound,2,4
17:29,Idaho State,Kelvin Jones,Missed Jumper,2,4
17:29,Idaho State,Idaho State,Offensive Rebound,2,4
17:16,Idaho State,Chier Maker,Three Point Jumper,5,4
17:05,Sacramento State,Izayah Mauriohooho-Le'afa,Missed Layup,5,4
17:05,Idaho State,Chier Maker,Defensive Rebound,5,4
16:58,Idaho State,Brandon Boyd,Missed Jumper,5,4
16:58,Idaho State,Idaho State,Offensive Rebound,5,4
16:47,Idaho State,Kelvin Jones,Missed Layup,5,4
16:47,Sacramento State,Osi Nwachukwu,Defensive Rebound,5,4
16:30,Idaho State,Brandon Boyd,Foul,5,4
16:18,Sacramento State,Izayah Mauriohooho-Le'afa,Missed Jumper,5,4
16:18,Sacramento State,Joshua Patton,Offensive Rebound,5,4
16:15,Idaho State,Jared Stutzman,Foul,5,4
16:04,Sacramento State,Osi Nwachukwu,Turnover,5,4
15:54,Idaho State,Jared Stutzman,Three Point Jumper,8,4
15:46,Sacramento State,None,None,8,4
15:27,Sacramento State,Joshua Patton,Layup,8,6
15:10,Idaho State,Balint Mocsan,Missed Jumper,8,6
15:10,Sacramento State,Bryce Fowler,Defensive Rebound,8,6
14:55,Sacramento State,Calvin Martin,Turnover,8,6
14:53,Idaho State,Balint Mocsan,Steal,8,6
14:50,Idaho State,Sam Dowd,Layup,10,6
14:30,Sacramento State,Izayah Mauriohooho-Le'afa,Three Point Jumper,10,9
14:06,Idaho State,Balint Mocsan,Turnover,10,9
14:04,Sacramento State,Bryce Fowler,Steal,10,9
13:59,Sacramento State,Izayah Mauriohooho-Le'afa,Missed Three Point Jumper,10,9
13:59,Idaho State,Jared Stutzman,Defensive Rebound,10,9
13:50,Idaho State,Jared Stutzman,Turnover,10,9
13:29,Sacramento State,Bryce Fowler,Turnover,10,9
13:05,Sacramento State,Marcus Graves,Foul,10,9
13:05,Idaho State,Brandon Boyd,Free Throw,11,9
13:05,Idaho State,Brandon Boyd,Free Throw,12,9
12:52,Sacramento State,Bryce Fowler,Missed Jumper,12,9
12:52,Idaho State,Kelvin Jones,Defensive Rebound,12,9
12:26,Idaho State,Gary Chivichyan,Missed Three Point Jumper,12,9
12:26,Idaho State,Chidi Udengwu,Offensive Rebound,12,9
12:26,Sacramento State,Bryce Fowler,Foul,12,9
12:18,Idaho State,Chidi Udengwu,Missed Layup,12,9
12:18,Sacramento State,Marcus Graves,Defensive Rebound,12,9
12:08,Sacramento State,Ethan Esposito,Missed Jumper,12,9
12:08,Idaho State,Gary Chivichyan,Defensive Rebound,12,9
11:42,Idaho State,Austin Smellie,Three Point Jumper,15,9
11:28,Sacramento State,Ethan Esposito,Foul,15,9
11:28,Sacramento State,Ethan Esposito,Turnover,15,9
11:28,Sacramento State,None,None,15,9
11:04,Idaho State,Chidi Udengwu,Layup,17,9
11:04,Sacramento State,Chibueze Jacobs,Foul,17,9
11:04,Idaho State,Chidi Udengwu,Free Throw,18,9
10:53,Sacramento State,Jordan Tolbert,Missed Jumper,18,9
10:53,Idaho State,Chidi Udengwu,Defensive Rebound,18,9
10:45,Idaho State,Brandon Boyd,Turnover,18,9
10:20,Sacramento State,Chibueze Jacobs,Missed Jumper,18,9
10:20,Sacramento State,Joshua Patton,Offensive Rebound,18,9
10:20,Idaho State,Alonzo Walker,Foul,18,9
10:05,Sacramento State,Izayah Mauriohooho-Le'afa,Layup,18,11
9:48,Sacramento State,Jordan Tolbert,Foul,18,11
9:26,Idaho State,Brandon Boyd,Missed Three Point Jumper,18,11
9:26,Sacramento State,Jordan Tolbert,Defensive Rebound,18,11
9:19,Sacramento State,Chibueze Jacobs,Three Point Jumper,18,14
8:53,Idaho State,Chidi Udengwu,Layup,20,14
8:53,Sacramento State,Joshua Patton,Foul,20,14
8:53,Idaho State,Chidi Udengwu,Missed Free Throw,20,14
8:53,Sacramento State,Chibueze Jacobs,Defensive Rebound,20,14
8:37,Sacramento State,Marcus Graves,Missed Jumper,20,14
8:37,Idaho State,Chier Maker,Defensive Rebound,20,14
8:17,Idaho State,Kelvin Jones,Dunk,22,14
7:58,Sacramento State,Joshua Patton,Missed Layup,22,14
7:58,Idaho State,Kelvin Jones,Defensive Rebound,22,14
7:57,Sacramento State,Joshua Patton,Foul,22,14
7:57,Sacramento State,None,None,22,14
7:57,Idaho State,Kelvin Jones,Free Throw,23,14
7:57,Idaho State,Kelvin Jones,Free Throw,24,14
7:44,Sacramento State,Bryce Fowler,Missed Layup,24,14
7:44,Sacramento State,Bryce Fowler,Offensive Rebound,24,14
7:41,Idaho State,Kelvin Jones,Foul,24,14
7:22,Sacramento State,Izayah Mauriohooho-Le'afa,Three Point Jumper,24,17
