TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,North Carolina,None,None,0,0
19:53,North Carolina,Luke Maye,Missed Jumper,0,0
19:53,Louisville,Jordan Nwora,Defensive Rebound,0,0
19:29,Louisville,Malik Williams,Turnover,0,0
19:29,North Carolina,Luke Maye,Steal,0,0
19:13,North Carolina,Garrison Brooks,Layup,0,2
19:13,Louisville,Khwan Fore,Foul,0,2
19:13,North Carolina,Garrison Brooks,Free Throw,0,3
19:00,Louisville,Dwayne Sutton,Three Point Jumper,3,3
18:54,North Carolina,Coby White,Turnover,3,3
18:54,Louisville,Khwan Fore,Steal,3,3
18:52,North Carolina,Coby White,Foul,3,3
18:38,Louisville,Jordan Nwora,Three Point Jumper,6,3
18:19,North Carolina,Luke Maye,Missed Three Point Jumper,6,3
18:19,Louisville,Dwayne Sutton,Defensive Rebound,6,3
18:00,North Carolina,Garrison Brooks,Foul,6,3
17:45,Louisville,Dwayne Sutton,Layup,8,3
17:33,North Carolina,Coby White,Turnover,8,3
17:33,Louisville,Christen Cunningham,Steal,8,3
17:24,Louisville,Christen Cunningham,Jumper,10,3
17:24,North Carolina,Coby White,Foul,10,3
17:24,Louisville,Christen Cunningham,Missed Free Throw,10,3
17:24,North Carolina,Luke Maye,Defensive Rebound,10,3
17:10,Louisville,Dwayne Sutton,Foul,10,3
17:10,North Carolina,Cameron Johnson,Free Throw,10,4
17:10,North Carolina,Cameron Johnson,Missed Free Throw,10,4
17:10,North Carolina,Cameron Johnson,Offensive Rebound,10,4
17:06,North Carolina,Cameron Johnson,Layup,10,6
16:44,Louisville,Dwayne Sutton,Layup,12,6
16:27,North Carolina,Luke Maye,Missed Jumper,12,6
16:27,Louisville,Malik Williams,Defensive Rebound,12,6
16:06,Louisville,Malik Williams,Three Point Jumper,15,6
15:59,North Carolina,Cameron Johnson,Jumper,15,8
15:39,Louisville,Jordan Nwora,Three Point Jumper,18,8
15:13,Louisville,Malik Williams,Foul,18,8
15:13,North Carolina,None,None,18,8
15:13,North Carolina,Luke Maye,Free Throw,18,9
15:13,North Carolina,Luke Maye,Free Throw,18,10
15:03,Louisville,None,None,18,10
14:50,Louisville,Steven Enoch,Missed Jumper,18,10
14:50,North Carolina,Seventh Woods,Defensive Rebound,18,10
14:30,North Carolina,Seventh Woods,Missed Three Point Jumper,18,10
14:30,North Carolina,North Carolina,Offensive Rebound,18,10
14:29,Louisville,V.J. King,Foul,18,10
14:22,North Carolina,Nassir Little,Missed Jumper,18,10
14:22,Louisville,Steven Enoch,Defensive Rebound,18,10
14:03,Louisville,Steven Enoch,Layup,20,10
13:47,North Carolina,Cameron Johnson,Missed Three Point Jumper,20,10
13:47,Louisville,Louisville,Defensive Rebound,20,10
13:20,Louisville,Dwayne Sutton,Missed Three Point Jumper,20,10
13:20,North Carolina,Luke Maye,Defensive Rebound,20,10
13:12,North Carolina,Seventh Woods,Missed Layup,20,10
13:12,North Carolina,Luke Maye,Offensive Rebound,20,10
13:03,North Carolina,Seventh Woods,Layup,20,12
12:28,Louisville,Darius Perry,Missed Three Point Jumper,20,12
12:28,North Carolina,North Carolina,Defensive Rebound,20,12
12:19,North Carolina,Leaky Black,Jumper,20,14
11:51,Louisville,Steven Enoch,Three Point Jumper,23,14
11:37,North Carolina,None,None,23,14
