TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Nevada,None,None,0,0
19:56,Nevada,Cody Martin,Layup,2,0
19:45,Fresno State,Nate Grimes,Missed Layup,2,0
19:45,Nevada,Caleb Martin,Block,2,0
19:45,Fresno State,Noah Blackwell,Offensive Rebound,2,0
19:37,Fresno State,Braxton Huggins,Missed Three Point Jumper,2,0
19:37,Fresno State,Sam Bittner,Offensive Rebound,2,0
19:16,Fresno State,Noah Blackwell,Missed Three Point Jumper,2,0
19:16,Nevada,Jordan Caroline,Defensive Rebound,2,0
19:05,Nevada,Corey Henson,Missed Three Point Jumper,2,0
19:05,Nevada,Cody Martin,Offensive Rebound,2,0
19:01,Nevada,Trey Porter,Dunk,4,0
18:43,Fresno State,Nate Grimes,Jumper,4,2
18:10,Nevada,Jordan Caroline,Missed Three Point Jumper,4,2
18:10,Nevada,Trey Porter,Offensive Rebound,4,2
18:10,Fresno State,Nate Grimes,Foul,4,2
17:51,Nevada,Corey Henson,Three Point Jumper,7,2
17:32,Fresno State,Deshon Taylor,Missed Layup,7,2
17:32,Fresno State,Nate Grimes,Offensive Rebound,7,2
17:28,Fresno State,Nate Grimes,Layup,7,4
17:11,Nevada,Caleb Martin,Three Point Jumper,10,4
16:50,Fresno State,Braxton Huggins,Three Point Jumper,10,7
16:40,Fresno State,Braxton Huggins,Foul,10,7
16:34,Nevada,Caleb Martin,Missed Three Point Jumper,10,7
16:34,Fresno State,Nate Grimes,Defensive Rebound,10,7
16:29,Fresno State,Nate Grimes,Turnover,10,7
16:29,Nevada,Caleb Martin,Steal,10,7
16:10,Nevada,Cody Martin,Jumper,12,7
15:57,Fresno State,Braxton Huggins,Missed Three Point Jumper,12,7
15:57,Nevada,Cody Martin,Defensive Rebound,12,7
15:43,Nevada,Corey Henson,Missed Jumper,12,7
15:43,Fresno State,Deshon Taylor,Block,12,7
15:43,Fresno State,Deshon Taylor,Defensive Rebound,12,7
15:33,Fresno State,Nate Grimes,Three Point Jumper,12,10
15:19,Nevada,Trey Porter,Layup,14,10
15:04,Fresno State,Noah Blackwell,Three Point Jumper,14,13
14:52,Nevada,Corey Henson,Three Point Jumper,17,13
14:26,Fresno State,Braxton Huggins,Three Point Jumper,17,16
14:06,Nevada,Jordan Caroline,Turnover,17,16
14:06,Fresno State,Sam Bittner,Steal,17,16
13:58,Fresno State,Braxton Huggins,Three Point Jumper,17,19
13:37,Nevada,Jordan Caroline,Foul,17,19
13:37,Nevada,Jordan Caroline,Turnover,17,19
13:37,Fresno State,None,None,17,19
13:27,Fresno State,Nate Grimes,Turnover,17,19
13:27,Nevada,Tre'Shawn Thurman,Steal,17,19
13:16,Nevada,Jordan Caroline,Missed Three Point Jumper,17,19
13:16,Fresno State,Braxton Huggins,Defensive Rebound,17,19
13:08,Nevada,Caleb Martin,Foul,17,19
13:08,Fresno State,Nate Grimes,Free Throw,17,20
13:08,Fresno State,Nate Grimes,Missed Free Throw,17,20
13:08,Nevada,Tre'Shawn Thurman,Defensive Rebound,17,20
12:54,Nevada,Cody Martin,Missed Jumper,17,20
12:54,Fresno State,Nate Grimes,Defensive Rebound,17,20
12:46,Fresno State,Braxton Huggins,Missed Layup,17,20
12:46,Nevada,Tre'Shawn Thurman,Defensive Rebound,17,20
12:34,Nevada,Jazz Johnson,Missed Three Point Jumper,17,20
12:34,Fresno State,Nate Grimes,Defensive Rebound,17,20
12:04,Fresno State,Deshon Taylor,Missed Layup,17,20
12:04,Nevada,Cody Martin,Block,17,20
12:04,Nevada,Cody Martin,Defensive Rebound,17,20
