TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:31,Morgan State,Stanley Davis,Foul,0,0
19:31,South Carolina State,Damani Applewhite,Missed Free Throw,0,0
19:31,South Carolina State,None,Team Rebound,0,0
19:31,South Carolina State,Damani Applewhite,Free Throw,1,0
19:10,Morgan State,Kyson Rawls,Missed Layup,1,0
19:10,Morgan State,Stanley Davis,Offensive Rebound,1,0
19:00,Morgan State,Stanley Davis,Missed Layup,1,0
19:00,Morgan State,Jordan Little,Offensive Rebound,1,0
18:59,Morgan State,Jordan Little,Turnover,1,0
18:43,South Carolina State,Lavar Harewood,Jumper,3,0
18:30,Morgan State,Kyson Rawls,Turnover,3,0
18:13,South Carolina State,Damani Applewhite,Missed Jumper,3,0
18:13,Morgan State,Morgan State,Defensive Rebound,3,0
18:05,Morgan State,Malik Miller,Turnover,3,0
18:05,South Carolina State,Janai Raynor-Powell,Foul,3,0
17:41,Morgan State,Martez Cameron,Jumper,3,2
17:15,South Carolina State,Ian Kinard,Turnover,3,2
17:15,South Carolina State,Ian Kinard,Foul,3,2
16:59,Morgan State,Jordan Little,Missed Jumper,3,2
16:59,South Carolina State,Damani Applewhite,Defensive Rebound,3,2
16:33,South Carolina State,Ian Kinard,Jumper,5,2
16:19,Morgan State,David Syfax,Missed Layup,5,2
16:19,South Carolina State,Lavar Harewood,Block,5,2
16:17,South Carolina State,David Bottenberg,Defensive Rebound,5,2
16:00,South Carolina State,Lavar Harewood,Missed Three Point Jumper,5,2
16:00,Morgan State,Stanley Davis,Defensive Rebound,5,2
15:53,Morgan State,Stanley Davis,Layup,5,4
15:27,South Carolina State,David Bottenberg,Missed Jumper,5,4
15:27,Morgan State,Stanley Davis,Defensive Rebound,5,4
15:20,Morgan State,Sherwyn Devonish-Prince Jr.,Missed Jumper,5,4
15:20,South Carolina State,Lavar Harewood,Defensive Rebound,5,4
15:02,South Carolina State,Ian Kinard,Three Point Jumper,8,4
14:50,Morgan State,Martez Cameron,Jumper,8,6
14:22,South Carolina State,Jahmari Etienne,Three Point Jumper,11,6
13:56,Morgan State,David Syfax,Jumper,11,8
13:40,South Carolina State,Jahmari Etienne,Missed Jumper,11,8
13:40,Morgan State,David Syfax,Defensive Rebound,11,8
13:28,Morgan State,David Syfax,Missed Three Point Jumper,11,8
13:28,South Carolina State,Damani Applewhite,Defensive Rebound,11,8
13:10,South Carolina State,Lavar Harewood,Missed Three Point Jumper,11,8
13:10,Morgan State,Stanley Davis,Defensive Rebound,11,8
13:07,Morgan State,Stanley Davis,Turnover,11,8
13:07,Morgan State,None,None,11,8
12:54,South Carolina State,Damani Applewhite,Turnover,11,8
12:22,Morgan State,Martez Cameron,Three Point Jumper,11,11
12:00,South Carolina State,Janai Raynor-Powell,Three Point Jumper,14,11
11:48,Morgan State,None,None,14,11
11:40,Morgan State,Victor Curry,Turnover,14,11
11:40,Morgan State,Victor Curry,Foul,14,11
11:33,South Carolina State,Jahmari Etienne,Layup,16,11
11:23,Morgan State,Antonio Gillespie,Missed Jumper,16,11
11:23,South Carolina State,South Carolina State,Defensive Rebound,16,11
11:09,South Carolina State,Jahmari Etienne,Three Point Jumper,19,11
