TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:32,UNC Asheville,Jalen Seegars,Foul,0,0
19:32,UNC Asheville,Jalen Seegars,Turnover,0,0
19:14,Hampton,Trevond Barnes,Missed Jumper,0,0
19:14,UNC Asheville,Jalen Seegars,Defensive Rebound,0,0
18:51,UNC Asheville,Devon Baker,Missed Jumper,0,0
18:51,Hampton,Dondre Griffin,Defensive Rebound,0,0
18:46,Hampton,Jermaine Marrow,Turnover,0,0
18:27,UNC Asheville,Jalen Seegars,Turnover,0,0
18:15,Hampton,Akim Mitchell,Three Point Jumper,0,3
17:45,UNC Asheville,Devon Baker,Turnover,0,3
17:44,Hampton,Jermaine Marrow,Steal,0,3
17:37,Hampton,Kalin Fisher,Missed Three Point Jumper,0,3
17:37,UNC Asheville,Coty Jude,Defensive Rebound,0,3
17:29,UNC Asheville,Jalen Seegars,Missed Three Point Jumper,0,3
17:29,Hampton,Kalin Fisher,Defensive Rebound,0,3
17:17,Hampton,Kalin Fisher,Missed Layup,0,3
17:17,UNC Asheville,Donovan Gilmore,Defensive Rebound,0,3
17:05,Hampton,Dondre Griffin,Foul,0,3
17:05,UNC Asheville,Tajion Jones,Free Throw,1,3
17:05,UNC Asheville,Tajion Jones,Free Throw,2,3
16:50,Hampton,Akim Mitchell,Three Point Jumper,2,6
16:36,UNC Asheville,UNC Asheville ,Turnover,2,6
16:27,Hampton,Jermaine Marrow,Missed Three Point Jumper,2,6
16:27,UNC Asheville,Cress Worthy,Defensive Rebound,2,6
16:08,UNC Asheville,Donovan Gilmore,Missed Jumper,2,6
16:08,Hampton,Akim Mitchell,Defensive Rebound,2,6
16:00,Hampton,Jermaine Marrow,Missed Jumper,2,6
16:00,UNC Asheville,Donovan Gilmore,Defensive Rebound,2,6
15:49,UNC Asheville,Devon Baker,Layup,4,6
15:31,Hampton,Dondre Griffin,Three Point Jumper,4,9
15:13,UNC Asheville,Tajion Jones,Missed Three Point Jumper,4,9
