TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:40,Portland State,Sal Nuhu,Jumper,0,2
19:29,Weber State,Brekkott Chapman,Missed Three Point Jumper,0,2
19:29,Weber State,Zach Braxton,Offensive Rebound,0,2
19:26,Portland State,Michael Nuga,Foul,0,2
19:14,Weber State,Israel Barnes,Missed Jumper,0,2
19:14,Portland State,Sal Nuhu,Block,0,2
19:12,Portland State,Robert McCoy,Defensive Rebound,0,2
18:57,Portland State,Robert McCoy,Jumper,0,4
18:28,Weber State,Israel Barnes,Missed Jumper,0,4
18:28,Portland State,Portland State,Defensive Rebound,0,4
18:10,Portland State,Robert McCoy,Three Point Jumper,0,7
18:09,Weber State,Brekkott Chapman,Foul,0,7
18:09,Portland State,Robert McCoy,Free Throw,0,8
18:03,Weber State,Brekkott Chapman,Turnover,0,8
17:47,Portland State,Holland Woods,Missed Jumper,0,8
17:47,Portland State,Michael Mayhew,Offensive Rebound,0,8
17:40,Portland State,Michael Mayhew,Layup,0,10
17:23,Weber State,Cody John,Jumper,2,10
17:16,Portland State,Holland Woods,Missed Layup,2,10
17:16,Weber State,Zach Braxton,Block,2,10
17:14,Portland State,Michael Nuga,Offensive Rebound,2,10
17:10,Portland State,Robert McCoy,Missed Three Point Jumper,2,10
17:10,Weber State,Weber State,Defensive Rebound,2,10
16:43,Weber State,Zach Braxton,Layup,4,10
16:12,Portland State,Deante Strickland,Missed Three Point Jumper,4,10
16:12,Portland State,Sal Nuhu,Offensive Rebound,4,10
16:09,Portland State,Sal Nuhu,Jumper,4,12
15:58,Weber State,Brekkott Chapman,Turnover,4,12
15:55,Portland State,Sal Nuhu,Steal,4,12
15:52,Portland State,Michael Mayhew,Missed Three Point Jumper,4,12
15:52,Weber State,Weber State,Defensive Rebound,4,12
15:50,Portland State,None,None,4,12
15:21,Weber State,Zach Braxton,Layup,6,12
15:13,Portland State,Michael Mayhew,Missed Three Point Jumper,6,12
15:13,Weber State,Michal Kozak,Defensive Rebound,6,12
15:11,Portland State,Jamie Orme,Foul,6,12
14:54,Weber State,Michal Kozak,Missed Three Point Jumper,6,12
14:54,Portland State,Michael Mayhew,Defensive Rebound,6,12
14:47,Portland State,Michael Mayhew,Turnover,6,12
14:46,Weber State,Jerrick Harding,Steal,6,12
14:46,Portland State,Michael Mayhew,Foul,6,12
14:34,Weber State,Michal Kozak,Turnover,6,12
14:33,Portland State,Deante Strickland,Steal,6,12
14:31,Portland State,Deante Strickland,Layup,6,14
14:12,Weber State,Jerrick Harding,Layup,8,14
14:03,Portland State,Jamie Orme,Missed Three Point Jumper,8,14
14:03,Weber State,Zach Braxton,Defensive Rebound,8,14
13:51,Weber State,Michal Kozak,Layup,10,14
13:41,Portland State,Holland Woods,Turnover,10,14
13:25,Weber State,Cody John,Jumper,12,14
13:12,Portland State,Sal Nuhu,Missed Jumper,12,14
13:12,Weber State,Michal Kozak,Defensive Rebound,12,14
12:58,Weber State,Cody John,Turnover,12,14
12:55,Portland State,Robert McCoy,Steal,12,14
12:53,Portland State,Robert McCoy,Turnover,12,14
12:51,Weber State,Brekkott Chapman,Steal,12,14
12:42,Weber State,Ricky Nelson,Missed Three Point Jumper,12,14
12:42,Portland State,Sal Nuhu,Defensive Rebound,12,14
12:35,Portland State,Michael Nuga,Layup,12,16
12:29,Weber State,Cody John,Layup,14,16
12:08,Portland State,Sal Nuhu,Turnover,14,16
12:06,Weber State,Cody John,Steal,14,16
12:05,Portland State,Derek Brown,Foul,14,16
12:05,Weber State,Cody John,Missed Free Throw,14,16
12:05,Weber State,None,Team Rebound,14,16
12:05,Weber State,Cody John,Free Throw,15,16
11:45,Portland State,Sal Nuhu,Jumper,15,18
11:39,Weber State,Jerrick Harding,Missed Three Point Jumper,15,18
11:39,Portland State,Sal Nuhu,Defensive Rebound,15,18
11:21,Portland State,Michael Nuga,Jumper,15,20
11:02,Portland State,None,None,15,20
10:59,Weber State,Zach Braxton,Dunk,17,20
10:46,Portland State,Michael Nuga,Dunk,17,22
10:34,Weber State,Cody John,Missed Three Point Jumper,17,22
10:34,Portland State,Robert McCoy,Defensive Rebound,17,22
10:14,Portland State,Holland Woods,Jumper,17,24
10:02,Weber State,Brekkott Chapman,Turnover,17,24
10:00,Portland State,Michael Nuga,Steal,17,24
9:58,Weber State,Cody John,Foul,17,24
9:48,Portland State,Robert McCoy,Jumper,17,26
9:34,Weber State,Brekkott Chapman,Missed Three Point Jumper,17,26
9:34,Portland State,Michael Nuga,Defensive Rebound,17,26
9:27,Portland State,Michael Nuga,Turnover,17,26
9:27,Portland State,Michael Nuga,Foul,17,26
9:20,Weber State,Caleb Nero,Jumper,19,26
9:01,Portland State,Holland Woods,Turnover,19,26
8:49,Weber State,Cody John,Missed Layup,19,26
8:49,Weber State,Zach Braxton,Offensive Rebound,19,26
8:46,Weber State,Zach Braxton,Layup,21,26
8:39,Portland State,Robert McCoy,Turnover,21,26
8:37,Weber State,Ricky Nelson,Steal,21,26
8:35,Weber State,Ricky Nelson,Missed Layup,21,26
8:35,Portland State,Robert McCoy,Block,21,26
8:32,Portland State,Rashaad Goolsby,Defensive Rebound,21,26
8:22,Portland State,Holland Woods,Missed Jumper,21,26
8:22,Weber State,Weber State,Defensive Rebound,21,26
8:11,Weber State,Cody John,Turnover,21,26
8:05,Portland State,Michael Mayhew,Steal,21,26
8:05,Portland State,Michael Mayhew,Turnover,21,26
8:05,Weber State,Cody John,Steal,21,26
8:05,Weber State,Caleb Nero,Missed Three Point Jumper,21,26
8:05,Weber State,Weber State,Offensive Rebound,21,26
8:05,Portland State,Rashaad Goolsby,Foul,21,26
7:51,Portland State,Jamie Orme,Foul,21,26
7:51,Portland State,None,None,21,26
7:51,Weber State,Zach Braxton,Free Throw,22,26
7:51,Weber State,Zach Braxton,Free Throw,23,26
7:36,Portland State,Robert McCoy,Turnover,23,26
7:24,Weber State,Zach Braxton,Dunk,25,26
7:10,Portland State,Holland Woods,Turnover,25,26
6:55,Weber State,Jerrick Harding,Turnover,25,26
6:52,Portland State,Deante Strickland,Three Point Jumper,25,29
6:43,Weber State,Jerrick Harding,Layup,27,29
6:30,Portland State,Deante Strickland,Missed Three Point Jumper,27,29
6:30,Weber State,Weber State,Defensive Rebound,27,29
6:28,Portland State,Sal Nuhu,Foul,27,29
6:28,Weber State,Zach Braxton,Free Throw,28,29
6:28,Weber State,Zach Braxton,Free Throw,29,29
6:16,Portland State,Sal Nuhu,Missed Jumper,29,29
6:16,Portland State,Portland State,Offensive Rebound,29,29
6:14,Weber State,Ricky Nelson,Foul,29,29
6:07,Portland State,Sal Nuhu,Layup,29,31
5:58,Weber State,Jerrick Harding,Turnover,29,31
5:56,Portland State,Deante Strickland,Steal,29,31
5:54,Portland State,Deante Strickland,Layup,29,33
5:45,Weber State,Michal Kozak,Missed Layup,29,33
5:45,Portland State,Sal Nuhu,Block,29,33
5:44,Weber State,Weber State,Offensive Rebound,29,33
5:36,Weber State,Ricky Nelson,Turnover,29,33
5:12,Portland State,Sal Nuhu,Missed Jumper,29,33
5:12,Weber State,Dima Zdor,Defensive Rebound,29,33
5:03,Weber State,Cody John,Missed Layup,29,33
5:03,Portland State,Robert McCoy,Block,29,33
5:01,Portland State,Robert McCoy,Defensive Rebound,29,33
4:49,Portland State,Sal Nuhu,Layup,29,35
4:40,Weber State,Cody John,Layup,31,35
4:23,Portland State,Holland Woods,Missed Jumper,31,35
4:23,Portland State,Portland State,Offensive Rebound,31,35
4:20,Weber State,Dima Zdor,Foul,31,35
4:18,Portland State,Robert McCoy,Missed Three Point Jumper,31,35
4:18,Portland State,Derek Brown,Offensive Rebound,31,35
4:04,Weber State,Michal Kozak,Foul,31,35
3:57,Portland State,Holland Woods,Missed Jumper,31,35
3:57,Weber State,Cody John,Block,31,35
3:56,Weber State,Weber State,Defensive Rebound,31,35
3:56,Portland State,None,None,31,35
3:49,Portland State,Robert McCoy,Foul,31,35
3:49,Weber State,Jerrick Harding,Free Throw,32,35
3:49,Weber State,Jerrick Harding,Free Throw,33,35
3:39,Portland State,Deante Strickland,Three Point Jumper,33,38
3:29,Portland State,Derek Brown,Foul,33,38
3:29,Weber State,Jerrick Harding,Free Throw,34,38
3:29,Weber State,Jerrick Harding,Free Throw,35,38
3:13,Weber State,Ricky Nelson,Foul,35,38
3:07,Portland State,Sal Nuhu,Missed Jumper,35,38
3:07,Weber State,Michal Kozak,Defensive Rebound,35,38
2:53,Weber State,Caleb Nero,Missed Three Point Jumper,35,38
2:53,Weber State,Jerrick Harding,Offensive Rebound,35,38
2:36,Weber State,Michal Kozak,Three Point Jumper,38,38
2:04,Portland State,Holland Woods,Jumper,38,40
2:03,Weber State,Cody John,Foul,38,40
2:03,Portland State,Holland Woods,Missed Free Throw,38,40
