TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:41,Missouri,Jeremiah Tilmon,Foul,0,0
19:41,South Carolina,Keyshawn Bryant,Missed Free Throw,0,0
19:41,South Carolina,None,Team Rebound,0,0
19:41,South Carolina,Keyshawn Bryant,Free Throw,0,1
19:20,Missouri,Jeremiah Tilmon,Dunk,2,1
19:18,South Carolina,Chris Silva,Turnover,2,1
18:55,South Carolina,Keyshawn Bryant,Foul,2,1
18:51,Missouri,Mark Smith,Turnover,2,1
18:41,South Carolina,Tre Campbell,Missed Jumper,2,1
18:41,South Carolina,Maik Kotsar,Offensive Rebound,2,1
18:29,South Carolina,Maik Kotsar,Turnover,2,1
18:15,Missouri,Javon Pickett,Three Point Jumper,5,1
18:03,South Carolina,Tre Campbell,Turnover,5,1
18:03,South Carolina,Tre Campbell,Foul,5,1
17:49,Missouri,Jeremiah Tilmon,Missed Layup,5,1
17:49,South Carolina,Maik Kotsar,Block,5,1
17:48,Missouri,Missouri,Offensive Rebound,5,1
17:46,Missouri,Javon Pickett,Missed Layup,5,1
17:46,South Carolina,Maik Kotsar,Block,5,1
17:45,Missouri,Javon Pickett,Offensive Rebound,5,1
17:37,Missouri,Torrence Watson,Turnover,5,1
17:36,South Carolina,A.J. Lawson,Steal,5,1
17:33,South Carolina,Tre Campbell,Three Point Jumper,5,4
17:15,Missouri,Jordan Geist,Turnover,5,4
17:14,South Carolina,Chris Silva,Steal,5,4
17:11,South Carolina,Tre Campbell,Layup,5,6
16:36,Missouri,Missouri ,Turnover,5,6
16:16,South Carolina,Chris Silva,Jumper,5,8
15:51,Missouri,Jordan Geist,Turnover,5,8
15:50,South Carolina,Chris Silva,Steal,5,8
15:46,Missouri,K.J. Santos,Foul,5,8
15:46,South Carolina,None,None,5,8
15:46,South Carolina,Hassani Gravett,Free Throw,5,9
15:46,South Carolina,Hassani Gravett,Free Throw,5,10
15:31,Missouri,Torrence Watson,Three Point Jumper,8,10
15:23,South Carolina,Tre Campbell,Turnover,8,10
15:22,Missouri,Mark Smith,Steal,8,10
15:18,Missouri,Kevin Puryear,Turnover,8,10
15:02,South Carolina,Tre Campbell,Three Point Jumper,8,13
14:39,Missouri,Kevin Puryear,Missed Jumper,8,13
14:39,South Carolina,A.J. Lawson,Defensive Rebound,8,13
14:29,South Carolina,A.J. Lawson,Missed Three Point Jumper,8,13
14:29,Missouri,Torrence Watson,Defensive Rebound,8,13
14:20,Missouri,Torrence Watson,Three Point Jumper,11,13
14:00,South Carolina,Hassani Gravett,Missed Three Point Jumper,11,13
14:00,South Carolina,Maik Kotsar,Offensive Rebound,11,13
13:49,South Carolina,Tre Campbell,Missed Three Point Jumper,11,13
13:49,Missouri,None,Team Rebound,11,13
13:46,South Carolina,Maik Kotsar,Foul,11,13
13:33,Missouri,Jeremiah Tilmon,Jumper,13,13
13:22,South Carolina,Felipe Haase,Three Point Jumper,13,16
13:03,Missouri,Jeremiah Tilmon,Missed Layup,13,16
13:03,Missouri,Xavier Pinson,Offensive Rebound,13,16
12:59,Missouri,Xavier Pinson,Turnover,13,16
12:57,South Carolina,Felipe Haase,Steal,13,16
12:57,South Carolina,Felipe Haase,Turnover,13,16
12:42,South Carolina,Maik Kotsar,Foul,13,16
12:42,Missouri,Torrence Watson,Missed Free Throw,13,16
12:42,Missouri,None,Team Rebound,13,16
12:42,Missouri,Torrence Watson,Free Throw,14,16
12:32,Missouri,Jordan Geist,Foul,14,16
12:28,South Carolina,Felipe Haase,Missed Three Point Jumper,14,16
12:28,Missouri,Kevin Puryear,Defensive Rebound,14,16
12:08,Missouri,Jordan Geist,Layup,16,16
12:00,Missouri,Torrence Watson,Foul,16,16
12:00,South Carolina,None,None,16,16
12:00,South Carolina,Hassani Gravett,Free Throw,16,17
12:00,South Carolina,Hassani Gravett,Free Throw,16,18
11:52,South Carolina,Felipe Haase,Foul,16,18
11:44,Missouri,Kevin Puryear,Missed Jumper,16,18
11:44,South Carolina,Felipe Haase,Defensive Rebound,16,18
11:19,Missouri,Jeremiah Tilmon,Foul,16,18
11:19,South Carolina,Alanzo Frink,Missed Free Throw,16,18
11:19,South Carolina,None,Team Rebound,16,18
11:19,South Carolina,Alanzo Frink,Free Throw,16,19
11:06,Missouri,Mark Smith,Missed Three Point Jumper,16,19
11:06,Missouri,Kevin Puryear,Offensive Rebound,16,19
10:57,Missouri,Jordan Geist,Three Point Jumper,19,19
10:35,South Carolina,Alanzo Frink,Missed Three Point Jumper,19,19
10:35,Missouri,Jordan Geist,Defensive Rebound,19,19
10:19,Missouri,Reed Nikko,Missed Jumper,19,19
10:19,South Carolina,Alanzo Frink,Block,19,19
10:18,South Carolina,Felipe Haase,Defensive Rebound,19,19
10:03,South Carolina,Hassani Gravett,Missed Jumper,19,19
10:03,Missouri,Missouri,Defensive Rebound,19,19
9:35,Missouri,Kevin Puryear,Turnover,19,19
9:20,South Carolina,Keyshawn Bryant,Layup,19,21
9:05,Missouri,Kevin Puryear,Three Point Jumper,22,21
8:43,Missouri,K.J. Santos,Foul,22,21
8:43,South Carolina,Felipe Haase,Free Throw,22,22
8:43,South Carolina,Felipe Haase,Free Throw,22,23
8:16,Missouri,Jordan Geist,Missed Three Point Jumper,22,23
8:16,South Carolina,Hassani Gravett,Defensive Rebound,22,23
8:07,Missouri,Kevin Puryear,Foul,22,23
8:07,South Carolina,Chris Silva,Free Throw,22,24
8:07,South Carolina,Chris Silva,Free Throw,22,25
7:55,South Carolina,Keyshawn Bryant,Foul,22,25
7:55,South Carolina,None,None,22,25
7:43,Missouri,Xavier Pinson,Turnover,22,25
7:42,South Carolina,Chris Silva,Steal,22,25
7:27,South Carolina,Evan Hinson,Turnover,22,25
7:11,Missouri,Mitchell Smith,Turnover,22,25
6:45,South Carolina,Hassani Gravett,Missed Three Point Jumper,22,25
6:45,Missouri,Missouri,Defensive Rebound,22,25
6:19,Missouri,Mark Smith,Turnover,22,25
5:51,South Carolina,Alanzo Frink,Jumper,22,27
5:34,South Carolina,Alanzo Frink,Turnover,22,27
5:34,Missouri,Reed Nikko,Missed Free Throw,22,27
5:34,South Carolina,Alanzo Frink,Defensive Rebound,22,27
5:31,South Carolina,Alanzo Frink,Foul,22,27
5:17,Missouri,Jordan Geist,Missed Three Point Jumper,22,27
5:17,South Carolina,Hassani Gravett,Defensive Rebound,22,27
4:49,South Carolina,Chris Silva,Missed Jumper,22,27
4:49,South Carolina,Alanzo Frink,Offensive Rebound,22,27
4:47,South Carolina,Alanzo Frink,Jumper,22,29
4:40,South Carolina,A.J. Lawson,Foul,22,29
4:36,Missouri,Jordan Geist,Missed Free Throw,22,29
4:36,South Carolina,Chris Silva,Defensive Rebound,22,29
4:07,South Carolina,Hassani Gravett,Missed Jumper,22,29
4:07,South Carolina,Alanzo Frink,Offensive Rebound,22,29
4:03,South Carolina,Alanzo Frink,Layup,22,31
3:57,Missouri,Kevin Puryear,Missed Layup,22,31
3:57,South Carolina,Alanzo Frink,Block,22,31
3:56,South Carolina,Chris Silva,Defensive Rebound,22,31
3:45,Missouri,Kevin Puryear,Foul,22,31
3:45,South Carolina,Chris Silva,Free Throw,22,32
3:45,South Carolina,Chris Silva,Free Throw,22,33
3:32,Missouri,Javon Pickett,Jumper,24,33
3:13,Missouri,Mark Smith,Foul,24,33
3:13,South Carolina,Hassani Gravett,Free Throw,24,34
3:13,South Carolina,Hassani Gravett,Free Throw,24,35
2:56,Missouri,Mark Smith,Three Point Jumper,27,35
2:38,South Carolina,Chris Silva,Turnover,27,35
2:38,South Carolina,Chris Silva,Foul,27,35
2:29,Missouri,Javon Pickett,Jumper,29,35
