TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Maryland,Anthony Cowan Jr.,Missed Jumper,0,0
19:42,Maryland,Anthony Cowan Jr.,Offensive Rebound,0,0
19:38,Maryland,Anthony Cowan Jr.,Missed Jumper,0,0
19:33,Wisconsin,Nate Reuvers,Defensive Rebound,0,0
19:17,Wisconsin,Brad Davison,Jumper,2,0
18:49,Wisconsin,Brad Davison,Foul,2,0
18:41,Maryland,Darryl Morsell,Jumper,2,2
18:21,Wisconsin,Brad Davison,Missed Three Point Jumper,2,2
18:17,Wisconsin,Brad Davison,Offensive Rebound,2,2
18:13,Wisconsin,Nate Reuvers,Missed Three Point Jumper,2,2
18:08,Maryland,Darryl Morsell,Defensive Rebound,2,2
17:53,Maryland,Bruno Fernando,Foul,2,2
17:53,Maryland,Bruno Fernando,Turnover,2,2
17:41,Wisconsin,Brad Davison,Layup,4,2
17:24,Maryland,Eric Ayala,Three Point Jumper,4,5
17:06,Wisconsin,Ethan Happ,Missed Layup,4,5
17:02,Maryland,Jalen Smith,Defensive Rebound,4,5
16:54,Maryland,Darryl Morsell,Three Point Jumper,4,8
15:55,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,6,8
15:55,Maryland,Jalen Smith,Offensive Rebound,6,8
15:54,Wisconsin,Charles Thomas IV,Foul,6,8
15:54,Maryland,None,None,6,8
15:54,Maryland,Jalen Smith,Free Throw,6,9
15:54,Maryland,Jalen Smith,Free Throw,6,10
15:50,Maryland,None,None,6,8
15:28,Wisconsin,Brad Davison,Missed Jumper,6,10
15:25,Maryland,Anthony Cowan Jr.,Defensive Rebound,6,10
15:18,Maryland,Eric Ayala,Jumper,6,12
14:43,Wisconsin,D'Mitrik Trice,Jumper,8,12
14:30,Maryland,Jalen Smith,Three Point Jumper,8,15
14:09,Wisconsin,Ethan Happ,Layup,10,15
13:54,Maryland,Anthony Cowan Jr.,Turnover,10,15
13:42,Wisconsin,Brevin Pritzl,Foul,10,15
13:42,Wisconsin,Brevin Pritzl,Turnover,10,15
13:18,Maryland,Bruno Fernando,Layup,10,17
13:02,Wisconsin,D'Mitrik Trice,Turnover,10,17
13:02,Maryland,Anthony Cowan Jr.,Steal,10,17
12:52,Maryland,Ricky Lindo Jr.,Missed Jumper,10,17
12:48,Wisconsin,Ethan Happ,Defensive Rebound,10,17
12:34,Wisconsin,Kobe King,Missed Layup,10,17
12:34,Maryland,Bruno Fernando,Block,10,17
12:32,Wisconsin,Wisconsin,Offensive Rebound,10,17
12:26,Wisconsin,Brad Davison,Missed Jumper,10,17
12:26,Maryland,Maryland,Defensive Rebound,10,17
12:25,Wisconsin,Aleem Ford,Foul,10,17
12:09,Maryland,Aaron Wiggins,Three Point Jumper,10,20
11:50,Wisconsin,Ethan Happ,Missed Jumper,10,20
11:47,Maryland,Ricky Lindo Jr.,Defensive Rebound,10,20
11:40,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,10,20
11:37,Wisconsin,Ethan Happ,Defensive Rebound,10,20
11:24,Wisconsin,Brad Davison,Missed Three Point Jumper,10,20
11:20,Maryland,Bruno Fernando,Defensive Rebound,10,20
11:03,Maryland,Aaron Wiggins,Missed Jumper,10,20
11:01,Wisconsin,Ethan Happ,Defensive Rebound,10,20
10:46,Wisconsin,Kobe King,Missed Layup,10,20
10:46,Maryland,Bruno Fernando,Block,10,20
10:42,Maryland,Ricky Lindo Jr.,Defensive Rebound,10,20
10:29,Maryland,Ricky Lindo Jr.,Missed Layup,10,20
10:26,Wisconsin,Aleem Ford,Defensive Rebound,10,20
10:17,Wisconsin,Brad Davison,Missed Jumper,10,20
10:13,Maryland,Ricky Lindo Jr.,Defensive Rebound,10,20
10:01,Maryland,Anthony Cowan Jr.,Missed Layup,10,20
9:57,Maryland,Bruno Fernando,Offensive Rebound,10,20
9:55,Maryland,Bruno Fernando,Layup,10,22
9:46,Wisconsin,None,None,10,22
9:22,Wisconsin,Wisconsin ,Turnover,10,22
9:08,Wisconsin,Aleem Ford,Foul,10,22
9:08,Maryland,Jalen Smith,Free Throw,10,23
9:08,Maryland,Jalen Smith,Free Throw,10,24
8:41,Wisconsin,Ethan Happ,Missed Layup,10,24
8:38,Maryland,Serrel Smith Jr.,Defensive Rebound,10,24
8:33,Maryland,Eric Ayala,Turnover,10,24
8:33,Wisconsin,D'Mitrik Trice,Steal,10,24
8:31,Maryland,Ivan Bender,Foul,10,24
8:22,Maryland,Ricky Lindo Jr.,Foul,10,24
8:22,Wisconsin,Khalil Iverson,Missed Free Throw,10,24
8:22,Wisconsin,None,Team Rebound,10,24
8:22,Wisconsin,Khalil Iverson,Missed Free Throw,10,24
8:21,Maryland,Serrel Smith Jr.,Defensive Rebound,10,24
8:21,Wisconsin,Ethan Happ,Foul,10,24
7:59,Maryland,Jalen Smith,Missed Jumper,10,24
7:59,Wisconsin,Nate Reuvers,Block,10,24
7:59,Maryland,Maryland,Offensive Rebound,10,24
7:54,Maryland,None,None,10,24
7:30,Maryland,Jalen Smith,Missed Jumper,10,24
7:27,Wisconsin,Khalil Iverson,Defensive Rebound,10,24
7:18,Wisconsin,Nate Reuvers,Missed Jumper,10,24
7:14,Wisconsin,Ethan Happ,Offensive Rebound,10,24
7:13,Wisconsin,Ethan Happ,Layup,12,24
6:49,Maryland,Jalen Smith,Turnover,12,24
6:49,Wisconsin,Khalil Iverson,Steal,12,24
6:34,Wisconsin,Khalil Iverson,Turnover,12,24
6:34,Maryland,Eric Ayala,Steal,12,24
6:29,Maryland,Anthony Cowan Jr.,Jumper,12,26
6:08,Wisconsin,D'Mitrik Trice,Missed Three Point Jumper,12,26
6:05,Wisconsin,Nate Reuvers,Offensive Rebound,12,26
6:03,Wisconsin,Nate Reuvers,Turnover,12,26
6:03,Maryland,Anthony Cowan Jr.,Steal,12,26
5:56,Maryland,Eric Ayala,Three Point Jumper,12,29
5:39,Maryland,Darryl Morsell,Foul,12,29
5:39,Wisconsin,Brad Davison,Missed Free Throw,12,29
5:39,Wisconsin,None,Team Rebound,12,29
5:39,Wisconsin,Brad Davison,Free Throw,13,29
5:24,Maryland,Bruno Fernando,Missed Jumper,13,29
5:21,Wisconsin,Charles Thomas IV,Defensive Rebound,13,29
5:13,Wisconsin,Brad Davison,Turnover,13,29
5:01,Wisconsin,Charles Thomas IV,Foul,13,29
5:01,Maryland,Bruno Fernando,Free Throw,13,30
5:01,Maryland,Bruno Fernando,Free Throw,13,31
