TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Akron,Deng Riak,Missed Layup,0,0
19:45,Eastern Michigan,James Thompson IV,Defensive Rebound,0,0
19:17,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,0,0
19:17,Akron,Daniel Utomi,Defensive Rebound,0,0
19:10,Akron,Tyler Cheese,Three Point Jumper,0,3
18:40,Eastern Michigan,Paul Jackson,Missed Jumper,0,3
18:40,Eastern Michigan,James Thompson IV,Offensive Rebound,0,3
18:33,Eastern Michigan,Elijah Minnie,Three Point Jumper,3,3
18:05,Akron,Loren Cristian Jackson,Three Point Jumper,3,6
17:57,Eastern Michigan,Boubacar Toure,Turnover,3,6
17:34,Akron,Jimond Ivey,Layup,3,8
17:08,Akron,Deng Riak,Foul,3,8
16:54,Akron,Jimond Ivey,Foul,3,8
16:41,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,3,8
16:41,Eastern Michigan,Boubacar Toure,Offensive Rebound,3,8
16:27,Eastern Michigan,Kevin McAdoo,Missed Layup,3,8
16:27,Eastern Michigan,Boubacar Toure,Offensive Rebound,3,8
16:23,Eastern Michigan,Boubacar Toure,Dunk,5,8
15:59,Akron,Tyler Cheese,Missed Jumper,5,8
15:59,Akron,Jaden Sayles,Offensive Rebound,5,8
15:56,Akron,Jaden Sayles,Missed Layup,5,8
15:56,Eastern Michigan,James Thompson IV,Defensive Rebound,5,8
15:39,Eastern Michigan,Paul Jackson,Turnover,5,8
15:39,Akron,None,None,5,8
15:09,Akron,Loren Cristian Jackson,Three Point Jumper,5,11
14:41,Eastern Michigan,Kevin McAdoo,Turnover,5,11
14:39,Akron,Tyler Cheese,Steal,5,11
14:35,Akron,Loren Cristian Jackson,Missed Three Point Jumper,5,11
14:35,Eastern Michigan,Elijah Minnie,Defensive Rebound,5,11
14:04,Eastern Michigan,Eastern Michigan ,Turnover,5,11
14:03,Akron,Deng Riak,Turnover,5,11
13:36,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,5,11
13:36,Akron,Jeremy Roscoe,Defensive Rebound,5,11
13:20,Eastern Michigan,Elijah Minnie,Foul,5,11
12:56,Akron,Jeremy Roscoe,Missed Jumper,5,11
12:56,Eastern Michigan,Elijah Minnie,Defensive Rebound,5,11
12:49,Eastern Michigan,Malik Ellison,Turnover,5,11
12:48,Akron,Jeremy Roscoe,Steal,5,11
12:44,Eastern Michigan,Malik Ellison,Foul,5,11
12:29,Akron,Tyler Cheese,Missed Jumper,5,11
12:29,Akron,Akron,Offensive Rebound,5,11
12:14,Akron,Daniel Utomi,Turnover,5,11
12:12,Eastern Michigan,James Thompson IV,Steal,5,11
11:47,Eastern Michigan,James Thompson IV,Missed Layup,5,11
11:47,Akron,Daniel Utomi,Defensive Rebound,5,11
11:40,Akron,None,None,5,11
11:22,Akron,Tyler Cheese,Missed Three Point Jumper,5,11
11:22,Eastern Michigan,Elijah Minnie,Defensive Rebound,5,11
10:57,Eastern Michigan,Paul Jackson,Missed Layup,5,11
10:57,Eastern Michigan,James Thompson IV,Offensive Rebound,5,11
10:40,Eastern Michigan,Ty Groce,Turnover,5,11
10:40,Eastern Michigan,Ty Groce,Foul,5,11
10:15,Akron,Tyler Cheese,Missed Jumper,5,11
10:15,Eastern Michigan,Eastern Michigan,Defensive Rebound,5,11
10:15,Akron,Deng Riak,Foul,5,11
10:01,Akron,Tyler Cheese,Missed Three Point Jumper,5,11
10:01,Eastern Michigan,Eastern Michigan,Defensive Rebound,5,11
10:01,Eastern Michigan,Boubacar Toure,Foul,5,11
9:36,Akron,Jimond Ivey,Layup,5,13
9:36,Eastern Michigan,Ty Groce,Foul,5,13
9:36,Akron,Jimond Ivey,Free Throw,5,14
9:16,Eastern Michigan,Kevin McAdoo,Layup,7,14
8:48,Akron,Tyler Cheese,Turnover,7,14
8:38,Akron,Daniel Utomi,Foul,7,14
8:32,Eastern Michigan,Elijah Minnie,Missed Jumper,7,14
8:32,Eastern Michigan,Boubacar Toure,Offensive Rebound,7,14
8:28,Eastern Michigan,Boubacar Toure,Layup,9,14
8:02,Akron,Loren Cristian Jackson,Jumper,9,16
7:54,Eastern Michigan,James Thompson IV,Turnover,9,16
7:54,Eastern Michigan,James Thompson IV,Foul,9,16
7:54,Akron,None,None,9,16
7:43,Akron,Jaden Sayles,Missed Layup,9,16
7:43,Eastern Michigan,Elijah Minnie,Block,9,16
7:41,Eastern Michigan,Elijah Minnie,Defensive Rebound,9,16
7:30,Eastern Michigan,Paul Jackson,Jumper,11,16
7:10,Akron,Jimond Ivey,Turnover,11,16
7:09,Eastern Michigan,Paul Jackson,Steal,11,16
7:02,Eastern Michigan,Boubacar Toure,Dunk,13,16
6:58,Akron,None,None,13,16
6:42,Akron,Jeremy Roscoe,Missed Three Point Jumper,13,16
6:42,Akron,Jimond Ivey,Offensive Rebound,13,16
6:35,Akron,Daniel Utomi,Three Point Jumper,13,19
6:22,Akron,Jaden Sayles,Foul,13,19
6:16,Eastern Michigan,Elijah Minnie,Turnover,13,19
6:15,Akron,Jeremy Roscoe,Steal,13,19
6:10,Akron,Jeremy Roscoe,Missed Layup,13,19
6:10,Akron,Jeremy Roscoe,Offensive Rebound,13,19
5:51,Akron,Jimond Ivey,Jumper,13,21
5:33,Eastern Michigan,James Thompson IV,Layup,15,21
5:09,Akron,Daniel Utomi,Missed Three Point Jumper,15,21
5:09,Eastern Michigan,Boubacar Toure,Defensive Rebound,15,21
4:44,Eastern Michigan,Paul Jackson,Layup,17,21
4:27,Akron,Jeremy Roscoe,Missed Three Point Jumper,17,21
4:27,Eastern Michigan,Boubacar Toure,Defensive Rebound,17,21
4:11,Eastern Michigan,Paul Jackson,Missed Three Point Jumper,17,21
4:11,Akron,Daniel Utomi,Defensive Rebound,17,21
4:06,Eastern Michigan,Paul Jackson,Foul,17,21
4:06,Akron,Loren Cristian Jackson,Free Throw,17,22
4:06,Akron,Loren Cristian Jackson,Free Throw,17,23
3:52,Akron,Loren Cristian Jackson,Foul,17,23
3:52,Akron,None,None,17,23
3:34,Eastern Michigan,Ty Groce,Missed Layup,17,23
3:34,Akron,Emmanuel Olojakpoke,Block,17,23
3:30,Eastern Michigan,James Thompson IV,Offensive Rebound,17,23
3:24,Eastern Michigan,James Thompson IV,Layup,19,23
3:06,Akron,Daniel Utomi,Jumper,19,25
2:36,Eastern Michigan,Kevin McAdoo,Missed Layup,19,25
2:36,Eastern Michigan,James Thompson IV,Offensive Rebound,19,25
2:32,Eastern Michigan,James Thompson IV,Missed Layup,19,25
2:32,Akron,Loren Cristian Jackson,Defensive Rebound,19,25
2:28,Akron,Channel Banks,Missed Three Point Jumper,19,25
2:28,Eastern Michigan,Kevin McAdoo,Defensive Rebound,19,25
2:07,Eastern Michigan,James Thompson IV,Turnover,19,25
2:03,Akron,Loren Cristian Jackson,Steal,19,25
1:54,Akron,Loren Cristian Jackson,Missed Three Point Jumper,19,25
1:54,Eastern Michigan,Bud Jones,Defensive Rebound,19,25
1:46,Eastern Michigan,Paul Jackson,Turnover,19,25
1:46,Akron,Tyler Cheese,Steal,19,25
1:22,Akron,Daniel Utomi,Foul,19,25
1:18,Eastern Michigan,James Thompson IV,Missed Free Throw,19,25
1:18,Akron,Akron,Defensive Rebound,19,25
1:18,Eastern Michigan,Elijah Minnie,Foul,19,25
1:18,Akron,Daniel Utomi,Free Throw,19,26
1:18,Akron,Daniel Utomi,Missed Free Throw,19,26
1:18,Eastern Michigan,Boubacar Toure,Defensive Rebound,19,26
0:57,Eastern Michigan,Boubacar Toure,Layup,21,26
0:57,Akron,Jaden Sayles,Foul,21,26
0:57,Eastern Michigan,Boubacar Toure,Free Throw,22,26
0:27,Akron,Loren Cristian Jackson,Missed Three Point Jumper,22,26
0:27,Eastern Michigan,Eastern Michigan,Defensive Rebound,22,26
0:25,Eastern Michigan,None,None,22,26
0:03,Eastern Michigan,Paul Jackson,Turnover,22,26
0:02,Akron,Jeremy Roscoe,Steal,22,26
0:00,Akron,None,None,22,26
19:43,Eastern Michigan,Boubacar Toure,Missed Layup,22,26
19:43,Eastern Michigan,Boubacar Toure,Offensive Rebound,22,26
19:41,Eastern Michigan,Boubacar Toure,Dunk,24,26
19:22,Akron,Deng Riak,Jumper,24,28
18:50,Eastern Michigan,Kevin McAdoo,Turnover,24,28
18:48,Akron,Loren Cristian Jackson,Steal,24,28
18:47,Eastern Michigan,Boubacar Toure,Foul,24,28
18:47,Akron,Jimond Ivey,Free Throw,24,29
18:47,Akron,Jimond Ivey,Missed Free Throw,24,29
18:47,Eastern Michigan,Boubacar Toure,Defensive Rebound,24,29
18:23,Eastern Michigan,Paul Jackson,Layup,26,29
17:52,Akron,Loren Cristian Jackson,Missed Three Point Jumper,26,29
17:52,Eastern Michigan,Paul Jackson,Defensive Rebound,26,29
17:49,Akron,Tyler Cheese,Foul,26,29
17:24,Eastern Michigan,Paul Jackson,Jumper,28,29
16:59,Akron,Jimond Ivey,Turnover,28,29
16:58,Eastern Michigan,Paul Jackson,Steal,28,29
16:53,Eastern Michigan,Elijah Minnie,Dunk,30,29
16:34,Akron,Daniel Utomi,Missed Three Point Jumper,30,29
16:34,Eastern Michigan,Elijah Minnie,Defensive Rebound,30,29
16:15,Eastern Michigan,Elijah Minnie,Turnover,30,29
16:13,Akron,Jimond Ivey,Steal,30,29
16:10,Akron,Tyler Cheese,Layup,30,31
15:51,Eastern Michigan,Malik Ellison,Turnover,30,31
15:50,Akron,None,None,30,31
15:30,Akron,Daniel Utomi,Missed Three Point Jumper,30,31
15:30,Eastern Michigan,James Thompson IV,Defensive Rebound,30,31
15:03,Eastern Michigan,Paul Jackson,Missed Jumper,30,31
15:03,Eastern Michigan,Elijah Minnie,Offensive Rebound,30,31
14:48,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,30,31
14:48,Akron,Tyler Cheese,Defensive Rebound,30,31
14:19,Akron,Channel Banks,Missed Layup,30,31
14:19,Akron,Akron,Offensive Rebound,30,31
13:58,Akron,Daniel Utomi,Turnover,30,31
13:56,Eastern Michigan,Paul Jackson,Steal,30,31
13:54,Eastern Michigan,Paul Jackson,Turnover,30,31
13:52,Akron,Loren Cristian Jackson,Steal,30,31
13:49,Eastern Michigan,James Thompson IV,Foul,30,31
13:49,Akron,Jaden Sayles,Missed Free Throw,30,31
13:49,Akron,None,Team Rebound,30,31
13:49,Akron,Jaden Sayles,Free Throw,30,32
13:22,Eastern Michigan,Paul Jackson,Missed Layup,30,32
13:22,Eastern Michigan,James Thompson IV,Offensive Rebound,30,32
13:21,Eastern Michigan,James Thompson IV,Layup,32,32
13:21,Akron,Channel Banks,Foul,32,32
13:21,Eastern Michigan,James Thompson IV,Missed Free Throw,32,32
13:21,Akron,Jeremy Roscoe,Defensive Rebound,32,32
12:56,Eastern Michigan,Kevin McAdoo,Foul,32,32
12:53,Akron,Jimond Ivey,Missed Three Point Jumper,32,32
12:53,Akron,Deng Riak,Offensive Rebound,32,32
12:45,Akron,Jeremy Roscoe,Missed Three Point Jumper,32,32
12:45,Eastern Michigan,Elijah Minnie,Block,32,32
12:43,Eastern Michigan,Boubacar Toure,Defensive Rebound,32,32
12:21,Akron,Channel Banks,Foul,32,32
12:19,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,32,32
12:19,Akron,Akron,Defensive Rebound,32,32
12:18,Eastern Michigan,James Thompson IV,Foul,32,32
11:52,Akron,Daniel Utomi,Three Point Jumper,32,35
11:23,Eastern Michigan,Elijah Minnie,Three Point Jumper,35,35
11:06,Akron,Deng Riak,Dunk,35,37
10:31,Eastern Michigan,Paul Jackson,Three Point Jumper,38,37
10:30,Eastern Michigan,None,None,38,37
10:21,Akron,Tyler Cheese,Turnover,38,37
10:20,Eastern Michigan,Kevin McAdoo,Steal,38,37
10:19,Akron,Deng Riak,Foul,38,37
10:19,Akron,None,None,38,37
10:19,Eastern Michigan,Kevin McAdoo,Missed Free Throw,38,37
10:19,Eastern Michigan,None,Team Rebound,38,37
10:18,Eastern Michigan,Kevin McAdoo,Free Throw,39,37
10:02,Akron,Deng Riak,Layup,39,39
9:42,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,39,39
9:42,Eastern Michigan,Eastern Michigan,Offensive Rebound,39,39
9:42,Akron,Deng Riak,Foul,39,39
9:23,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,39,39
9:23,Akron,Jimond Ivey,Defensive Rebound,39,39
9:06,Akron,Jimond Ivey,Jumper,39,41
8:47,Eastern Michigan,Boubacar Toure,Dunk,41,41
8:33,Akron,Jimond Ivey,Turnover,41,41
8:17,Eastern Michigan,Paul Jackson,Turnover,41,41
8:17,Eastern Michigan,Paul Jackson,Foul,41,41
7:56,Akron,Tyler Cheese,Layup,41,43
7:56,Eastern Michigan,James Thompson IV,Foul,41,43
7:56,Akron,None,None,41,43
7:56,Akron,Tyler Cheese,Missed Free Throw,41,43
7:56,Eastern Michigan,Elijah Minnie,Defensive Rebound,41,43
7:32,Eastern Michigan,Paul Jackson,Layup,43,43
7:10,Akron,Loren Cristian Jackson,Turnover,43,43
6:46,Eastern Michigan,Boubacar Toure,Dunk,45,43
6:30,Akron,Daniel Utomi,Three Point Jumper,45,46
6:12,Eastern Michigan,Kevin McAdoo,Missed Three Point Jumper,45,46
6:12,Akron,Jimond Ivey,Defensive Rebound,45,46
6:06,Akron,Loren Cristian Jackson,Turnover,45,46
5:44,Eastern Michigan,Malik Ellison,Missed Three Point Jumper,45,46
5:44,Akron,Loren Cristian Jackson,Defensive Rebound,45,46
5:37,Akron,Jimond Ivey,Dunk,45,48
5:11,Eastern Michigan,Elijah Minnie,Missed Three Point Jumper,45,48
5:11,Akron,Daniel Utomi,Defensive Rebound,45,48
4:56,Akron,Jaden Sayles,Turnover,45,48
4:56,Akron,Jaden Sayles,Foul,45,48
4:37,Eastern Michigan,None,None,45,48
4:31,Eastern Michigan,Malik Ellison,Layup,47,48
4:11,Akron,Deng Riak,Turnover,47,48
4:09,Eastern Michigan,Boubacar Toure,Steal,47,48
3:41,Eastern Michigan,Paul Jackson,Missed Jumper,47,48
3:41,Eastern Michigan,Boubacar Toure,Offensive Rebound,47,48
3:37,Eastern Michigan,Boubacar Toure,Turnover,47,48
3:36,Akron,Tyler Cheese,Steal,47,48
3:32,Akron,Tyler Cheese,Turnover,47,48
3:31,Eastern Michigan,Paul Jackson,Steal,47,48
3:02,Eastern Michigan,Paul Jackson,Missed Three Point Jumper,47,48
3:02,Akron,Akron,Defensive Rebound,47,48
3:02,Akron,None,None,47,48
2:40,Akron,Tyler Cheese,Layup,47,50
2:14,Eastern Michigan,Boubacar Toure,Missed Layup,47,50
2:14,Akron,Tyler Cheese,Defensive Rebound,47,50
1:46,Akron,Loren Cristian Jackson,Missed Jumper,47,50
1:46,Eastern Michigan,James Thompson IV,Defensive Rebound,47,50
1:28,Eastern Michigan,Paul Jackson,Missed Jumper,47,50
1:28,Akron,Jimond Ivey,Defensive Rebound,47,50
1:01,Akron,None,None,47,50
0:56,Akron,Jimond Ivey,Turnover,47,50
0:55,Eastern Michigan,Ty Groce,Steal,47,50
0:42,Eastern Michigan,Paul Jackson,Layup,49,50
0:10,Akron,Jimond Ivey,Missed Layup,49,50
0:10,Eastern Michigan,James Thompson IV,Block,49,50
0:07,Akron,Deng Riak,Offensive Rebound,49,50
0:05,Akron,Deng Riak,Missed Layup,49,50
0:05,Eastern Michigan,James Thompson IV,Defensive Rebound,49,50
0:05,Eastern Michigan,Ty Groce,Missed Layup,49,50
0:05,Akron,Deng Riak,Defensive Rebound,49,50
0:05,Eastern Michigan,Elijah Minnie,Foul,49,50
0:05,Akron,Deng Riak,Free Throw,49,51
0:05,Eastern Michigan,None,None,49,51
0:05,Akron,Deng Riak,Missed Free Throw,49,51
0:05,Eastern Michigan,James Thompson IV,Defensive Rebound,49,51
0:00,Eastern Michigan,Paul Jackson,Missed Layup,49,51
0:00,Akron,Akron,Defensive Rebound,49,51
0:00,Akron,None,None,49,51
