TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Florida,None,None,0,0
19:49,Florida,KeVaughn Allen,Jumper,2,0
19:24,Mississippi State,Abdul Ado,Dunk,2,2
19:06,Mississippi State,Quinndary Weatherspoon,Foul,2,2
18:52,Florida,Jalen Hudson,Missed Jumper,2,2
18:52,Mississippi State,Nick Weatherspoon,Defensive Rebound,2,2
18:33,Mississippi State,Nick Weatherspoon,Missed Jumper,2,2
18:33,Florida,KeVaughn Allen,Defensive Rebound,2,2
18:31,Mississippi State,Abdul Ado,Foul,2,2
18:16,Florida,Jalen Hudson,Turnover,2,2
18:16,Mississippi State,Robert Woodard,Steal,2,2
18:11,Mississippi State,Lamar Peters,Free Throw,2,4
18:11,Florida,Kevarrius Hayes,Foul,2,2
18:11,Mississippi State,Lamar Peters,Free Throw,2,3
17:53,Florida,Noah Locke,Missed Jumper,2,4
17:53,Florida,Dontay Bassett,Offensive Rebound,2,4
17:49,Florida,Jalen Hudson,Missed Three Point Jumper,2,4
17:49,Mississippi State,Nick Weatherspoon,Defensive Rebound,2,4
17:36,Mississippi State,Quinndary Weatherspoon,Turnover,2,4
17:17,Florida,KeVaughn Allen,Missed Three Point Jumper,2,4
17:17,Mississippi State,Quinndary Weatherspoon,Defensive Rebound,2,4
16:58,Mississippi State,Lamar Peters,Three Point Jumper,2,7
16:49,Florida,Andrew Nembhard,Missed Three Point Jumper,2,7
16:49,Mississippi State,Robert Woodard,Defensive Rebound,2,7
16:38,Mississippi State,Lamar Peters,Missed Three Point Jumper,2,7
16:38,Mississippi State,Abdul Ado,Offensive Rebound,2,7
16:27,Mississippi State,Nick Weatherspoon,Missed Jumper,2,7
16:27,Florida,Andrew Nembhard,Defensive Rebound,2,7
16:17,Florida,Andrew Nembhard,Missed Three Point Jumper,2,7
16:17,Mississippi State,Robert Woodard,Defensive Rebound,2,7
15:54,Mississippi State,None,None,2,7
15:41,Mississippi State,Reggie Perry,Layup,2,9
15:27,Florida,Andrew Nembhard,Three Point Jumper,5,9
14:58,Mississippi State,Reggie Perry,Missed Jumper,5,9
14:58,Florida,Dontay Bassett,Defensive Rebound,5,9
14:46,Florida,Andrew Nembhard,Missed Layup,5,9
14:46,Mississippi State,Robert Woodard,Defensive Rebound,5,9
14:37,Florida,Keith Stone,Foul,5,9
14:37,Mississippi State,Reggie Perry,Free Throw,5,10
14:37,Mississippi State,Reggie Perry,Free Throw,5,11
14:20,Florida,Deaundrae Ballard,Missed Three Point Jumper,5,11
14:20,Mississippi State,Reggie Perry,Defensive Rebound,5,11
14:04,Mississippi State,Tyson Carter,Missed Three Point Jumper,5,11
14:04,Florida,Deaundrae Ballard,Defensive Rebound,5,11
13:51,Florida,KeVaughn Allen,Three Point Jumper,8,11
13:14,Florida,Dontay Bassett,Foul,8,11
13:14,Mississippi State,Reggie Perry,Free Throw,8,12
13:14,Mississippi State,Reggie Perry,Free Throw,8,13
13:01,Florida,Dontay Bassett,Layup,10,13
12:48,Mississippi State,Mississippi State ,Turnover,10,13
12:29,Mississippi State,Aric Holman,Foul,10,13
12:08,Florida,Florida ,Turnover,10,13
11:38,Mississippi State,Tyson Carter,Missed Jumper,10,13
11:38,Florida,Noah Locke,Defensive Rebound,10,13
11:31,Florida,KeVaughn Allen,Missed Dunk,10,13
11:31,Mississippi State,Robert Woodard,Block,10,13
11:31,Mississippi State,Abdul Ado,Defensive Rebound,10,13
11:21,Mississippi State,Lamar Peters,Turnover,10,13
11:21,Florida,Keyontae Johnson,Steal,10,13
11:12,Florida,Dontay Bassett,Layup,12,13
11:11,Mississippi State,None,None,12,13
11:11,Mississippi State,None,None,12,13
10:52,Mississippi State,Tyson Carter,Three Point Jumper,12,16
10:40,Florida,Jalen Hudson,Three Point Jumper,15,16
10:21,Mississippi State,Abdul Ado,Turnover,15,16
10:08,Florida,Jalen Hudson,Missed Three Point Jumper,15,16
10:08,Florida,Kevarrius Hayes,Offensive Rebound,15,16
10:02,Florida,Andrew Nembhard,Missed Three Point Jumper,15,16
10:02,Mississippi State,Abdul Ado,Defensive Rebound,15,16
9:58,Mississippi State,None,None,15,16
9:31,Mississippi State,Quinndary Weatherspoon,Jumper,15,18
9:22,Florida,Deaundrae Ballard,Three Point Jumper,18,18
8:51,Mississippi State,Aric Holman,Missed Dunk,18,18
8:51,Mississippi State,Tyson Carter,Offensive Rebound,18,18
8:44,Mississippi State,Tyson Carter,Three Point Jumper,18,21
8:40,Florida,Keyontae Johnson,Missed Three Point Jumper,18,21
8:40,Mississippi State,Tyson Carter,Defensive Rebound,18,21
8:24,Florida,Jalen Hudson,Foul,18,21
8:12,Florida,None,None,18,21
8:12,Mississippi State,Tyson Carter,Turnover,18,21
8:12,Florida,Kevarrius Hayes,Steal,18,21
7:58,Florida,Noah Locke,Missed Three Point Jumper,18,21
7:58,Florida,Kevarrius Hayes,Offensive Rebound,18,21
7:52,Florida,KeVaughn Allen,Three Point Jumper,21,21
7:23,Mississippi State,Nick Weatherspoon,Layup,21,23
7:16,Mississippi State,None,None,21,23
7:03,Florida,Mike Okauru,Turnover,21,23
7:03,Mississippi State,Nick Weatherspoon,Steal,21,23
6:57,Mississippi State,Aric Holman,Turnover,21,23
6:42,Florida,Noah Locke,Missed Jumper,21,23
6:42,Mississippi State,Reggie Perry,Defensive Rebound,21,23
6:25,Mississippi State,Aric Holman,Missed Jumper,21,23
6:25,Florida,Keyontae Johnson,Defensive Rebound,21,23
6:12,Florida,Noah Locke,Layup,23,23
6:12,Mississippi State,Reggie Perry,Foul,23,23
6:12,Florida,Noah Locke,Free Throw,24,23
5:43,Mississippi State,Lamar Peters,Missed Three Point Jumper,24,23
5:43,Florida,Keith Stone,Defensive Rebound,24,23
5:43,Mississippi State,Lamar Peters,Foul,24,23
5:33,Florida,Noah Locke,Missed Three Point Jumper,24,23
