TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:42,LSU,Tremont Waters,Missed Jumper,0,0
19:42,Ole Miss,Ole Miss,Defensive Rebound,0,0
19:27,LSU,Tremont Waters,Foul,0,0
19:26,Ole Miss,Breein Tyree,Missed Three Point Jumper,0,0
19:26,LSU,Naz Reid,Defensive Rebound,0,0
19:00,LSU,Skylar Mays,Missed Three Point Jumper,0,0
19:00,Ole Miss,Devontae Shuler,Defensive Rebound,0,0
18:51,Ole Miss,Devontae Shuler,Missed Layup,0,0
18:51,Ole Miss,Terence Davis,Offensive Rebound,0,0
18:49,Ole Miss,None,None,0,2
18:37,LSU,Tremont Waters,Missed Three Point Jumper,0,2
18:37,Ole Miss,Terence Davis,Defensive Rebound,0,2
18:27,Ole Miss,Breein Tyree,Missed Three Point Jumper,0,2
18:27,LSU,Marlon Taylor,Defensive Rebound,0,2
18:08,LSU,Naz Reid,Missed Three Point Jumper,0,2
18:08,Ole Miss,Terence Davis,Defensive Rebound,0,2
17:50,Ole Miss,Blake Hinson,Missed Three Point Jumper,0,2
17:50,LSU,Tremont Waters,Defensive Rebound,0,2
17:42,LSU,Tremont Waters,Turnover,0,2
17:26,Ole Miss,Terence Davis,Turnover,0,2
17:24,LSU,Marlon Taylor,Steal,0,2
17:07,LSU,Ja'vonte Smart,Missed Jumper,0,2
17:07,Ole Miss,Terence Davis,Defensive Rebound,0,2
16:44,Ole Miss,Dominik Olejniczak,Missed Jumper,0,2
16:44,LSU,Kavell Bigby-Williams,Block,0,2
16:42,Ole Miss,Dominik Olejniczak,Offensive Rebound,0,2
16:39,Ole Miss,Dominik Olejniczak,Jumper,0,4
16:23,LSU,Kavell Bigby-Williams,Dunk,2,4
16:06,Ole Miss,Devontae Shuler,Missed Three Point Jumper,2,4
16:06,LSU,LSU,Defensive Rebound,2,4
16:02,Ole Miss,Dominik Olejniczak,Foul,2,4
15:43,LSU,Skylar Mays,Missed Three Point Jumper,2,4
15:43,LSU,Kavell Bigby-Williams,Offensive Rebound,2,4
15:38,LSU,Kavell Bigby-Williams,Dunk,4,4
15:16,Ole Miss,Bruce Stevens,Turnover,4,4
15:15,LSU,Marlon Taylor,Steal,4,4
15:12,Ole Miss,Devontae Shuler,Foul,4,4
15:12,Ole Miss,None,None,4,4
15:12,LSU,Skylar Mays,Free Throw,5,4
15:12,LSU,Skylar Mays,Missed Free Throw,5,4
15:12,Ole Miss,D.C. Davis,Defensive Rebound,5,4
14:51,Ole Miss,D.C. Davis,Missed Jumper,5,4
14:51,LSU,Kavell Bigby-Williams,Block,5,4
14:49,Ole Miss,Terence Davis,Offensive Rebound,5,4
14:44,Ole Miss,Terence Davis,Missed Jumper,5,4
14:44,Ole Miss,Ole Miss,Offensive Rebound,5,4
14:40,Ole Miss,Breein Tyree,Turnover,5,4
14:38,LSU,Skylar Mays,Steal,5,4
14:20,LSU,Naz Reid,Turnover,5,4
14:07,Ole Miss,Terence Davis,Missed Jumper,5,4
14:07,Ole Miss,KJ Buffen,Offensive Rebound,5,4
14:03,Ole Miss,KJ Buffen,Layup,5,6
13:50,LSU,Emmitt Williams,Missed Jumper,5,6
13:50,LSU,Darius Days,Offensive Rebound,5,6
13:46,LSU,Darius Days,Missed Jumper,5,6
13:46,Ole Miss,Terence Davis,Defensive Rebound,5,6
13:32,Ole Miss,KJ Buffen,Turnover,5,6
13:32,LSU,Darius Days,Steal,5,6
13:32,Ole Miss,KJ Buffen,Foul,5,6
13:23,LSU,Ja'vonte Smart,Layup,7,6
13:09,Ole Miss,Breein Tyree,Three Point Jumper,7,9
12:46,LSU,Marlon Taylor,Dunk,9,9
12:31,Ole Miss,Breein Tyree,Three Point Jumper,9,12
12:13,LSU,Marlon Taylor,Three Point Jumper,12,12
11:57,Ole Miss,Devontae Shuler,Three Point Jumper,12,15
11:36,LSU,Ja'vonte Smart,Missed Jumper,12,15
11:36,Ole Miss,Ole Miss,Defensive Rebound,12,15
11:33,LSU,Emmitt Williams,Foul,12,15
11:33,Ole Miss,None,None,12,15
11:20,Ole Miss,Terence Davis,Missed Three Point Jumper,12,15
11:20,LSU,Marlon Taylor,Defensive Rebound,12,15
11:00,Ole Miss,Dominik Olejniczak,Foul,12,15
11:00,LSU,Emmitt Williams,Free Throw,13,15
11:00,LSU,Emmitt Williams,Free Throw,14,15
10:45,LSU,Ja'vonte Smart,Foul,14,15
10:30,Ole Miss,Breein Tyree,Missed Three Point Jumper,14,15
10:30,Ole Miss,Bruce Stevens,Offensive Rebound,14,15
10:24,Ole Miss,KJ Buffen,Layup,14,17
10:05,LSU,Ja'vonte Smart,Foul,14,17
10:05,LSU,Ja'vonte Smart,Turnover,14,17
9:56,Ole Miss,Bruce Stevens,Missed Three Point Jumper,14,17
9:56,Ole Miss,KJ Buffen,Offensive Rebound,14,17
9:49,LSU,Emmitt Williams,Foul,14,17
9:49,Ole Miss,KJ Buffen,Missed Free Throw,14,17
9:49,Ole Miss,None,Team Rebound,14,17
9:49,Ole Miss,KJ Buffen,Free Throw,14,18
9:32,LSU,Kavell Bigby-Williams,Turnover,14,18
9:31,Ole Miss,KJ Buffen,Steal,14,18
9:28,Ole Miss,Breein Tyree,Dunk,14,20
9:23,LSU,Skylar Mays,Missed Layup,14,20
9:23,Ole Miss,Bruce Stevens,Block,14,20
9:21,Ole Miss,KJ Buffen,Defensive Rebound,14,20
9:17,LSU,Skylar Mays,Foul,14,20
9:07,Ole Miss,Terence Davis,Missed Three Point Jumper,14,20
9:07,LSU,Naz Reid,Defensive Rebound,14,20
9:01,Ole Miss,Terence Davis,Foul,14,20
8:47,LSU,Naz Reid,Foul,14,20
8:47,LSU,Naz Reid,Turnover,14,20
8:34,Ole Miss,Bruce Stevens,Foul,14,20
8:34,Ole Miss,Bruce Stevens,Turnover,14,20
8:17,LSU,Naz Reid,Missed Jumper,14,20
8:17,Ole Miss,Terence Davis,Defensive Rebound,14,20
8:10,Ole Miss,Blake Hinson,Missed Three Point Jumper,14,20
8:10,LSU,Naz Reid,Defensive Rebound,14,20
7:52,LSU,Marlon Taylor,Dunk,16,20
7:37,Ole Miss,Breein Tyree,Turnover,16,20
7:37,LSU,Kavell Bigby-Williams,Steal,16,20
7:37,LSU,Kavell Bigby-Williams,Layup,18,20
7:37,Ole Miss,KJ Buffen,Foul,18,20
7:37,Ole Miss,None,None,18,20
7:37,LSU,Kavell Bigby-Williams,Free Throw,19,20
7:09,Ole Miss,Dominik Olejniczak,Jumper,19,22
6:51,LSU,Naz Reid,Missed Jumper,19,22
6:51,Ole Miss,Dominik Olejniczak,Defensive Rebound,19,22
6:35,Ole Miss,Breein Tyree,Jumper,19,24
6:22,LSU,Skylar Mays,Three Point Jumper,22,24
6:01,Ole Miss,Blake Hinson,Missed Dunk,22,24
6:01,LSU,Kavell Bigby-Williams,Block,22,24
6:00,Ole Miss,Ole Miss,Offensive Rebound,22,24
5:58,Ole Miss,Blake Hinson,Missed Three Point Jumper,22,24
5:58,LSU,Marlon Taylor,Defensive Rebound,22,24
5:51,LSU,Tremont Waters,Turnover,22,24
5:49,Ole Miss,Dominik Olejniczak,Steal,22,24
5:32,Ole Miss,Dominik Olejniczak,Turnover,22,24
5:19,LSU,Tremont Waters,Missed Jumper,22,24
5:19,Ole Miss,Dominik Olejniczak,Defensive Rebound,22,24
5:16,LSU,Kavell Bigby-Williams,Foul,22,24
5:16,Ole Miss,Dominik Olejniczak,Free Throw,22,25
5:16,Ole Miss,Dominik Olejniczak,Missed Free Throw,22,25
5:16,LSU,Kavell Bigby-Williams,Defensive Rebound,22,25
5:07,LSU,Ja'vonte Smart,Three Point Jumper,25,25
5:00,Ole Miss,None,None,25,25
4:39,Ole Miss,Breein Tyree,Turnover,25,25
4:24,LSU,Marlon Taylor,Missed Three Point Jumper,25,25
4:24,Ole Miss,Bruce Stevens,Defensive Rebound,25,25
4:13,Ole Miss,Blake Hinson,Missed Three Point Jumper,25,25
