TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:36,Duquesne,Frankie Hughes,Missed Three Point Jumper,0,0
19:36,Duquesne,Frankie Hughes,Missed Three Point Jumper,0,0
19:32,Richmond,Nathan Cayo,Defensive Rebound,0,0
19:32,Richmond,Nathan Cayo,Defensive Rebound,0,0
19:13,Richmond,Grant Golden,Missed Jumper,0,0
19:13,Duquesne,Michael Hughes,Block,0,0
19:13,Richmond,Richmond,Offensive Rebound,0,0
19:13,Richmond,Grant Golden,Missed Jumper,0,0
19:13,Duquesne,Michael Hughes,Block,0,0
19:13,Richmond,Richmond,Offensive Rebound,0,0
19:07,Richmond,Nathan Cayo,Missed Jumper,0,0
19:07,Duquesne,Michael Hughes,Block,0,0
19:07,Richmond,Nathan Cayo,Missed Jumper,0,0
19:07,Duquesne,Michael Hughes,Block,0,0
19:01,Duquesne,Sincere Carry,Defensive Rebound,0,0
19:01,Duquesne,Sincere Carry,Defensive Rebound,0,0
18:43,Duquesne,Marcus Weathers,Missed Three Point Jumper,0,0
18:43,Duquesne,Marcus Weathers,Missed Three Point Jumper,0,0
18:39,Richmond,Andre Gustavson,Defensive Rebound,0,0
18:39,Richmond,Andre Gustavson,Defensive Rebound,0,0
18:14,Richmond,Jacob Gilyard,Missed Three Point Jumper,0,0
18:14,Richmond,Jacob Gilyard,Missed Three Point Jumper,0,0
18:11,Duquesne,Michael Hughes,Defensive Rebound,0,0
18:11,Duquesne,Michael Hughes,Defensive Rebound,0,0
17:52,Duquesne,Eric Williams Jr.,Missed Three Point Jumper,0,0
17:52,Duquesne,Eric Williams Jr.,Missed Three Point Jumper,0,0
17:49,Richmond,Nathan Cayo,Defensive Rebound,0,0
17:47,Richmond,Nathan Cayo,Turnover,0,0
17:47,Duquesne,Sincere Carry,Steal,0,0
17:42,Duquesne,Sincere Carry,Layup,2,0
17:27,Richmond,Jacob Gilyard,Turnover,2,0
17:27,Duquesne,Marcus Weathers,Steal,2,0
17:14,Duquesne,Sincere Carry,Missed Three Point Jumper,2,0
17:11,Richmond,Nathan Cayo,Defensive Rebound,2,0
17:07,Richmond,Jake Wojcik,Missed Three Point Jumper,2,0
17:07,Duquesne,Marcus Weathers,Defensive Rebound,2,0
17:07,Richmond,Nathan Cayo,Foul,2,0
17:07,Richmond,Nathan Cayo,Foul,2,0
16:59,Duquesne,Sincere Carry,Turnover,2,0
16:59,Richmond,Andre Gustavson,Steal,2,0
16:59,Richmond,Andre Gustavson,Steal,2,0
16:53,Richmond,Andre Gustavson,Layup,2,2
16:22,Duquesne,Eric Williams Jr.,Missed Three Point Jumper,2,2
16:19,Duquesne,Marcus Weathers,Offensive Rebound,2,2
16:17,Duquesne,Frankie Hughes,Missed Jumper,2,2
16:17,Duquesne,Michael Hughes,Offensive Rebound,2,2
16:17,Duquesne,Michael Hughes,Layup,4,2
