TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Texas A&M-CC,Elijah Schmidt,Turnover,0,0
19:43,Texas A&M-CC,Elijah Schmidt,Turnover,0,0
19:42,Sam Houston State,Cameron Delaney,Steal,0,0
19:42,Sam Houston State,Cameron Delaney,Steal,0,0
19:35,Sam Houston State,Kai Mitchell,Layup,0,2
19:35,Sam Houston State,Kai Mitchell,Layup,0,2
19:14,Texas A&M-CC,Jashawn Talton,Turnover,0,2
19:14,Texas A&M-CC,Jashawn Talton,Foul,0,2
19:00,Sam Houston State,Marcus Harris,Layup,0,4
18:48,Texas A&M-CC,Jake Babic,Three Point Jumper,3,4
18:31,Sam Houston State,Kai Mitchell,Missed Layup,3,4
18:31,Texas A&M-CC,Elijah Schmidt,Block,3,4
18:31,Sam Houston State,Sam Houston State,Offensive Rebound,3,4
18:30,Sam Houston State,Albert Almanza,Missed Jumper,3,4
18:30,Texas A&M-CC,Elijah Schmidt,Defensive Rebound,3,4
18:20,Texas A&M-CC,Emmanuel Toney,Missed Three Point Jumper,3,4
18:20,Texas A&M-CC,Emmanuel Toney,Missed Three Point Jumper,3,4
18:20,Texas A&M-CC,Elijah Schmidt,Offensive Rebound,3,4
18:17,Sam Houston State,Kai Mitchell,Foul,3,4
18:14,Texas A&M-CC,Jashawn Talton,Turnover,3,4
18:14,Texas A&M-CC,Jashawn Talton,Foul,3,4
17:46,Sam Houston State,Albert Almanza,Missed Jumper,3,4
17:46,Sam Houston State,Cameron Delaney,Offensive Rebound,3,4
17:30,Sam Houston State,Kai Mitchell,Missed Layup,3,4
17:30,Texas A&M-CC,Jake Babic,Defensive Rebound,3,4
17:25,Texas A&M-CC,Kareem South,Missed Layup,3,4
17:25,Sam Houston State,Kai Mitchell,Defensive Rebound,3,4
17:21,Sam Houston State,Kai Mitchell,Turnover,3,4
17:18,Texas A&M-CC,Emmanuel Toney,Steal,3,4
17:07,Texas A&M-CC,Kareem South,Turnover,3,4
17:06,Sam Houston State,Albert Almanza,Steal,3,4
17:02,Sam Houston State,Cameron Delaney,Missed Layup,3,4
17:02,Sam Houston State,Cameron Delaney,Missed Layup,3,4
17:02,Sam Houston State,Kai Mitchell,Offensive Rebound,3,4
17:01,Sam Houston State,Kai Mitchell,Layup,3,6
16:54,Texas A&M-CC,Jalon Clark,Missed Layup,3,6
16:54,Sam Houston State,Kai Mitchell,Block,3,6
16:53,Sam Houston State,Cameron Delaney,Defensive Rebound,3,6
16:47,Sam Houston State,Josh Delaney,Three Point Jumper,3,9
16:15,Texas A&M-CC,Jake Babic,Missed Three Point Jumper,3,9
16:15,Sam Houston State,Sam Houston State,Defensive Rebound,3,9
15:57,Sam Houston State,Albert Almanza,Missed Jumper,3,9
15:57,Texas A&M-CC,Tre Gray,Defensive Rebound,3,9
15:47,Texas A&M-CC,Emmanuel Toney,Three Point Jumper,6,9
15:24,Sam Houston State,Albert Almanza,Missed Three Point Jumper,6,9
15:24,Sam Houston State,Albert Almanza,Missed Three Point Jumper,6,9
15:24,Sam Houston State,Kai Mitchell,Offensive Rebound,6,9
15:19,Sam Houston State,None,None,6,9
15:19,Sam Houston State,None,None,6,9
15:19,Texas A&M-CC,Elijah Schmidt,Defensive Rebound,6,9
15:06,Texas A&M-CC,Tre Gray,Three Point Jumper,9,9
14:42,Sam Houston State,Cameron Delaney,Three Point Jumper,9,12
14:19,Texas A&M-CC,Kareem South,Missed Three Point Jumper,9,12
14:19,Sam Houston State,Cameron Delaney,Defensive Rebound,9,12
14:02,Sam Houston State,Marcus Harris,Turnover,9,12
14:02,Sam Houston State,None,None,9,12
13:37,Texas A&M-CC,Tre Gray,Jumper,11,12
13:20,Sam Houston State,Cameron Delaney,Missed Three Point Jumper,11,12
13:20,Texas A&M-CC,Emmanuel Toney,Defensive Rebound,11,12
13:20,Texas A&M-CC,Emmanuel Toney,Defensive Rebound,11,12
12:57,Texas A&M-CC,Jalon Clark,Missed Jumper,11,12
12:57,Texas A&M-CC,Jalon Clark,Missed Jumper,11,12
12:57,Sam Houston State,Bubba Furlong,Defensive Rebound,11,12
12:45,Sam Houston State,Josh Delaney,Three Point Jumper,11,15
12:22,Texas A&M-CC,Tony Lewis,Missed Layup,11,15
12:22,Sam Houston State,Bubba Furlong,Block,11,15
12:22,Texas A&M-CC,Tony Lewis,Missed Layup,11,15
12:22,Sam Houston State,Bubba Furlong,Block,11,15
12:21,Sam Houston State,Cameron Delaney,Defensive Rebound,11,15
12:14,Sam Houston State,Zach Nutall,Three Point Jumper,11,18
11:46,Texas A&M-CC,Tony Lewis,Missed Jumper,11,18
11:46,Sam Houston State,Bubba Furlong,Defensive Rebound,11,18
11:36,Sam Houston State,Marcus Harris,Missed Three Point Jumper,11,18
11:36,Sam Houston State,Bubba Furlong,Offensive Rebound,11,18
11:33,Sam Houston State,Bubba Furlong,Layup,11,20
11:26,Texas A&M-CC,None,None,11,20
11:26,Texas A&M-CC,None,None,11,20
11:26,Sam Houston State,None,None,11,20
11:26,Sam Houston State,None,None,11,20
11:12,Texas A&M-CC,Irshaad Hunte,Jumper,13,20
10:48,Sam Houston State,Xavier Bryant,Turnover,13,20
10:48,Texas A&M-CC,Kyle Brown,Steal,13,20
10:48,Texas A&M-CC,Kyle Brown,Steal,13,20
10:48,Sam Houston State,Xavier Bryant,Foul,13,20
10:48,Sam Houston State,Xavier Bryant,Foul,13,20
10:29,Texas A&M-CC,Tre Gray,Three Point Jumper,16,20
10:29,Texas A&M-CC,Tre Gray,Three Point Jumper,16,20
10:10,Texas A&M-CC,Tre Gray,Foul,16,20
9:53,Sam Houston State,Zach Nutall,Three Point Jumper,16,23
9:53,Sam Houston State,Zach Nutall,Three Point Jumper,16,23
9:31,Texas A&M-CC,Irshaad Hunte,Jumper,18,23
9:31,Texas A&M-CC,Irshaad Hunte,Jumper,18,23
9:12,Sam Houston State,Marcus Harris,Three Point Jumper,18,26
9:12,Sam Houston State,Marcus Harris,Three Point Jumper,18,26
8:43,Texas A&M-CC,Kyle Brown,Layup,20,26
8:43,Texas A&M-CC,Kyle Brown,Layup,20,26
8:27,Sam Houston State,Zach Nutall,Layup,20,28
8:27,Sam Houston State,Zach Nutall,Layup,20,28
8:16,Texas A&M-CC,Tre Gray,Missed Layup,20,28
8:16,Sam Houston State,Cameron Delaney,Defensive Rebound,20,28
8:16,Sam Houston State,Cameron Delaney,Defensive Rebound,20,28
8:10,Sam Houston State,Marcus Harris,Layup,20,30
8:10,Sam Houston State,Marcus Harris,Layup,20,30
7:52,Sam Houston State,Zach Nutall,Foul,20,30
7:52,Sam Houston State,None,None,20,30
7:52,Sam Houston State,Zach Nutall,Foul,20,30
7:52,Sam Houston State,None,None,20,30
7:51,Texas A&M-CC,Emmanuel Toney,Turnover,20,30
7:51,Texas A&M-CC,Emmanuel Toney,Turnover,20,30
7:50,Sam Houston State,Albert Almanza,Steal,20,30
7:50,Sam Houston State,Albert Almanza,Steal,20,30
7:35,Sam Houston State,Zach Nutall,Three Point Jumper,20,33
7:08,Texas A&M-CC,Irshaad Hunte,Missed Three Point Jumper,20,33
7:08,Texas A&M-CC,Irshaad Hunte,Missed Three Point Jumper,20,33
7:08,Texas A&M-CC,Elijah Schmidt,Offensive Rebound,20,33
7:08,Texas A&M-CC,Elijah Schmidt,Offensive Rebound,20,33
7:01,Texas A&M-CC,Jake Babic,Missed Three Point Jumper,20,33
7:01,Sam Houston State,Josh Delaney,Defensive Rebound,20,33
7:01,Sam Houston State,Josh Delaney,Defensive Rebound,20,33
6:49,Sam Houston State,Zach Nutall,Missed Three Point Jumper,20,33
6:49,Texas A&M-CC,Irshaad Hunte,Defensive Rebound,20,33
6:26,Texas A&M-CC,Jake Babic,Jumper,22,33
6:26,Texas A&M-CC,Jake Babic,Jumper,22,33
6:04,Sam Houston State,Marcus Harris,Missed Three Point Jumper,22,33
6:04,Sam Houston State,Marcus Harris,Missed Three Point Jumper,22,33
6:04,Texas A&M-CC,Kyle Brown,Defensive Rebound,22,33
6:04,Texas A&M-CC,Kyle Brown,Defensive Rebound,22,33
5:40,Texas A&M-CC,Elijah Schmidt,Missed Jumper,22,33
5:40,Sam Houston State,Marcus Harris,Defensive Rebound,22,33
5:40,Sam Houston State,Marcus Harris,Defensive Rebound,22,33
5:30,Sam Houston State,Marcus Harris,Jumper,22,35
5:30,Sam Houston State,Marcus Harris,Jumper,22,35
5:21,Texas A&M-CC,Emmanuel Toney,Turnover,22,35
5:21,Texas A&M-CC,Emmanuel Toney,Turnover,22,35
5:20,Sam Houston State,Marcus Harris,Steal,22,35
5:20,Sam Houston State,Marcus Harris,Steal,22,35
5:17,Sam Houston State,Josh Delaney,Missed Three Point Jumper,22,35
5:17,Sam Houston State,Josh Delaney,Missed Three Point Jumper,22,35
5:17,Texas A&M-CC,Elijah Schmidt,Defensive Rebound,22,35
5:17,Texas A&M-CC,Elijah Schmidt,Defensive Rebound,22,35
5:14,Sam Houston State,Zach Nutall,Foul,22,35
5:14,Sam Houston State,Zach Nutall,Foul,22,35
4:49,Sam Houston State,Cameron Delaney,Foul,22,35
4:49,Sam Houston State,Cameron Delaney,Foul,22,35
4:45,Texas A&M-CC,Tony Lewis,Turnover,22,35
4:45,Texas A&M-CC,Tony Lewis,Foul,22,35
4:45,Texas A&M-CC,Tony Lewis,Turnover,22,35
4:45,Texas A&M-CC,Tony Lewis,Foul,22,35
4:31,Sam Houston State,Kai Mitchell,Jumper,22,37
4:31,Sam Houston State,Kai Mitchell,Jumper,22,37
4:24,Texas A&M-CC,Kareem South,Missed Jumper,22,37
4:24,Texas A&M-CC,Kareem South,Missed Jumper,22,37
4:24,Sam Houston State,Cameron Delaney,Defensive Rebound,22,37
4:24,Sam Houston State,Cameron Delaney,Defensive Rebound,22,37
3:58,Sam Houston State,Albert Almanza,Missed Three Point Jumper,22,37
3:58,Sam Houston State,Cameron Delaney,Offensive Rebound,22,37
3:58,Sam Houston State,Cameron Delaney,Offensive Rebound,22,37
3:51,Sam Houston State,Josh Delaney,Missed Three Point Jumper,22,37
3:51,Sam Houston State,Josh Delaney,Missed Three Point Jumper,22,37
3:51,Texas A&M-CC,Emmanuel Toney,Defensive Rebound,22,37
3:51,Texas A&M-CC,Emmanuel Toney,Defensive Rebound,22,37
3:39,Texas A&M-CC,Tony Lewis,Missed Jumper,22,37
3:39,Texas A&M-CC,Tony Lewis,Missed Jumper,22,37
3:39,Sam Houston State,Kai Mitchell,Block,22,37
3:39,Sam Houston State,Kai Mitchell,Block,22,37
