TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:45,Mercer,Jaylen Stowe,Layup,2,0
19:30,Chattanooga,David Jean-Baptiste,Three Point Jumper,2,3
19:09,Mercer,Jaylen Stowe,Missed Layup,2,3
19:05,Chattanooga,Kevin Easley,Defensive Rebound,2,3
18:49,Chattanooga,David Jean-Baptiste,Three Point Jumper,2,6
18:23,Mercer,Ross Cummings,Missed Jumper,2,6
18:21,Chattanooga,Ramon Vila,Defensive Rebound,2,6
18:09,Chattanooga,Kevin Easley,Jumper,2,8
17:44,Mercer,Jaylen Stowe,Layup,4,8
17:32,Chattanooga,Kevin Easley,Missed Three Point Jumper,4,8
17:29,Mercer,Djordje Dimitrijevic,Defensive Rebound,4,8
17:08,Mercer,Jaylen Stowe,Three Point Jumper,7,8
16:33,Chattanooga,Chattanooga ,Turnover,7,8
16:22,Mercer,Daniel Love,Jumper,9,8
15:50,Chattanooga,Jerry Johnson Jr.,Jumper,9,10
15:34,Mercer,Cory Kilby,Missed Three Point Jumper,9,10
15:34,Mercer,Mercer,Offensive Rebound,9,10
15:34,Chattanooga,Jonathan Scott,Foul,9,10
15:34,Chattanooga,None,None,9,10
15:22,Mercer,Djordje Dimitrijevic,Jumper,11,10
14:49,Mercer,Cory Kilby,Defensive Rebound,11,10
14:34,Mercer,Djordje Dimitrijevic,Missed Three Point Jumper,11,10
14:31,Mercer,Fardaws Aimaq,Offensive Rebound,11,10
14:24,Mercer,Fardaws Aimaq,Layup,13,10
13:58,Chattanooga,Jonathan Scott,Missed Jumper,13,10
13:55,Mercer,Fardaws Aimaq,Defensive Rebound,13,10
13:45,Mercer,Ross Cummings,Jumper,15,10
13:27,Chattanooga,Donovann Toatley,Missed Layup,15,10
13:27,Mercer,Fardaws Aimaq,Block,15,10
13:27,Mercer,Mercer,Defensive Rebound,15,10
13:11,Chattanooga,Thomas Smallwood,Foul,15,10
13:11,Mercer,Fardaws Aimaq,Free Throw,16,10
