TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:54,Seattle,Mattia Da Campo,Turnover,0,0
19:30,New Mexico State,Clayton Henry,Three Point Jumper,3,0
19:10,Seattle,Mattia Da Campo,Missed Layup,3,0
19:10,New Mexico State,Eli Chuha,Block,3,0
19:03,Seattle,Trey Hopkins,Offensive Rebound,3,0
19:02,Seattle,Trey Hopkins,Layup,3,2
18:55,New Mexico State,Terrell Brown,Three Point Jumper,6,2
18:41,Seattle,Delante Jones,Missed Layup,6,2
18:35,New Mexico State,None,Team Rebound,6,2
18:12,New Mexico State,Eli Chuha,Turnover,6,2
17:58,Seattle,Morgan Means,Missed Jumper,6,2
17:58,Seattle,Trey Hopkins,Offensive Rebound,6,2
17:58,New Mexico State,Eli Chuha,Block,6,2
17:51,Seattle,Myles Carter,Layup,6,4
17:42,New Mexico State,AJ Harris,Missed Three Point Jumper,6,4
17:39,New Mexico State,Clayton Henry,Offensive Rebound,6,4
17:29,New Mexico State,Terrell Brown,Turnover,6,4
17:25,Seattle,Myles Carter,Layup,6,6
16:58,New Mexico State,Terrell Brown,Missed Three Point Jumper,6,6
16:52,New Mexico State,Eli Chuha,Offensive Rebound,6,6
16:51,New Mexico State,Eli Chuha,Layup,8,6
16:21,New Mexico State,Johnny McCants,Foul,8,6
16:21,Seattle,Myles Carter,Missed Free Throw,8,6
16:21,Seattle,None,Team Rebound,8,6
16:21,Seattle,Myles Carter,Free Throw,8,7
16:05,New Mexico State,Terrell Brown,Missed Three Point Jumper,8,7
16:02,Seattle,Myles Carter,Defensive Rebound,8,7
15:45,Seattle,Delante Jones,Turnover,8,7
15:45,New Mexico State,C.J. Bobbitt,Steal,8,7
15:41,New Mexico State,C.J. Bobbitt,Turnover,8,7
15:41,Seattle,Morgan Means,Steal,8,7
15:27,Seattle,Morgan Means,Missed Layup,8,7
15:24,New Mexico State,Eli Chuha,Defensive Rebound,8,7
15:03,New Mexico State,Shunn Buchanan,Missed Jumper,8,7
15:00,Seattle,Riley Grigsby,Defensive Rebound,8,7
14:48,Seattle,Morgan Means,Turnover,8,7
14:48,New Mexico State,C.J. Bobbitt,Steal,8,7
14:48,Seattle,None,None,8,7
14:24,Seattle,Riley Grigsby,Foul,8,7
14:24,New Mexico State,C.J. Bobbitt,Free Throw,9,7
14:24,New Mexico State,C.J. Bobbitt,Free Throw,10,7
13:52,Seattle,Riley Grigsby,Missed Three Point Jumper,10,7
13:48,New Mexico State,AJ Harris,Defensive Rebound,10,7
13:27,New Mexico State,JoJo Zamora,Layup,12,7
13:08,New Mexico State,JoJo Zamora,Foul,12,7
12:59,Seattle,Aaron Nettles,Missed Three Point Jumper,12,7
12:59,New Mexico State,Ivan Aurrecoechea,Defensive Rebound,12,7
12:59,Seattle,Myles Carter,Foul,12,7
12:39,New Mexico State,JoJo Zamora,Layup,14,7
12:28,New Mexico State,C.J. Bobbitt,Foul,14,7
12:16,Seattle,Delante Jones,Layup,14,9
12:01,New Mexico State,JoJo Zamora,Jumper,16,9
11:47,Seattle,Myles Carter,Jumper,16,11
11:24,New Mexico State,Ivan Aurrecoechea,Layup,18,11
11:23,New Mexico State,Johnny McCants,Foul,18,11
11:23,Seattle,None,None,18,11
11:03,Seattle,Delante Jones,Missed Layup,18,11
11:00,Seattle,None,Team Rebound,18,11
10:52,Seattle,Morgan Means,Missed Three Point Jumper,18,11
10:50,New Mexico State,Eli Chuha,Defensive Rebound,18,11
10:29,New Mexico State,JoJo Zamora,Three Point Jumper,21,11
10:15,Seattle,Delante Jones,Three Point Jumper,21,14
10:03,Seattle,Delante Jones,Foul,21,14
9:58,New Mexico State,Keyon Jones,Missed Three Point Jumper,21,14
9:55,Seattle,Morgan Means,Defensive Rebound,21,14
9:41,Seattle,Myles Carter,Missed Jumper,21,14
9:38,New Mexico State,Clayton Henry,Defensive Rebound,21,14
9:36,New Mexico State,Clayton Henry,Turnover,21,14
9:36,Seattle,Aaron Nettles,Steal,21,14
9:31,Seattle,Trey Hopkins,Layup,21,16
9:17,New Mexico State,AJ Harris,Missed Layup,21,16
9:12,New Mexico State,Eli Chuha,Offensive Rebound,21,16
9:12,New Mexico State,Eli Chuha,Layup,23,16
9:04,Seattle,Delante Jones,Missed Layup,23,16
9:02,Seattle,Myles Carter,Foul,23,16
9:02,Seattle,None,None,23,16
9:00,New Mexico State,Eli Chuha,Defensive Rebound,23,16
8:55,New Mexico State,JoJo Zamora,Three Point Jumper,26,16
8:35,Seattle,Delante Jones,Missed Jumper,26,16
8:31,Seattle,Mattia Da Campo,Offensive Rebound,26,16
8:28,New Mexico State,JoJo Zamora,Foul,26,16
8:12,Seattle,Terrell Brown,Missed Jumper,26,16
8:08,New Mexico State,Clayton Henry,Defensive Rebound,26,16
7:57,New Mexico State,Eli Chuha,Layup,28,16
7:45,New Mexico State,Clayton Henry,Foul,28,16
7:45,Seattle,None,None,28,16
7:45,Seattle,Terrell Brown,Free Throw,28,17
7:45,Seattle,Terrell Brown,Missed Free Throw,28,17
7:44,New Mexico State,Eli Chuha,Defensive Rebound,28,17
7:14,New Mexico State,Clayton Henry,Three Point Jumper,31,17
6:55,Seattle,Morgan Means,Missed Three Point Jumper,31,17
