TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:21,Sacramento State,Bryce Fowler,Missed Jumper,0,0
19:21,Northern Arizona,Bernie Andre,Defensive Rebound,0,0
19:08,Northern Arizona,Ted McCree,Turnover,0,0
19:06,Sacramento State,Marcus Graves,Steal,0,0
18:57,Sacramento State,Marcus Graves,Missed Jumper,0,0
18:57,Sacramento State,Joshua Patton,Offensive Rebound,0,0
18:46,Sacramento State,Bryce Fowler,Three Point Jumper,3,0
18:04,Northern Arizona,Carlos Hines,Missed Jumper,3,0
18:04,Sacramento State,Calvin Martin,Defensive Rebound,3,0
17:32,Sacramento State,Joshua Patton,Layup,38,32
17:18,Northern Arizona,Bernie Andre,Missed Three Point Jumper,3,0
17:18,Sacramento State,Marcus Graves,Defensive Rebound,3,0
17:14,Sacramento State,Calvin Martin,Missed Layup,3,0
17:14,Northern Arizona,Isaiah Thomas,Block,3,0
17:14,Northern Arizona,Bernie Andre,Defensive Rebound,3,0
17:14,Sacramento State,Calvin Martin,Foul,3,0
17:14,Northern Arizona,Ted McCree,Missed Jumper,3,0
17:14,Sacramento State,Joshua Patton,Defensive Rebound,3,0
17:14,Northern Arizona,Isaiah Thomas,Foul,3,0
17:10,Sacramento State,Joshua Patton,Dunk,5,0
16:40,Northern Arizona,Bernie Andre,Missed Jumper,5,0
16:40,Sacramento State,Chibueze Jacobs,Defensive Rebound,5,0
16:39,Sacramento State,Joshua Patton,Layup,7,0
16:39,Northern Arizona,None,None,7,0
16:28,Northern Arizona,Nik Mains,Missed Layup,7,0
16:28,Northern Arizona,Nik Mains,Offensive Rebound,7,0
16:22,Sacramento State,Marcus Graves,Foul,7,0
16:22,Northern Arizona,Davon Bolton,Free Throw,7,1
16:22,Northern Arizona,Davon Bolton,Free Throw,7,2
15:59,Sacramento State,Osi Nwachukwu,Three Point Jumper,10,2
15:33,Sacramento State,Marcus Graves,Foul,10,2
15:33,Northern Arizona,None,None,10,2
15:23,Northern Arizona,Brooks DeBisschop,Layup,10,4
15:05,Sacramento State,Ethan Esposito,Missed Jumper,10,4
15:05,Sacramento State,Elijah McCullough,Offensive Rebound,10,4
14:50,Northern Arizona,Davon Bolton,Missed Three Point Jumper,10,4
14:50,Sacramento State,Bryce Fowler,Defensive Rebound,10,4
14:36,Sacramento State,Izayah Mauriohooho-Le'afa,Missed Three Point Jumper,10,4
14:36,Northern Arizona,Northern Arizona,Defensive Rebound,10,4
14:10,Northern Arizona,Davon Bolton,Foul,10,4
13:39,Sacramento State,James Bridges,Layup,12,4
