TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:41,CSU Bakersfield,Rickey Holden,Jumper,0,2
19:26,UMKC,Brandon McKissic,Foul,0,2
19:26,UMKC,Brandon McKissic,Turnover,0,2
18:59,CSU Bakersfield,Jarkel Joiner,Three Point Jumper,0,5
18:31,UMKC,Xavier Bishop,Three Point Jumper,3,5
18:03,CSU Bakersfield,Rickey Holden,Missed Jumper,3,5
17:59,UMKC,Aleer Leek,Defensive Rebound,3,5
17:52,UMKC,Marvin Nesbitt Jr.,Missed Jumper,3,5
17:47,CSU Bakersfield,Justin Edler-Davis,Defensive Rebound,3,5
17:38,CSU Bakersfield,Rickey Holden,Missed Layup,3,5
17:37,CSU Bakersfield,James Suber,Offensive Rebound,3,5
17:37,UMKC,Jordan Giles,Foul,3,5
17:31,CSU Bakersfield,Rickey Holden,Missed Layup,3,5
17:29,CSU Bakersfield,James Suber,Offensive Rebound,3,5
17:28,CSU Bakersfield,James Suber,Missed Jumper,3,5
17:25,CSU Bakersfield,Jarkel Joiner,Offensive Rebound,3,5
17:19,CSU Bakersfield,Jarkel Joiner,Missed Jumper,3,5
17:13,UMKC,Marvin Nesbitt Jr.,Defensive Rebound,3,5
17:06,UMKC,Marvin Nesbitt Jr.,Three Point Jumper,6,5
16:39,CSU Bakersfield,Greg Lee,Jumper,6,7
16:11,UMKC,Marvin Nesbitt Jr.,Three Point Jumper,9,7
15:57,CSU Bakersfield,James Suber,Missed Jumper,9,7
15:54,CSU Bakersfield,James Suber,Offensive Rebound,9,7
15:53,CSU Bakersfield,James Suber,Missed Jumper,9,7
15:50,CSU Bakersfield,Justin Edler-Davis,Offensive Rebound,9,7
15:49,CSU Bakersfield,Justin Edler-Davis,Three Point Jumper,9,10
15:24,UMKC,Xavier Bishop,Missed Jumper,9,10
15:20,CSU Bakersfield,Justin Edler-Davis,Defensive Rebound,9,10
15:12,CSU Bakersfield,Rickey Holden,Turnover,9,10
15:12,CSU Bakersfield,None,None,9,10
15:12,UMKC,Marvin Nesbitt Jr.,Turnover,9,10
15:00,CSU Bakersfield,Greg Lee,Turnover,9,10
15:00,UMKC,Jamel Allen,Steal,9,10
14:38,UMKC,Jamel Allen,Missed Three Point Jumper,9,10
14:35,UMKC,Marvin Nesbitt Jr.,Offensive Rebound,9,10
