TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:43,Youngstown State,Naz Bohannon,Missed Jumper,0,0
19:43,Wright State,Alan Vest,Defensive Rebound,0,0
19:13,Wright State,Cole Gentry,Missed Jumper,0,0
19:13,Youngstown State,Jelani Simmons,Defensive Rebound,0,0
19:00,Youngstown State,Olamide Pedersen,Jumper,0,2
18:37,Wright State,Loudon Love,Layup,2,2
18:05,Youngstown State,Darius Quisenberry,Layup,2,4
17:52,Youngstown State,Olamide Pedersen,Foul,2,4
17:47,Wright State,Loudon Love,Jumper,4,4
17:46,Youngstown State,Olamide Pedersen,Foul,4,4
17:46,Wright State,Loudon Love,Free Throw,5,4
17:34,Youngstown State,Naz Bohannon,Missed Three Point Jumper,5,4
17:34,Wright State,Loudon Love,Defensive Rebound,5,4
17:08,Wright State,Mark Hughes,Layup,7,4
16:49,Youngstown State,Noe Anabir,Jumper,7,6
16:34,Wright State,Loudon Love,Missed Layup,7,6
16:34,Wright State,Loudon Love,Offensive Rebound,7,6
16:31,Wright State,Loudon Love,Missed Layup,7,6
16:31,Wright State,Parker Ernsthausen,Offensive Rebound,7,6
16:28,Wright State,None,None,9,6
16:16,Wright State,Cole Gentry,Foul,9,6
16:12,Youngstown State,Garrett Covington,Missed Jumper,9,6
16:12,Wright State,Alan Vest,Defensive Rebound,9,6
15:55,Wright State,Skyelar Potter,Jumper,11,6
15:36,Youngstown State,Darius Quisenberry,Three Point Jumper,11,9
15:19,Wright State,Billy Wampler,Turnover,11,9
15:19,Youngstown State,None,None,11,9
15:07,Youngstown State,Noe Anabir,Missed Jumper,11,9
15:07,Wright State,Parker Ernsthausen,Defensive Rebound,11,9
14:49,Wright State,Skyelar Potter,Missed Three Point Jumper,11,9
14:49,Youngstown State,Jelani Simmons,Defensive Rebound,11,9
14:19,Youngstown State,Darius Quisenberry,Missed Three Point Jumper,11,9
14:19,Wright State,Billy Wampler,Defensive Rebound,11,9
13:57,Wright State,Parker Ernsthausen,Three Point Jumper,14,9
13:36,Youngstown State,Garrett Covington,Three Point Jumper,14,12
13:18,Wright State,Parker Ernsthausen,Missed Three Point Jumper,14,12
13:18,Youngstown State,Darius Quisenberry,Defensive Rebound,14,12
13:04,Youngstown State,Garrett Covington,Jumper,14,14
12:53,Wright State,Parker Ernsthausen,Turnover,14,14
12:41,Wright State,Malachi Smith,Foul,14,14
12:28,Youngstown State,Garrett Covington,Missed Jumper,14,14
12:28,Wright State,Malachi Smith,Defensive Rebound,14,14
12:20,Wright State,Billy Wampler,Missed Three Point Jumper,14,14
12:20,Youngstown State,Naz Bohannon,Defensive Rebound,14,14
12:12,Youngstown State,Naz Bohannon,Turnover,14,14
12:11,Wright State,Alan Vest,Steal,14,14
12:09,Wright State,Alan Vest,Layup,16,14
11:46,Youngstown State,Donel Cathcart III,Jumper,16,16
11:34,Wright State,Malachi Smith,Missed Jumper,16,16
11:34,Youngstown State,Noe Anabir,Block,16,16
11:31,Youngstown State,Naz Bohannon,Defensive Rebound,16,16
11:23,Wright State,Alan Vest,Foul,16,16
11:23,Youngstown State,None,None,16,16
11:17,Youngstown State,Noe Anabir,Layup,16,18
11:02,Wright State,Loudon Love,Turnover,16,18
10:51,Youngstown State,Michael Akuchie,Missed Three Point Jumper,16,18
10:51,Youngstown State,Jelani Simmons,Offensive Rebound,16,18
10:39,Youngstown State,Jelani Simmons,Three Point Jumper,16,21
10:25,Wright State,Mark Hughes,Missed Three Point Jumper,16,21
10:25,Wright State,Malachi Smith,Offensive Rebound,16,21
10:21,Wright State,Malachi Smith,Missed Jumper,16,21
10:21,Youngstown State,Noe Anabir,Block,16,21
10:18,Youngstown State,Michael Akuchie,Defensive Rebound,16,21
10:12,Youngstown State,Devin Morgan,Turnover,16,21
10:12,Wright State,Malachi Smith,Steal,16,21
10:09,Wright State,Mark Hughes,Layup,18,21
10:09,Youngstown State,Jelani Simmons,Foul,18,21
10:08,Wright State,Mark Hughes,Free Throw,19,21
9:57,Youngstown State,Devin Morgan,Three Point Jumper,19,24
9:38,Youngstown State,Devin Morgan,Foul,19,24
9:32,Wright State,Loudon Love,Missed Jumper,19,24
9:32,Youngstown State,Donel Cathcart III,Defensive Rebound,19,24
9:10,Youngstown State,Noe Anabir,Jumper,19,26
8:53,Wright State,Cole Gentry,Missed Three Point Jumper,19,26
