TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
20:00,Ohio State,None,None,0,0
19:38,Ohio State,Luther Muhammad,Missed Three Point Jumper,0,0
19:38,Ohio State,Kaleb Wesson,Offensive Rebound,0,0
19:38,Maryland,Jalen Smith,Foul,0,0
19:38,Ohio State,Kaleb Wesson,Free Throw,0,1
19:38,Ohio State,Kaleb Wesson,Free Throw,0,2
19:10,Maryland,Bruno Fernando,Jumper,2,2
19:10,Ohio State,Andre Wesson,Foul,2,2
19:10,Maryland,Bruno Fernando,Free Throw,3,2
18:50,Ohio State,Keyshawn Woods,Missed Three Point Jumper,3,2
18:50,Ohio State,Kaleb Wesson,Offensive Rebound,3,2
18:50,Ohio State,None,None,3,4
18:31,Maryland,Eric Ayala,Turnover,3,4
18:20,Ohio State,C.J. Jackson,Jumper,3,6
17:49,Maryland,Darryl Morsell,Missed Jumper,3,6
17:49,Ohio State,Kaleb Wesson,Defensive Rebound,3,6
17:32,Ohio State,C.J. Jackson,Missed Three Point Jumper,3,6
17:32,Maryland,Jalen Smith,Defensive Rebound,3,6
17:13,Maryland,Darryl Morsell,Layup,5,6
16:48,Ohio State,Luther Muhammad,Missed Jumper,5,6
16:48,Maryland,Anthony Cowan Jr.,Defensive Rebound,5,6
16:41,Maryland,Jalen Smith,Layup,7,6
16:22,Ohio State,Andre Wesson,Missed Layup,7,6
16:22,Maryland,Jalen Smith,Defensive Rebound,7,6
16:11,Maryland,Eric Ayala,Three Point Jumper,10,6
15:53,Ohio State,Andre Wesson,Missed Three Point Jumper,10,6
15:53,Maryland,Anthony Cowan Jr.,Defensive Rebound,10,6
15:35,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,10,6
15:35,Ohio State,Andre Wesson,Defensive Rebound,10,6
15:10,Ohio State,Keyshawn Woods,Turnover,10,6
15:10,Maryland,Eric Ayala,Steal,10,6
15:06,Maryland,Eric Ayala,Missed Layup,10,6
15:06,Ohio State,Kaleb Wesson,Defensive Rebound,10,6
14:41,Ohio State,Keyshawn Woods,Jumper,10,8
14:09,Maryland,Darryl Morsell,Jumper,12,8
13:50,Ohio State,None,None,12,8
13:34,Ohio State,Duane Washington Jr.,Three Point Jumper,12,11
13:07,Maryland,Serrel Smith Jr.,Three Point Jumper,15,11
12:44,Ohio State,Keyshawn Woods,Missed Jumper,15,11
12:44,Ohio State,Kaleb Wesson,Offensive Rebound,15,11
12:44,Maryland,Ricky Lindo Jr.,Foul,15,11
12:42,Ohio State,Keyshawn Woods,Jumper,15,13
12:16,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,15,13
12:16,Ohio State,Duane Washington Jr.,Defensive Rebound,15,13
12:07,Ohio State,Andre Wesson,Three Point Jumper,15,16
11:44,Maryland,Anthony Cowan Jr.,Turnover,15,16
11:34,Ohio State,C.J. Jackson,Missed Three Point Jumper,15,16
11:34,Maryland,Anthony Cowan Jr.,Defensive Rebound,15,16
11:27,Maryland,Aaron Wiggins,Missed Layup,15,16
11:27,Ohio State,Kyle Young,Defensive Rebound,15,16
11:19,Ohio State,Duane Washington Jr.,Missed Three Point Jumper,15,16
11:19,Ohio State,Andre Wesson,Offensive Rebound,15,16
11:13,Ohio State,Duane Washington Jr.,Missed Three Point Jumper,15,16
11:13,Maryland,Anthony Cowan Jr.,Defensive Rebound,15,16
10:59,Maryland,Aaron Wiggins,Three Point Jumper,18,16
10:31,Ohio State,C.J. Jackson,Missed Layup,18,16
10:31,Ohio State,Andre Wesson,Offensive Rebound,18,16
10:24,Ohio State,C.J. Jackson,Jumper,18,18
10:10,Maryland,Serrel Smith Jr.,Turnover,18,18
10:10,Ohio State,None,None,18,18
9:49,Ohio State,C.J. Jackson,Layup,18,20
9:21,Maryland,Eric Ayala,Three Point Jumper,21,20
8:57,Ohio State,Duane Washington Jr.,Jumper,21,22
8:37,Ohio State,C.J. Jackson,Foul,21,22
8:19,Maryland,Aaron Wiggins,Missed Jumper,21,22
8:19,Ohio State,Luther Muhammad,Defensive Rebound,21,22
8:16,Maryland,Aaron Wiggins,Foul,21,22
8:16,Ohio State,Andre Wesson,Free Throw,21,23
8:16,Ohio State,Andre Wesson,Free Throw,21,24
7:59,Ohio State,Justin Ahrens,Foul,21,24
7:59,Ohio State,None,None,21,24
7:59,Maryland,Anthony Cowan Jr.,Free Throw,22,24
7:59,Maryland,Anthony Cowan Jr.,Free Throw,23,24
7:41,Ohio State,Justin Ahrens,Missed Three Point Jumper,23,24
7:41,Maryland,Jalen Smith,Defensive Rebound,23,24
7:41,Ohio State,Andre Wesson,Foul,23,24
7:19,Maryland,Darryl Morsell,Layup,25,24
7:03,Maryland,Bruno Fernando,Foul,25,24
7:03,Ohio State,C.J. Jackson,Free Throw,25,25
7:03,Ohio State,C.J. Jackson,Free Throw,25,26
6:47,Maryland,Anthony Cowan Jr.,Three Point Jumper,28,26
6:28,Ohio State,Keyshawn Woods,Missed Jumper,28,26
6:28,Ohio State,Kyle Young,Offensive Rebound,28,26
6:28,Ohio State,None,None,28,28
6:12,Maryland,Bruno Fernando,Jumper,30,28
5:51,Ohio State,Kaleb Wesson,Missed Layup,30,28
5:51,Ohio State,Kyle Young,Offensive Rebound,30,28
5:51,Ohio State,None,None,30,30
5:37,Maryland,Jalen Smith,Three Point Jumper,33,30
5:20,Ohio State,Kyle Young,Turnover,33,30
5:20,Maryland,Darryl Morsell,Steal,33,30
5:16,Maryland,Darryl Morsell,Dunk,35,30
4:51,Ohio State,C.J. Jackson,Missed Three Point Jumper,35,30
4:51,Maryland,Bruno Fernando,Defensive Rebound,35,30
4:39,Maryland,Bruno Fernando,Layup,37,30
4:39,Ohio State,Keyshawn Woods,Foul,37,30
4:39,Maryland,Bruno Fernando,Free Throw,38,30
4:27,Ohio State,Kyle Young,Foul,38,30
4:27,Ohio State,Kyle Young,Turnover,38,30
4:13,Maryland,Jalen Smith,Turnover,38,30
3:54,Maryland,Eric Ayala,Foul,38,30
3:54,Ohio State,None,None,38,30
3:54,Ohio State,Duane Washington Jr.,Free Throw,38,31
3:54,Ohio State,Duane Washington Jr.,Missed Free Throw,38,31
3:54,Maryland,Eric Ayala,Defensive Rebound,38,31
3:30,Maryland,Anthony Cowan Jr.,Missed Jumper,38,31
3:30,Maryland,Bruno Fernando,Offensive Rebound,38,31
3:25,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,38,31
3:25,Ohio State,Duane Washington Jr.,Defensive Rebound,38,31
3:13,Ohio State,Kyle Young,Layup,38,33
3:13,Maryland,Eric Ayala,Foul,38,33
3:13,Ohio State,Kyle Young,Missed Free Throw,38,33
3:13,Maryland,Ricky Lindo Jr.,Defensive Rebound,38,33
2:51,Ohio State,Kyle Young,Foul,38,33
2:51,Maryland,Ricky Lindo Jr.,Free Throw,39,33
2:51,Maryland,Ricky Lindo Jr.,Missed Free Throw,39,33
2:51,Ohio State,C.J. Jackson,Defensive Rebound,39,33
2:27,Maryland,Ricky Lindo Jr.,Foul,39,33
2:27,Ohio State,Musa Jallow,Missed Free Throw,39,33
2:27,Maryland,Bruno Fernando,Defensive Rebound,39,33
2:08,Maryland,Bruno Fernando,Turnover,39,33
1:57,Ohio State,Kaleb Wesson,Missed Three Point Jumper,39,33
1:57,Maryland,Darryl Morsell,Defensive Rebound,39,33
1:36,Maryland,Darryl Morsell,Missed Jumper,39,33
1:36,Maryland,Bruno Fernando,Offensive Rebound,39,33
1:33,Maryland,None,None,39,33
1:19,Maryland,Darryl Morsell,Foul,39,33
1:19,Maryland,Darryl Morsell,Turnover,39,33
1:07,Ohio State,Duane Washington Jr.,Layup,39,35
0:43,Ohio State,Kaleb Wesson,Foul,39,35
0:43,Maryland,Jalen Smith,Free Throw,40,35
0:43,Maryland,Jalen Smith,Free Throw,41,35
0:43,Maryland,Jalen Smith,Free Throw,42,35
0:34,Ohio State,Duane Washington Jr.,Three Point Jumper,42,38
0:25,Maryland,None,None,42,38
0:03,Maryland,Aaron Wiggins,Three Point Jumper,45,38
0:00,Ohio State,None,None,45,38
20:00,Ohio State,None,None,45,38
19:51,Ohio State,Kaleb Wesson,Layup,45,40
19:33,Maryland,Anthony Cowan Jr.,Foul,45,40
19:33,Maryland,Anthony Cowan Jr.,Turnover,45,40
19:15,Ohio State,C.J. Jackson,Missed Three Point Jumper,45,40
19:15,Maryland,Bruno Fernando,Defensive Rebound,45,40
19:15,Ohio State,Kaleb Wesson,Foul,45,40
18:54,Maryland,Anthony Cowan Jr.,Turnover,45,40
18:54,Ohio State,C.J. Jackson,Steal,45,40
18:45,Ohio State,Luther Muhammad,Jumper,45,42
18:34,Maryland,Anthony Cowan Jr.,Turnover,45,42
18:34,Ohio State,C.J. Jackson,Steal,45,42
18:27,Ohio State,C.J. Jackson,Layup,45,44
18:19,Maryland,None,None,45,44
18:01,Maryland,Darryl Morsell,Three Point Jumper,48,44
17:35,Ohio State,Luther Muhammad,Missed Jumper,48,44
17:35,Maryland,Bruno Fernando,Defensive Rebound,48,44
17:10,Maryland,Darryl Morsell,Missed Three Point Jumper,48,44
17:10,Maryland,Bruno Fernando,Offensive Rebound,48,44
17:08,Ohio State,Kaleb Wesson,Foul,48,44
17:07,Ohio State,Kyle Young,Foul,48,44
17:07,Maryland,Darryl Morsell,Missed Jumper,48,44
17:07,Ohio State,Keyshawn Woods,Defensive Rebound,48,44
17:07,Ohio State,C.J. Jackson,Missed Jumper,48,44
17:07,Maryland,Jalen Smith,Defensive Rebound,48,44
16:08,Ohio State,Keyshawn Woods,Foul,48,44
16:08,Maryland,Anthony Cowan Jr.,Free Throw,49,44
16:08,Maryland,Anthony Cowan Jr.,Free Throw,50,44
15:49,Ohio State,Luther Muhammad,Missed Jumper,50,44
15:49,Maryland,Darryl Morsell,Defensive Rebound,50,44
15:36,Maryland,Bruno Fernando,Jumper,52,44
15:36,Ohio State,Kyle Young,Foul,52,44
15:36,Ohio State,None,None,52,44
15:36,Maryland,Bruno Fernando,Free Throw,53,44
15:16,Ohio State,Andre Wesson,Missed Three Point Jumper,53,44
15:16,Maryland,Bruno Fernando,Defensive Rebound,53,44
14:56,Maryland,Bruno Fernando,Jumper,55,44
14:43,Ohio State,Duane Washington Jr.,Missed Three Point Jumper,55,44
14:43,Maryland,Jalen Smith,Defensive Rebound,55,44
14:29,Maryland,Darryl Morsell,Foul,55,44
14:29,Maryland,Darryl Morsell,Turnover,55,44
14:16,Ohio State,Duane Washington Jr.,Turnover,55,44
14:16,Maryland,Bruno Fernando,Steal,55,44
14:02,Maryland,Jalen Smith,Foul,55,44
14:02,Maryland,Jalen Smith,Turnover,55,44
13:42,Ohio State,Andre Wesson,Jumper,55,46
13:09,Maryland,Aaron Wiggins,Three Point Jumper,58,46
12:59,Ohio State,C.J. Jackson,Missed Layup,58,46
12:59,Maryland,Eric Ayala,Block,58,46
12:59,Ohio State,Keyshawn Woods,Offensive Rebound,58,46
12:58,Ohio State,Keyshawn Woods,Layup,58,48
12:39,Maryland,Ivan Bender,Turnover,58,48
12:32,Ohio State,Kaleb Wesson,Turnover,58,48
12:32,Maryland,Anthony Cowan Jr.,Steal,58,48
12:16,Ohio State,Andre Wesson,Foul,58,48
12:16,Maryland,Anthony Cowan Jr.,Free Throw,59,48
12:16,Maryland,Anthony Cowan Jr.,Missed Free Throw,59,48
12:16,Ohio State,Duane Washington Jr.,Defensive Rebound,59,48
12:09,Ohio State,C.J. Jackson,Turnover,59,48
12:09,Maryland,Anthony Cowan Jr.,Steal,59,48
11:56,Maryland,Aaron Wiggins,Missed Three Point Jumper,59,48
11:56,Ohio State,Duane Washington Jr.,Defensive Rebound,59,48
11:38,Ohio State,Duane Washington Jr.,Missed Jumper,59,48
11:38,Maryland,Aaron Wiggins,Defensive Rebound,59,48
11:25,Maryland,Ivan Bender,Turnover,59,48
11:25,Ohio State,C.J. Jackson,Steal,59,48
11:21,Ohio State,C.J. Jackson,Layup,59,50
10:47,Maryland,Maryland ,Turnover,59,50
10:47,Ohio State,None,None,59,50
10:27,Ohio State,C.J. Jackson,Missed Jumper,59,50
10:27,Maryland,Aaron Wiggins,Defensive Rebound,59,50
10:10,Maryland,Jalen Smith,Missed Layup,59,50
10:10,Maryland,Jalen Smith,Offensive Rebound,59,50
10:05,Maryland,Jalen Smith,Turnover,59,50
10:05,Ohio State,Luther Muhammad,Steal,59,50
10:01,Ohio State,Duane Washington Jr.,Three Point Jumper,59,53
9:29,Maryland,Anthony Cowan Jr.,Three Point Jumper,62,53
9:12,Ohio State,Jaedon LeDee,Missed Three Point Jumper,62,53
9:12,Maryland,Bruno Fernando,Defensive Rebound,62,53
8:55,Maryland,Anthony Cowan Jr.,Missed Layup,62,53
8:55,Ohio State,Duane Washington Jr.,Defensive Rebound,62,53
8:40,Ohio State,Kaleb Wesson,Three Point Jumper,62,56
8:40,Ohio State,None,None,62,56
8:28,Maryland,Anthony Cowan Jr.,Layup,64,56
8:11,Ohio State,Duane Washington Jr.,Missed Three Point Jumper,64,56
8:11,Maryland,Bruno Fernando,Defensive Rebound,64,56
7:51,Maryland,Aaron Wiggins,Dunk,66,56
7:45,Ohio State,Luther Muhammad,Missed Three Point Jumper,66,56
7:45,Maryland,Bruno Fernando,Defensive Rebound,66,56
7:38,Maryland,Anthony Cowan Jr.,Missed Three Point Jumper,66,56
7:38,Ohio State,C.J. Jackson,Defensive Rebound,66,56
7:10,Ohio State,C.J. Jackson,Turnover,66,56
7:10,Maryland,Anthony Cowan Jr.,Steal,66,56
7:10,Ohio State,None,None,66,56
6:56,Maryland,Jalen Smith,Turnover,66,56
6:56,Ohio State,C.J. Jackson,Steal,66,56
6:35,Maryland,Darryl Morsell,Foul,66,56
6:25,Ohio State,Andre Wesson,Missed Layup,66,56
6:25,Maryland,Bruno Fernando,Defensive Rebound,66,56
6:19,Maryland,Bruno Fernando,Foul,66,56
6:19,Maryland,Bruno Fernando,Turnover,66,56
5:58,Ohio State,Kaleb Wesson,Missed Layup,66,56
5:58,Maryland,Bruno Fernando,Defensive Rebound,66,56
5:36,Maryland,Darryl Morsell,Turnover,66,56
5:32,Maryland,Aaron Wiggins,Foul,66,56
5:27,Ohio State,Keyshawn Woods,Turnover,66,56
5:27,Maryland,Darryl Morsell,Steal,66,56
5:01,Maryland,Anthony Cowan Jr.,Jumper,68,56
4:42,Ohio State,Keyshawn Woods,Missed Three Point Jumper,68,56
4:42,Maryland,Bruno Fernando,Defensive Rebound,68,56
4:14,Maryland,Bruno Fernando,Missed Jumper,68,56
4:14,Ohio State,Kaleb Wesson,Defensive Rebound,68,56
3:59,Ohio State,Kaleb Wesson,Missed Three Point Jumper,68,56
3:59,Maryland,Aaron Wiggins,Defensive Rebound,68,56
3:27,Maryland,Anthony Cowan Jr.,Missed Jumper,68,56
3:27,Ohio State,Luther Muhammad,Defensive Rebound,68,56
3:20,Ohio State,Keyshawn Woods,Missed Layup,68,56
3:20,Maryland,Bruno Fernando,Block,68,56
3:20,Ohio State,Luther Muhammad,Offensive Rebound,68,56
3:13,Ohio State,Luther Muhammad,Missed Jumper,68,56
3:13,Maryland,Bruno Fernando,Defensive Rebound,68,56
2:52,Maryland,Jalen Smith,Dunk,70,56
2:47,Ohio State,None,None,70,56
2:32,Maryland,Bruno Fernando,Foul,70,56
2:32,Ohio State,Kaleb Wesson,Free Throw,70,57
2:32,Ohio State,Kaleb Wesson,Free Throw,70,58
2:25,Ohio State,Andre Wesson,Foul,70,58
2:25,Maryland,Anthony Cowan Jr.,Free Throw,71,58
2:25,Maryland,Anthony Cowan Jr.,Free Throw,72,58
2:10,Ohio State,C.J. Jackson,Three Point Jumper,72,61
1:31,Maryland,Anthony Cowan Jr.,Missed Jumper,72,61
1:31,Ohio State,C.J. Jackson,Defensive Rebound,72,61
1:23,Ohio State,C.J. Jackson,Turnover,72,61
1:20,Maryland,Aaron Wiggins,Turnover,72,61
1:20,Ohio State,Kyle Young,Steal,72,61
1:17,Ohio State,Andre Wesson,Missed Three Point Jumper,72,61
1:17,Ohio State,Duane Washington Jr.,Offensive Rebound,72,61
1:08,Ohio State,C.J. Jackson,Missed Three Point Jumper,72,61
1:08,Maryland,Maryland,Defensive Rebound,72,61
0:37,Maryland,Anthony Cowan Jr.,Three Point Jumper,75,61
0:27,Ohio State,Andre Wesson,Turnover,75,61
0:27,Maryland,Aaron Wiggins,Steal,75,61
0:00,Ohio State,None,None,75,61
