TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:37,Coastal Carolina,Amidou Bamba,Dunk,0,2
19:23,Appalachian State,Isaac Johnson,Missed Three Point Jumper,0,2
19:18,Coastal Carolina,Ajay Sanders,Defensive Rebound,0,2
18:49,Coastal Carolina,Ebrima Dibba,Turnover,0,2
18:49,Appalachian State,Ronshad Shabazz,Steal,0,2
18:43,Appalachian State,Ronshad Shabazz,Turnover,0,2
18:43,Coastal Carolina,Devante Jones,Steal,0,2
18:39,Coastal Carolina,Ajay Sanders,Turnover,0,2
18:17,Appalachian State,Adrian Delph,Missed Jumper,0,2
18:13,Coastal Carolina,Amidou Bamba,Defensive Rebound,0,2
18:06,Coastal Carolina,Ebrima Dibba,Missed Jumper,0,2
18:02,Appalachian State,Ronshad Shabazz,Defensive Rebound,0,2
17:50,Appalachian State,Isaac Johnson,Missed Layup,0,2
17:46,Coastal Carolina,Devante Jones,Defensive Rebound,0,2
17:22,Coastal Carolina,Devante Jones,Layup,0,4
17:22,Appalachian State,Hunter Seacat,Foul,0,4
17:22,Coastal Carolina,Devante Jones,Free Throw,0,5
17:04,Appalachian State,Justin Forrest,Missed Three Point Jumper,0,5
17:00,Coastal Carolina,Amidou Bamba,Defensive Rebound,0,5
16:50,Coastal Carolina,Amidou Bamba,Jumper,0,7
16:37,Appalachian State,Ronshad Shabazz,Missed Three Point Jumper,0,7
16:32,Coastal Carolina,Ebrima Dibba,Defensive Rebound,0,7
16:28,Coastal Carolina,Zac Cuthbertson,Three Point Jumper,0,10
16:25,Appalachian State,None,None,0,10
16:25,Coastal Carolina,None,None,0,10
16:00,Coastal Carolina,Amidou Bamba,Foul,0,10
15:58,Appalachian State,Justin Forrest,Missed Jumper,0,10
15:52,Coastal Carolina,Zac Cuthbertson,Defensive Rebound,0,10
15:27,Coastal Carolina,Ebrima Dibba,Missed Three Point Jumper,0,10
15:23,Appalachian State,Tyrell Johnson,Defensive Rebound,0,10
15:12,Appalachian State,Justin Forrest,Missed Layup,0,10
15:12,Coastal Carolina,Tommy Burton,Block,0,10
15:12,Appalachian State,Appalachian State,Offensive Rebound,0,10
15:11,Appalachian State,Appalachian State ,Turnover,0,10
14:52,Coastal Carolina,Tommy Burton,Layup,0,12
14:41,Coastal Carolina,Ajay Sanders,Foul,0,12
14:41,Appalachian State,O'Showen Williams,Missed Three Point Jumper,0,12
14:41,Coastal Carolina,Zac Cuthbertson,Defensive Rebound,0,12
14:41,Coastal Carolina,Ebrima Dibba,Jumper,0,14
14:41,Appalachian State,Ronshad Shabazz,Missed Jumper,0,14
14:41,Coastal Carolina,Tommy Burton,Defensive Rebound,0,14
14:39,Appalachian State,Ronshad Shabazz,Foul,0,14
13:49,Coastal Carolina,Ebrima Dibba,Free Throw,0,15
13:49,Coastal Carolina,Ebrima Dibba,Free Throw,0,16
13:34,Appalachian State,Justin Forrest,Layup,2,16
13:20,Coastal Carolina,Ebrima Dibba,Turnover,2,16
13:09,Coastal Carolina,Isaac Hippolyte,Foul,2,16
13:06,Appalachian State,Justin Forrest,Turnover,2,16
13:06,Coastal Carolina,Tyrell Gumbs-Frater,Steal,2,16
13:04,Appalachian State,Breki Gylfason,Foul,2,16
13:04,Coastal Carolina,Tommy Burton,Missed Free Throw,2,16
13:04,Coastal Carolina,Coastal Carolina,Offensive Rebound,2,16
13:04,Coastal Carolina,Tommy Burton,Free Throw,2,17
12:52,Appalachian State,O'Showen Williams,Missed Layup,2,17
12:49,Coastal Carolina,Isaac Hippolyte,Defensive Rebound,2,17
12:45,Coastal Carolina,Isaac Hippolyte,Turnover,2,17
12:34,Coastal Carolina,Trevion Brown,Foul,2,17
12:34,Appalachian State,Justin Forrest,Free Throw,3,17
12:34,Appalachian State,Justin Forrest,Free Throw,4,17
12:13,Appalachian State,Justin Forrest,Foul,4,17
12:13,Coastal Carolina,Devante Jones,Free Throw,4,18
12:13,Coastal Carolina,Devante Jones,Free Throw,4,19
11:59,Coastal Carolina,Isaac Hippolyte,Foul,4,19
11:59,Coastal Carolina,None,None,4,19
11:59,Appalachian State,Hunter Seacat,Free Throw,5,19
11:59,Appalachian State,Hunter Seacat,Free Throw,6,19
11:38,Coastal Carolina,Zac Cuthbertson,Missed Jumper,6,19
11:34,Appalachian State,Isaac Johnson,Defensive Rebound,6,19
11:17,Appalachian State,Adrian Delph,Missed Three Point Jumper,6,19
11:13,Coastal Carolina,Ebrima Dibba,Defensive Rebound,6,19
11:10,Coastal Carolina,Ebrima Dibba,Missed Layup,6,19
11:06,Appalachian State,Adrian Delph,Defensive Rebound,6,19
11:04,Coastal Carolina,Amidou Bamba,Foul,6,19
11:04,Appalachian State,Isaac Johnson,Missed Free Throw,6,19
11:04,Appalachian State,Appalachian State,Offensive Rebound,6,19
11:04,Appalachian State,Isaac Johnson,Free Throw,7,19
10:44,Coastal Carolina,Josh Coleman,Layup,7,21
10:31,Appalachian State,Ronshad Shabazz,Jumper,9,21
9:58,Coastal Carolina,Josh Coleman,Jumper,9,23
9:43,Appalachian State,Ronshad Shabazz,Turnover,9,23
9:43,Coastal Carolina,Josh Coleman,Steal,9,23
