TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Utah Valley,Jake Toolson,Layup,0,2
19:14,New Mexico State,Johnny McCants,Missed Three Point Jumper,0,2
19:09,New Mexico State,Johnny McCants,Offensive Rebound,0,2
19:09,New Mexico State,Johnny McCants,Layup,2,2
18:57,Utah Valley,Conner Toolson,Missed Three Point Jumper,2,2
18:53,New Mexico State,Eli Chuha,Defensive Rebound,2,2
18:47,New Mexico State,AJ Harris,Turnover,2,2
18:25,Utah Valley,Isaiah White,Jumper,2,4
18:09,New Mexico State,Eli Chuha,Missed Layup,2,4
18:05,New Mexico State,Eli Chuha,Offensive Rebound,2,4
18:05,New Mexico State,Eli Chuha,Layup,4,4
17:49,Utah Valley,Isaiah White,Foul,4,4
17:49,Utah Valley,Isaiah White,Turnover,4,4
17:35,New Mexico State,AJ Harris,Three Point Jumper,7,4
17:09,Utah Valley,Isaiah White,Turnover,7,4
17:09,New Mexico State,C.J. Bobbitt,Steal,7,4
16:57,New Mexico State,Clayton Henry,Missed Three Point Jumper,7,4
16:54,Utah Valley,Ben Nakwaasah,Defensive Rebound,7,4
16:50,Utah Valley,Isaiah White,Layup,7,6
16:23,New Mexico State,C.J. Bobbitt,Missed Three Point Jumper,7,6
16:19,Utah Valley,Ben Nakwaasah,Defensive Rebound,7,6
15:58,Utah Valley,Ben Nakwaasah,Three Point Jumper,7,9
15:34,New Mexico State,Terrell Brown,Three Point Jumper,10,9
15:07,Utah Valley,Ben Nakwaasah,Layup,10,11
15:07,New Mexico State,C.J. Bobbitt,Foul,10,11
15:07,Utah Valley,None,None,10,11
15:07,Utah Valley,Ben Nakwaasah,Free Throw,10,12
14:42,Utah Valley,Richard Harward,Foul,10,12
14:42,New Mexico State,Terrell Brown,Foul,10,12
14:42,New Mexico State,Terrell Brown,Turnover,10,12
14:28,New Mexico State,Shunn Buchanan,Foul,10,12
14:28,Utah Valley,Jake Toolson,Free Throw,10,13
14:28,Utah Valley,Jake Toolson,Free Throw,10,14
14:02,Utah Valley,Jake Toolson,Defensive Rebound,10,14
14:02,New Mexico State,Ivan Aurrecoechea,Foul,10,14
13:48,Utah Valley,Jake Toolson,Three Point Jumper,10,17
13:32,New Mexico State,C.J. Bobbitt,Missed Three Point Jumper,10,17
13:28,New Mexico State,Ivan Aurrecoechea,Offensive Rebound,10,17
13:26,New Mexico State,Ivan Aurrecoechea,Missed Layup,10,17
13:24,Utah Valley,TJ Washington,Defensive Rebound,10,17
13:24,New Mexico State,Keyon Jones,Foul,10,17
13:08,Utah Valley,TJ Washington,Jumper,10,19
12:52,New Mexico State,JoJo Zamora,Missed Jumper,10,19
12:52,Utah Valley,Conner Toolson,Block,10,19
12:46,Utah Valley,Richard Harward,Defensive Rebound,10,19
12:43,Utah Valley,Wyatt Lowell,Three Point Jumper,10,22
12:39,New Mexico State,None,None,10,22
12:29,Utah Valley,Isaiah White,Foul,10,22
12:26,New Mexico State,JoJo Zamora,Missed Jumper,10,22
12:17,New Mexico State,AJ Harris,Offensive Rebound,10,22
12:12,Utah Valley,Wyatt Lowell,Foul,10,22
12:12,New Mexico State,Eli Chuha,Missed Free Throw,10,22
12:12,New Mexico State,None,Team Rebound,10,22
12:12,New Mexico State,Eli Chuha,Free Throw,11,22
11:52,Utah Valley,Jake Toolson,Missed Three Point Jumper,11,22
11:49,Utah Valley,Baylee Steele,Offensive Rebound,11,22
11:32,Utah Valley,Baylee Steele,Missed Jumper,11,22
11:29,New Mexico State,Trevelin Queen,Defensive Rebound,11,22
11:19,New Mexico State,Eli Chuha,Layup,13,22
11:02,Utah Valley,TJ Washington,Turnover,13,22
11:02,Utah Valley,None,None,13,22
10:48,New Mexico State,Terrell Brown,Layup,15,22
10:48,Utah Valley,Baylee Steele,Foul,15,22
10:48,New Mexico State,Terrell Brown,Free Throw,16,22
10:34,Utah Valley,TJ Washington,Turnover,16,22
10:21,New Mexico State,Terrell Brown,Layup,18,22
10:05,New Mexico State,Terrell Brown,Foul,18,22
9:52,Utah Valley,Hayden Schenck,Turnover,18,22
9:52,New Mexico State,Eli Chuha,Steal,18,22
9:52,Utah Valley,Hayden Schenck,Foul,18,22
9:32,New Mexico State,Eli Chuha,Turnover,18,22
9:14,Utah Valley,Ben Nakwaasah,Turnover,18,22
9:14,New Mexico State,AJ Harris,Steal,18,22
8:58,New Mexico State,Trevelin Queen,Turnover,18,22
8:58,Utah Valley,Richard Harward,Steal,18,22
8:41,New Mexico State,JoJo Zamora,Foul,18,22
8:41,Utah Valley,Conner Toolson,Free Throw,18,23
8:41,Utah Valley,Conner Toolson,Free Throw,18,24
8:30,New Mexico State,Eli Chuha,Layup,20,24
8:14,New Mexico State,JoJo Zamora,Foul,20,24
8:14,Utah Valley,Conner Toolson,Missed Free Throw,20,24
8:14,Utah Valley,None,Team Rebound,20,24
8:14,Utah Valley,Conner Toolson,Free Throw,20,25
8:14,Utah Valley,Conner Toolson,Free Throw,20,26
7:55,New Mexico State,Trevelin Queen,Three Point Jumper,23,26
7:33,Utah Valley,Conner Toolson,Jumper,23,28
7:07,Utah Valley,Wyatt Lowell,Foul,23,28
7:07,Utah Valley,None,None,23,28
7:07,New Mexico State,Johnny McCants,Free Throw,24,28
7:07,New Mexico State,Johnny McCants,Free Throw,25,28
6:49,Utah Valley,Isaiah White,Foul,25,28
6:49,Utah Valley,Isaiah White,Turnover,25,28
6:41,New Mexico State,AJ Harris,Turnover,25,28
6:41,Utah Valley,Baylee Steele,Steal,25,28
6:37,Utah Valley,TJ Washington,Foul,25,28
6:37,Utah Valley,TJ Washington,Turnover,25,28
6:25,New Mexico State,Trevelin Queen,Missed Jumper,25,28
6:25,Utah Valley,TJ Washington,Defensive Rebound,25,28
6:25,Utah Valley,Baylee Steele,Foul,25,28
6:25,New Mexico State,Eli Chuha,Free Throw,26,28
6:25,New Mexico State,Eli Chuha,Free Throw,27,28
5:58,Utah Valley,Wyatt Lowell,Three Point Jumper,27,31
5:46,New Mexico State,Trevelin Queen,Turnover,27,31
5:46,Utah Valley,TJ Washington,Steal,27,31
5:33,Utah Valley,Conner Toolson,Missed Three Point Jumper,27,31
5:33,New Mexico State,Trevelin Queen,Block,27,31
5:22,New Mexico State,Shunn Buchanan,Defensive Rebound,27,31
5:16,New Mexico State,Trevelin Queen,Missed Three Point Jumper,27,31
5:13,Utah Valley,Richard Harward,Defensive Rebound,27,31
4:52,Utah Valley,Jake Toolson,Layup,27,33
4:32,New Mexico State,AJ Harris,Missed Jumper,27,33
4:28,Utah Valley,Jake Toolson,Defensive Rebound,27,33
4:05,Utah Valley,Jake Toolson,Missed Three Point Jumper,27,33
4:02,New Mexico State,Eli Chuha,Defensive Rebound,27,33
3:42,New Mexico State,Eli Chuha,Turnover,27,33
3:42,Utah Valley,None,None,27,33
3:25,New Mexico State,Johnny McCants,Foul,27,33
3:25,Utah Valley,Richard Harward,Free Throw,27,34
3:25,Utah Valley,Richard Harward,Free Throw,27,35
3:06,New Mexico State,Johnny McCants,Missed Three Point Jumper,27,35
3:03,Utah Valley,Richard Harward,Defensive Rebound,27,35
2:50,Utah Valley,Ben Nakwaasah,Three Point Jumper,27,38
2:29,Utah Valley,Richard Harward,Foul,27,38
2:29,New Mexico State,JoJo Zamora,Free Throw,28,38
2:29,New Mexico State,JoJo Zamora,Free Throw,29,38
2:15,Utah Valley,Jake Toolson,Turnover,29,38
2:15,New Mexico State,Ivan Aurrecoechea,Steal,29,38
1:56,New Mexico State,JoJo Zamora,Layup,31,38
1:27,Utah Valley,Ben Nakwaasah,Missed Three Point Jumper,31,38
1:24,New Mexico State,Ivan Aurrecoechea,Defensive Rebound,31,38
1:14,New Mexico State,Clayton Henry,Missed Three Point Jumper,31,38
1:10,Utah Valley,Conner Toolson,Defensive Rebound,31,38
0:51,Utah Valley,Conner Toolson,Missed Three Point Jumper,31,38
0:46,Utah Valley,Hayden Schenck,Offensive Rebound,31,38
0:46,New Mexico State,Clayton Henry,Foul,31,38
0:46,Utah Valley,Hayden Schenck,Free Throw,31,39
0:46,Utah Valley,Hayden Schenck,Missed Free Throw,31,39
0:44,New Mexico State,Ivan Aurrecoechea,Defensive Rebound,31,39
0:37,New Mexico State,AJ Harris,Missed Layup,31,39
0:34,Utah Valley,Baylee Steele,Defensive Rebound,31,39
0:32,Utah Valley,Conner Toolson,Turnover,31,39
0:05,Utah Valley,Jake Toolson,Foul,31,39
0:05,New Mexico State,Jabari Rice,Free Throw,32,39
0:05,New Mexico State,Jabari Rice,Free Throw,33,39
0:05,Utah Valley,None,None,33,39
0:00,Utah Valley,None,None,33,39
19:40,New Mexico State,Johnny McCants,Layup,35,39
19:16,New Mexico State,Eli Chuha,Defensive Rebound,35,39
19:06,New Mexico State,AJ Harris,Missed Three Point Jumper,35,39
19:01,Utah Valley,Baylee Steele,Defensive Rebound,35,39
18:52,New Mexico State,Eli Chuha,Foul,35,39
18:52,Utah Valley,Baylee Steele,Free Throw,35,40
18:52,Utah Valley,Baylee Steele,Free Throw,35,41
18:34,New Mexico State,Clayton Henry,Missed Three Point Jumper,35,41
18:34,Utah Valley,Utah Valley,Defensive Rebound,35,41
18:11,Utah Valley,Jake Toolson,Layup,35,43
17:57,Utah Valley,Baylee Steele,Foul,35,43
17:57,New Mexico State,Eli Chuha,Free Throw,36,43
17:57,New Mexico State,Eli Chuha,Missed Free Throw,36,43
17:56,Utah Valley,Conner Toolson,Defensive Rebound,36,43
17:36,Utah Valley,Isaiah White,Turnover,36,43
17:36,New Mexico State,AJ Harris,Steal,36,43
17:19,New Mexico State,Terrell Brown,Three Point Jumper,39,43
17:06,Utah Valley,Conner Toolson,Missed Three Point Jumper,39,43
17:06,New Mexico State,Terrell Brown,Block,39,43
17:00,New Mexico State,Eli Chuha,Defensive Rebound,39,43
16:59,New Mexico State,JoJo Zamora,Three Point Jumper,42,43
16:39,Utah Valley,Jake Toolson,Layup,42,45
16:39,New Mexico State,JoJo Zamora,Foul,42,45
16:39,Utah Valley,Jake Toolson,Missed Free Throw,42,45
16:38,New Mexico State,Eli Chuha,Defensive Rebound,42,45
16:22,New Mexico State,JoJo Zamora,Missed Layup,42,45
16:19,Utah Valley,Conner Toolson,Defensive Rebound,42,45
16:12,Utah Valley,TJ Washington,Missed Layup,42,45
16:10,New Mexico State,Terrell Brown,Defensive Rebound,42,45
16:05,Utah Valley,Wyatt Lowell,Foul,42,45
16:05,New Mexico State,Terrell Brown,Free Throw,43,45
16:05,New Mexico State,Terrell Brown,Missed Free Throw,43,45
16:05,Utah Valley,Utah Valley,Defensive Rebound,43,45
15:48,Utah Valley,TJ Washington,Foul,43,45
15:48,Utah Valley,TJ Washington,Turnover,43,45
15:48,New Mexico State,AJ Harris,Three Point Jumper,46,45
15:41,Utah Valley,TJ Washington,Turnover,46,45
15:41,New Mexico State,Eli Chuha,Steal,46,45
15:20,New Mexico State,Eli Chuha,Layup,48,45
15:04,Utah Valley,Wyatt Lowell,Three Point Jumper,48,48
14:50,New Mexico State,Terrell Brown,Turnover,48,48
14:50,Utah Valley,None,None,48,48
14:31,New Mexico State,Terrell Brown,Defensive Rebound,48,48
14:13,Utah Valley,Conner Toolson,Foul,48,48
13:53,New Mexico State,AJ Harris,Missed Layup,48,48
13:49,New Mexico State,Eli Chuha,Offensive Rebound,48,48
13:49,New Mexico State,Eli Chuha,Layup,50,48
13:25,Utah Valley,Conner Toolson,Missed Jumper,50,48
13:21,New Mexico State,Eli Chuha,Defensive Rebound,50,48
13:18,Utah Valley,Richard Harward,Foul,50,48
13:18,New Mexico State,Johnny McCants,Missed Free Throw,50,48
13:18,New Mexico State,None,Team Rebound,50,48
13:18,New Mexico State,Johnny McCants,Missed Free Throw,50,48
13:16,New Mexico State,Terrell Brown,Offensive Rebound,50,48
13:14,New Mexico State,Jabari Rice,Missed Three Point Jumper,50,48
13:11,Utah Valley,Richard Harward,Defensive Rebound,50,48
13:01,New Mexico State,Johnny McCants,Foul,50,48
12:47,Utah Valley,Richard Harward,Layup,50,50
12:47,New Mexico State,Johnny McCants,Foul,50,50
12:47,Utah Valley,Richard Harward,Free Throw,50,51
12:33,New Mexico State,Terrell Brown,Layup,52,51
12:09,Utah Valley,Wyatt Lowell,Three Point Jumper,52,54
11:45,New Mexico State,Johnny McCants,Turnover,52,54
11:45,Utah Valley,None,None,52,54
11:17,Utah Valley,Jake Toolson,Layup,52,56
11:00,New Mexico State,Eli Chuha,Layup,54,56
10:37,Utah Valley,Jake Toolson,Missed Jumper,54,56
10:34,New Mexico State,Eli Chuha,Defensive Rebound,54,56
10:26,Utah Valley,Hayden Schenck,Foul,54,56
10:26,New Mexico State,Terrell Brown,Free Throw,55,56
10:26,New Mexico State,Terrell Brown,Free Throw,56,56
10:10,Utah Valley,Isaiah White,Missed Layup,56,56
10:07,New Mexico State,Johnny McCants,Defensive Rebound,56,56
9:56,New Mexico State,Eli Chuha,Foul,56,56
9:56,New Mexico State,Eli Chuha,Turnover,56,56
9:39,New Mexico State,AJ Harris,Foul,56,56
9:27,New Mexico State,Eli Chuha,Foul,56,56
9:27,Utah Valley,Isaiah White,Free Throw,56,57
9:27,Utah Valley,Isaiah White,Free Throw,56,58
9:01,Utah Valley,Wyatt Lowell,Foul,56,58
9:01,New Mexico State,AJ Harris,Free Throw,57,58
9:01,New Mexico State,AJ Harris,Free Throw,58,58
9:01,New Mexico State,AJ Harris,Free Throw,59,58
8:41,Utah Valley,Jake Toolson,Layup,59,60
8:30,New Mexico State,Terrell Brown,Missed Layup,59,60
8:30,New Mexico State,Eli Chuha,Offensive Rebound,59,60
8:30,Utah Valley,Isaiah White,Foul,59,60
8:30,New Mexico State,Eli Chuha,Free Throw,60,60
8:30,New Mexico State,Eli Chuha,Free Throw,61,60
8:16,New Mexico State,Trevelin Queen,Foul,61,60
8:16,Utah Valley,Conner Toolson,Missed Free Throw,61,60
8:16,Utah Valley,None,Team Rebound,61,60
8:16,Utah Valley,Conner Toolson,Free Throw,61,61
8:16,Utah Valley,Conner Toolson,Free Throw,61,62
7:55,Utah Valley,Jake Toolson,Foul,61,62
7:55,Utah Valley,None,None,61,62
7:55,New Mexico State,Eli Chuha,Free Throw,62,62
7:55,New Mexico State,Eli Chuha,Free Throw,63,62
7:40,Utah Valley,Jake Toolson,Layup,63,64
7:20,New Mexico State,Eli Chuha,Turnover,63,64
7:02,Utah Valley,Conner Toolson,Missed Three Point Jumper,63,64
6:59,New Mexico State,Eli Chuha,Defensive Rebound,63,64
6:39,New Mexico State,Terrell Brown,Missed Layup,63,64
6:29,Utah Valley,Baylee Steele,Defensive Rebound,63,64
6:16,Utah Valley,Conner Toolson,Missed Jumper,63,64
6:13,New Mexico State,Terrell Brown,Defensive Rebound,63,64
6:06,New Mexico State,Terrell Brown,Missed Three Point Jumper,63,64
6:06,New Mexico State,JoJo Zamora,Offensive Rebound,63,64
6:06,New Mexico State,JoJo Zamora,Layup,65,64
6:06,Utah Valley,Baylee Steele,Foul,65,64
6:06,New Mexico State,JoJo Zamora,Free Throw,66,64
5:40,Utah Valley,Richard Harward,Jumper,66,66
5:26,Utah Valley,Conner Toolson,Foul,66,66
5:26,New Mexico State,Terrell Brown,Free Throw,67,66
5:26,New Mexico State,Terrell Brown,Missed Free Throw,67,66
5:25,Utah Valley,Conner Toolson,Defensive Rebound,67,66
5:00,Utah Valley,Conner Toolson,Foul,67,66
5:00,Utah Valley,Conner Toolson,Turnover,67,66
4:28,New Mexico State,AJ Harris,Missed Three Point Jumper,67,66
4:20,New Mexico State,Terrell Brown,Offensive Rebound,67,66
4:18,New Mexico State,AJ Harris,Missed Three Point Jumper,67,66
4:14,Utah Valley,Conner Toolson,Defensive Rebound,67,66
3:56,Utah Valley,Richard Harward,Turnover,67,66
3:56,New Mexico State,Eli Chuha,Steal,67,66
3:44,New Mexico State,Johnny McCants,Layup,69,66
3:19,New Mexico State,Eli Chuha,Defensive Rebound,69,66
3:14,New Mexico State,None,None,69,66
2:54,New Mexico State,AJ Harris,Three Point Jumper,72,66
2:27,Utah Valley,Jake Toolson,Layup,72,68
2:05,New Mexico State,AJ Harris,Layup,74,68
1:51,Utah Valley,Ben Nakwaasah,Layup,74,70
1:50,Utah Valley,None,None,74,70
1:25,New Mexico State,JoJo Zamora,Three Point Jumper,77,70
1:13,New Mexico State,JoJo Zamora,Foul,77,70
1:13,Utah Valley,Richard Harward,Free Throw,77,71
