TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:48,Middle Tennessee,Reggie Scurry,Missed Layup,0,0
19:48,Middle Tennessee,Reggie Scurry,Offensive Rebound,0,0
19:47,Middle Tennessee,Reggie Scurry,Missed Layup,0,0
19:47,UTEP,Ountae Campbell,Defensive Rebound,0,0
19:25,UTEP,Efe Odigie,Jumper,2,0
19:11,Middle Tennessee,Donovan Sims,Missed Three Point Jumper,2,0
19:11,UTEP,Efe Odigie,Defensive Rebound,2,0
18:59,UTEP,Evan Gilyard,Three Point Jumper,5,0
18:26,Middle Tennessee,Donovan Sims,Jumper,5,2
18:15,Middle Tennessee,Jayce Johnson,Foul,5,2
18:00,UTEP,Efe Odigie,Layup,7,2
17:47,Middle Tennessee,Antonio Green,Missed Three Point Jumper,7,2
17:47,Middle Tennessee,Reggie Scurry,Offensive Rebound,7,2
17:38,Middle Tennessee,Reggie Scurry,Foul,7,2
17:38,Middle Tennessee,Reggie Scurry,Turnover,7,2
17:13,UTEP,Nigel Hawkins,Missed Jumper,7,2
17:13,Middle Tennessee,Karl Gamble,Block,7,2
17:13,UTEP,UTEP,Offensive Rebound,7,2
17:10,UTEP,Jordan Lathon,Three Point Jumper,10,2
16:53,Middle Tennessee,James Hawthorne,Missed Jumper,10,2
16:53,UTEP,Jordan Lathon,Defensive Rebound,10,2
16:38,UTEP,Kaosi Ezeagu,Layup,12,2
16:03,Middle Tennessee,Donovan Sims,Three Point Jumper,12,5
16:03,UTEP,Kaosi Ezeagu,Foul,12,5
16:03,Middle Tennessee,Donovan Sims,Missed Free Throw,12,5
16:03,UTEP,Jordan Lathon,Defensive Rebound,12,5
15:55,Middle Tennessee,Donovan Sims,Foul,12,5
15:55,Middle Tennessee,None,None,12,5
15:51,UTEP,Jordan Lathon,Turnover,12,5
15:30,Middle Tennessee,Karl Gamble,Layup,12,7
15:14,UTEP,Ountae Campbell,Turnover,12,7
14:46,Middle Tennessee,Donovan Sims,Turnover,12,7
14:45,UTEP,Evan Gilyard,Steal,12,7
14:41,UTEP,Evan Gilyard,Jumper,14,7
14:16,Middle Tennessee,James Hawthorne,Missed Jumper,14,7
14:16,UTEP,Jordan Lathon,Defensive Rebound,14,7
14:16,Middle Tennessee,Karl Gamble,Foul,14,7
14:03,UTEP,Efe Odigie,Missed Jumper,14,7
14:03,UTEP,Paul Thomas,Offensive Rebound,14,7
14:00,UTEP,Paul Thomas,Jumper,16,7
13:42,UTEP,Efe Odigie,Foul,16,7
13:31,Middle Tennessee,Antonio Green,Missed Three Point Jumper,16,7
