TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:28,Illinois,Trent Frazier,Missed Three Point Jumper,0,0
19:25,Illinois,Kipper Nichols,Offensive Rebound,0,0
19:25,Iowa,Joe Wieskamp,Foul,0,0
19:25,Illinois,Kipper Nichols,Missed Free Throw,0,0
19:25,Illinois,None,Team Rebound,0,0
19:25,Illinois,Kipper Nichols,Missed Free Throw,0,0
19:25,Iowa,Isaiah Moss,Defensive Rebound,0,0
19:01,Iowa,Luka Garza,Jumper,0,2
18:48,Illinois,Giorgi Bezhanishvili,Turnover,0,2
18:48,Iowa,Jordan Bohannon,Steal,0,2
18:34,Iowa,Joe Wieskamp,Three Point Jumper,0,5
18:00,Illinois,Trent Frazier,Three Point Jumper,3,5
17:28,Illinois,Kipper Nichols,Foul,3,5
17:28,Iowa,Tyler Cook,Missed Free Throw,3,5
17:28,Iowa,None,Team Rebound,3,5
17:28,Iowa,Tyler Cook,Free Throw,3,6
17:17,Illinois,Tevian Jones,Three Point Jumper,6,6
17:05,Iowa,Joe Wieskamp,Three Point Jumper,6,9
16:53,Illinois,Trent Frazier,Missed Three Point Jumper,6,9
16:50,Iowa,Tyler Cook,Defensive Rebound,6,9
16:41,Iowa,Tyler Cook,Turnover,6,9
16:41,Illinois,Da'Monte Williams,Steal,6,9
16:35,Illinois,Ayo Dosunmu,Missed Three Point Jumper,6,9
16:32,Illinois,Da'Monte Williams,Offensive Rebound,6,9
16:09,Illinois,Ayo Dosunmu,Turnover,6,9
16:09,Iowa,Joe Wieskamp,Steal,6,9
16:02,Illinois,Giorgi Bezhanishvili,Foul,6,9
16:02,Iowa,Luka Garza,Free Throw,6,10
16:02,Iowa,Luka Garza,Free Throw,6,11
15:50,Illinois,Ayo Dosunmu,Missed Jumper,6,11
15:47,Iowa,Luka Garza,Defensive Rebound,6,11
15:42,Iowa,Isaiah Moss,Missed Layup,6,11
15:39,Illinois,Aaron Jordan,Defensive Rebound,6,11
15:34,Illinois,Aaron Jordan,Missed Three Point Jumper,6,11
15:31,Iowa,Isaiah Moss,Defensive Rebound,6,11
15:21,Iowa,Tyler Cook,Turnover,6,11
15:21,Illinois,Tevian Jones,Steal,6,11
15:07,Illinois,Aaron Jordan,Foul,6,11
15:07,Illinois,Aaron Jordan,Turnover,6,11
15:07,Iowa,None,None,6,11
14:52,Iowa,Joe Wieskamp,Turnover,6,11
14:52,Illinois,Andres Feliz,Steal,6,11
14:48,Illinois,Andres Feliz,Missed Layup,6,11
14:45,Illinois,Ayo Dosunmu,Offensive Rebound,6,11
14:38,Illinois,Kipper Nichols,Missed Layup,6,11
14:35,Iowa,Tyler Cook,Defensive Rebound,6,11
14:33,Illinois,Tevian Jones,Foul,6,11
14:25,Iowa,Luka Garza,Missed Three Point Jumper,6,11
14:21,Illinois,Andres Feliz,Defensive Rebound,6,11
14:13,Illinois,Giorgi Bezhanishvili,Turnover,6,11
13:56,Iowa,Jordan Bohannon,Layup,6,13
13:25,Illinois,Illinois ,Turnover,6,13
13:04,Iowa,Luka Garza,Jumper,6,15
12:48,Illinois,Andres Feliz,Missed Layup,6,15
12:48,Iowa,Joe Wieskamp,Defensive Rebound,6,15
12:48,Illinois,Tevian Jones,Foul,6,15
12:37,Iowa,Ryan Kriener,Turnover,6,15
12:06,Illinois,Aaron Jordan,Missed Jumper,6,15
12:06,Iowa,Nicholas Baer,Block,6,15
12:01,Iowa,Jordan Bohannon,Defensive Rebound,6,15
11:56,Iowa,Joe Wieskamp,Three Point Jumper,6,18
11:53,Illinois,None,None,6,18
11:36,Illinois,Ayo Dosunmu,Missed Three Point Jumper,6,18
11:33,Iowa,Joe Wieskamp,Defensive Rebound,6,18
11:17,Iowa,Ryan Kriener,Turnover,6,18
11:03,Illinois,Trent Frazier,Missed Three Point Jumper,6,18
11:00,Illinois,Giorgi Bezhanishvili,Offensive Rebound,6,18
11:00,Iowa,Ryan Kriener,Foul,6,18
10:56,Illinois,Ayo Dosunmu,Missed Three Point Jumper,6,18
10:53,Illinois,Illinois,Offensive Rebound,6,18
10:39,Illinois,Trent Frazier,Layup,8,18
10:08,Illinois,Giorgi Bezhanishvili,Defensive Rebound,8,18
10:02,Iowa,Nicholas Baer,Foul,8,18
10:02,Illinois,Trent Frazier,Missed Free Throw,8,18
10:02,Illinois,None,Team Rebound,8,18
10:02,Illinois,Trent Frazier,Free Throw,9,18
9:50,Iowa,Connor McCaffery,Turnover,9,18
9:50,Illinois,Ayo Dosunmu,Steal,9,18
9:45,Illinois,Trent Frazier,Three Point Jumper,12,18
9:37,Illinois,Kipper Nichols,Foul,12,18
9:18,Iowa,Connor McCaffery,Jumper,12,20
8:59,Illinois,Aaron Jordan,Missed Three Point Jumper,12,20
8:54,Iowa,Nicholas Baer,Defensive Rebound,12,20
8:42,Iowa,Tyler Cook,Turnover,12,20
8:25,Illinois,Giorgi Bezhanishvili,Turnover,12,20
8:03,Iowa,Luka Garza,Layup,12,22
7:50,Illinois,Giorgi Bezhanishvili,Foul,12,22
7:50,Illinois,Giorgi Bezhanishvili,Turnover,12,22
7:50,Iowa,None,None,12,22
7:38,Iowa,Jordan Bohannon,Turnover,12,22
7:38,Illinois,Ayo Dosunmu,Steal,12,22
7:33,Illinois,Trent Frazier,Three Point Jumper,15,22
7:11,Iowa,Maishe Dailey,Layup,15,24
6:52,Illinois,Da'Monte Williams,Missed Layup,15,24
6:52,Iowa,Luka Garza,Block,15,24
6:52,Illinois,Illinois,Offensive Rebound,15,24
6:38,Illinois,Da'Monte Williams,Missed Three Point Jumper,15,24
6:35,Iowa,Jordan Bohannon,Defensive Rebound,15,24
6:12,Illinois,Aaron Jordan,Foul,15,24
6:12,Iowa,Tyler Cook,Free Throw,15,25
6:12,Iowa,Tyler Cook,Free Throw,15,26
5:49,Illinois,Ayo Dosunmu,Missed Three Point Jumper,15,26
5:48,Iowa,Joe Wieskamp,Defensive Rebound,15,26
5:48,Illinois,Kipper Nichols,Foul,15,26
5:48,Iowa,Joe Wieskamp,Free Throw,15,27
5:48,Iowa,Joe Wieskamp,Free Throw,15,28
5:29,Iowa,Tyler Cook,Dunk,15,30
4:57,Illinois,Aaron Jordan,Three Point Jumper,18,30
4:41,Iowa,Jordan Bohannon,Missed Layup,18,30
4:41,Illinois,Samba Kane,Block,18,30
4:41,Iowa,Iowa,Offensive Rebound,18,30
4:24,Iowa,Luka Garza,Turnover,18,30
4:24,Illinois,Andres Feliz,Steal,18,30
4:21,Iowa,Tyler Cook,Foul,18,30
4:21,Illinois,Andres Feliz,Free Throw,19,30
4:21,Illinois,Andres Feliz,Free Throw,20,30
4:09,Illinois,Trent Frazier,Foul,20,30
4:09,Iowa,Connor McCaffery,Missed Free Throw,20,30
4:09,Iowa,None,Team Rebound,20,30
4:09,Iowa,Connor McCaffery,Free Throw,20,31
3:41,Illinois,Ayo Dosunmu,Layup,22,31
3:20,Iowa,Luka Garza,Missed Layup,22,31
3:19,Illinois,Illinois,Defensive Rebound,22,31
3:19,Iowa,None,None,22,31
2:50,Illinois,Trent Frazier,Missed Three Point Jumper,22,31
2:48,Iowa,Joe Wieskamp,Defensive Rebound,22,31
2:39,Iowa,Luka Garza,Missed Layup,22,31
2:39,Illinois,Samba Kane,Block,22,31
2:35,Illinois,Ayo Dosunmu,Defensive Rebound,22,31
2:25,Illinois,Andres Feliz,Missed Layup,22,31
2:25,Iowa,Isaiah Moss,Block,22,31
2:21,Illinois,Da'Monte Williams,Offensive Rebound,22,31
2:20,Illinois,Ayo Dosunmu,Missed Three Point Jumper,22,31
2:19,Iowa,Iowa,Defensive Rebound,22,31
2:00,Iowa,Isaiah Moss,Jumper,22,33
1:32,Iowa,Connor McCaffery,Foul,22,33
1:20,Illinois,Trent Frazier,Missed Three Point Jumper,22,33
1:17,Illinois,Samson Oladimeji,Offensive Rebound,22,33
1:16,Illinois,Andres Feliz,Turnover,22,33
1:03,Iowa,Joe Wieskamp,Three Point Jumper,22,36
0:42,Illinois,None,None,22,36
0:36,Illinois,Andres Feliz,Layup,24,36
0:05,Iowa,Isaiah Moss,Three Point Jumper,24,39
0:00,Iowa,None,None,24,39
19:48,Illinois,Trent Frazier,Missed Layup,24,39
19:48,Iowa,Tyler Cook,Block,24,39
19:44,Iowa,Tyler Cook,Defensive Rebound,24,39
19:30,Iowa,Tyler Cook,Layup,24,41
19:20,Illinois,Ayo Dosunmu,Jumper,26,41
18:55,Iowa,Isaiah Moss,Missed Jumper,26,41
18:53,Illinois,Illinois,Defensive Rebound,26,41
18:42,Illinois,Tevian Jones,Missed Three Point Jumper,26,41
18:39,Iowa,Jordan Bohannon,Defensive Rebound,26,41
18:38,Illinois,Tevian Jones,Foul,26,41
18:36,Iowa,Luka Garza,Missed Three Point Jumper,26,41
18:33,Illinois,Ayo Dosunmu,Defensive Rebound,26,41
18:28,Illinois,Aaron Jordan,Three Point Jumper,29,41
18:06,Illinois,Aaron Jordan,Foul,29,41
18:06,Iowa,Isaiah Moss,Free Throw,29,42
18:06,Iowa,Isaiah Moss,Free Throw,29,43
17:54,Illinois,Aaron Jordan,Missed Three Point Jumper,29,43
17:50,Illinois,Ayo Dosunmu,Offensive Rebound,29,43
17:48,Illinois,Ayo Dosunmu,Layup,31,43
17:36,Iowa,Isaiah Moss,Three Point Jumper,31,46
17:23,Illinois,Giorgi Bezhanishvili,Dunk,33,46
16:59,Iowa,Isaiah Moss,Missed Jumper,33,46
16:56,Illinois,Trent Frazier,Defensive Rebound,33,46
16:51,Illinois,Ayo Dosunmu,Missed Layup,33,46
16:46,Illinois,Aaron Jordan,Offensive Rebound,33,46
16:46,Illinois,Aaron Jordan,Layup,35,46
16:42,Illinois,Aaron Jordan,Foul,35,46
16:33,Iowa,Isaiah Moss,Three Point Jumper,35,49
16:09,Illinois,Trent Frazier,Missed Jumper,35,49
16:05,Iowa,Isaiah Moss,Defensive Rebound,35,49
16:03,Iowa,Jordan Bohannon,Three Point Jumper,35,52
15:52,Illinois,Trent Frazier,Missed Layup,35,52
15:48,Illinois,Giorgi Bezhanishvili,Offensive Rebound,35,52
15:48,Illinois,Giorgi Bezhanishvili,Layup,37,52
15:44,Iowa,Joe Wieskamp,Three Point Jumper,37,55
15:20,Illinois,Giorgi Bezhanishvili,Layup,39,55
15:10,Iowa,Isaiah Moss,Three Point Jumper,39,58
15:00,Illinois,Da'Monte Williams,Three Point Jumper,42,58
14:39,Iowa,Luka Garza,Missed Jumper,42,58
14:38,Iowa,Iowa,Offensive Rebound,42,58
14:38,Iowa,None,None,42,58
14:32,Iowa,Jordan Bohannon,Three Point Jumper,42,61
14:20,Illinois,Trent Frazier,Missed Layup,42,61
14:15,Illinois,Giorgi Bezhanishvili,Offensive Rebound,42,61
14:15,Illinois,Giorgi Bezhanishvili,Missed Layup,42,61
14:15,Iowa,Tyler Cook,Defensive Rebound,42,61
14:10,Iowa,Tyler Cook,Turnover,42,61
14:05,Illinois,Trent Frazier,Turnover,42,61
13:46,Iowa,Luka Garza,Layup,42,63
13:40,Illinois,None,None,42,63
