TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:46,Sacred Heart,Cameron Parker,Missed Layup,0,0
19:44,Sacred Heart,Jare'l Spellman,Offensive Rebound,0,0
19:43,Sacred Heart,Jare'l Spellman,Layup,0,2
19:16,Wagner,Elijah Davis,Missed Three Point Jumper,0,2
19:12,Wagner,Tyler Plummer,Offensive Rebound,0,2
18:51,Wagner,Nigel Jackson,Turnover,0,2
18:19,Sacred Heart,Sacred Heart ,Turnover,0,2
18:03,Wagner,Romone Saunders,Foul,0,2
18:03,Wagner,Romone Saunders,Turnover,0,2
17:30,Sacred Heart,Sean Hoehn,Missed Jumper,0,2
17:27,Wagner,Elijah Davis,Defensive Rebound,0,2
17:05,Wagner,Nigel Jackson,Missed Layup,0,2
17:05,Sacred Heart,Jare'l Spellman,Block,0,2
16:59,Sacred Heart,Koreem Ozier,Defensive Rebound,0,2
16:40,Sacred Heart,Koreem Ozier,Missed Three Point Jumper,0,2
16:36,Wagner,Devin Liggeons,Defensive Rebound,0,2
16:32,Wagner,Romone Saunders,Missed Three Point Jumper,0,2
16:28,Sacred Heart,E.J. Anosike,Defensive Rebound,0,2
16:20,Sacred Heart,Sean Hoehn,Missed Three Point Jumper,0,2
16:16,Wagner,Devin Liggeons,Defensive Rebound,0,2
16:10,Wagner,Nigel Jackson,Missed Three Point Jumper,0,2
16:04,Sacred Heart,Koreem Ozier,Defensive Rebound,0,2
15:59,Sacred Heart,Sean Hoehn,Three Point Jumper,0,5
15:37,Wagner,Nigel Jackson,Missed Layup,0,5
15:37,Sacred Heart,Jare'l Spellman,Block,0,5
15:33,Sacred Heart,Koreem Ozier,Defensive Rebound,0,5
15:29,Sacred Heart,Sean Hoehn,Layup,0,7
15:16,Sacred Heart,Sean Hoehn,Foul,0,7
15:16,Sacred Heart,None,None,0,7
15:07,Wagner,Nigel Jackson,Turnover,0,7
15:07,Sacred Heart,Koreem Ozier,Steal,0,7
