TIME,TEAM,PLAYER,ACTION,AWAYSCORE,HOMESCORE
19:38,Air Force,A.J. Walker,Layup,0,2
19:05,Boise State,Alex Hobbs,Missed Three Point Jumper,0,2
19:05,Air Force,A.J. Walker,Defensive Rebound,0,2
18:49,Air Force,Sid Tomes,Missed Three Point Jumper,0,2
18:49,Boise State,Zach Haney,Defensive Rebound,0,2
18:37,Boise State,Alex Hobbs,Layup,2,2
18:13,Air Force,Keaton Van Soelen,Missed Three Point Jumper,2,2
18:13,Boise State,Derrick Alston,Defensive Rebound,2,2
17:59,Boise State,Zach Haney,Jumper,4,2
17:29,Air Force,Ryan Swan,Turnover,4,2
17:14,Boise State,Marcus Dickinson,Missed Three Point Jumper,4,2
17:14,Air Force,Sid Tomes,Defensive Rebound,4,2
16:46,Air Force,A.J. Walker,Jumper,4,4
16:46,Boise State,Marcus Dickinson,Foul,4,4
16:46,Air Force,A.J. Walker,Free Throw,4,5
16:26,Boise State,Derrick Alston,Three Point Jumper,7,5
16:04,Air Force,Keaton Van Soelen,Missed Jumper,7,5
16:04,Boise State,Derrick Alston,Defensive Rebound,7,5
15:51,Boise State,Zach Haney,Missed Jumper,7,5
15:51,Air Force,Sid Tomes,Defensive Rebound,7,5
15:36,Air Force,None,None,7,5
15:30,Air Force,Ryan Swan,Layup,7,7
15:11,Boise State,Derrick Alston,Jumper,9,7
14:48,Air Force,Lavelle Scottie,Missed Three Point Jumper,9,7
14:48,Boise State,Derrick Alston,Defensive Rebound,9,7
14:41,Boise State,David Wacker,Missed Layup,9,7
14:41,Air Force,Sid Tomes,Defensive Rebound,9,7
14:27,Air Force,A.J. Walker,Layup,9,9
14:04,Boise State,Pat Dembley,Missed Three Point Jumper,9,9
14:04,Air Force,Sid Tomes,Defensive Rebound,9,9
14:04,Boise State,David Wacker,Foul,9,9
13:50,Air Force,Lavelle Scottie,Missed Jumper,9,9
13:50,Boise State,Derrick Alston,Defensive Rebound,9,9
13:43,Boise State,Derrick Alston,Missed Three Point Jumper,9,9
13:43,Boise State,Zach Haney,Offensive Rebound,9,9
13:34,Boise State,Justinian Jessup,Three Point Jumper,12,9
12:59,Air Force,Caleb Morris,Turnover,12,9
12:35,Boise State,Pat Dembley,Missed Three Point Jumper,12,9
12:35,Boise State,RJ Williams,Offensive Rebound,12,9
12:30,Boise State,Justinian Jessup,Missed Three Point Jumper,12,9
12:30,Boise State,Zach Haney,Offensive Rebound,12,9
12:25,Boise State,Zach Haney,Layup,14,9
11:56,Air Force,A.J. Walker,Turnover,14,9
11:54,Boise State,RJ Williams,Steal,14,9
11:43,Boise State,Derrick Alston,Jumper,16,9
